asset,slug,timeframe,window_start_unix,outcome_up,strike_price,settlement_price,abs_move_pct,btc_close_at_ws,ret_5m,ret_15m,ret_1h,oi_now,oi_delta_5m,oi_delta_15m,oi_delta_1h,oiv_delta_5m,ls_count,ls_count_delta_5m,ls_top_count,ls_top_sum,smart_minus_retail,taker_ratio,taker_delta_5m,book_skew,entry_yes_ask,entry_no_ask,votes_up,prob_a,prob_b,prob_c,prob_stack
eth,eth-updown-5m-1777227000,5m,1777227000,1,2355.5289089,2364.19638292,0.0036796296522837,2354.5,0.0025600803269112,0.0027687476884734,0.0040643109921663,2089450.055,-0.0010226000844065,-0.0002349133289651,-0.0008718664090708,0.0015855304243077,1.66728553,0.0100205799999999,1.26195004,1.11624,-0.4053354899999999,2.008148,1.2993199999999998,-0.1624748490945674,0.43,0.6,3,0.5537190082644629,0.5017976373908578,0.4916820702402957,0.5262108557408021
eth,eth-updown-5m-1777227300,5m,1777227300,1,2364.19638292,2365.27482344,0.0004561552195033,2365.15,0.0045130541782931,0.0064133508477349,0.0083044754801586,2077348.458,-0.0057917617944688,-0.0062989547463165,-0.0068410760338926,-0.002209318655005,1.68350116,0.01621563,1.26201618,1.132583,-0.42148498,1.988358,-0.0197899999999997,0.3729060451565915,0.42,0.63,3,0.5537190082644629,0.5017976373908578,0.5476190476190477,0.653628629435081
eth,eth-updown-5m-1777227600,5m,1777227600,0,2365.27482344,2363.93044896,0.0005683798206775,2363.32,-0.0007740347686957,0.0062990997365085,0.007151077227681,2081286.789,0.0018958451505008,-0.0049255018187575,-0.0048894019875047,0.0024769936929085,1.68209332,-0.0014078400000001,1.26030658,1.116778,-0.4217867399999999,1.5085,-0.4798580000000001,-0.6698194325021496,0.42,0.65,2,0.5152838427947598,0.5017976373908578,0.4916820702402957,0.5111533340523703
eth,eth-updown-5m-1777227900,5m,1777227900,0,2363.93044896,2361.7831064,0.00090837806203,2362.34,-0.000414756886466,0.0033242625231312,0.0067832001690469,2082696.605,0.0006773770954828,-0.0032321662744888,-0.00444602929217,2.1053601255482945e-05,1.67534208,-0.0067512399999998,1.25514179,1.115195,-0.4202002900000001,0.406351,-1.1021489999999998,0.8099493595472147,0.47,0.54,2,0.5152838427947598,0.5017976373908578,0.4916820702402957,0.5111533340523703
eth,eth-updown-5m-1777228200,5m,1777228200,0,2361.7831064,2358.87130926,0.0012328808399507,2361.35,-0.0004191638378027,-0.0016079554929645,0.0070291142252933,2082504.433,-9.2270760675639e-05,0.0024819981357213,-0.0045893880958901,-0.0009940840652498,1.66831483,-0.0070272500000001,1.25203871,1.113499,-0.4162761199999998,0.494769,0.088418,-0.04,0.48,0.53,1,0.5127020785219399,0.5017976373908578,0.5476190476190477,0.5856327460101044
eth,eth-updown-5m-1777228500,5m,1777228500,1,2358.87130926,2359.89992842,0.0004360641277724,2358.72,-0.0011143903680138,-0.0019483110922827,0.005752676948609,2082638.242,6.425388483211059e-05,0.0006493353088785,-0.0046588394512042,-0.0010512865622093,1.66498825,-0.0033265799999999,1.24903923,1.111397,-0.41594902,0.651795,0.157026,-0.4283477716313536,0.49,0.52,1,0.5127020785219399,0.5017976373908578,0.4916820702402957,0.483772381671421
eth,eth-updown-5m-1777228800,5m,1777228800,1,2359.89992842,2360.9457024,0.0004431433584983,2359.01,0.0001229404821242,-0.0014106137236925,0.0057903401302198,2082982.721,0.0001654051063948,0.0001373776666813,-0.0043854360513337,0.0005948551783478,1.6577211,-0.0072671499999998,1.24096934,1.112037,-0.4167517600000001,1.410468,0.758673,-0.3178885630498533,0.45,0.59,2,0.5152838427947598,0.5017976373908578,0.4916820702402957,0.5111533340523703
eth,eth-updown-5m-1777229100,5m,1777229100,1,2360.9457024,2362.220615,0.0005400008135316,2359.58,0.000241597597067,-0.0007498522888228,0.0053031135526188,2082980.261,-1.18099875490163e-06,0.000228488349153,-0.0040702837904282,0.0004028139184117,1.65902965,0.0013085499999998,1.2420678,1.110223,-0.4169618499999998,1.391998,-0.0184699999999999,0.1269722013523666,0.45,0.56,2,0.5152838427947598,0.5017976373908578,0.4916820702402957,0.5111533340523703
eth,eth-updown-5m-1777229400,5m,1777229400,1,2362.220615,2362.72460466,0.0002133541874961,2361.81,0.0009446371368712,0.0013091752160624,0.0056684800431648,2082688.459,-0.0001400887014934,2.411220488851562e-05,-0.003940899276944,0.0004267941428943,1.6577198,-0.0013098499999999,1.24054447,1.11185,-0.41717533,1.194265,-0.1977330000000001,0.7034107760751359,0.48,0.54,3,0.5537190082644629,0.5017976373908578,0.4916820702402957,0.5262108557408021
eth,eth-updown-5m-1777229700,5m,1777229700,0,2362.72460466,2362.41635434,0.0001304639226222,2362.51,0.000296338946186,0.0014825736801244,0.0061649701680366,2082745.473,2.73751937087674e-05,-0.0001138982083759,-0.0034429378463652,0.0002086649761159,1.65709174,-0.0006280599999999,1.24010748,1.111132,-0.41698426,0.926388,-0.2678769999999999,0.934413036917815,0.48,0.54,3,0.5537190082644629,0.5017976373908578,0.4916820702402957,0.5262108557408021
