asset,slug,timeframe,window_start_unix,outcome_up,strike_price,settlement_price,abs_move_pct,btc_close_at_ws,ret_5m,ret_15m,ret_1h,oi_now,oi_delta_5m,oi_delta_15m,oi_delta_1h,oiv_delta_5m,ls_count,ls_count_delta_5m,ls_top_count,ls_top_sum,smart_minus_retail,taker_ratio,taker_delta_5m,book_skew,entry_yes_ask,entry_no_ask,votes_up,prob_a,prob_b
btc,btc-updown-15m-1777246200,15m,1777246200,1,78177.39962881,78616.59238247,0.0056178992361642,78062.65,-0.0043854295408614,-0.004232622930849,-0.0049565256305154,96101.486,0.0006463909132632,0.0009567894885538,0.0008643856080676,-0.0023317651546511,0.74612985,0.00052454,0.7480749,0.818372,0.00194505,0.644508,-0.737874,0.0215482841181165,0.58,0.43,0,0.4406779661016949,0.4983991462113128
btc,btc-updown-15m-1777247100,15m,1777247100,1,78616.59238247,78667.48503092,0.000647352510554,78614.86,0.0019289758564486,0.0070490306688432,0.0033748989204201,96048.525,-0.0004818885577529,-0.0005510944960831,0.0018489272896426,0.0018096289123359,0.74066414,-0.0029871599999999,0.74303256,0.815215,0.0023684199999999,1.650217,0.2903310000000001,-0.940349072110619,0.51,0.5,3,0.559322033898305,0.4983991462113128
btc,btc-updown-15m-1777248000,15m,1777248000,0,78667.48503092,78600.57,0.0008506059510317,78784.27,0.0016707637199219,0.0021526175578877,0.0065238008621,96213.831,0.000112428908803,0.0017210675541348,0.0024136463520452,2.592444711724262e-05,0.73670419,-0.0023770699999999,0.74042246,0.8161,0.00371827,0.916779,0.2444859999999999,0.8234307407080427,0.46,0.55,3,0.559322033898305,0.4983991462113128
btc,btc-updown-15m-1777248900,15m,1777248900,0,78600.57,78499.45817531,0.0012864006544736,78575.82,-0.0009181815461675,-0.0026493391294555,0.0023196861664265,96213.831,0.0,0.0,0.0021269325861861,0.0,0.73670419,0.0,0.74042246,0.8161,0.00371827,0.916779,0.0,-0.3362831858407079,0.52,0.49,1,0.5,0.4983991462113128
btc,btc-updown-15m-1777249800,15m,1777249800,1,78499.45817531,78831.35228008,0.0042279795617033,78451.65,1.8737831165332585e-05,-0.0015815070558139,0.0049708020414615,96213.831,0.0,0.0,0.0011690245871953,0.0,0.73670419,0.0,0.74042246,0.8161,0.00371827,0.916779,0.0,0.8178392485799222,0.46,0.55,2,0.457516339869281,0.4983991462113128
btc,btc-updown-15m-1777250700,15m,1777250700,1,78831.35228008,79263.44604603,0.0054812425951392,78856.36,0.0010247923351671,0.0051454581736301,0.0030672295462484,96213.831,0.0,0.0,0.0017210675541348,0.0,0.73670419,0.0,0.74042246,0.8161,0.00371827,0.916779,0.0,0.715046604527297,0.44,0.57,3,0.559322033898305,0.4983991462113128
btc,btc-updown-15m-1777251600,15m,1777251600,0,79263.44604603,79142.09956631,0.001530926117564,79414.91,0.0021631412089745,0.0070581643630421,0.0079727763514026,96213.831,0.0,0.0,0.0,0.0,0.73670419,0.0,0.74042246,0.8161,0.00371827,0.916779,0.0,0.8727249586356115,0.43,0.58,3,0.559322033898305,0.5217391304347826
btc,btc-updown-15m-1777252500,15m,1777252500,0,79142.09956631,78925.14055737,0.0027413855600105,79051.33,-0.0014020291453868,-0.0045887456909341,0.006033369789924,96213.831,0.0,0.0,0.0,0.0,0.73670419,0.0,0.74042246,0.8161,0.00371827,0.916779,0.0,-0.0352065500558243,0.46,0.55,1,0.5,0.4983991462113128
btc,btc-updown-15m-1777253400,15m,1777253400,1,78925.14055737,79068.63952,0.0018181654364706,78906.95,-0.0009297771928176,-0.0018280781508669,0.0057867986948711,96213.831,0.0,0.0,0.0,0.0,0.73670419,0.0,0.74042246,0.8161,0.00371827,0.916779,0.0,0.8683645729002718,0.63,0.46,1,0.5,0.4983991462113128
btc,btc-updown-15m-1777254300,15m,1777254300,1,79068.63952,79296.8179913,0.0028858277148209,79115.72,1.997094606601485e-05,0.0026422806482537,0.0032836211694945,96213.831,0.0,0.0,0.0,0.0,0.73670419,0.0,0.74042246,0.8161,0.00371827,0.916779,0.0,0.994045558401994,0.49,0.52,3,0.559322033898305,0.4983991462113128
btc,btc-updown-15m-1777255200,15m,1777255200,0,79296.8179913,79196.4193633,0.0012661116869912,79235.87,0.0007052323582102,0.0015175095249391,-0.0022570336686082,96213.831,0.0,0.0,0.0,0.0,0.73670419,0.0,0.74042246,0.8161,0.00371827,0.916779,0.0,-0.1599883307878434,0.48,0.53,2,0.457516339869281,0.4983991462113128
btc,btc-updown-15m-1777256100,15m,1777256100,0,79196.4193633,79135.19795,0.0007730325915261,79209.48,0.001182754659851,-0.0003331117037392,0.0019986003185867,96213.831,0.0,0.0,0.0,0.0,0.73670419,0.0,0.74042246,0.8161,0.00371827,0.916779,0.0,0.660452673149603,0.49,0.54,2,0.457516339869281,0.4983991462113128
btc,btc-updown-15m-1777257000,15m,1777257000,0,79135.19795,79085.94,0.0006224531090592,79180.6,0.0012938301231106,-0.000364669306563,0.0034620091628906,96213.831,0.0,0.0,0.0,0.0,0.73670419,0.0,0.74042246,0.8161,0.00371827,0.916779,0.0,0.5038217951517798,0.52,0.49,2,0.457516339869281,0.4983991462113128
btc,btc-updown-15m-1777257900,15m,1777257900,1,79085.94,79145.55843729,0.0007538436957315,79088.63,0.0002893375467645,-0.0011621969772899,-0.000342468462653,96213.831,0.0,0.0,0.0,0.0,0.73670419,0.0,0.74042246,0.8161,0.00371827,0.916779,0.0,-0.9309010503040354,0.53,0.48,1,0.5,0.4983991462113128
btc,btc-updown-15m-1777258800,15m,1777258800,1,79145.55843729,79228.42233339,0.0010469810022966,79114.83,-0.0006945715728675,0.0003312190547479,-0.0015287589328443,96213.831,0.0,0.0,0.0,0.0,0.73670419,0.0,0.74042246,0.8161,0.00371827,0.916779,0.0,-0.2079459539592113,0.4,0.61,1,0.5,0.4983991462113128
btc,btc-updown-15m-1777259700,15m,1777259700,1,79228.42233339,79267.14494552,0.0004887464749336,79192.95,-0.0003855660483009,0.0009869383089199,-0.0002087089201851,96213.831,0.0,0.0,0.0,0.0,0.73670419,0.0,0.74042246,0.8161,0.00371827,0.916779,0.0,0.8494298861538733,0.44,0.57,1,0.5,0.4983991462113128
btc,btc-updown-15m-1777260600,15m,1777260600,0,79267.14494552,79256.44791,0.0001349491712783,79299.98,0.0010313010989495,0.0013505967271795,0.0015065571135575,96213.831,0.0,0.0,0.0,0.0,0.73670419,0.0,0.74042246,0.8161,0.00371827,0.916779,0.0,0.9438202247191012,0.44,0.57,3,0.559322033898305,0.4983991462113128
btc,btc-updown-15m-1777261500,15m,1777261500,0,79256.44791,79119.937,0.0017223950050728,79237.6,0.0004133993190135,-0.0007869427957612,0.0018818112950862,96213.831,0.0,0.0,0.0,0.0,0.73670419,0.0,0.74042246,0.8161,0.00371827,0.916779,0.0,-0.7050151654087606,0.49,0.52,2,0.457516339869281,0.4983991462113128
btc,btc-updown-15m-1777262400,15m,1777262400,0,79119.937,79073.01433252,0.0005930574423991,79108.97,-0.0002350910868712,-0.0016246645354379,-7.407229509948693e-05,96213.831,0.0,0.0,0.0,0.0,0.73670419,0.0,0.74042246,0.8161,0.00371827,0.916779,0.0,-0.9591039065232148,0.52,0.49,0,0.4406779661016949,0.4983991462113128
btc,btc-updown-15m-1777263300,15m,1777263300,1,79073.01433252,79132.569,0.0007531604553426,79058.4,-0.0001344485269383,-0.0006394492330897,-0.0017004598371092,96213.831,0.0,0.0,0.0,0.0,0.73670419,0.0,0.74042246,0.8161,0.00371827,0.916779,0.0,0.8045052650286577,0.55,0.46,0,0.4406779661016949,0.4983991462113128
btc,btc-updown-15m-1777264200,15m,1777264200,0,79132.569,79085.406,0.0005959998594257,79122.01,0.0007677169838069,0.0008042715710354,-0.0022467849932534,96213.831,0.0,0.0,0.0,0.0,0.73670419,0.0,0.74042246,0.8161,0.00371827,0.916779,0.0,0.6396632366697848,0.5,0.51,2,0.457516339869281,0.4983991462113128
btc,btc-updown-15m-1777265100,15m,1777265100,0,79085.406,78940.34551,0.0018342257735896,79074.22,-3.515622579816333e-05,-0.000604186350759,-0.0020640285482513,96213.831,0.0,0.0,0.0,0.0,0.73670419,0.0,0.74042246,0.8161,0.00371827,0.916779,0.0,-0.9604854642957946,0.51,0.5,0,0.4406779661016949,0.4983991462113128
btc,btc-updown-15m-1777266000,15m,1777266000,0,78940.34551,78422.15635,0.0065643133007868,78890.75,-0.0001173706243714,-0.002322921119787,-0.0027622851326004,96213.831,0.0,0.0,0.0,0.0,0.73670419,0.0,0.74042246,0.8161,0.00371827,0.916779,0.0,-0.620510339823437,0.6,0.45,0,0.4406779661016949,0.4983991462113128
btc,btc-updown-15m-1777266900,15m,1777266900,0,78422.15635,77853.83492564,0.0072469497245595,78178.99,-0.0067771477639643,-0.009063042593893,-0.0111858784934038,96213.831,0.0,0.0,0.0,0.0,0.73670419,0.0,0.74042246,0.8161,0.00371827,0.916779,0.0,-0.4267698480940097,0.61,0.4,0,0.4406779661016949,0.4983991462113128
btc,btc-updown-15m-1777267800,15m,1777267800,0,77853.83492564,77814.91432502,0.0004999188627917,77756.59,-0.00116783613493,-0.0054176350663087,-0.0174077851307478,96213.831,0.0,0.0,0.0,0.0,0.73670419,0.0,0.74042246,0.8161,0.00371827,0.916779,0.0,0.1460887949260042,0.55,0.46,0,0.4406779661016949,0.4983991462113128
btc,btc-updown-15m-1777268700,15m,1777268700,0,77814.91432502,77794.21,0.0002660714234487,77762.86,0.0002695737432981,8.063300125364285e-05,-0.0167229657787352,96213.831,0.0,0.0,0.0,0.0,0.73670419,0.0,0.74042246,0.8161,0.00371827,0.916779,0.0,-0.8669208182372439,0.49,0.52,2,0.457516339869281,0.4983991462113128
btc,btc-updown-15m-1777269600,15m,1777269600,0,77794.21,77743.08,0.0006572468568033,77766.54,-0.0007366779219697,4.732224262005316e-05,-0.0143527224163281,96213.831,0.0,0.0,0.0,0.0,0.73670419,0.0,0.74042246,0.8161,0.00371827,0.916779,0.0,0.3633152173913043,0.63,0.44,1,0.5,0.4983991462113128
btc,btc-updown-15m-1777270500,15m,1777270500,0,77743.08,77738.01789634,6.51132378598e-05,77716.32,-0.000708351834401,-0.0006459876252133,-0.0059356674476484,96213.831,0.0,0.0,0.0,0.0,0.73670419,0.0,0.74042246,0.8161,0.00371827,0.916779,0.0,0.0378625134264232,0.65,0.36,0,0.4406779661016949,0.4983991462113128
btc,btc-updown-15m-1777271400,15m,1777271400,0,77738.01789634,77630.388,0.0013845207178232,77634.97,-0.002331151688031,-0.0010473039192105,-0.0015653363005501,96213.831,0.0,0.0,0.0,0.0,0.73670419,0.0,0.74042246,0.8161,0.00371827,0.916779,0.0,-0.910184323217278,0.57,0.44,0,0.4406779661016949,0.4983991462113128
btc,btc-updown-15m-1777272300,15m,1777272300,1,77630.388,77709.47945635,0.0010188208301883,77644.34,0.0001331801977698,0.0001206857502311,-0.0015252835515725,96213.831,0.0,0.0,0.0,0.0,0.73670419,0.0,0.74042246,0.8161,0.00371827,0.916779,0.0,-0.8254837531945965,0.6,0.42,2,0.457516339869281,0.4983991462113128
