asset,slug,timeframe,window_start_unix,outcome_up,strike_price,settlement_price,abs_move_pct,btc_close_at_ws,ret_5m,ret_15m,ret_1h,oi_now,oi_delta_5m,oi_delta_15m,oi_delta_1h,oiv_delta_5m,ls_count,ls_count_delta_5m,ls_top_count,ls_top_sum,smart_minus_retail,taker_ratio,taker_delta_5m,book_skew,entry_yes_ask,entry_no_ask,votes_up,prob_a,prob_b,prob_c
sol,sol-updown-5m-1776929100,5m,1776929100,1,86.07,86.07,0.0,86.04,0.0,-0.0010454784015528,-0.0008132443085444,9397254.94,4.211886019733768e-06,-1.803792101784385e-05,0.0111850985527988,0.0004206702772966,2.07330021,-0.0031193799999997,2.1792096,1.818346,0.1059093899999998,0.70244,0.3208769999999999,0.7913950456323338,0.5,0.51,0,0.4558823529411764,0.5173913043478258,0.5543478260869565
sol,sol-updown-5m-1776929400,5m,1776929400,1,86.07,86.17,0.0011618450098756,86.1,0.0006971070341557,0.0004646840232313,-0.0004644681922794,9407840.45,0.0011264470387988,0.0012629078951706,0.0112510977145918,0.0011394659882801,2.07210457,-0.0011956400000001,2.17904414,1.821106,0.1069395699999997,0.342094,-0.3603459999999999,0.0300429184549355,0.5,0.56,2,0.5270588235294118,0.5173913043478258,0.5049767750497678
sol,sol-updown-5m-1776929700,5m,1776929700,0,86.17,86.16,0.0001160496692584,86.17,0.0008126778179904,0.0015097848521461,0.0008126778179904,9407630.23,-2.2345191876493864e-05,0.0011082932125119,0.0032166717533286,0.0008655476333452,2.07238629,0.0002817199999998,2.17787334,1.817652,0.1054870500000002,0.898727,0.556633,-0.4477017734346725,0.5,0.59,3,0.5738636363636364,0.5173913043478258,0.5049767750497678
sol,sol-updown-5m-1776930000,5m,1776930000,0,86.16,86.06,0.0011606313834726,86.18,0.0001160429360165,0.0016258277881626,0.0019745636243038,9402077.17,-0.00059027192441,0.0005131530463724,0.0025294724185143,-0.0006157195989565,2.07583542,0.0034491300000003,2.1789508,1.818106,0.1031153799999997,0.484924,-0.413803,0.0261054874800213,0.5,0.59,3,0.5738636363636364,0.5173913043478258,0.5049767750497678
sol,sol-updown-5m-1776930300,5m,1776930300,1,86.06,86.08,0.0002323960027887,86.06,-0.0013934047772384,-0.0004646840232314,0.0004649000548634,9386589.91,-0.0016472168564427,-0.0022588116914757,6.00701505188983e-05,-0.0028300921745331,2.08164307,0.0058076499999999,2.1829865,1.820213,0.10134343,0.504851,0.019927,0.1382113821138211,0.58,0.44,1,0.4933333333333333,0.5173913043478258,0.5543478260869565
sol,sol-updown-5m-1776930600,5m,1776930600,0,86.08,85.86,0.0025557620817843,86.06,0.0,-0.0012773618412218,0.0,9383897.59,-0.0002868262090721,-0.0025227011925191,-0.0004594464284818,-0.0002088800476445,2.07640068,-0.0052423900000002,2.17879716,1.820462,0.1023964799999999,1.058262,0.553411,0.0,0.6,0.46,0,0.4558823529411764,0.5173913043478258,0.5049767750497678
sol,sol-updown-5m-1776930900,5m,1776930900,1,85.86,85.91,0.0005823433496389,85.91,-0.0017444907604885,-0.0031378955377269,-0.0031378955377269,9386012.11,0.0002253349399563,-0.0017086713616072,-4.463144705524336e-05,-0.0020464469414255,2.08011567,0.0037149900000001,2.18277886,1.814834,0.1026631899999999,0.322798,-0.7354640000000001,0.1305919566199729,0.59,0.46,0,0.4558823529411764,0.5173913043478258,0.5087209302325583
sol,sol-updown-5m-1776931200,5m,1776931200,0,85.91,85.82,0.0010476079618205,85.89,-0.0002328288718317,-0.0019773196323202,-0.0031386250699997,9389716.04,0.0003946223333819,0.0003330421409661,0.0008817736627835,0.0009233180504193,2.07954111,-0.00057456,2.18175892,1.815341,0.1022178099999999,0.712493,0.389695,0.5894909688013136,0.34,0.67,0,0.4558823529411764,0.5173913043478258,0.5543478260869565
sol,sol-updown-5m-1776931500,5m,1776931500,1,85.82,85.88,0.0006991377301328,85.81,-0.0009318579591038,-0.0029091775914239,-0.0038383298069348,9324588.92,-0.0069360052766834,-0.0063202597248293,-0.0067533915240164,-0.0079749444097187,2.07519307,-0.0043480399999999,2.18107157,1.866479,0.1058784999999997,0.177672,-0.534821,0.4492753623188406,0.59,0.49,0,0.4558823529411764,0.5737704918032787,0.5543478260869565
sol,sol-updown-5m-1776931800,5m,1776931800,1,85.88,85.88,0.0,85.85,0.0004660375244549,-0.0006986493064806,-0.0032561954575977,9317368.31,-0.000774362286847,-0.0073134148129709,-0.0085189447838549,-0.0001726678518028,2.06920928,-0.0059837900000001,2.18003519,1.864618,0.1108259099999999,0.795079,0.617407,0.284,0.56,0.47,1,0.4933333333333333,0.5173913043478258,0.5543478260869565
