asset,slug,direction,leg,slot_start_us,slot_end_us,fire_us,dev_bps,fair_edge_bp,fair_up,cvd_30s,sigma,s_now,strike,tau_s,won,in_baseline,iso_week,iso_year,variant,fill_ts_us,entry_vwap,shares,pnl_07,pnl_legacy
ETH,eth-updown-15m-1779009300,UP,Up,1779009300000000,1779010200000000,1779009180000000,8.06518559663018,1588.9421418334216,0.6488942237200853,71947.75921,1.6835018915998075e-05,2189.26,2188.81,1020.0,True,True,20,2026,C_kalshi_open,1779009301000000,0.4383413156525403,57.03318192304905,31.050279225440995,31.392518284588068
ETH,eth-updown-15m-1779012900,UP,Up,1779012900000000,1779013800000000,1779012780000000,10.943771422848423,2125.0556707679325,0.6925055563479572,450585.799167,5.4158800256981e-05,2196.42,2194.51,1020.0,True,True,20,2026,A_poly_prewindow,1779012780000000,0.47999998927116394,52.083334497486575,26.173334478711112,26.541667807536843
ETH,eth-updown-15m-1779012900,UP,Up,1779012900000000,1779013800000000,1779012780000000,10.943771422848423,2125.0556707679325,0.6925055563479572,450585.799167,5.4158800256981e-05,2196.42,2194.51,1020.0,True,True,20,2026,B_kalshi_inwin60,1779012960000000,0.5107232133572873,48.95019326742588,23.093958890801137,23.471189402077368
ETH,eth-updown-15m-1779012900,UP,Up,1779012900000000,1779013800000000,1779012780000000,10.943771422848423,2125.0556707679325,0.6925055563479572,450585.799167,5.4158800256981e-05,2196.42,2194.51,1020.0,True,True,20,2026,C_kalshi_open,1779012901000000,0.4399999976158142,56.81818212605705,30.838182121884728,31.18181848353591
ETH,eth-updown-15m-1779028200,UP,Up,1779028200000000,1779029100000000,1779028080000000,28.270843582020586,898.577395391168,0.6098577204656305,140349.97311300001,8.411196036682363e-05,2189.4,2187.76,1020.0,False,True,20,2026,A_poly_prewindow,1779028080000000,0.5199999809265137,48.07692484037417,-25.0,-25.0
ETH,eth-updown-15m-1779028200,UP,Up,1779028200000000,1779029100000000,1779028080000000,28.270843582020586,898.577395391168,0.6098577204656305,140349.97311300001,8.411196036682363e-05,2189.4,2187.76,1020.0,False,True,20,2026,B_kalshi_inwin60,1779028260000000,0.6820338496409852,36.655072197897084,-25.556440763128276,-24.999999999999996
ETH,eth-updown-15m-1779028200,UP,Up,1779028200000000,1779029100000000,1779028080000000,28.270843582020586,898.577395391168,0.6098577204656305,140349.97311300001,8.411196036682363e-05,2189.4,2187.76,1020.0,False,True,20,2026,C_kalshi_open,1779028201000000,0.5099999904632568,49.01960875977925,-25.8575000166893,-25.0
ETH,eth-updown-15m-1779060600,UP,Up,1779060600000000,1779061500000000,1779060480000000,11.643498711632706,1034.855962713951,0.6434856177290672,18670.394147999996,7.799964067548946e-05,2172.99,2171.0,1020.0,False,True,20,2026,A_poly_prewindow,1779060480000000,0.5400000214576721,46.29629445664684,-25.0,-25.0
ETH,eth-updown-15m-1779060600,UP,Up,1779060600000000,1779061500000000,1779060480000000,11.643498711632706,1034.855962713951,0.6434856177290672,18670.394147999996,7.799964067548946e-05,2172.99,2171.0,1020.0,False,True,20,2026,B_kalshi_inwin60,1779060660000000,0.36684077492682515,68.14945804480656,-26.108028643878054,-25.0
ETH,eth-updown-15m-1779060600,UP,Up,1779060600000000,1779061500000000,1779060480000000,11.643498711632706,1034.855962713951,0.6434856177290672,18670.394147999996,7.799964067548946e-05,2172.99,2171.0,1020.0,False,True,20,2026,C_kalshi_open,1779060601000000,0.6072106148113947,41.17187577125152,-25.687381424080062,-25.000000000000004
