tag,fire_us,pnl,won,vwap,slug
v6c3_v7,1780089600000000,2.456757575757575,1,0.66,eth-updown-5m-1780089300
cloud_vwap_v7,1780089600000000,2.456757575757575,1,0.66,eth-updown-5m-1780089300
cloud_ribbon_v6,1780089600000000,2.456757575757575,1,0.66,eth-updown-5m-1780089300
cloud_ribbon_v6,1780089900000000,1.4130064935064934,1,0.77,eth-updown-5m-1780089600
v6c3_v7,1780089900000000,1.4130064935064934,1,0.77,eth-updown-5m-1780089600
cloud_vwap_v7,1780089900000000,1.4130064935064934,1,0.77,eth-updown-5m-1780089600
v8_grandparent,1780090500000000,7.29,1,0.4,eth-updown-5m-1780090200
cloud_ribbon_v6,1780091400000000,2.456757575757575,1,0.66,eth-updown-5m-1780091100
cloud_vwap_v7,1780091400000000,2.456757575757575,1,0.66,eth-updown-5m-1780091100
cloud_vwap_v7,1780092000000000,3.93340909090909,1,0.55,eth-updown-5m-1780091700
v8_grandparent,1780092000000000,3.93340909090909,1,0.55,eth-updown-5m-1780091700
cloud_vwap_v7,1780092300000000,2.569807692307692,1,0.65,eth-updown-5m-1780092000
cloud_ribbon_v6,1780092300000000,2.569807692307692,1,0.65,eth-updown-5m-1780092000
v8_grandparent,1780092900000000,-5.0,0,0.56,eth-updown-5m-1780092600
v8_grandparent,1780094100000000,6.428406976744185,1,0.43000000000000005,eth-updown-5m-1780093800
v8_grandparent,1780094700000000,-5.0,0,0.4229286332520261,eth-updown-5m-1780094400
cloud_ribbon_v6,1780095000000000,1.33325641025641,1,0.78,eth-updown-5m-1780094700
cloud_vwap_v7,1780095000000000,1.33325641025641,1,0.78,eth-updown-5m-1780094700
v8_grandparent,1780095300000000,0.579477528089887,1,0.8900000000000001,eth-updown-5m-1780095000
cloud_ribbon_v6,1780095300000000,0.579477528089887,1,0.8900000000000001,eth-updown-5m-1780095000
cloud_vwap_v7,1780095600000000,1.940753521126761,1,0.71,eth-updown-5m-1780095300
cloud_ribbon_v6,1780095600000000,1.940753521126761,1,0.71,eth-updown-5m-1780095300
cloud_ribbon_v6,1780095900000000,1.0345609756097565,1,0.82,eth-updown-5m-1780095600
v8_grandparent,1780095900000000,1.0345609756097565,1,0.82,eth-updown-5m-1780095600
cloud_ribbon_v6,1780096800000000,-5.0,0,0.8600000000000001,eth-updown-5m-1780096500
v6c3_v7,1780096800000000,-5.0,0,0.8600000000000001,eth-updown-5m-1780096500
cloud_vwap_v7,1780097100000000,-5.0,0,0.67,eth-updown-5m-1780096800
cloud_ribbon_v6,1780097100000000,-5.0,0,0.67,eth-updown-5m-1780096800
v6c3_v7,1780097100000000,-5.0,0,0.67,eth-updown-5m-1780096800
v8_grandparent,1780097700000000,5.918611111111112,1,0.45,eth-updown-5m-1780097400
v8_grandparent,1780098000000000,-5.0,0,0.72,eth-updown-5m-1780097700
cloud_ribbon_v6,1780099800000000,3.473689655172415,1,0.58,eth-updown-5m-1780099500
cloud_vwap_v7,1780099800000000,3.473689655172415,1,0.58,eth-updown-5m-1780099500
v8_grandparent,1780101000000000,4.704044512746733,1,0.5062336218534106,eth-updown-5m-1780100700
cloud_vwap_v7,1780104000000000,-5.0,0,0.8,eth-updown-5m-1780103700
v6c3_v7,1780104000000000,-5.0,0,0.8,eth-updown-5m-1780103700
cloud_ribbon_v6,1780104000000000,-5.0,0,0.8,eth-updown-5m-1780103700
v8_grandparent,1780104300000000,10.386999999999999,1,0.32,eth-updown-5m-1780104000
v8_grandparent,1780104600000000,2.931516129032258,1,0.62,eth-updown-5m-1780104300
cloud_ribbon_v6,1780104600000000,2.931516129032258,1,0.62,eth-updown-5m-1780104300
cloud_vwap_v7,1780104600000000,2.931516129032258,1,0.62,eth-updown-5m-1780104300
cloud_ribbon_v6,1780106100000000,2.0378571428571433,1,0.7,eth-updown-5m-1780105800
cloud_vwap_v7,1780106100000000,2.0378571428571433,1,0.7,eth-updown-5m-1780105800
v6c3_v7,1780106100000000,2.0378571428571433,1,0.7,eth-updown-5m-1780105800
cloud_ribbon_v6,1780106700000000,2.3471865671641785,1,0.67,eth-updown-5m-1780106400
cloud_vwap_v7,1780106700000000,2.3471865671641785,1,0.67,eth-updown-5m-1780106400
v8_grandparent,1780106700000000,2.3471865671641785,1,0.67,eth-updown-5m-1780106400
v6c3_v7,1780106700000000,2.3471865671641785,1,0.67,eth-updown-5m-1780106400
cloud_vwap_v7,1780107600000000,-5.0,0,0.71,eth-updown-5m-1780107300
v8_grandparent,1780107600000000,-5.0,0,0.71,eth-updown-5m-1780107300
v6c3_v7,1780107600000000,-5.0,0,0.71,eth-updown-5m-1780107300
cloud_ribbon_v6,1780107600000000,-5.0,0,0.71,eth-updown-5m-1780107300
v6c3_v7,1780112400000000,-5.0,0,0.57,eth-updown-5m-1780112100
cloud_vwap_v7,1780112400000000,-5.0,0,0.57,eth-updown-5m-1780112100
cloud_ribbon_v6,1780112400000000,-5.0,0,0.57,eth-updown-5m-1780112100
cloud_ribbon_v6,1780113000000000,1.6657567567567568,1,0.74,eth-updown-5m-1780112700
v6c3_v7,1780113000000000,1.6657567567567568,1,0.74,eth-updown-5m-1780112700
cloud_vwap_v7,1780113000000000,1.6657567567567568,1,0.74,eth-updown-5m-1780112700
v8_grandparent,1780113000000000,1.6657567567567568,1,0.74,eth-updown-5m-1780112700
cloud_vwap_v7,1780113300000000,2.1378768115942033,1,0.69,eth-updown-5m-1780113000
v8_grandparent,1780113300000000,2.1378768115942033,1,0.69,eth-updown-5m-1780113000
v6c3_v7,1780113600000000,2.6865,1,0.64,eth-updown-5m-1780113300
cloud_ribbon_v6,1780113600000000,2.6865,1,0.64,eth-updown-5m-1780113300
cloud_vwap_v7,1780113600000000,2.6865,1,0.64,eth-updown-5m-1780113300
v6c3_v7,1780113900000000,-5.0,0,0.8,eth-updown-5m-1780113600
v8_grandparent,1780113900000000,-5.0,0,0.8,eth-updown-5m-1780113600
cloud_ribbon_v6,1780113900000000,-5.0,0,0.8,eth-updown-5m-1780113600
cloud_ribbon_v6,1780114200000000,2.6865,1,0.64,eth-updown-5m-1780113900
cloud_vwap_v7,1780114200000000,2.6865,1,0.64,eth-updown-5m-1780113900
v6c3_v7,1780114200000000,2.6865,1,0.64,eth-updown-5m-1780113900
cloud_ribbon_v6,1780114500000000,0.7649534883720924,1,0.8600000000000001,eth-updown-5m-1780114200
v6c3_v7,1780114500000000,0.7649534883720924,1,0.8600000000000001,eth-updown-5m-1780114200
v8_grandparent,1780114500000000,0.7649534883720924,1,0.8600000000000001,eth-updown-5m-1780114200
cloud_ribbon_v6,1780114800000000,1.33325641025641,1,0.78,eth-updown-5m-1780114500
v6c3_v7,1780114800000000,1.33325641025641,1,0.78,eth-updown-5m-1780114500
cloud_vwap_v7,1780114800000000,1.33325641025641,1,0.78,eth-updown-5m-1780114500
v8_grandparent,1780116000000000,2.931516129032258,1,0.62,eth-updown-5m-1780115700
v6c3_v7,1780116300000000,3.473689655172415,1,0.58,eth-updown-5m-1780116000
v8_grandparent,1780116300000000,3.473689655172415,1,0.58,eth-updown-5m-1780116000
cloud_ribbon_v6,1780116300000000,3.473689655172415,1,0.58,eth-updown-5m-1780116000
cloud_vwap_v7,1780116300000000,3.473689655172415,1,0.58,eth-updown-5m-1780116000
cloud_vwap_v7,1780117200000000,2.1378768115942033,1,0.69,eth-updown-5m-1780116900
v6c3_v7,1780117200000000,2.1378768115942033,1,0.69,eth-updown-5m-1780116900
cloud_ribbon_v6,1780117200000000,2.1378768115942033,1,0.69,eth-updown-5m-1780116900
v8_grandparent,1780117200000000,2.1378768115942033,1,0.69,eth-updown-5m-1780116900
cloud_ribbon_v6,1780117500000000,1.8464444444444446,1,0.72,eth-updown-5m-1780117200
cloud_vwap_v7,1780117500000000,1.8464444444444446,1,0.72,eth-updown-5m-1780117200
v6c3_v7,1780117500000000,1.8464444444444446,1,0.72,eth-updown-5m-1780117200
cloud_vwap_v7,1780118400000000,-5.0,0,0.51,eth-updown-5m-1780118100
cloud_vwap_v7,1780118700000000,-5.0,0,0.52,eth-updown-5m-1780118400
v8_grandparent,1780118700000000,5.025581632653061,1,0.49,eth-updown-5m-1780118400
cloud_vwap_v7,1780119300000000,2.6865,1,0.64,eth-updown-5m-1780119000
cloud_vwap_v7,1780120500000000,-5.0,0,0.55,eth-updown-5m-1780120200
cloud_vwap_v7,1780120800000000,-5.0,0,0.68,eth-updown-5m-1780120500
