sid,asset,offset,fire_us,pnl,won,vwap,slug
poly_sniper_v5_sol_15m_v6_j_btceth_vollow_l_ethadx_v8,SOL,60,1780303500000000,-5.0,0,0.69,sol-updown-15m-1780302600
poly_sniper_v5_sol_15m_v7s5_plus_eth1h_adx_v8,SOL,60,1780303500000000,-5.0,0,0.69,sol-updown-15m-1780302600
poly_sniper_v5_sol_15m_v7_base_s5_slope_str_v8,SOL,60,1780303500000000,-5.0,0,0.69,sol-updown-15m-1780302600
poly_sniper_v5_sol_15m_btc_adx_btcvollow_v7,SOL,60,1780303500000000,-5.0,0,0.69,sol-updown-15m-1780302600
poly_sniper_v5_sol_15m_hod_eu_off60_240_rf_tr_vwap30_70_v6,SOL,60,1780303500000000,-5.0,0,0.69,sol-updown-15m-1780302600
poly_sniper_v5_eth_15m_trstack_vwap_offearly,ETH,30,1780303500000000,-5.0,0,0.62,eth-updown-15m-1780302600
poly_sniper_v5_sol_15m_btc_slope_pair_v7,SOL,60,1780303500000000,-5.0,0,0.69,sol-updown-15m-1780302600
poly_sniper_v5_eth_15m_trstack_vwap_offearly,ETH,60,1780303500000000,-5.0,0,0.72,eth-updown-15m-1780302600
poly_sniper_v5_sol_15m_hod_eu_tightrib_rf_tr_vwap80_v6,SOL,60,1780303500000000,-5.0,0,0.69,sol-updown-15m-1780302600
poly_sniper_v5_sol_15m_hod_eu_off60_240_rf_tr_vwap80_v6,SOL,60,1780303500000000,-5.0,0,0.69,sol-updown-15m-1780302600
poly_sniper_v5_btc_15m_vwapprem_ema50_mpskew_off600_v6,BTC,600,1780303500000000,0.19433333333333405,1,0.9599999999999999,btc-updown-15m-1780302600
poly_sniper_v5_btc_15m_vwapprem_ema50_mpskew_off600_v6,BTC,600,1780305300000000,0.19433333333333405,1,0.9599999999999999,btc-updown-15m-1780304400
poly_sniper_v5_btc_15m_regime_trstack_off480_up,BTC,480,1780305300000000,0.4067826086956525,1,0.9199999999999999,btc-updown-15m-1780304400
poly_sniper_v5_btc_15m_regime_trstack_off480_up,BTC,480,1780306200000000,1.33325641025641,1,0.78,btc-updown-15m-1780305300
poly_sniper_v5_btc_15m_vwapprem_ema50_mpskew_off600_v6,BTC,600,1780306200000000,1.8464444444444446,1,0.72,btc-updown-15m-1780305300
poly_sniper_v5_btc_15m_ts_trstack_off600_down,BTC,600,1780308000000000,1.5791666666666668,1,0.75,btc-updown-15m-1780307100
poly_sniper_v5_btc_15m_ema200_mpskew_rf_off600_down_v6,BTC,600,1780308000000000,1.5791666666666668,1,0.75,btc-updown-15m-1780307100
poly_sniper_v5_btc_15m_vwapprem_ema50_mpskew_off600_v6,BTC,600,1780308000000000,1.5791666666666668,1,0.75,btc-updown-15m-1780307100
poly_sniper_v5_btc_15m_mpskew_trstack_off600_down,BTC,600,1780308000000000,1.5791666666666668,1,0.75,btc-updown-15m-1780307100
poly_sniper_v5_btc_15m_ema50_ema800_off600_down,BTC,600,1780308000000000,1.5791666666666668,1,0.75,btc-updown-15m-1780307100
poly_sniper_v5_btc_15m_ema50_ema800_off600_down_H,BTC,600,1780308000000000,1.5791666666666668,1,0.75,btc-updown-15m-1780307100
poly_sniper_v5_sol_15m_hod_eu_tightrib_rf_tr_vwap80_v6,SOL,840,1780308000000000,0.5205555555555553,1,0.9,sol-updown-15m-1780307100
poly_sniper_v5_btc_15m_ema50_ema800_off600_down_H,BTC,600,1780308900000000,1.5791666666666668,1,0.75,btc-updown-15m-1780308000
poly_sniper_v5_btc_15m_ema50_ema800_off600_down,BTC,600,1780308900000000,1.5791666666666668,1,0.75,btc-updown-15m-1780308000
poly_sniper_v5_btc_15m_vwapprem_ema50_mpskew_off600_v6,BTC,600,1780308900000000,1.5791666666666668,1,0.75,btc-updown-15m-1780308000
poly_sniper_v5_btc_15m_ema200_mpskew_rf_off600_down_v6,BTC,600,1780308900000000,1.5791666666666668,1,0.75,btc-updown-15m-1780308000
poly_sniper_v5_btc_15m_ema200_mpskew_rf_off600_down_v6,BTC,600,1780309800000000,0.4630054945054944,1,0.91,btc-updown-15m-1780308900
