sid,fire_us,pnl,won,vwap,slug
poly_sniper_v5_eth_5m_ema200_vwap_regimerang_xa3_v7,1779992400000000,-5.0,0,0.77,eth-updown-5m-1779992100
poly_sniper_v5_eth_5m_ema200_vwap_regimerang_xa3_v7,1779992700000000,2.8777777777777778,1,0.63,eth-updown-5m-1779992400
poly_sniper_v5_eth_5m_ema200_vwap_regimerang_xa3_v7,1779993000000000,-5.0,0,0.57,eth-updown-5m-1779992700
poly_sniper_v5_eth_5m_ema200_vwap_regimerang_xa3_v7,1779994500000000,1.4636363636363636,1,0.77,eth-updown-5m-1779994200
poly_sniper_v5_eth_5m_ema200_vwap_regimerang_xa3_v7,1779998100000000,-5.0,0,0.52,eth-updown-5m-1779997800
poly_sniper_v5_eth_5m_ema200_vwap_regimerang_xa3_v7,1780003500000000,2.5242424242424235,1,0.66,eth-updown-5m-1780003200
poly_sniper_v5_eth_5m_ema200_vwap_regimerang_xa3_v7,1780003800000000,-5.0,0,0.53,eth-updown-5m-1780003500
poly_sniper_v5_eth_5m_ema200_vwap_regimerang_xa3_v7,1780008300000000,2.6865,1,0.64,eth-updown-5m-1780008000
poly_sniper_v5_eth_5m_ema200_vwap_regimerang_xa3_v7,1780009800000000,2.3471865671641785,1,0.67,eth-updown-5m-1780009500
poly_sniper_v5_eth_5m_ema200_vwap_regimerang_xa3_v7,1780010100000000,-5.0,0,0.43000000000000005,eth-updown-5m-1780009800
poly_sniper_v5_eth_5m_ema200_vwap_regimerang_xa3_v7,1780010400000000,-5.0,0,0.65,eth-updown-5m-1780010100
poly_sniper_v5_eth_5m_ema200_vwap_regimerang_xa3_v7,1780010700000000,1.6168321893930357,1,0.745615779218197,eth-updown-5m-1780010400
poly_sniper_v5_eth_5m_ema200_vwap_regimerang_xa3_v7,1780014300000000,-5.0,0,0.77,eth-updown-5m-1780014000
poly_sniper_v5_eth_5m_ema200_vwap_regimerang_xa3_v7,1780016400000000,-5.0,0,0.56,eth-updown-5m-1780016100
poly_sniper_v5_eth_5m_ema200_vwap_regimerang_xa3_v7,1780017600000000,-5.0,0,0.32,eth-updown-5m-1780017300
poly_sniper_v5_eth_5m_ema200_vwap_regimerang_xa3_v7,1780018500000000,1.8464444444444446,1,0.72,eth-updown-5m-1780018200
poly_sniper_v5_eth_5m_ema200_vwap_regimerang_xa3_v7,1780018800000000,-5.0,0,0.51,eth-updown-5m-1780018500
poly_sniper_v5_eth_5m_ema200_vwap_regimerang_xa3_v7,1780019100000000,-5.0,0,0.51,eth-updown-5m-1780018800
poly_sniper_v5_eth_5m_ema200_vwap_regimerang_xa3_v7,1780020600000000,2.456757575757575,1,0.66,eth-updown-5m-1780020300
poly_sniper_v5_eth_5m_ema200_vwap_regimerang_xa3_v7,1780020900000000,-4.999999999999999,0,0.61,eth-updown-5m-1780020600
poly_sniper_v5_eth_5m_ema200_vwap_regimerang_xa3_v7,1780023300000000,-4.999999999999999,0,0.5531191971869939,eth-updown-5m-1780023000
poly_sniper_v5_eth_5m_ema50_hurst_parent15mrang_v7_vL,1780026300000000,1.1063395061728392,1,0.81,eth-updown-5m-1780026000
poly_sniper_v5_eth_5m_ema50_hurst_parent15mrang_v7,1780026300000000,1.1063395061728392,1,0.81,eth-updown-5m-1780026000
poly_sniper_v5_eth_5m_ema200_vwap_regimerang_xa3_v7,1780026600000000,2.569807692307692,1,0.65,eth-updown-5m-1780026300
poly_sniper_v5_eth_5m_ema200_vwap_regimerang_xa3_v7,1780026900000000,-5.0,0,0.3952569169960474,eth-updown-5m-1780026600
