label,n_trades,sharpe,cagr,max_dd,calmar,win_rate,final_equity,buy_hold_x,final_eq_x,outperform,entry_signals_total,symbol,entry,exit,risk_filter
A6_3of3_composite__TP5_SL2_TR3p5_H72__R_3loss_pause,104,0.787,0.1669,-0.2437,0.685,0.433,15885.35,2.658448250870241,1.588535,0.5975421938267914,685,BTCUSDT,A6_3of3_composite,TP5_SL2_TR3p5_H72,R_3loss_pause
A6_3of3_composite__TP8_SL2_TR5_H96__R_none,101,0.407,0.0779,-0.4088,0.191,0.347,12522.89,2.658448250870241,1.252289,0.47106013802979396,875,BTCUSDT,A6_3of3_composite,TP8_SL2_TR5_H96,R_none
A6_3of3_composite__TP8_SL2_TR5_H96__R_3loss_pause,72,0.077,-0.0089,-0.3964,-0.023,0.333,9734.89,2.658448250870241,0.9734889999999999,0.3661869286646182,545,BTCUSDT,A6_3of3_composite,TP8_SL2_TR5_H96,R_3loss_pause
A6_3of3_composite__TP6_SL2p5_TR4_H48__R_none,117,0.243,0.0297,-0.3627,0.082,0.402,10917.38,2.658448250870241,1.0917379999999999,0.41066738825652155,875,BTCUSDT,A6_3of3_composite,TP6_SL2p5_TR4_H48,R_none
A6_3of3_composite__TP6_SL2p5_TR4_H48__R_3loss_pause,89,0.386,0.0577,-0.235,0.246,0.404,11833.11,2.658448250870241,1.183311,0.44511342269410137,666,BTCUSDT,A6_3of3_composite,TP6_SL2p5_TR4_H48,R_3loss_pause
A1_zlsr_only__TP5_SL2_TR3p5_H72__R_none,254,0.32,0.0522,-0.3708,0.141,0.374,11647.68,1.220223331780914,1.164768,0.954553129466901,1198,ETHUSDT,A1_zlsr_only,TP5_SL2_TR3p5_H72,R_none
A1_zlsr_only__TP5_SL2_TR3p5_H72__R_3loss_pause,205,0.25,0.0299,-0.3546,0.084,0.361,10923.42,1.220223331780914,1.092342,0.8951984211002822,931,ETHUSDT,A1_zlsr_only,TP5_SL2_TR3p5_H72,R_3loss_pause
A1_zlsr_only__TP8_SL2_TR5_H96__R_none,176,0.398,0.0817,-0.4016,0.203,0.369,12654.19,1.220223331780914,1.265419,1.0370388493990876,1198,ETHUSDT,A1_zlsr_only,TP8_SL2_TR5_H96,R_none
A1_zlsr_only__TP8_SL2_TR5_H96__R_3loss_pause,142,0.468,0.1043,-0.4167,0.25,0.345,13462.86,1.220223331780914,1.346286,1.1033111438994516,958,ETHUSDT,A1_zlsr_only,TP8_SL2_TR5_H96,R_3loss_pause
A1_zlsr_only__TP6_SL2p5_TR4_H48__R_none,217,0.6,0.1406,-0.2556,0.55,0.401,14833.8,1.220223331780914,1.48338,1.2156627081003355,1198,ETHUSDT,A1_zlsr_only,TP6_SL2p5_TR4_H48,R_none
A1_zlsr_only__TP6_SL2p5_TR4_H48__R_3loss_pause,181,0.517,0.1077,-0.3002,0.359,0.392,13587.38,1.220223331780914,1.358738,1.113515833217944,989,ETHUSDT,A1_zlsr_only,TP6_SL2p5_TR4_H48,R_3loss_pause
A2_top_lsr__TP5_SL2_TR3p5_H72__R_none,275,0.109,-0.0249,-0.4327,-0.058,0.378,9271.35,1.220223331780914,0.927135,0.7598076318101934,2007,ETHUSDT,A2_top_lsr,TP5_SL2_TR3p5_H72,R_none
A2_top_lsr__TP5_SL2_TR3p5_H72__R_3loss_pause,218,0.301,0.0462,-0.4432,0.104,0.372,11450.52,1.220223331780914,1.145052,0.9383954315385844,1523,ETHUSDT,A2_top_lsr,TP5_SL2_TR3p5_H72,R_3loss_pause
A2_top_lsr__TP8_SL2_TR5_H96__R_none,195,0.291,0.04,-0.5067,0.079,0.349,11249.25,1.220223331780914,1.124925,0.9219009100229003,2007,ETHUSDT,A2_top_lsr,TP8_SL2_TR5_H96,R_none
A2_top_lsr__TP8_SL2_TR5_H96__R_3loss_pause,146,0.414,0.086,-0.4877,0.176,0.329,12807.8,1.220223331780914,1.28078,1.049627528536685,1400,ETHUSDT,A2_top_lsr,TP8_SL2_TR5_H96,R_3loss_pause
A2_top_lsr__TP6_SL2p5_TR4_H48__R_none,236,0.249,0.03,-0.336,0.089,0.386,10928.05,1.220223331780914,1.092805,0.8955778598373897,2007,ETHUSDT,A2_top_lsr,TP6_SL2p5_TR4_H48,R_none
A2_top_lsr__TP6_SL2p5_TR4_H48__R_3loss_pause,181,0.377,0.0678,-0.3088,0.219,0.403,12171.97,1.220223331780914,1.2171969999999999,0.9975198541921854,1512,ETHUSDT,A2_top_lsr,TP6_SL2p5_TR4_H48,R_3loss_pause
A3_brigalS__TP5_SL2_TR3p5_H72__R_none,298,0.124,-0.021,-0.4317,-0.049,0.366,9382.46,1.220223331780914,0.9382459999999999,0.7689133419786618,2818,ETHUSDT,A3_brigalS,TP5_SL2_TR3p5_H72,R_none
A3_brigalS__TP5_SL2_TR3p5_H72__R_3loss_pause,234,0.228,0.0216,-0.4336,0.05,0.346,10661.89,1.220223331780914,1.0661889999999998,0.8737654593474284,2068,ETHUSDT,A3_brigalS,TP5_SL2_TR3p5_H72,R_3loss_pause
