msg_id,post_ts,slot_et,type,direction,btc_price,beat_strike,mv_from,mv_to,mv_delta,entry_cents,mult,ptb,ptb_up,ptb_dn,btc_dir_arrow,conf_dots,conf_label,rec_w,rec_l,rec_wr,streak,raw
7375,2026-05-18T09:55:15+00:00,,WATCHING,,,,,,,,,,0,0,,,,,,,,"👀 WATCHING |  | ┌─────────────────────────┐ | │  May 18  5:55-6:00 AM ET | ├─────────────────────────┤ | │  BTC       $76,876 | │  Market    Neutral  ➡️ | │  UP 50¢  /  DN 50¢ | │  Closes in 5 min | └─────────────────────────┘"
7376,2026-05-18T10:06:02+00:00,,SIGNAL,DOWN,,,,,,,1.89,"🟥🟥
├────────",0,2,DOWN,4,Medium,,,,1,"🔴 BUY DOWN BTC |  | ┌─────────────────────────┐ | │  May 18  6:05-6:10 AM ET | ├─────────────────────────┤ | │  BTC        $76,806 | │  Beat       $76,823 | │  BTC ▼ PTB  🟥🟥 | ├─────────────────────────┤ | │  Entry      53¢  (1.89x) | │  Confidence ●●●●○  Medium | │  Closes in  4 min | ├─────────────────────────┤ | │  Record     1W 0L  (100%)  🔥 1W streak | └─────────────────────────┘"
7377,2026-05-18T10:10:25+00:00,,SIGNAL,DOWN,,,,,,,2.13,"➡️
├────────",0,0,,5,Medium,,,,1,"🔴 BUY DOWN BTC |  | ┌─────────────────────────┐ | │  May 18  6:10-6:15 AM ET | ├─────────────────────────┤ | │  BTC        $76,801 | │  Beat       $76,801 | │  BTC ≈ PTB  ➡️ | ├─────────────────────────┤ | │  Entry      47¢  (2.13x) | │  Confidence ●●●●●  Medium | │  Closes in  5 min | ├─────────────────────────┤ | │  Record     1W 0L  (100%)  🔥 1W streak | └─────────────────────────┘"
7378,2026-05-18T10:10:37+00:00,,WIN,DOWN,,,,,,,,,0,0,,,,,,,,"✅ WIN  BUY DOWN |  | ┌─────────────────────────┐ | │  May 18  6:05-6:10 AM ET | ├─────────────────────────┤ | │  📉 $76,823 → $76,806  (-17) | │  Entry     53¢ | ├─────────────────────────┤ | │  Record    2W 0L  (100%)  🔥2W | └─────────────────────────┘"
7379,2026-05-18T10:15:08+00:00,,WATCHING,,,,,,,,,,0,0,,,,,,,,"👀 WATCHING |  | ┌─────────────────────────┐ | │  May 18  6:15-6:20 AM ET | ├─────────────────────────┤ | │  BTC       $76,727 | │  Market    Neutral  ➡️ | │  UP 50¢  /  DN 50¢ | │  Closes in 5 min | └─────────────────────────┘"
7380,2026-05-18T10:15:20+00:00,,SIGNAL,DOWN,,,,,,,1.85,"🟥🟥
├────────",0,2,DOWN,5,Medium,,,,2,"🔴 BUY DOWN BTC |  | ┌─────────────────────────┐ | │  May 18  6:15-6:20 AM ET | ├─────────────────────────┤ | │  BTC        $76,722 | │  Beat       $76,742 | │  BTC ▼ PTB  🟥🟥 | ├─────────────────────────┤ | │  Entry      54¢  (1.85x) | │  Confidence ●●●●●  Medium | │  Closes in  5 min | ├─────────────────────────┤ | │  Record     2W 0L  (100%)  🔥 2W streak | └─────────────────────────┘"
7381,2026-05-18T10:15:37+00:00,,WIN,DOWN,,,,,,,,,0,0,,,,,,,,"✅ WIN  BUY DOWN |  | ┌─────────────────────────┐ | │  May 18  6:10-6:15 AM ET | ├─────────────────────────┤ | │  📉 $76,801 → $76,722  (-80) | │  Entry     47¢ | ├─────────────────────────┤ | │  Record    3W 0L  (100%)  🔥3W | └─────────────────────────┘"
7382,2026-05-18T10:20:25+00:00,,SIGNAL,DOWN,,,,,,,2.17,"➡️
├────────",0,0,,5,High,,,,3,"🔴 BUY DOWN BTC |  | ┌─────────────────────────┐ | │  May 18  6:20-6:25 AM ET | ├─────────────────────────┤ | │  BTC        $76,717 | │  Beat       $76,717 | │  BTC ≈ PTB  ➡️ | ├─────────────────────────┤ | │  Entry      46¢  (2.17x) | │  Confidence ●●●●●  High | │  Closes in  5 min | ├─────────────────────────┤ | │  Record     3W 0L  (100%)  🔥 3W streak | └─────────────────────────┘"
7383,2026-05-18T10:20:38+00:00,,WIN,DOWN,,,,,,,,,0,0,,,,,,,,"✅ WIN  BUY DOWN |  | ┌─────────────────────────┐ | │  May 18  6:15-6:20 AM ET | ├─────────────────────────┤ | │  📉 $76,742 → $76,714  (-29) | │  Entry     54¢ | ├─────────────────────────┤ | │  Record    4W 0L  (100%)  🔥4W | └─────────────────────────┘"
7384,2026-05-18T10:25:09+00:00,,SIGNAL,DOWN,,,,,,,1.85,"➡️
├────────",0,0,,5,Medium,,,,4,"🔴 BUY DOWN BTC |  | ┌─────────────────────────┐ | │  May 18  6:25-6:30 AM ET | ├─────────────────────────┤ | │  BTC        $76,722 | │  Beat       $76,722 | │  BTC ≈ PTB  ➡️ | ├─────────────────────────┤ | │  Entry      54¢  (1.85x) | │  Confidence ●●●●●  Medium | │  Closes in  5 min | ├─────────────────────────┤ | │  Record     4W 0L  (100%)  🔥 4W streak | └─────────────────────────┘"
