label,indicator,offset_h,n_samples,mean,median,std
bear,brigalS,-1,1059,0.04779067644413324,0.1813923387420011,2.9391932611904084
bear,brigalS,0,1059,0.13140833279496839,0.381071358357994,2.943214409182834
bear,oilsr,-24,1059,0.11359003421521237,0.12760553623076376,2.0852548833097106
bear,oilsr,-12,1059,0.1285495255134743,0.051408598994393095,2.1550349640267665
bear,oilsr,-8,1059,0.07154945067385332,0.004810683158449569,2.136512157070583
bear,oilsr,-4,1059,0.1470831838391688,0.11812045478024125,2.2197210587125213
bear,oilsr,-2,1059,0.03932791243636434,-0.0008292575916098166,2.203466208209487
bear,oilsr,-1,1059,0.014002621909494676,-0.07243560803501325,2.1692920847809734
bear,oilsr,0,1059,-0.028507886501913864,-0.0940603312633197,2.186470385500062
bear,cross_institutional_lead,-24,1059,0.19289162766279214,-0.11203974224170332,3.246565393598182
bear,cross_institutional_lead,-12,1059,0.42409778964818073,-0.01640104768404166,3.202499652362227
bear,cross_institutional_lead,-8,1059,0.4835087217194738,-0.004997602851150099,3.206982034663501
bear,cross_institutional_lead,-4,1059,0.5390858099812075,0.07578766593961261,3.211166124814809
bear,cross_institutional_lead,-2,1059,0.5381472059893433,0.07578766593961261,3.1817669884374635
bear,cross_institutional_lead,-1,1059,0.5413139113714379,0.07578766593961261,3.1752642713296826
bear,cross_institutional_lead,0,1059,0.5369426051484577,0.08074821109581914,3.174134596789737
bear,cross_leverage_heat,-24,1019,inf,1.799161893249611,
bear,cross_leverage_heat,-12,1027,inf,1.7193264230202336,
bear,cross_leverage_heat,-8,1029,inf,1.0261715653036294,
bear,cross_leverage_heat,-4,1029,inf,0.6301363360250514,
bear,cross_leverage_heat,-2,1029,inf,0.7548304099092755,
bear,cross_leverage_heat,-1,1029,inf,0.7548304099092755,
bear,cross_leverage_heat,0,1029,inf,0.7548304099092755,
bear,cross_risk_off,-24,1059,0.03816318676160201,0.10832972731610357,0.590403036346222
bear,cross_risk_off,-12,1059,-0.0036320250756836773,0.10832972731610357,0.5689498454535041
bear,cross_risk_off,-8,1059,-0.01428544700873558,0.10854836926779354,0.5642952740511828
bear,cross_risk_off,-4,1059,-0.025517575249319538,0.10832972731610357,0.5624112792843509
bear,cross_risk_off,-2,1059,-0.02195638776173329,0.10131691129313336,0.5635699072824268
bear,cross_risk_off,-1,1059,-0.02157581959308812,0.10832972731610357,0.565125328934678
bear,cross_risk_off,0,1059,-0.019113939970819546,0.10832972731610357,0.5685187393181442
bear,cross_real_money,-24,1019,-inf,-3.881942904659894,
bear,cross_real_money,-12,1027,-inf,-3.5754387817293276,
bear,cross_real_money,-8,1029,-inf,-3.282005164231808,
bear,cross_real_money,-4,1029,-inf,-3.1467182410103423,
bear,cross_real_money,-2,1029,-inf,-3.045621017556088,
bear,cross_real_money,-1,1029,-inf,-3.045621017556088,
bear,cross_real_money,0,1029,-inf,-3.045621017556088,
bear,rsi_14,-24,1059,49.2971533169465,49.706945318786886,12.487705560964866
bear,rsi_14,-12,1059,51.33102991203745,51.987424372870805,11.804679737938457
bear,rsi_14,-8,1059,51.14639375032244,50.873424337316344,12.119607802857178
bear,rsi_14,-4,1059,51.207036081774035,51.07438772936099,12.098163636415618
bear,rsi_14,-2,1059,51.373746019188715,50.94063147664967,12.106690755359734
bear,rsi_14,-1,1059,51.37286416832037,50.954605924687286,12.085872048183735
bear,rsi_14,0,1059,51.29640505376714,50.75472624049008,12.224477448674087
bear,atr_pct,-24,1059,0.006424095257764444,0.005876228301150263,0.003237128771518954
bear,atr_pct,-12,1059,0.006558513634641611,0.006045303759759293,0.0032339482915970264
bear,atr_pct,-8,1059,0.006712429032738209,0.0062423335651670036,0.003227059948818169
bear,atr_pct,-4,1059,0.006553896877200817,0.005970529541903946,0.003263425965378645
bear,atr_pct,-2,1059,0.006550506694419018,0.0060170179964168236,0.003143462754050797
bear,atr_pct,-1,1059,0.006462001804579903,0.006006616372965137,0.0030243578338977352
bear,atr_pct,0,1059,0.0063751924951874345,0.005984439518870259,0.002984298509178562
