label,indicator,offset_h,n_samples,mean,median,std
bear,z_oi_silent,-12,1059,0.044046128746229325,-0.4082439761442192,1.1570674157364336
bear,z_oi_silent,-8,1058,0.03503063076422241,-0.4082439754495371,1.1518512088917414
bear,z_oi_silent,-4,1058,0.02724852108627305,-0.4082439754375922,1.1771550342672317
bear,z_oi_silent,-2,1058,0.04746967413892392,-0.4082439753410506,1.1924292514357242
bear,z_oi_silent,-1,1058,0.04429228292922627,-0.40824397537496493,1.1915394045705472
bear,z_oi_silent,0,1058,0.048449322115404765,-0.4082439755360341,1.1972755064781635
bear,z_cb_premium,-24,1059,-0.050008580601576556,-0.9475335506437333,1.0024552826057962
bear,z_cb_premium,-12,1059,0.013912784718693715,0.5795018705129308,1.004079949071917
bear,z_cb_premium,-8,1059,0.006691421833482917,0.37927118818688077,1.0058777696613057
bear,z_cb_premium,-4,1059,-0.00716593373809162,-0.31913186339187,1.004132352239075
bear,z_cb_premium,-2,1059,-0.026233884814413726,-0.7971811591165944,1.0057573820049421
bear,z_cb_premium,-1,1059,-0.0507586794488325,-0.9504163519844714,1.0045476118454806
bear,z_cb_premium,0,1059,-0.047692378925895555,-0.9460061271402732,1.0039402555399353
bear,z_dom_stables,-24,353,-0.05310865216433324,-0.22360679770429842,0.62785744141885
bear,z_dom_stables,-12,346,0.005734275428977671,0.22360679725959504,0.6292224372476078
bear,z_dom_stables,-8,379,0.007370135283105118,0.22360678783167723,0.6331422933558171
bear,z_dom_stables,-4,330,-0.005248638246411555,-0.22360674488801033,0.6273825108100197
bear,z_dom_stables,-2,382,-0.09178909771979907,-0.22360679773124498,0.6257593475930585
bear,z_dom_stables,-1,371,-0.05723835755664413,-0.22360679772052747,0.6215677046153623
bear,z_dom_stables,0,357,-0.04155753180955653,-0.2236067977139201,0.628754160654518
bear,z_top_lsr_count,-24,1059,0.07538201062353403,0.1999429057292039,1.4891532480273182
bear,z_top_lsr_count,-12,1058,0.03671415881693533,0.11868415220667017,1.4863512640303802
bear,z_top_lsr_count,-8,1058,0.03227290523357845,0.05256524967644173,1.480035105369854
bear,z_top_lsr_count,-4,1059,-0.04150573511782842,-0.1483522610393072,1.502221079998941
bear,z_top_lsr_count,-2,1059,0.012947681459715294,0.02183572663048786,1.509999366705355
bear,z_top_lsr_count,-1,1058,0.06562210508394148,0.20066383593267376,1.4996557318914654
bear,z_top_lsr_count,0,1059,0.08757780227257043,0.20862718712179723,1.5152578027823997
bear,z_top_lsr_sum,-24,1057,-0.07528367625398055,-0.16978462599409563,1.4331906733509958
bear,z_top_lsr_sum,-12,1057,-0.06255278809691762,-0.07903660095557614,1.403965848044957
bear,z_top_lsr_sum,-8,1057,-0.05416397025427841,-0.12567847920389522,1.419336230229257
bear,z_top_lsr_sum,-4,1057,-0.036346548804487885,-0.1017971093327917,1.4078955381016833
bear,z_top_lsr_sum,-2,1059,-0.01613237840169069,-0.008943404053772582,1.4130854023499495
bear,z_top_lsr_sum,-1,1058,-0.037272972271972106,-0.143445691546358,1.4147968205437291
bear,z_top_lsr_sum,0,1058,0.00800559311196809,-0.04964763100994237,1.410836855513454
bear,z_taker_ratio,-24,1059,0.02539624311123576,-0.1648929860140805,0.9930357301960252
bear,z_taker_ratio,-12,1059,-0.021451593880412494,-0.23050608159021965,1.0021975710015851
bear,z_taker_ratio,-8,1059,-0.0700255347242389,-0.29223511970056987,0.9582408169189317
bear,z_taker_ratio,-4,1059,-0.008313249079008636,-0.18997485875621048,0.9915344035438292
bear,z_taker_ratio,-2,1059,0.016244164062644714,-0.1699029390125061,1.0028602718334567
bear,z_taker_ratio,-1,1059,0.007363027147431173,-0.18546750740036952,0.9999440673461562
bear,z_taker_ratio,0,1059,0.020446374580858958,-0.16575524335060132,1.0066969247105266
bear,brigalS,-24,1059,0.03651449124176698,0.010310236877208612,2.877452314353896
bear,brigalS,-12,1059,0.016894953115128994,0.08538737896977372,2.9364736263766096
bear,brigalS,-8,1059,-0.003841882164717726,-0.014271438487284537,2.905079314676238
bear,brigalS,-4,1059,-0.12347978061232924,-0.24927078558336568,2.969232849230887
bear,brigalS,-2,1059,5.106719441664899e-05,0.05696338473283647,2.9733535600996035
