ts_utc,event_slug,city,kind,target_date,station,run_extreme,n_obs,bracket,lo,hi,unit,price,best_bid,best_ask,dead,flag
2026-07-28T13:28:34.260855+00:00,highest-temperature-in-tel-aviv-on-july-28-2026,tel-aviv,highest,2026-07-28,,,0,34°C,34,34,C,0.0005,,0.001,,
2026-07-28T13:28:34.260855+00:00,highest-temperature-in-tel-aviv-on-july-28-2026,tel-aviv,highest,2026-07-28,,,0,35°C,35,35,C,0.0005,,0.001,,
2026-07-28T13:28:34.260855+00:00,highest-temperature-in-tel-aviv-on-july-28-2026,tel-aviv,highest,2026-07-28,,,0,36°C,36,36,C,0.0005,,0.001,,
2026-07-28T13:28:34.260855+00:00,highest-temperature-in-tel-aviv-on-july-28-2026,tel-aviv,highest,2026-07-28,,,0,37°C or higher,37,,C,0.0005,,0.001,,
2026-07-28T13:28:34.260855+00:00,highest-temperature-in-tokyo-on-july-28-2026,tokyo,highest,2026-07-28,RJTT,31.0,45,24°C or below,,24,C,0.0005,,0.001,DEAD,
2026-07-28T13:28:34.260855+00:00,highest-temperature-in-tokyo-on-july-28-2026,tokyo,highest,2026-07-28,RJTT,31.0,45,25°C,25,25,C,0.0005,,0.001,DEAD,
2026-07-28T13:28:34.260855+00:00,highest-temperature-in-tokyo-on-july-28-2026,tokyo,highest,2026-07-28,RJTT,31.0,45,26°C,26,26,C,0.0005,,0.001,DEAD,
2026-07-28T13:28:34.260855+00:00,highest-temperature-in-tokyo-on-july-28-2026,tokyo,highest,2026-07-28,RJTT,31.0,45,27°C,27,27,C,0.0005,,0.001,DEAD,
2026-07-28T13:28:34.260855+00:00,highest-temperature-in-tokyo-on-july-28-2026,tokyo,highest,2026-07-28,RJTT,31.0,45,28°C,28,28,C,0.0005,,0.001,DEAD,
2026-07-28T13:28:34.260855+00:00,highest-temperature-in-tokyo-on-july-28-2026,tokyo,highest,2026-07-28,RJTT,31.0,45,29°C,29,29,C,0.0005,,0.001,DEAD,
2026-07-28T13:28:34.260855+00:00,highest-temperature-in-tokyo-on-july-28-2026,tokyo,highest,2026-07-28,RJTT,31.0,45,30°C,30,30,C,0.0005,,0.001,DEAD,
2026-07-28T13:28:34.260855+00:00,highest-temperature-in-tokyo-on-july-28-2026,tokyo,highest,2026-07-28,RJTT,31.0,45,31°C,31,31,C,0.9995,0.999,1,,
2026-07-28T13:28:34.260855+00:00,highest-temperature-in-tokyo-on-july-28-2026,tokyo,highest,2026-07-28,RJTT,31.0,45,32°C,32,32,C,0.0005,,0.001,,
2026-07-28T13:28:34.260855+00:00,highest-temperature-in-tokyo-on-july-28-2026,tokyo,highest,2026-07-28,RJTT,31.0,45,33°C,33,33,C,0.0005,,0.001,,
2026-07-28T13:28:34.260855+00:00,highest-temperature-in-tokyo-on-july-28-2026,tokyo,highest,2026-07-28,RJTT,31.0,45,34°C or higher,34,,C,0.0005,,0.001,,
2026-07-28T13:28:34.260855+00:00,highest-temperature-in-hong-kong-on-july-28-2026,hong-kong,highest,2026-07-28,HKO,27.0,1,24°C or below,,24,C,0.0005,,0.001,DEAD,
2026-07-28T13:28:34.260855+00:00,highest-temperature-in-hong-kong-on-july-28-2026,hong-kong,highest,2026-07-28,HKO,27.0,1,25°C,25,25,C,0.0005,,0.001,DEAD,
2026-07-28T13:28:34.260855+00:00,highest-temperature-in-hong-kong-on-july-28-2026,hong-kong,highest,2026-07-28,HKO,27.0,1,26°C,26,26,C,0.0005,,0.001,DEAD,
2026-07-28T13:28:34.260855+00:00,highest-temperature-in-hong-kong-on-july-28-2026,hong-kong,highest,2026-07-28,HKO,27.0,1,27°C,27,27,C,0.0005,,0.001,,
2026-07-28T13:28:34.260855+00:00,highest-temperature-in-hong-kong-on-july-28-2026,hong-kong,highest,2026-07-28,HKO,27.0,1,28°C,28,28,C,0.0005,,0.001,,
2026-07-28T13:28:34.260855+00:00,highest-temperature-in-hong-kong-on-july-28-2026,hong-kong,highest,2026-07-28,HKO,27.0,1,29°C,29,29,C,0.999,0.998,1,,
2026-07-28T13:28:34.260855+00:00,highest-temperature-in-hong-kong-on-july-28-2026,hong-kong,highest,2026-07-28,HKO,27.0,1,30°C,30,30,C,0.0005,,0.001,,
