sleeve_id,anchor,gate_stack,n_full,n_train,n_val,n_lockbox,wr_train,wr_val,wr_lockbox,dpt_25_train,dpt_25_val,dpt_25_lockbox,sum_25_full,sum_25_lockbox,max_dd_25_full,max_dd_25_lockbox,loss_streak_full,loss_streak_lockbox,sharpe_full,sharpe_lockbox,n_28d_proj,bootstrap_p_lockbox,objective,lottery_top5_share,lottery_n_deep,lottery_deep_share,pass,fail_reason
H_g_hurst_regime_with+g_ribbon_agrees+g_hurst_trending,hurst+strong+strong,g_hurst_regime_with+g_ribbon_agrees+g_hurst_trending,3725,2132,821,772,0.8949343339587242,0.8514007308160779,0.783678756476684,3.5366407712838566,0.5269367126601258,6.799157818397956,13221.683001274369,5248.9498358032215,675.0,405.24636067567917,27,14,12.034414673001011,23.261416063105113,4205.645161290322,0.0,188.91383833504665,0.45134257177246806,4.0,0.24475501735219196,False,n_28d_out_of_band
H_g_hurst_regime_with+g_queue_top_high+g_ribbon_agrees,hurst+strong+strong,g_hurst_regime_with+g_queue_top_high+g_ribbon_agrees,2091,1206,454,431,0.9162520729684909,0.9074889867841409,0.7935034802784223,3.184879722693893,1.4456149752449166,8.994561869962945,8373.930310284057,3876.6561659540293,530.5628068579063,530.5628068578981,13,8,10.031434690107726,19.419634219372483,2360.8064516129034,0.0,186.7319569148432,0.5414429628070911,4.0,0.37802179324005886,False,n_28d_out_of_band
H_g_hurst_regime_with+g_queue_top_high+g_tr_above_ema800,hurst+strong+strong,g_hurst_regime_with+g_queue_top_high+g_tr_above_ema800,2495,1410,539,546,0.9191489361702128,0.9016697588126159,0.7545787545787546,2.6282535216240572,0.8028512228700664,7.972649480785149,8491.640891125578,4353.066616508691,670.5898641904823,670.589864190473,13,9,8.236988557678286,15.1010622420898,2816.935483870968,0.0,186.2940533133873,0.6478888483558828,7.0,0.5019289807442651,False,n_28d_out_of_band
F_g_parent_15m_slope_with+g_queue_top_high+g_hurst_trending,parent_15m+r2,g_parent_15m_slope_with+g_queue_top_high+g_hurst_trending,3315,1896,650,769,0.8892405063291139,0.8876923076923077,0.7321196358907672,2.191869755417298,2.1515131283721685,6.538507517370677,10582.380870571156,5028.11228085805,555.3637568416439,518.6111396484719,14,14,9.049252989051201,15.18334992584657,3742.7419354838707,0.0,181.31836626931698,0.5652168756679304,7.0,0.36408743905675695,False,n_28d_out_of_band
F_g_parent_15m_regime_with+g_markov_with,parent_15m+strong,g_parent_15m_regime_with+g_markov_with,1447,754,208,485,0.7108753315649867,0.7644230769230769,0.8350515463917526,-0.7627557519125473,-0.42071544022233415,8.150147648978958,3290.194961246489,3952.8216097547947,2010.1095532053505,750.0,46,30,3.748711371977847,15.330441965235119,1633.7096774193546,0.0,179.48838332765789,0.3227923114894352,1.0,0.0379223450694057,False,dd_lockbox_high
F_g_parent_15m_not_ranging+g_markov_with,parent_15m+strong,g_parent_15m_not_ranging+g_markov_with,1601,770,344,487,0.7116883116883117,0.8255813953488372,0.8357289527720739,-0.7934414033569035,-0.10368859726619285,8.131374418534401,3313.3605837818673,3959.9793418262534,2002.9061557009031,750.0,46,30,3.785994313106238,15.375167123813998,1807.58064516129,0.0,179.4437926428515,0.32240464892420556,1.0,0.03787680162538346,False,dd_lockbox_high
F_g_parent_15m_not_ranging+g_mp_skew_with+g_hurst_trending,parent_15m+r2,g_parent_15m_not_ranging+g_mp_skew_with+g_hurst_trending,1013,504,151,358,0.8551587301587301,0.7152317880794702,0.8268156424581006,2.371951477297906,-0.6276323794942273,9.30573366720015,4432.14370811217,3331.4526528576534,630.8566116926067,450.0,21,18,7.067052279568578,19.429450559402422,1143.7096774193546,0.0,176.0727438088608,0.2890314934261606,1.0,0.04624544603327925,False,loss_streak_long
H_g_hurst_regime_with+g_tr_above_ema800,hurst+strong,g_hurst_regime_with+g_tr_above_ema800,4324,2406,959,959,0.8973399833748961,0.8519290928050052,0.7476538060479666,2.7449023993323274,0.05784255532910799,5.547900413088218,11980.142679505796,5320.436496151601,893.1118386936241,705.0544035844268,27,15,9.71689303573599,17.331831758989445,4881.935483870968,0.0,171.80585506556258,0.5470092918484952,8.0,0.3648182181641462,False,n_28d_out_of_band
H_g_hurst_regime_with+g_within_dev+g_tr_above_ema800,hurst+strong+strong,g_hurst_regime_with+g_within_dev+g_tr_above_ema800,4324,2406,959,959,0.8973399833748961,0.8519290928050052,0.7476538060479666,2.7449023993323274,0.05784255532910799,5.547900413088218,11980.142679505796,5320.436496151601,893.1118386936241,705.0544035844268,27,15,9.71689303573599,17.331831758989445,4881.935483870968,0.0,171.80585506556258,0.5470092918484952,8.0,0.3648182181641462,False,n_28d_out_of_band
H_g_hurst_regime_with+g_tr_above_ema800+g_hurst_trending,hurst+strong+strong,g_hurst_regime_with+g_tr_above_ema800+g_hurst_trending,4324,2406,959,959,0.8973399833748961,0.8519290928050052,0.7476538060479666,2.7449023993323274,0.05784255532910799,5.547900413088218,11980.142679505796,5320.436496151601,893.1118386936241,705.0544035844268,27,15,9.71689303573599,17.331831758989445,4881.935483870968,0.0,171.80585506556258,0.5470092918484952,8.0,0.3648182181641462,False,n_28d_out_of_band
