sleeve_id|pnl|roi|wr_pct|wins|n|stake|run|status
poly_sniper_v5_eth_5m_k_hurst_ts_cci_tod_euus_v8_vL|-13.00|-37.16|57|4|7|5|1d15h59m|idle
poly_sniper_v5_eth_5m_lq_ema50_hurst_grandparent_prev15m_v8_vL|0.92|9.19|50|1|2|5|1d15h59m|idle
poly_sniper_v5_eth_5m_ema50_hurst_parent15mrang_v7_vL|-49.63|-13.60|58|42|73|5|1d15h59m|idle
poly_sniper_v5_eth_5m_cloud_ribbon_mp_hurst_v6_vL|2.32|9.27|80|4|5|5|1h59m|idle
poly_sniper_v5_eth_5m_bb_mp_hurst_band_v6_vL|4.45|11.13|75|6|8|5|1h59m|idle
poly_sniper_v5_eth_5m_cloud_vwap_hurstmp_v7_vL|2.97|11.86|80|4|5|5|1h59m|idle
poly_sniper_v5_sol_15m_rfaged_trstack_late_vL|-5.00|-100.00|0|0|1|5|1d15h59m|idle
poly_sniper_v5_btc_5m_a2_hlcascade100k_v9|3.30|11.01|50|3|6|5|2h35m|idle
poly_sniper_v5_btc_5m_up_a2_hlcascade50k_v9|6.87|45.83|67|2|3|5|2h35m|idle
poly_sniper_v5_btc_5m_down_b2_contrarian2k_v9|-38.12|-26.29|34|10|29|5|3h35m|idle
poly_sniper_v5_btc_5m_up_b2_contrarian2k_v9|81.38|54.25|67|20|30|5|3h35m|idle
poly_sniper_v5_sol_5m_b1_polyflow_aligned_v9|22.50|74.99|83|5|6|5|3h35m|idle
poly_sniper_v5_sol_5m_down_b1_500_v9|23.11|154.04|100|3|3|5|3h35m|idle
poly_sniper_v5_sol_5m_down_b1_flow250_v9|-8.65|-7.87|41|9|22|5|3h35m|idle
poly_sniper_v5_sol_5m_b3_abs500_v9|19.75|7.60|50|26|52|5|3h35m|idle
poly_sniper_v5_sol_5m_b1_120s_250_v9|-2.48|-0.67|51|38|74|5|3h35m|idle
poly_sniper_v5_sol_5m_b3_abs500_no_opp_v9|43.17|18.77|54|25|46|5|3h35m|idle
poly_sniper_v5_btc_15m_ema50_ema800_off600_down_H|12.37|13.02|89|17|19|5|21h40m|idle
shadow_poly_updown_ALL_5m_phase1_kelly|1900|3.90|53|353|666|52.55|4d23h21m|live
shadow_poly_updown_ALL_5m_S3_prewindow|270.88|4.54|54|128|235|25|4d23h19m|idle
shadow_poly_updown_ALL_15m_S4_prewindow|198.24|46.31|76|13|17|25|4d23h10m|idle
shadow_poly_updown_btc_5m_fade_momo_v2|-482.48|-12.36|46|71|156|25|4d22h27m|idle
shadow_poly_updown_btc_5m_fade_sniper|-245.61|-6.13|49|78|160|25|4d22h28m|live
shadow_poly_updown_eth_15m_fade_sniper|80.90|3.35|55|52|95|25|4d22h23m|idle
shadow_poly_updown_sol_5m_fade_sniper|-468.14|-13.55|46|62|135|25|4d22h28m|idle
shadow_poly_updown_sol_5m_fade_momo_v2|-376.32|-11.32|47|61|130|25|4d22h27m|idle
shadow_poly_updown_sol_15m_fade_momo_v2|-340.22|-32.49|37|15|41|25|4d22h22m|idle
