sleeve_id,n,live_wr,live_pnl,live_pnl_per,first_fire,last_fire
poly_updown_sol_15m_volume_INV_NIGHT,74,48.65,-150.11,-2.0285,2026-05-27 03:30:31.613105+02,2026-05-29 13:15:24.258341+02
poly_sniper_v5_sol_5m_b1_120s_250_v9,74,51.35,-2.48,-0.0335,2026-05-29 15:41:00.832384+02,2026-05-29 19:06:07.856595+02
poly_sniper_v5_eth_5m_ema50_hurst_parent15mrang_v7_vL,73,57.53,-49.63,-0.6799,2026-05-28 15:16:03.140653+02,2026-05-29 19:06:07.645259+02
poly_updown_btc_5m_momo_v2_HOLD_f7,67,46.27,-141.09,-2.1059,2026-05-27 00:15:57.895455+02,2026-05-29 18:50:52.315944+02
poly_sniper_v5_eth_5m_ema50_hurst_parent15mrang_v7,62,56.45,-40.25,-0.6492,2026-05-28 15:16:03.046832+02,2026-05-29 19:06:07.361881+02
poly_updown_btc_5m_momo_HOLD_f7,61,50.82,12.94,0.2122,2026-05-27 01:10:41.25018+02,2026-05-29 19:10:50.448207+02
poly_updown_eth_5m_momo_HOLD_f7,60,45.00,-171.68,-2.8613,2026-05-27 01:10:38.771932+02,2026-05-29 18:20:40.70405+02
poly_updown_sol_5m_momo_HOLD_f7,57,52.63,38.56,0.6764,2026-05-27 01:10:39.746465+02,2026-05-29 19:10:15.905692+02
poly_updown_sol_5m_v3,55,56.36,104.68,1.9032,2026-05-27 00:06:00.157292+02,2026-05-29 17:45:54.978277+02
shadow_poly_updown_eth_15m_fade_sniper,54,53.70,9.99,0.1850,2026-05-27 05:30:56.925249+02,2026-05-29 18:45:22.630234+02
poly_sniper_v5_sol_5m_b3_abs500_v9,52,50.00,19.75,0.3798,2026-05-29 15:41:00.746096+02,2026-05-29 19:06:07.894493+02
poly_updown_sol_5m_momo_v2_HOLD_f7,50,52.00,8.94,0.1788,2026-05-27 00:15:39.929068+02,2026-05-29 18:51:27.117985+02
poly_updown_sol_5m_v3_3,48,52.08,7.49,0.1560,2026-05-27 00:05:59.681167+02,2026-05-29 17:45:49.619697+02
poly_sniper_v5_sol_5m_b3_abs500_no_opp_v9,46,54.35,43.17,0.9385,2026-05-29 15:41:00.667445+02,2026-05-29 19:06:07.69866+02
poly_updown_sol_5m_v3_1,42,52.38,-6.95,-0.1654,2026-05-27 00:05:59.106589+02,2026-05-29 17:45:43.422617+02
poly_updown_btc_5m_sniper_hod,41,39.02,-226.34,-5.5206,2026-05-27 03:30:35.823861+02,2026-05-29 17:05:59.11263+02
poly_updown_eth_5m_momo_v2_HOLD_f7,38,36.84,-265.50,-6.9869,2026-05-27 23:45:33.504885+02,2026-05-29 18:35:43.040371+02
poly_sniper_v5_btc_15m_ema50_ema800_off600_down,38,78.95,26.48,0.6967,2026-05-27 17:46:01.239673+02,2026-05-29 16:46:03.285156+02
poly_sniper_v5_eth_15m_trstack_vwap_offearly,38,42.11,-54.37,-1.4308,2026-05-27 18:16:00.945693+02,2026-05-29 17:31:05.365616+02
poly_updown_eth_5m_sniper_hod,35,48.57,-83.69,-2.3912,2026-05-27 02:30:15.664978+02,2026-05-29 18:05:25.00458+02
poly_updown_sol_5m_sniper_hod,35,60.00,59.92,1.7119,2026-05-27 12:45:27.900192+02,2026-05-29 18:05:25.440385+02
poly_updown_btc_5m_v3_1,34,55.88,35.99,1.0585,2026-05-27 01:15:26.289872+02,2026-05-29 18:45:24.301152+02
poly_sniper_v5_sol_5m_cci_f7_mfi_partial_vwap_v6,33,75.76,19.25,0.5834,2026-05-27 18:51:01.142322+02,2026-05-29 17:31:05.334839+02
poly_sniper_v5_btc_5m_up_b2_contrarian2k_v9,31,67.74,88.37,2.8506,2026-05-29 15:41:00.745514+02,2026-05-29 19:11:01.738006+02
poly_sniper_v5_btc_5m_down_b2_contrarian2k_v9,30,33.33,-43.12,-1.4375,2026-05-29 15:41:00.668241+02,2026-05-29 19:11:01.761796+02
shadow_poly_updown_sol_15m_fade_momo_v2,28,32.14,-292.88,-10.4599,2026-05-27 01:31:04.434767+02,2026-05-29 19:00:37.900218+02
poly_updown_btc_5m_v4,26,53.85,-29.19,-1.1226,2026-05-27 01:15:34.886759+02,2026-05-29 17:10:23.196832+02
poly_sniper_v5_btc_15m_ema800_ribslp_hawkes_off840_v6,23,43.48,-51.69,-2.2472,2026-05-27 16:46:00.50895+02,2026-05-29 17:46:02.396161+02
poly_sniper_v5_btc_5m_l_1hrf_imb5_rf_v8,22,86.36,6.55,0.2977,2026-05-29 14:16:02.326427+02,2026-05-29 19:11:02.106711+02
poly_sniper_v5_sol_5m_down_b1_flow250_v9,22,40.91,-8.65,-0.3933,2026-05-29 15:56:04.965145+02,2026-05-29 19:06:07.575951+02
poly_updown_eth_5m_v3,22,45.45,12.82,0.5827,2026-05-27 07:01:47.348091+02,2026-05-29 18:45:22.067712+02
poly_sniper_v5_sol_5m_rf_tr_pp_mid,22,77.27,9.71,0.4413,2026-05-28 02:11:02.556531+02,2026-05-29 14:16:02.454494+02
poly_updown_btc_15m_momo_HOLD_f7,21,61.90,116.45,5.5453,2026-05-27 01:30:56.936795+02,2026-05-29 16:00:52.573791+02
poly_sniper_v5_btc_5m_l_1hrf_imb5_ribbon_v8,21,85.71,4.20,0.2001,2026-05-29 14:16:02.383849+02,2026-05-29 19:11:01.726776+02
poly_updown_sol_15m_momo_HOLD_f7,19,52.63,11.47,0.6036,2026-05-27 01:30:22.612201+02,2026-05-29 18:00:30.627196+02
poly_sniper_v5_btc_15m_ema50_ema800_off600_down_H,19,89.47,12.37,0.6508,2026-05-28 21:46:02.792324+02,2026-05-29 16:46:03.176626+02
poly_updown_eth_15m_momo_HOLD_f7,19,57.89,74.51,3.9215,2026-05-27 01:30:21.634219+02,2026-05-29 18:00:32.968638+02
poly_updown_eth_15m_sniper_hod,18,38.89,-66.80,-3.7111,2026-05-27 08:45:28.896063+02,2026-05-29 18:45:26.594842+02
poly_updown_sol_5m_momo_v2_hod,17,35.29,-135.36,-7.9622,2026-05-27 00:15:45.075246+02,2026-05-29 16:35:17.326437+02
poly_updown_eth_5m_v3_3,16,37.50,-27.43,-1.7143,2026-05-27 07:01:52.069267+02,2026-05-29 17:45:53.33567+02
poly_updown_sol_15m_momo_v2_HOLD_f7,16,56.25,40.99,2.5619,2026-05-27 01:30:16.78145+02,2026-05-29 18:00:32.420246+02
poly_updown_eth_5m_v3_2,16,37.50,-27.43,-1.7143,2026-05-27 07:01:49.656927+02,2026-05-29 17:45:44.822001+02
poly_updown_eth_15m_momo_v2_HOLD_f7,14,71.43,142.64,10.1889,2026-05-27 01:30:56.085001+02,2026-05-29 18:00:31.190965+02
poly_sniper_v5_btc_5m_parent15m_notrang_ts_mpskew_v7,13,69.23,-12.66,-0.9740,2026-05-29 18:46:04.570054+02,2026-05-29 19:11:01.738482+02
poly_updown_eth_5m_v3_1,13,38.46,-17.70,-1.3619,2026-05-27 07:01:55.600957+02,2026-05-29 18:45:26.863616+02
poly_updown_btc_15m_sniper_hod,12,25.00,-83.47,-6.9562,2026-05-27 15:30:38.286586+02,2026-05-29 15:45:39.563954+02
poly_updown_eth_5m_v4,11,36.36,-14.66,-1.3331,2026-05-27 07:01:54.574814+02,2026-05-29 17:45:46.528935+02
shadow_poly_updown_ALL_15m_S4_prewindow,11,81.82,156.13,14.1941,2026-05-27 19:45:44.412991+02,2026-05-29 18:45:23.305235+02
poly_sniper_v5_eth_5m_bb_mp_hurst_band_v6_vL,9,77.78,7.78,0.8647,2026-05-29 17:56:05.781321+02,2026-05-29 19:11:01.649005+02
poly_updown_btc_5m_momo_v2_hod_mtf,9,44.44,-29.42,-3.2692,2026-05-27 00:15:47.607024+02,2026-05-29 18:45:26.162187+02
poly_sniper_v5_sol_15m_hod_eu_tightrib_rf_tr_vwap80_v6,9,44.44,-21.56,-2.3953,2026-05-28 12:01:00.62656+02,2026-05-29 13:31:02.600296+02
poly_updown_btc_15m_momo_v2_HOLD_f7,9,66.67,72.97,8.1083,2026-05-28 00:15:42.810983+02,2026-05-29 10:30:41.342146+02
poly_sniper_v5_eth_5m_bb_mp_hurst_band_v6,9,77.78,7.78,0.8647,2026-05-29 17:56:05.783591+02,2026-05-29 19:11:01.80185+02
poly_updown_btc_5m_momo_v2_HEDGE_f7,8,37.50,-25.10,-3.1377,2026-05-27 00:15:50.137327+02,2026-05-27 09:45:25.276615+02
poly_sniper_v5_eth_5m_l_ema50_hurst_grandparent_v8,8,75.00,6.57,0.8209,2026-05-29 17:56:05.897563+02,2026-05-29 19:11:01.6461+02
poly_updown_btc_5m_momo_v2_SELL_f7,8,50.00,-2.05,-0.2563,2026-05-27 00:15:41.775671+02,2026-05-27 09:41:11.175219+02
poly_updown_btc_15m_momo_v2_hod,8,50.00,-4.67,-0.5841,2026-05-27 00:45:20.412937+02,2026-05-28 16:46:43.956962+02
poly_sniper_v5_eth_5m_k_hurst_ts_cci_tod_euus_v8,7,57.14,-13.00,-1.8578,2026-05-29 10:21:01.512248+02,2026-05-29 19:06:07.64603+02
poly_updown_eth_5m_momo_HEDGE_f7,7,28.57,-79.64,-11.3767,2026-05-27 01:10:29.264735+02,2026-05-27 11:10:50.60644+02
poly_sniper_v5_eth_5m_k_hurst_ts_cci_tod_euus_v8_vL,7,57.14,-13.00,-1.8578,2026-05-29 10:21:01.857438+02,2026-05-29 19:06:07.869085+02
poly_updown_eth_5m_momo_SELL_f7,7,28.57,-79.64,-11.3767,2026-05-27 01:10:34.911089+02,2026-05-27 11:10:46.19628+02
poly_sniper_v5_sol_5m_b1_polyflow_aligned_v9,6,83.33,22.50,3.7493,2026-05-29 16:31:04.722336+02,2026-05-29 19:06:07.235343+02
poly_sniper_v5_btc_5m_a2_hlcascade100k_v9,6,50.00,3.30,0.5505,2026-05-29 17:16:02.767032+02,2026-05-29 17:41:05.219232+02
poly_updown_eth_15m_momo_v2_hod,6,83.33,99.86,16.6431,2026-05-27 01:30:59.358062+02,2026-05-29 18:00:34.786961+02
poly_sniper_v5_eth_5m_cloud_vwap_hurstmp_v7_vL,6,83.33,6.30,1.0495,2026-05-29 17:56:05.91589+02,2026-05-29 19:11:02.127447+02
poly_sniper_v5_eth_5m_cloud_vwap_hurstmp_v7,6,83.33,6.30,1.0495,2026-05-29 17:56:06.260408+02,2026-05-29 19:11:01.648026+02
poly_updown_sol_5m_momo_SELL_f7,5,20.00,-78.99,-15.7989,2026-05-27 01:10:36.510233+02,2026-05-27 11:10:52.364894+02
poly_updown_sol_5m_momo_v2_HEDGE_f7,5,60.00,20.51,4.1012,2026-05-27 00:15:56.186782+02,2026-05-27 06:55:25.592987+02
poly_updown_sol_5m_momo_HEDGE_f7,5,20.00,-78.99,-15.7989,2026-05-27 01:10:32.691547+02,2026-05-27 11:10:51.802861+02
poly_sniper_v5_eth_5m_cloud_ribbon_mp_hurst_v6_vL,5,80.00,2.32,0.4636,2026-05-29 18:16:05.524532+02,2026-05-29 18:51:01.252817+02
poly_updown_sol_5m_momo_v2_SELL_f7,5,60.00,20.51,4.1012,2026-05-27 00:15:37.063203+02,2026-05-27 06:55:28.885577+02
poly_updown_sol_15m_momo_v2_hod,5,40.00,-28.93,-5.7853,2026-05-27 01:30:19.522284+02,2026-05-28 19:15:27.862694+02
poly_sniper_v5_eth_5m_cloud_ribbon_mp_hurst_v6,4,75.00,1.55,0.3882,2026-05-29 18:16:04.679275+02,2026-05-29 18:46:05.28738+02
poly_updown_btc_5m_momo_HEDGE_f7,4,25.00,-51.84,-12.9595,2026-05-27 01:10:43.232636+02,2026-05-27 10:35:51.946304+02
poly_updown_btc_5m_momo_SELL_f7,4,25.00,-51.84,-12.9595,2026-05-27 01:10:31.409017+02,2026-05-27 10:35:53.925809+02
poly_updown_eth_15m_momo_HEDGE_f7,4,50.00,-4.02,-1.0051,2026-05-27 01:30:23.546298+02,2026-05-27 11:30:59.374194+02
poly_sniper_v5_btc_5m_ts_mpskew_any_off30,4,50.00,-3.89,-0.9717,2026-05-29 18:21:04.682755+02,2026-05-29 19:06:07.423792+02
poly_updown_eth_15m_momo_SELL_f7,4,50.00,2.49,0.6220,2026-05-27 01:31:01.640022+02,2026-05-27 11:30:23.691057+02
poly_sniper_v5_btc_5m_up_a2_hlcascade50k_v9,3,66.67,6.87,2.2914,2026-05-29 17:16:04.700084+02,2026-05-29 17:41:04.020985+02
poly_sniper_v5_sol_15m_hod_eu_off60_240_rf_tr_vwap80_v6,3,66.67,-3.01,-1.0025,2026-05-29 09:46:01.852219+02,2026-05-29 13:31:02.61133+02
poly_updown_sol_15m_momo_v2_SELL_f7,3,33.33,-28.71,-9.5688,2026-05-27 01:30:17.750918+02,2026-05-27 07:15:44.65082+02
poly_sniper_v5_sol_5m_depth_up_hod_session,3,33.33,-8.22,-2.7392,2026-05-27 20:16:06.134298+02,2026-05-28 20:21:00.445351+02
poly_updown_sol_15m_momo_v2_HEDGE_f7,3,33.33,-28.71,-9.5688,2026-05-27 01:31:01.120807+02,2026-05-27 07:15:47.984191+02
poly_updown_sol_15m_momo_SELL_f7,3,33.33,-28.83,-9.6084,2026-05-27 01:30:55.603505+02,2026-05-27 11:31:00.80597+02
poly_updown_eth_15m_momo_v2_SELL_f7,3,66.67,27.49,9.1627,2026-05-27 01:30:57.543064+02,2026-05-27 07:15:46.596198+02
poly_sniper_v5_eth_5m_lq_ema50_hurst_grandparent_prev15m_v8_vL,3,66.67,4.25,1.4166,2026-05-29 18:11:02.38881+02,2026-05-29 19:11:01.736894+02
poly_sniper_v5_sol_5m_down_b1_500_v9,3,100.00,23.11,7.7018,2026-05-29 16:31:04.693891+02,2026-05-29 19:06:07.48676+02
poly_updown_btc_15m_momo_hod,3,66.67,24.34,8.1118,2026-05-28 20:45:30.875182+02,2026-05-29 10:00:23.753032+02
poly_sniper_v5_btc_15m_ts_trstack_off600_down,3,100.00,1.12,0.3744,2026-05-29 05:01:03.307499+02,2026-05-29 12:16:02.815831+02
poly_updown_eth_15m_momo_v2_HEDGE_f7,3,66.67,20.98,6.9932,2026-05-27 01:30:15.680183+02,2026-05-27 07:15:49.771997+02
poly_sniper_v5_eth_5m_lq_ema50_hurst_grandparent_prev15m_v8,3,66.67,4.25,1.4166,2026-05-29 18:11:01.993934+02,2026-05-29 19:11:01.799472+02
poly_updown_sol_15m_momo_HEDGE_f7,3,33.33,-28.83,-9.6084,2026-05-27 01:30:20.404666+02,2026-05-27 11:30:59.932229+02
poly_sniper_v5_sol_15m_rfaged_trstack_late,2,50.00,-4.86,-2.4279,2026-05-27 19:16:02.036855+02,2026-05-28 13:16:03.317348+02
poly_sniper_v5_eth_5m_cloud_mp_sms_active_off120,2,50.00,-4.48,-2.2397,2026-05-29 18:01:03.209707+02,2026-05-29 18:26:05.972797+02
poly_sniper_v5_sol_15m_btc_adx_btcvollow_v7,2,100.00,1.99,0.9962,2026-05-29 09:46:01.858569+02,2026-05-29 10:16:00.56878+02
poly_updown_btc_15m_momo_SELL_f7,2,50.00,-1.84,-0.9189,2026-05-27 01:31:05.452428+02,2026-05-27 07:01:41.650161+02
poly_updown_btc_15m_momo_HEDGE_f7,2,50.00,-1.84,-0.9189,2026-05-27 01:30:59.732396+02,2026-05-27 07:01:50.076151+02
poly_sniper_v5_btc_15m_vwapprem_ema50_mpskew_off600_v6,1,100.00,1.11,1.1063,2026-05-29 18:16:05.473662+02,2026-05-29 18:16:05.473662+02
poly_sniper_v5_sol_15m_rfaged_trstack_late_vL,1,0.00,-5.00,-5.0000,2026-05-28 13:16:03.320242+02,2026-05-28 13:16:03.320242+02
poly_sniper_v5_eth_5m_v5repl_off120_v6,1,100.00,0.52,0.5206,2026-05-29 18:01:03.268169+02,2026-05-29 18:01:03.268169+02
poly_sniper_v5_sol_15m_hod_eu_off60_240_rf_tr_vwap30_70_v6,1,0.00,-5.00,-5.0000,2026-05-29 13:31:02.720245+02,2026-05-29 13:31:02.720245+02
poly_sniper_v5_eth_5m_tr200_mp_sms_active_off120,1,100.00,0.52,0.5206,2026-05-29 18:01:03.239249+02,2026-05-29 18:01:03.239249+02
