event_type,sleeve_id,asset,tf,direction,slug,fire_us,slot_start_us,fire_offset_s,fill_vwap,fill_shares,placed_size_usd,intended_size_usd,outcome,pnl_usd,book_source,exit_type,won,up_vwap,dn_vwap
sleeve_fire_placed,poly_sniper_v5_eth_5m_ema50_hurst_parent15mrang_v7,ETH,5m,DOWN,eth-updown-5m-1780053900,1780053960000000,1780053900000000,60,0.71,7.042253521126761,5.0,5.0,,,ws_mirror,,,0.4242385861317522,0.8556363852563376
sleeve_fire_placed,poly_sniper_v5_eth_5m_ema50_hurst_parent15mrang_v7_vL,ETH,5m,DOWN,eth-updown-5m-1780053900,1780053960000000,1780053900000000,60,0.71,7.042253521126761,5.0,5.0,,,ws_mirror,,,0.4242385861317522,0.8556363852563376
sleeve_fire_resolved,poly_sniper_v5_eth_5m_ema50_hurst_parent15mrang_v7_vL,ETH,5m,UP,eth-updown-5m-1780053600,1780053900000000,1780053600000000,60,0.62,8.064516129032258,5.0,5.0,Down,-5.0,ws_mirror,hold_to_resolve,False,0.7685922979591591,0.5009307839596926
sleeve_fire_resolved,poly_sniper_v5_eth_5m_ema50_hurst_parent15mrang_v7,ETH,5m,UP,eth-updown-5m-1780053600,1780053900000000,1780053600000000,60,0.62,8.064516129032258,5.0,5.0,Down,-5.0,ws_mirror,hold_to_resolve,False,0.7685922979591591,0.5009307839596926
sleeve_fire_placed,poly_sniper_v5_eth_5m_ema50_hurst_parent15mrang_v7_vL,ETH,5m,DOWN,eth-updown-5m-1780054200,1780054260000000,1780054200000000,60,0.85,5.882352941176471,5.0,5.0,,,ws_mirror,,,0.26813558007291566,0.9791699300898968
sleeve_fire_placed,poly_sniper_v5_eth_5m_ema50_hurst_parent15mrang_v7,ETH,5m,DOWN,eth-updown-5m-1780054200,1780054260000000,1780054200000000,60,0.85,5.882352941176471,5.0,5.0,,,ws_mirror,,,0.26813558007291566,0.9791699300898968
sleeve_fire_resolved,poly_sniper_v5_eth_5m_ema50_hurst_parent15mrang_v7_vL,ETH,5m,DOWN,eth-updown-5m-1780053900,1780054200000000,1780053900000000,60,0.71,7.042253521126761,5.0,5.0,Down,1.940753521126761,ws_mirror,hold_to_resolve,True,0.4242385861317522,0.8556363852563376
sleeve_fire_resolved,poly_sniper_v5_eth_5m_ema50_hurst_parent15mrang_v7,ETH,5m,DOWN,eth-updown-5m-1780053900,1780054200000000,1780053900000000,60,0.71,7.042253521126761,5.0,5.0,Down,1.940753521126761,ws_mirror,hold_to_resolve,True,0.4242385861317522,0.8556363852563376
sleeve_fire_resolved,poly_sniper_v5_eth_5m_ema50_hurst_parent15mrang_v7_vL,ETH,5m,DOWN,eth-updown-5m-1780054200,1780054500000000,1780054200000000,60,0.85,5.882352941176471,5.0,5.0,Up,-5.0,ws_mirror,hold_to_resolve,False,0.26813558007291566,0.9791699300898968
sleeve_fire_resolved,poly_sniper_v5_eth_5m_ema50_hurst_parent15mrang_v7,ETH,5m,DOWN,eth-updown-5m-1780054200,1780054500000000,1780054200000000,60,0.85,5.882352941176471,5.0,5.0,Up,-5.0,ws_mirror,hold_to_resolve,False,0.26813558007291566,0.9791699300898968
sleeve_fire_placed,poly_sniper_v5_eth_5m_ema50_hurst_parent15mrang_v7,ETH,5m,UP,eth-updown-5m-1780054800,1780054860000000,1780054800000000,60,0.45999999999999996,10.869565217391305,5.0,5.0,,,ws_mirror,,,0.575951920647932,0.6507817877904583
