event_type,sleeve_id,asset,tf,direction,slug,fire_us,slot_start_us,fire_offset_s,fill_vwap,fill_shares,placed_size_usd,intended_size_usd,outcome,pnl_usd,book_source,exit_type,won,up_vwap,dn_vwap
sleeve_fire_resolved,poly_sniper_v5_btc_5m_up_b2_contrarian2k_v9,BTC,5m,UP,btc-updown-5m-1780066500,1780066800000000,1780066500000000,30,0.64,7.8125,5.0,5.0,Up,2.6865,ws_mirror,hold_to_resolve,True,0.7614097716179973,0.5125669653748597
sleeve_fire_placed,poly_sniper_v5_btc_5m_up_b2_contrarian2k_v9,BTC,5m,UP,btc-updown-5m-1780067100,1780067130000000,1780067100000000,30,0.58,8.620689655172415,5.0,5.0,,,ws_mirror,,,0.7377019199288737,0.5494315388227495
sleeve_fire_placed,poly_sniper_v5_btc_5m_down_b2_contrarian2k_v9,BTC,5m,DOWN,btc-updown-5m-1780067100,1780067130000000,1780067100000000,30,0.43000000000000005,11.627906976744185,5.0,5.0,,,ws_mirror,,,0.7377019199288737,0.5494315388227495
sleeve_fire_placed,poly_sniper_v5_btc_5m_up_a2_hlcascade50k_v9,BTC,5m,UP,btc-updown-5m-1780067100,1780067130000000,1780067100000000,30,0.58,8.620689655172415,5.0,5.0,,,ws_mirror,,,0.7377019199288737,0.5494315388227495
sleeve_fire_placed,poly_sniper_v5_btc_5m_a2_hlcascade100k_v9,BTC,5m,UP,btc-updown-5m-1780067100,1780067130000000,1780067100000000,30,0.58,8.620689655172415,5.0,5.0,,,ws_mirror,,,0.7377019199288737,0.5494315388227495
sleeve_fire_placed,poly_sniper_v5_btc_5m_a2_hlcascade100k_v9,BTC,5m,DOWN,btc-updown-5m-1780067100,1780067130000000,1780067100000000,30,0.43000000000000005,11.627906976744185,5.0,5.0,,,ws_mirror,,,0.7377019199288737,0.5494315388227495
sleeve_fire_resolved,poly_sniper_v5_btc_5m_down_b2_contrarian2k_v9,BTC,5m,DOWN,btc-updown-5m-1780066800,1780067100000000,1780066800000000,30,0.4799999999999999,10.416666666666668,5.0,5.0,Up,-5.0,ws_mirror,hold_to_resolve,False,0.6513726679120347,0.5987722261945405
sleeve_fire_resolved,poly_sniper_v5_btc_5m_up_b2_contrarian2k_v9,BTC,5m,UP,btc-updown-5m-1780066800,1780067100000000,1780066800000000,30,0.53,9.433962264150942,5.0,5.0,Up,4.269462264150942,ws_mirror,hold_to_resolve,True,0.6513726679120347,0.5987722261945405
sleeve_fire_placed,poly_sniper_v5_btc_5m_down_b2_contrarian2k_v9,BTC,5m,DOWN,btc-updown-5m-1780067400,1780067430000000,1780067400000000,30,0.45999999999999996,10.869565217391305,5.0,5.0,,,ws_mirror,,,0.6797524487896218,0.5967594470247798
sleeve_fire_placed,poly_sniper_v5_btc_5m_up_a2_hlcascade50k_v9,BTC,5m,UP,btc-updown-5m-1780067400,1780067430000000,1780067400000000,30,0.55,9.09090909090909,5.0,5.0,,,ws_mirror,,,0.6797524487896218,0.5967594470247798
sleeve_fire_placed,poly_sniper_v5_btc_5m_a2_hlcascade100k_v9,BTC,5m,UP,btc-updown-5m-1780067400,1780067430000000,1780067400000000,30,0.55,9.09090909090909,5.0,5.0,,,ws_mirror,,,0.6797524487896218,0.5967594470247798
sleeve_fire_placed,poly_sniper_v5_btc_5m_a2_hlcascade100k_v9,BTC,5m,DOWN,btc-updown-5m-1780067400,1780067430000000,1780067400000000,30,0.45999999999999996,10.869565217391305,5.0,5.0,,,ws_mirror,,,0.6797524487896218,0.5967594470247798
sleeve_fire_placed,poly_sniper_v5_btc_5m_up_b2_contrarian2k_v9,BTC,5m,UP,btc-updown-5m-1780067400,1780067430000000,1780067400000000,30,0.55,9.09090909090909,5.0,5.0,,,ws_mirror,,,0.6797524487896218,0.5967594470247798
sleeve_fire_placed,poly_sniper_v5_btc_5m_a2_hlcascade100k_v9,BTC,5m,UP,btc-updown-5m-1780067700,1780067730000000,1780067700000000,30,0.58,8.620689655172415,5.0,5.0,,,ws_mirror,,,0.7172115910901123,0.5695150026939574
sleeve_fire_placed,poly_sniper_v5_btc_5m_a2_hlcascade100k_v9,BTC,5m,DOWN,btc-updown-5m-1780067700,1780067730000000,1780067700000000,30,0.43000000000000005,11.627906976744185,5.0,5.0,,,ws_mirror,,,0.7172115910901123,0.5695150026939574
sleeve_fire_placed,poly_sniper_v5_btc_5m_up_b2_contrarian2k_v9,BTC,5m,UP,btc-updown-5m-1780067700,1780067730000000,1780067700000000,30,0.58,8.620689655172415,5.0,5.0,,,ws_mirror,,,0.7172115910901123,0.5695150026939574
sleeve_fire_placed,poly_sniper_v5_btc_5m_up_a2_hlcascade50k_v9,BTC,5m,UP,btc-updown-5m-1780067700,1780067730000000,1780067700000000,30,0.58,8.620689655172415,5.0,5.0,,,ws_mirror,,,0.7172115910901123,0.5695150026939574
sleeve_fire_placed,poly_sniper_v5_btc_5m_down_b2_contrarian2k_v9,BTC,5m,DOWN,btc-updown-5m-1780067700,1780067730000000,1780067700000000,30,0.43000000000000005,11.627906976744185,5.0,5.0,,,ws_mirror,,,0.7172115910901123,0.5695150026939574
sleeve_fire_resolved,poly_sniper_v5_btc_5m_up_a2_hlcascade50k_v9,BTC,5m,UP,btc-updown-5m-1780067400,1780067700000000,1780067400000000,30,0.55,9.09090909090909,5.0,5.0,Up,3.93340909090909,ws_mirror,hold_to_resolve,True,0.6797524487896218,0.5967594470247798
sleeve_fire_resolved,poly_sniper_v5_btc_5m_up_b2_contrarian2k_v9,BTC,5m,UP,btc-updown-5m-1780067400,1780067700000000,1780067400000000,30,0.55,9.09090909090909,5.0,5.0,Up,3.93340909090909,ws_mirror,hold_to_resolve,True,0.6797524487896218,0.5967594470247798
sleeve_fire_resolved,poly_sniper_v5_btc_5m_down_b2_contrarian2k_v9,BTC,5m,DOWN,btc-updown-5m-1780067400,1780067700000000,1780067400000000,30,0.45999999999999996,10.869565217391305,5.0,5.0,Up,-5.0,ws_mirror,hold_to_resolve,False,0.6797524487896218,0.5967594470247798
sleeve_fire_resolved,poly_sniper_v5_btc_5m_a2_hlcascade100k_v9,BTC,5m,UP,btc-updown-5m-1780067400,1780067700000000,1780067400000000,30,0.55,9.09090909090909,5.0,5.0,Up,3.93340909090909,ws_mirror,hold_to_resolve,True,0.6797524487896218,0.5967594470247798
sleeve_fire_resolved,poly_sniper_v5_btc_5m_a2_hlcascade100k_v9,BTC,5m,DOWN,btc-updown-5m-1780067400,1780067700000000,1780067400000000,30,0.45999999999999996,10.869565217391305,5.0,5.0,Up,-5.0,ws_mirror,hold_to_resolve,False,0.6797524487896218,0.5967594470247798
