sleeve,family,arm,coin,entry_ts,exit_ts,direction,entry_price,exit_price,bars_held,reason,ret_pct,paper_pnl_usd,status
VP_SUI,VP,OBSERVE,SUI,2026-05-03T04:00:00+00:00,2026-05-06T08:00:00+00:00,LONG,0.916535,1.019952,19,TP,14.828,37.07,CLOSED
VP_BTC,VP,OBSERVE,BTC,2026-05-03T12:00:00+00:00,2026-05-04T00:00:00+00:00,SHORT,78594.4146,79861.89124,3,SL,-3.229,-8.07,CLOSED
STF_ADA,STF,DEPLOY,ADA,2026-05-04T04:00:00+00:00,2026-05-04T08:00:00+00:00,LONG,0.253766,0.248067,1,SL,-3.16,-7.9,CLOSED
STF_ETH,STF,DEPLOY,ETH,2026-05-04T04:00:00+00:00,2026-05-04T08:00:00+00:00,LONG,2384.61517,2328.697157,1,SL,-3.153,-7.88,CLOSED
STF_LINK,STF,DEPLOY,LINK,2026-05-04T04:00:00+00:00,2026-05-08T16:00:00+00:00,LONG,9.352505,10.369208,27,TP,14.854,37.13,CLOSED
STF_XRP,STF,DEPLOY,XRP,2026-05-04T04:00:00+00:00,2026-05-04T08:00:00+00:00,LONG,1.412924,1.386959,1,SL,-3.197,-7.99,CLOSED
VP_DOGE,VP,OBSERVE,DOGE,2026-05-04T16:00:00+00:00,2026-05-05T16:00:00+00:00,SHORT,0.110187,0.114582,6,SL,-3.092,-7.73,CLOSED
VP_LINK,VP,OBSERVE,LINK,2026-05-05T00:00:00+00:00,2026-05-05T04:00:00+00:00,SHORT,9.354493,9.615274,1,SL,-3.132,-7.83,CLOSED
STF_AVAX,STF,DEPLOY,AVAX,2026-05-05T08:00:00+00:00,2026-05-15T08:00:00+00:00,LONG,9.348804,9.774,60,TIME,4.354,10.89,CLOSED
STF_SUI,STF,DEPLOY,SUI,2026-05-05T08:00:00+00:00,2026-05-09T00:00:00+00:00,LONG,0.945634,1.082697,22,TP,14.866,37.17,CLOSED
VP_BNB,VP,OBSERVE,BNB,2026-05-05T12:00:00+00:00,2026-05-06T04:00:00+00:00,SHORT,628.571372,638.699555,4,SL,-3.228,-8.07,CLOSED
STF_SOL,STF,DEPLOY,SOL,2026-05-05T20:00:00+00:00,2026-05-10T16:00:00+00:00,LONG,86.507945,96.433719,29,TP,14.85,37.12,CLOSED
VP_DOGE,VP,OBSERVE,DOGE,2026-05-06T16:00:00+00:00,2026-05-14T00:00:00+00:00,SHORT,0.113016,0.115109,44,SL,-1.462,-3.65,CLOSED
STF_XRP,STF,DEPLOY,XRP,2026-05-07T16:00:00+00:00,2026-05-08T16:00:00+00:00,SHORT,1.389583,1.425857,6,SL,-3.142,-7.85,CLOSED
VP_AVAX,VP,OBSERVE,AVAX,2026-05-07T16:00:00+00:00,2026-05-08T12:00:00+00:00,SHORT,9.412975,9.756747,5,SL,-3.101,-7.75,CLOSED
VP_BTC,VP,OBSERVE,BTC,2026-05-07T16:00:00+00:00,2026-05-10T20:00:00+00:00,SHORT,79844.0396,81767.955476,19,SL,-3.152,-7.88,CLOSED
VP_ADA,VP,OBSERVE,ADA,2026-05-08T00:00:00+00:00,2026-05-08T16:00:00+00:00,SHORT,0.262531,0.271768,4,SL,-3.105,-7.76,CLOSED
VP_ETH,VP,OBSERVE,ETH,2026-05-08T04:00:00+00:00,2026-05-15T12:00:00+00:00,LONG,2278.6834,2227.879639,44,SL,-2.408,-6.02,CLOSED
STF_XRP,STF,DEPLOY,XRP,2026-05-10T16:00:00+00:00,2026-05-13T12:00:00+00:00,LONG,1.444733,1.415191,17,SL,-3.18,-7.95,CLOSED
STF_DOGE,STF,DEPLOY,DOGE,2026-05-11T00:00:00+00:00,2026-05-11T00:00:00+00:00,LONG,0.112474,0.108455,0,SL,-3.099,-7.75,CLOSED
