run_ts,status,eval_bar_ts,btc_above_100dma,btc_50dma_rising,breadth,target_basket
2026-08-10T20:05:41.097260+00:00,FLAT,2026-08-10T20:00:00+00:00,False,True,4/9,FLAT
2026-08-10T21:05:18.752596+00:00,FLAT,2026-08-10T20:00:00+00:00,False,True,4/9,FLAT
2026-08-10T22:05:20.588750+00:00,FLAT,2026-08-10T20:00:00+00:00,False,True,4/9,FLAT
2026-08-10T23:05:20.478452+00:00,FLAT,2026-08-10T20:00:00+00:00,False,True,4/9,FLAT
2026-08-11T00:05:30.366982+00:00,FLAT,2026-08-11T00:00:00+00:00,False,True,4/9,FLAT
2026-08-11T02:05:32.485301+00:00,FLAT,2026-08-11T00:00:00+00:00,False,True,4/9,FLAT
2026-08-11T03:05:26.775089+00:00,FLAT,2026-08-11T00:00:00+00:00,False,True,4/9,FLAT
2026-08-11T04:05:26.242455+00:00,FLAT,2026-08-11T04:00:00+00:00,False,True,4/9,FLAT
2026-08-11T05:05:20.410073+00:00,FLAT,2026-08-11T04:00:00+00:00,False,True,4/9,FLAT
2026-08-11T06:05:20.532381+00:00,FLAT,2026-08-11T04:00:00+00:00,False,True,4/9,FLAT
2026-08-11T07:05:17.795668+00:00,FLAT,2026-08-11T04:00:00+00:00,False,True,4/9,FLAT
2026-08-11T08:05:34.668625+00:00,FLAT,2026-08-11T08:00:00+00:00,False,True,4/9,FLAT
2026-08-11T09:05:26.288345+00:00,FLAT,2026-08-11T08:00:00+00:00,False,True,4/9,FLAT
2026-08-11T10:05:17.880737+00:00,FLAT,2026-08-11T08:00:00+00:00,False,True,4/9,FLAT
2026-08-11T11:05:20.578192+00:00,FLAT,2026-08-11T08:00:00+00:00,False,True,4/9,FLAT
2026-08-11T12:05:25.954176+00:00,FLAT,2026-08-11T12:00:00+00:00,False,True,4/9,FLAT
2026-08-11T13:05:20.509359+00:00,FLAT,2026-08-11T12:00:00+00:00,False,True,4/9,FLAT
2026-08-11T14:05:21.709537+00:00,FLAT,2026-08-11T12:00:00+00:00,False,True,4/9,FLAT
2026-08-11T15:05:29.956192+00:00,FLAT,2026-08-11T12:00:00+00:00,False,True,4/9,FLAT
2026-08-11T16:05:42.083589+00:00,FLAT,2026-08-11T16:00:00+00:00,False,True,3/9,FLAT
2026-08-11T17:05:19.155105+00:00,FLAT,2026-08-11T16:00:00+00:00,False,True,3/9,FLAT
2026-08-11T18:05:32.501434+00:00,FLAT,2026-08-11T16:00:00+00:00,False,True,3/9,FLAT
2026-08-11T19:05:32.968928+00:00,FLAT,2026-08-11T16:00:00+00:00,False,True,3/9,FLAT
2026-08-11T20:05:27.691050+00:00,FLAT,2026-08-11T20:00:00+00:00,False,True,4/9,FLAT
2026-08-11T21:05:21.295787+00:00,FLAT,2026-08-11T20:00:00+00:00,False,True,4/9,FLAT
2026-08-11T22:05:23.725162+00:00,FLAT,2026-08-11T20:00:00+00:00,False,True,4/9,FLAT
2026-08-11T23:05:21.812596+00:00,FLAT,2026-08-11T20:00:00+00:00,False,True,4/9,FLAT
2026-08-12T00:05:29.131471+00:00,FLAT,2026-08-12T00:00:00+00:00,False,True,4/9,FLAT
2026-08-12T01:05:21.024182+00:00,FLAT,2026-08-12T00:00:00+00:00,False,True,4/9,FLAT
2026-08-12T02:05:29.172517+00:00,FLAT,2026-08-12T00:00:00+00:00,False,True,4/9,FLAT
2026-08-12T03:05:34.145953+00:00,FLAT,2026-08-12T00:00:00+00:00,False,True,4/9,FLAT
2026-08-12T04:05:35.346198+00:00,FLAT,2026-08-12T04:00:00+00:00,False,True,4/9,FLAT
2026-08-12T05:05:18.347914+00:00,FLAT,2026-08-12T04:00:00+00:00,False,True,4/9,FLAT
2026-08-12T16:05:40.774835+00:00,FLAT,2026-08-12T16:00:00+00:00,False,True,4/9,FLAT
2026-08-12T17:05:26.747632+00:00,FLAT,2026-08-12T16:00:00+00:00,False,True,4/9,FLAT
2026-08-12T18:05:29.586509+00:00,FLAT,2026-08-12T16:00:00+00:00,False,True,4/9,FLAT
2026-08-12T19:05:35.367408+00:00,FLAT,2026-08-12T16:00:00+00:00,False,True,4/9,FLAT
2026-08-12T20:05:53.450812+00:00,FLAT,2026-08-12T20:00:00+00:00,False,True,4/9,FLAT
2026-08-12T21:05:31.411900+00:00,FLAT,2026-08-12T20:00:00+00:00,False,True,4/9,FLAT
2026-08-12T22:05:30.745742+00:00,FLAT,2026-08-12T20:00:00+00:00,False,True,4/9,FLAT
2026-08-12T23:05:28.781307+00:00,FLAT,2026-08-12T20:00:00+00:00,False,True,4/9,FLAT
2026-08-13T01:05:26.411179+00:00,FLAT,2026-08-13T00:00:00+00:00,False,True,3/9,FLAT
2026-08-13T02:05:25.169413+00:00,FLAT,2026-08-13T00:00:00+00:00,False,True,3/9,FLAT
2026-08-13T03:05:31.082218+00:00,FLAT,2026-08-13T00:00:00+00:00,False,True,3/9,FLAT
2026-08-13T04:05:37.848494+00:00,FLAT,2026-08-13T04:00:00+00:00,False,True,4/9,FLAT
2026-08-13T05:05:32.061962+00:00,FLAT,2026-08-13T04:00:00+00:00,False,True,4/9,FLAT
2026-08-13T07:05:24.973108+00:00,FLAT,2026-08-13T04:00:00+00:00,False,True,4/9,FLAT
2026-08-13T08:05:31.196568+00:00,FLAT,2026-08-13T08:00:00+00:00,False,True,4/9,FLAT
2026-08-13T09:05:26.575467+00:00,FLAT,2026-08-13T08:00:00+00:00,False,True,4/9,FLAT
2026-08-13T12:05:40.352265+00:00,FLAT,2026-08-13T12:00:00+00:00,False,True,3/9,FLAT
2026-08-13T13:05:34.414619+00:00,FLAT,2026-08-13T12:00:00+00:00,False,True,3/9,FLAT
2026-08-13T14:05:29.450836+00:00,FLAT,2026-08-13T12:00:00+00:00,False,True,3/9,FLAT
2026-08-13T16:05:43.373413+00:00,FLAT,2026-08-13T16:00:00+00:00,False,True,4/9,FLAT
