label,hypothesis,asset,hold_h,z_thresh,regime_filter,n_signals,status,n_trades,win_rate,total_pnl_usd,avg_pnl_usd,sharpe,g1_p,g1_pass,g2_pnl_pos,g3_wf_stable,g3_wf_mean_sharpe,g4_perm_p,g4_pass,boot_lo,boot_hi,boot_pos,avg_funding,avg_fees
N2-C_pos|SOL|h4h|z1.5,N2-C_pos,SOL,4,1.5,,27,OK,27,0.3333333333333333,-24.13590908018628,-0.8939225585254178,-5.043237308559718,0.12207812070846558,False,False,False,-5.955093433522066,0.9410589410589411,False,-0.6853829902505308,0.05563207875809889,False,0.006436326851851398,0.22499999999999998
N2-C_pos|SOL|h4h|z2.0,N2-C_pos,SOL,4,2.0,,2,INSUFFICIENT,0,,0.0,,,,False,False,False,,,False,,,False,0.0,0.0
N2-C_pos|SOL|h8h|z1.5,N2-C_pos,SOL,8,1.5,,27,OK,27,0.4444444444444444,-18.812876054840522,-0.6967731872163156,-2.3330467235823553,0.7011080384254456,False,False,False,-4.338967979072084,0.7812187812187812,False,-0.6059453360588684,0.23624739126819053,False,0.002019899999999518,0.22499999999999998
N2-C_pos|SOL|h8h|z2.0,N2-C_pos,SOL,8,2.0,,2,INSUFFICIENT,0,,0.0,,,,False,False,False,,,False,,,False,0.0,0.0
N2-C_pos|SOL|h24h|z1.5,N2-C_pos,SOL,24,1.5,,27,OK,27,0.5185185185185185,-4.531788649011995,-0.1678440240374813,-0.3592019368618264,1.0,False,False,True,-0.7293642141377591,0.5454545454545454,False,-0.4429431567705241,0.3683477608585271,False,-0.016854132407408597,0.22499999999999998
N2-C_pos|SOL|h24h|z2.0,N2-C_pos,SOL,24,2.0,,2,INSUFFICIENT,0,,0.0,,,,False,False,False,,,False,,,False,0.0,0.0
N2-C_pos|SOL|h72h|z1.5,N2-C_pos,SOL,72,1.5,,27,OK,27,0.4444444444444444,-119.2992917265965,-4.418492286170241,-6.268226167894776,0.7011080384254456,False,False,False,-5.395393844288442,0.9690309690309691,False,-0.7752177151537689,-0.03595378451654379,False,-0.14893956666666947,0.22499999999999998
N2-C_pos|SOL|h72h|z2.0,N2-C_pos,SOL,72,2.0,,2,INSUFFICIENT,0,,0.0,,,,False,False,False,,,False,,,False,0.0,0.0
N2-C_neg|SOL|h1h|z1.5,N2-C_neg,SOL,1,1.5,,33,OK,33,0.48484848484848486,2.7755004925354094,0.08410607553137604,0.5480350715798662,1.0,False,True,True,-1.1494337732132482,0.4325674325674326,False,-0.37437930752713217,0.35117467869412555,False,0.009345417424242363,0.225
N2-C_neg|SOL|h1h|z2.0,N2-C_neg,SOL,1,2.0,,17,INSUFFICIENT,0,,0.0,,,,False,False,False,,,False,,,False,0.0,0.0
N2-C_neg|SOL|h4h|z1.5,N2-C_neg,SOL,4,1.5,,33,OK,33,0.42424242424242425,-27.320650343391396,-0.8278984952542847,-2.4783490961261427,0.48685024166479707,False,False,False,-2.011035635334238,0.8061938061938062,False,-0.5191608927083226,0.1867348021905739,False,0.03482184090909079,0.225
N2-C_neg|SOL|h4h|z2.0,N2-C_neg,SOL,4,2.0,,17,INSUFFICIENT,0,,0.0,,,,False,False,False,,,False,,,False,0.0,0.0
N2-C_neg|SOL|h8h|z1.5,N2-C_neg,SOL,8,1.5,,33,OK,33,0.42424242424242425,-54.9244760662325,-1.6643780626131062,-4.837822622740669,0.48685024166479707,False,False,False,-5.3807448379138,0.9370629370629371,False,-0.6235920547018508,0.031260786173024815,False,0.06336733030303013,0.225
N2-C_neg|SOL|h8h|z2.0,N2-C_neg,SOL,8,2.0,,17,INSUFFICIENT,0,,0.0,,,,False,False,False,,,False,,,False,0.0,0.0
N2-C_neg|SOL|h24h|z1.5,N2-C_neg,SOL,24,1.5,,33,OK,33,0.48484848484848486,-72.08572819758396,-2.184416005987393,-2.9364887106522577,1.0,False,False,False,-2.5608680827773243,0.8361638361638362,False,-0.47990977726102085,0.18217442546192086,False,0.1526933477272725,0.225
N2-C_neg|SOL|h24h|z2.0,N2-C_neg,SOL,24,2.0,,17,INSUFFICIENT,0,,0.0,,,,False,False,False,,,False,,,False,0.0,0.0
N2-C_neg|SOL|h72h|z1.5,N2-C_neg,SOL,72,1.5,,33,OK,33,0.5151515151515151,-77.64789214656567,-2.352966428683808,-2.70333052565089,1.0,False,False,True,-1.1392111044640085,0.8441558441558441,False,-0.5050102665414465,0.18667129894263546,False,0.33280740227272776,0.225
N2-C_neg|SOL|h72h|z2.0,N2-C_neg,SOL,72,2.0,,17,INSUFFICIENT,0,,0.0,,,,False,False,False,,,False,,,False,0.0,0.0
N2-cross_to_neg|SOL|h1h|z2.0,N2-cross_to_neg,SOL,1,2.0,,178,OK,177,0.4180790960451977,-11.099518500785067,-0.06270914407223202,-0.5799557854448671,0.03502815419120735,True,False,False,-0.45021850247155976,0.6633366633366633,False,-0.20212101025214976,0.10348134829826608,False,-0.0013117607344632848,0.22500000000000006
N2-cross_to_neg|SOL|h4h|z2.0,N2-cross_to_neg,SOL,4,2.0,,178,OK,177,0.4293785310734463,-109.2463297720524,-0.6172109026669628,-2.4151766362452443,0.07093821456094433,False,False,False,-2.126764681455159,0.974025974025974,False,-0.3054234648024089,-0.007310206149292576,False,-0.00529493898305095,0.22500000000000006
N2-cross_to_neg|SOL|h8h|z2.0,N2-cross_to_neg,SOL,8,2.0,,178,OK,177,0.4519774011299435,-198.0498514324127,-1.1189257143074165,-3.047823951477661,0.22902156233365797,False,False,False,-2.475997332185483,0.998001998001998,False,-0.3241050143338853,-0.052475675550476907,False,-0.011899631073446517,0.22500000000000006
N2-cross_to_neg|SOL|h24h|z2.0,N2-cross_to_neg,SOL,24,2.0,,178,OK,178,0.42696629213483145,-264.2731008129909,-1.4846803416460161,-2.6516995855682595,0.06064937703927806,False,False,False,-2.2881082204869734,0.987012987012987,False,-0.31742463060765946,-0.02125294255908461,False,-0.03528886502809055,0.22500000000000006
N2-cross_to_neg|SOL|h72h|z2.0,N2-cross_to_neg,SOL,72,2.0,,178,OK,178,0.4943820224719101,-183.61709663645976,-1.0315567226767401,-1.3298959440228173,0.9402799587020464,False,False,False,-1.1977156446436819,0.8631368631368631,False,-0.2303249678735551,0.060129733140671576,False,-0.10902422808989028,0.22500000000000006
N2-cross_to_pos|SOL|h1h|z2.0,N2-cross_to_pos,SOL,1,2.0,,178,OK,177,0.3389830508474576,-87.55379302120613,-0.49465419785992165,-4.683982848213137,2.1995286919066578e-05,True,False,False,-5.158609998437054,0.999000999000999,False,-0.45972201263895074,-0.14454313185586865,False,-0.0007198059322033355,0.22500000000000006
N2-cross_to_pos|SOL|h4h|z2.0,N2-cross_to_pos,SOL,4,2.0,,178,OK,177,0.4406779661016949,-55.978633154241024,-0.31626346414825435,-1.3491274024290483,0.13253419223810595,False,False,False,-1.550076902338253,0.8801198801198801,False,-0.22940295401983593,0.06070505865738258,False,-0.0009410306497173218,0.22500000000000006
N2-cross_to_pos|SOL|h8h|z2.0,N2-cross_to_pos,SOL,8,2.0,,178,OK,177,0.4632768361581921,-30.43773502015942,-0.17196460463366903,-0.5268899549960476,0.3671138447980253,False,False,False,-1.041916583760721,0.6643356643356644,False,-0.18288078375222036,0.11597858719181071,False,0.0014946162429382193,0.22500000000000006
N2-cross_to_pos|SOL|h24h|z2.0,N2-cross_to_pos,SOL,24,2.0,,178,OK,178,0.48314606741573035,47.23440845074951,0.26536184522892986,0.47530983903066304,0.707947851762438,False,True,True,-0.12544023099306637,0.34465534465534464,False,-0.11691468873426143,0.1744387672396126,False,0.02164201320224808,0.22500000000000006
N2-cross_to_pos|SOL|h72h|z2.0,N2-cross_to_pos,SOL,72,2.0,,178,OK,178,0.4943820224719101,73.68411549976327,0.4139557050548498,0.5341646999741179,0.9402799587020464,False,True,True,0.35439527668583803,0.32167832167832167,False,-0.11282397291993315,0.1822806498860088,False,0.09636836882022765,0.22500000000000006
N2-A|SOL|h24h|z2.0|reg-ranging,N2-A,SOL,24,2.0,ranging,0,INSUFFICIENT,0,,0.0,,,,False,False,False,,,False,,,False,0.0,0.0
