asset,tf,feature,sign,n_signals,n_trades,n_wins,win_rate,total_pnl_usd,avg_pnl_usd,sharpe,max_dd_usd,avg_funding_paid,avg_fees_paid,avg_bars_held,g1_pvalue,g1_pass,g3_pass,g6_frac_positive,g6_ci_lo,g6_ci_hi,g6_pass,skipped_reason
BTC,1h,bb_pos_20,trend,3384,3384.0,1323.0,0.39095744680851063,-659.6877420900416,-0.19494318619682083,-1.240075271536825,-765.903558284946,-0.0005323119754737272,0.22500000000000003,3.0,4.582959004759592e-37,True,False,0.0,-0.2747194002717292,-0.10831008311980718,False,
BTC,1h,bb_pos_20,fade,3384,3384.0,1537.0,0.45419621749408984,-1370.7122579099582,-0.40505681380317915,-2.576652963175022,-1372.3008526708388,0.0005323119754737272,0.22500000000000003,3.0,1.0642903698516351e-07,True,False,0.0,-0.49168991688019276,-0.3252805997282708,False,
BTC,1h,rf_dist_bps,trend,3542,3541.0,1347.0,0.3804010166619599,-1212.177393357843,-0.3423262901321217,-1.9540262321470199,-1277.877352820238,0.0015558807963848829,0.22500000000000006,2.9991527817000847,2.6871994773806282e-46,True,False,0.0,-0.4309862379424637,-0.24807256243817577,False,
BTC,1h,rf_dist_bps,fade,3542,3541.0,1730.0,0.48856255295114376,-912.4226066421569,-0.25767370986787824,-1.4708224373364576,-939.5052353910049,-0.0015558807963848829,0.22500000000000006,2.9991527817000847,0.1788123007001494,False,False,0.0,-0.3519274375618242,-0.16901376205753624,False,
BTC,4h,cvd_60s,trend,677,677.0,307.0,0.4534711964549483,-73.90484489828789,-0.10916520664444297,-0.4729324462726802,-174.13646762639308,0.00016743725996970263,0.22500000000000006,1.0,0.017114925110281613,True,False,0.209,-0.3761141473387285,0.17077876734464673,False,
BTC,4h,cvd_60s,fade,677,677.0,302.0,0.4460856720827179,-332.2951551017121,-0.490834793355557,-2.1264256870181604,-330.5872395044891,-0.00016743725996970263,0.22500000000000006,1.0,0.005614905730971317,True,False,0.0,-0.7707787673446468,-0.22388585266127148,False,
BTC,4h,rf_dist_bps,trend,916,916.0,366.0,0.39956331877729256,-361.5158708112597,-0.39466798123499963,-2.124796664793289,-404.4616938485372,-0.003842431113540088,0.22500000000000006,1.0,1.3085904600070853e-09,True,False,0.0,-0.5959434139953377,-0.20701491163262956,False,
BTC,4h,rf_dist_bps,fade,916,916.0,444.0,0.4847161572052402,-188.0841291887403,-0.20533201876500032,-1.105457775626758,-197.44582225083093,0.003842431113540088,0.22500000000000006,1.0,0.37234554158659383,False,False,0.023,-0.3929850883673705,-0.004056586004662357,False,
BTC,4h,bars_since_bos_sell,trend,1827,1827.0,770.0,0.421455938697318,-485.64447209751984,-0.26581525566366715,-1.9778816066283225,-490.50645234085675,0.01343520301040525,0.22500000000000006,1.0,2.020053474626842e-11,True,False,0.0,-0.35885214160681606,-0.16775483515377437,False,
BTC,4h,bars_since_bos_sell,fade,1827,1827.0,742.0,0.4061302681992337,-610.5555279024801,-0.33418474433633283,-2.4866061858953215,-623.3707036751435,-0.01343520301040525,0.22500000000000006,1.0,1.019186088364139e-15,True,False,0.0,-0.43224516484622566,-0.24114785839318395,False,
