strategy_id,asset,tf,hypothesis,subtest,liq_side,threshold_usd,hold_min,direction_mode,n_trades,win_rate,dollar_per_trade,total_pnl_usd,sharpe,max_dd,p_value,permutation_p,bootstrap_ci_lo,wf_mean,wf_pos_frac,gate_pass,notes
SOL_1m_liq_long_250k_30m_reversion,SOL,1m,N1,threshold_horizon,LONG,250000.0,30,reversion,7,0.8571,6.8565,48.0,16.371,-1.48,0.125,,,,0.0,G2,liq_long_>=$250k_30m_reversion
SOL_1m_liq_long_250k_60m_continuation,SOL,1m,N1,threshold_horizon,LONG,250000.0,60,continuation,7,0.0,-6.1063,-42.74,-19.61,-41.75,0.01562,,,,0.0,G1,liq_long_>=$250k_60m_continuation
SOL_1m_liq_long_250k_60m_reversion,SOL,1m,N1,threshold_horizon,LONG,250000.0,60,reversion,7,1.0,5.5063,38.54,17.683,0.0,0.01562,0.62,,,0.0,"G1,G2",liq_long_>=$250k_60m_reversion
SOL_1m_liq_long_500k_5m_continuation,SOL,1m,N1,threshold_horizon,LONG,500000.0,5,continuation,6,0.3333,-2.9218,-17.53,-5.376,-26.36,0.6875,,,,0.0,NONE,liq_long_>=$500k_5m_continuation
SOL_1m_liq_long_500k_5m_reversion,SOL,1m,N1,threshold_horizon,LONG,500000.0,5,reversion,6,0.6667,2.3218,13.93,4.272,-16.18,0.6875,,,,0.0,G2,liq_long_>=$500k_5m_reversion
SOL_1m_liq_long_500k_15m_continuation,SOL,1m,N1,threshold_horizon,LONG,500000.0,15,continuation,6,0.1667,-4.9816,-29.89,-6.4,-39.42,0.21875,,,,0.0,NONE,liq_long_>=$500k_15m_continuation
SOL_1m_liq_long_500k_15m_reversion,SOL,1m,N1,threshold_horizon,LONG,500000.0,15,reversion,6,0.8333,4.3816,26.29,5.629,-18.8,0.21875,,,,0.0,G2,liq_long_>=$500k_15m_reversion
SOL_1m_liq_long_500k_30m_continuation,SOL,1m,N1,threshold_horizon,LONG,500000.0,30,continuation,6,0.0,-10.0017,-60.01,-30.465,-51.83,0.03125,,,,0.0,G1,liq_long_>=$500k_30m_continuation
SOL_1m_liq_long_500k_30m_reversion,SOL,1m,N1,threshold_horizon,LONG,500000.0,30,reversion,6,1.0,9.4017,56.41,28.637,0.0,0.03125,0.44,,,0.0,"G1,G2",liq_long_>=$500k_30m_reversion
SOL_1m_liq_long_500k_60m_continuation,SOL,1m,N1,threshold_horizon,LONG,500000.0,60,continuation,6,0.0,-7.9678,-47.81,-29.444,-39.78,0.03125,,,,0.0,G1,liq_long_>=$500k_60m_continuation
SOL_1m_liq_long_500k_60m_reversion,SOL,1m,N1,threshold_horizon,LONG,500000.0,60,reversion,6,1.0,7.3678,44.21,27.227,0.0,0.03125,0.4,,,0.0,"G1,G2",liq_long_>=$500k_60m_reversion
SOL_1m_liq_long_1000k_5m_continuation,SOL,1m,N1,threshold_horizon,LONG,1000000.0,5,continuation,5,0.4,0.009,0.04,0.023,-8.79,1.0,,,,0.0,G2,liq_long_>=$1000k_5m_continuation
SOL_1m_liq_long_1000k_5m_reversion,SOL,1m,N1,threshold_horizon,LONG,1000000.0,5,reversion,5,0.6,-0.609,-3.04,-1.573,-16.18,1.0,,,,0.0,NONE,liq_long_>=$1000k_5m_reversion
SOL_1m_liq_long_1000k_15m_continuation,SOL,1m,N1,threshold_horizon,LONG,1000000.0,15,continuation,5,0.2,-1.178,-5.89,-1.905,-15.42,0.375,,,,0.0,NONE,liq_long_>=$1000k_15m_continuation
SOL_1m_liq_long_1000k_15m_reversion,SOL,1m,N1,threshold_horizon,LONG,1000000.0,15,reversion,5,0.8,0.578,2.89,0.935,-18.8,0.375,,,,0.0,G2,liq_long_>=$1000k_15m_reversion
SOL_1m_liq_long_1000k_30m_continuation,SOL,1m,N1,threshold_horizon,LONG,1000000.0,30,continuation,5,0.0,-8.3294,-41.65,-33.249,-33.47,0.0625,,,,0.0,NONE,liq_long_>=$1000k_30m_continuation
SOL_1m_liq_long_1000k_30m_reversion,SOL,1m,N1,threshold_horizon,LONG,1000000.0,30,reversion,5,1.0,7.7294,38.65,30.854,0.0,0.0625,,,,0.0,G2,liq_long_>=$1000k_30m_reversion
SOL_1m_liq_long_1000k_60m_continuation,SOL,1m,N1,threshold_horizon,LONG,1000000.0,60,continuation,5,0.0,-6.243,-31.22,-47.822,-23.19,0.0625,,,,0.0,NONE,liq_long_>=$1000k_60m_continuation
SOL_1m_liq_long_1000k_60m_reversion,SOL,1m,N1,threshold_horizon,LONG,1000000.0,60,reversion,5,1.0,5.643,28.22,43.226,0.0,0.0625,,,,0.0,G2,liq_long_>=$1000k_60m_reversion
SOL_1m_cascade_5m_continuation,SOL,1m,N1,cascade,ANY,5000000.0,5,continuation,15,0.4667,-1.6394,-24.59,-2.802,-63.23,1.0,,,,0.0,NONE,cascade_5+_60s_5m_continuation
SOL_1m_cascade_5m_reversion,SOL,1m,N1,cascade,ANY,5000000.0,5,reversion,15,0.5333,1.0394,15.59,1.776,-48.99,1.0,,,,0.0,G2,cascade_5+_60s_5m_reversion
SOL_1m_cascade_15m_continuation,SOL,1m,N1,cascade,ANY,5000000.0,15,continuation,15,0.3333,-2.9594,-44.39,-4.228,-70.41,0.30176,,,,0.0,NONE,cascade_5+_60s_15m_continuation
SOL_1m_cascade_15m_reversion,SOL,1m,N1,cascade,ANY,5000000.0,15,reversion,15,0.6667,2.3594,35.39,3.371,-35.88,0.30176,,,,0.0,G2,cascade_5+_60s_15m_reversion
SOL_1m_cascade_30m_continuation,SOL,1m,N1,cascade,ANY,5000000.0,30,continuation,15,0.2,-7.737,-116.06,-7.589,-107.88,0.03516,,,,0.0,G1,cascade_5+_60s_30m_continuation
SOL_1m_cascade_30m_reversion,SOL,1m,N1,cascade,ANY,5000000.0,30,reversion,15,0.8,7.137,107.06,7.0,-52.69,0.03516,0.24,,,0.0,"G1,G2",cascade_5+_60s_30m_reversion
SOL_1m_cascade_60m_continuation,SOL,1m,N1,cascade,ANY,5000000.0,60,continuation,15,0.2,-5.1407,-77.11,-8.127,-69.08,0.03516,,,,0.0,G1,cascade_5+_60s_60m_continuation
SOL_1m_cascade_60m_reversion,SOL,1m,N1,cascade,ANY,5000000.0,60,reversion,15,0.8,4.5407,68.11,7.179,-34.07,0.03516,0.33,,,0.0,"G1,G2",cascade_5+_60s_60m_reversion
