asset,tf,target,window,train_start,train_end,test_start,test_end,n_train,n_test,n_features,base_rate_y,rf_auc,rf_acc,rf_prec,rf_rec,rf_logloss,lgb_auc,lgb_acc,lgb_prec,lgb_rec,lgb_logloss,lgb_n_trades,lgb_sharpe_oos,rf_n_trades,rf_sharpe_oos
SOL,1h,y_next_3,3,2023-09-30 23:00:00+00:00,2025-09-30 23:00:00+00:00,2025-09-30 23:00:00+00:00,2026-03-31 23:00:00+00:00,17544,4366,126,0.4917544663307375,0.524546129848224,0.5142006413192853,0.5038190364277321,0.7987890079180252,0.6952003192771852,0.5193912169385244,0.5057260650480989,0.49794238683127573,0.6199347927340475,0.7129747979838175,2649,0.33149000757182223,865,0.17155169124249048
BTC,4h,y_next,0,2022-03-30 20:00:00+00:00,2024-03-30 20:00:00+00:00,2024-03-30 20:00:00+00:00,2024-09-30 20:00:00+00:00,4386,1104,126,0.5144927536231884,0.519924584822367,0.5163043478260869,0.519406392694064,0.801056338028169,0.6934489053998556,0.5181377443767079,0.5126811594202898,0.5210674157303371,0.653169014084507,0.7391817182222324,887,0.3690618009626006,354,0.8646418940152688
BTC,4h,y_next_3,0,2022-03-30 20:00:00+00:00,2024-03-30 20:00:00+00:00,2024-03-30 20:00:00+00:00,2024-09-30 20:00:00+00:00,4386,1104,126,0.532608695652174,0.5203455413173022,0.5262681159420289,0.5368898978433598,0.8044217687074829,0.6905796433426237,0.5018325159521173,0.5262681159420289,0.5387365911799762,0.7687074829931972,0.8207458649276721,977,0.7191367540924682,430,1.0622076027029854
BTC,4h,y_next,1,2022-09-30 20:00:00+00:00,2024-09-30 20:00:00+00:00,2024-09-30 20:00:00+00:00,2025-03-30 20:00:00+00:00,4386,1086,126,0.5211786372007366,0.5530884751291112,0.5395948434622467,0.5559322033898305,0.5795053003533569,0.6889432993887916,0.5190031258494157,0.5184162062615101,0.5476718403547672,0.4363957597173145,0.8115394540153633,915,0.3982460172290567,212,1.127689123963969
BTC,4h,y_next_3,1,2022-09-30 20:00:00+00:00,2024-09-30 20:00:00+00:00,2024-09-30 20:00:00+00:00,2025-03-30 20:00:00+00:00,4386,1086,126,0.5174953959484346,0.5344292466925646,0.511049723756906,0.5778894472361809,0.20462633451957296,0.6962429360438342,0.5386976718915542,0.4953959484346225,0.5660377358490566,0.10676156583629894,1.3047561005183663,1027,-0.04509445504386381,419,0.4944338469187651
BTC,4h,y_next,2,2023-03-30 20:00:00+00:00,2025-03-30 20:00:00+00:00,2025-03-30 20:00:00+00:00,2025-09-30 20:00:00+00:00,4386,1104,126,0.5,0.5329893929846671,0.5271739130434783,0.5307377049180327,0.4692028985507246,0.6917338730245078,0.5314895767695862,0.5208333333333334,0.592,0.13405797101449277,0.9338769706215595,1015,0.555200552850687,189,0.5912004041815827
BTC,4h,y_next_3,2,2023-03-30 20:00:00+00:00,2025-03-30 20:00:00+00:00,2025-03-30 20:00:00+00:00,2025-09-30 20:00:00+00:00,4386,1104,126,0.532608695652174,0.5391024626905025,0.4891304347826087,0.5689655172413793,0.1683673469387755,0.7159395889106348,0.5579912197437115,0.4936594202898551,0.6593406593406593,0.10204081632653061,1.5859123757408995,1036,-0.41576007855509317,909,-0.49147737356619653
BTC,4h,y_next,3,2023-09-30 20:00:00+00:00,2025-09-30 20:00:00+00:00,2025-09-30 20:00:00+00:00,2026-03-31 20:00:00+00:00,4386,1092,126,0.5054945054945055,0.5161701556629092,0.5155677655677655,0.5154362416107383,0.6956521739130435,0.6963439667102161,0.4946524422973698,0.5009157509157509,0.5049928673323824,0.6413043478260869,0.8039825737367025,848,-0.03299301152414364,380,0.443750926061588
BTC,4h,y_next_3,3,2023-09-30 20:00:00+00:00,2025-09-30 20:00:00+00:00,2025-09-30 20:00:00+00:00,2026-03-31 20:00:00+00:00,4386,1090,126,0.4853211009174312,0.5415592598957439,0.4944954128440367,0.4876681614349776,0.8223062381852552,0.7030111692262629,0.54747968959022,0.5220183486238532,0.5060240963855421,0.6351606805293005,0.8257344953088296,889,0.9531683667659596,483,1.0744893493446193
ETH,4h,y_next,0,2022-03-30 20:00:00+00:00,2024-03-30 20:00:00+00:00,2024-03-30 20:00:00+00:00,2024-09-30 20:00:00+00:00,4386,1104,126,0.4936594202898551,0.5264413845169126,0.5163043478260869,0.5127020785219399,0.4073394495412844,0.6923863438339005,0.5156586959019218,0.5081521739130435,0.5025,0.3688073394495413,0.7479545573117043,828,0.2989166113268456,333,1.392948419265375
