test,hypothesis,leader,follower,lag_min,corr,direction,thr_pct,hold_min,n,mean_pnl,win_rate,sharpe,sum_pnl,t,p,volume_filter,window,train_n,test_n,train_mean,test_mean,test_winrate,test_p,obs_mean,perm_p,n_perm,hold_bars_15m,avg_bars_held
N5.2_sweep,N5,,SOL,,,DOWN,0.2,10.0,129.0,-0.3971933926474832,0.40310077519379844,-1.796658795634769,-51.23794765152533,-1.2854648112511975,0.20095079611404443,,,,,,,,,,,,,
N5.2_sweep,N5,,ETH,,,UP,0.2,15.0,104.0,0.3261396182710395,0.4326923076923077,1.3221655596967326,33.918520300188106,0.8493804086196393,0.39763954783780076,,,,,,,,,,,,,
N5.2_sweep,N5,,ETH,,,DOWN,0.2,15.0,104.0,-0.04202874839642737,0.41346153846153844,-0.18410793591427477,-4.370989833228446,-0.1182738974632297,0.9060809891584216,,,,,,,,,,,,,
N5.2_sweep,N5,,SOL,,,UP,0.2,15.0,115.0,-0.18457990750567757,0.40869565217391307,-0.527107353769258,-21.22668936315292,-0.35608011781129484,0.7224386823060778,,,,,,,,,,,,,
N5.2_sweep,N5,,SOL,,,DOWN,0.2,15.0,129.0,-0.3040047166267813,0.3953488372093023,-1.1142117031466114,-39.216608444854785,-0.7971908412210245,0.42681649552843304,,,,,,,,,,,,,
N5.2_sweep,N5,,ETH,,,UP,0.3,1.0,27.0,-0.6324623291091889,0.18518518518518517,-6.484720928975155,-17.0764828859481,-2.122623179835214,0.043469833989579376,,,,,,,,,,,,,
N5.2_sweep,N5,,ETH,,,DOWN,0.3,1.0,24.0,-0.5403692913040602,0.25,-6.3586495226389905,-12.968862991297446,-1.9623218451561053,0.06193448574625471,,,,,,,,,,,,,
N5.2_sweep,N5,,SOL,,,UP,0.3,1.0,26.0,-0.5527927901083874,0.3076923076923077,-5.173625216981959,-14.372612542818073,-1.661810001257691,0.10904126303777417,,,,,,,,,,,,,
N5.2_sweep,N5,,SOL,,,DOWN,0.3,1.0,26.0,0.03035533400987975,0.4230769230769231,0.312087233455189,0.7892386842568735,0.10024492769950202,0.920949462309147,,,,,,,,,,,,,
N5.2_sweep,N5,,ETH,,,UP,0.3,3.0,27.0,0.4002175168720092,0.4444444444444444,2.2184401066742354,10.805872955544247,0.7261549795400423,0.47423059041642324,,,,,,,,,,,,,
N5.2_sweep,N5,,ETH,,,DOWN,0.3,3.0,24.0,-0.29874479225012157,0.3333333333333333,-1.802911454652573,-7.169875014002917,-0.5563905542758403,0.58331728529634,,,,,,,,,,,,,
N5.2_sweep,N5,,SOL,,,UP,0.3,3.0,26.0,-0.8734745521329305,0.3076923076923077,-2.569832011111118,-22.71033835545619,-0.8254506962736405,0.4169234154276942,,,,,,,,,,,,,
N5.2_sweep,N5,,SOL,,,DOWN,0.3,3.0,26.0,-0.17722719204645332,0.3076923076923077,-1.4571717530519002,-4.607906993207786,-0.4680552786899512,0.6438000154380954,,,,,,,,,,,,,
N5.2_sweep,N5,,ETH,,,UP,0.3,5.0,27.0,0.6651793079212596,0.4444444444444444,2.903241918538533,17.95984131387401,0.9503089894622603,0.350706078428638,,,,,,,,,,,,,
N5.2_sweep,N5,,ETH,,,DOWN,0.3,5.0,24.0,-1.0684301557422957,0.25,-5.775810610951127,-25.642323737815097,-1.7824538520327111,0.08788229710091633,,,,,,,,,,,,,
N5.2_sweep,N5,,SOL,,,UP,0.3,5.0,26.0,-0.4628758047400358,0.34615384615384615,-1.1891121515715248,-12.03477092324093,-0.38195238024051525,0.7057241818375619,,,,,,,,,,,,,
N5.2_sweep,N5,,SOL,,,DOWN,0.3,5.0,26.0,-1.0316708210897767,0.3076923076923077,-4.4063436101315725,-26.823441348334192,-1.4153529823264164,0.1693022154455157,,,,,,,,,,,,,
N5.2_sweep,N5,,ETH,,,UP,0.3,10.0,27.0,1.5735699744595029,0.5185185185185185,6.899447972263113,42.48638931040658,2.258374470450378,0.03254113800960545,,,,,,,,,,,,,
N5.2_sweep,N5,,ETH,,,DOWN,0.3,10.0,24.0,-1.1831827311742182,0.2916666666666667,-4.469896255747619,-28.39638554818124,-1.379439932489738,0.18102500055456172,,,,,,,,,,,,,
N5.2_sweep,N5,,SOL,,,UP,0.3,10.0,26.0,2.247255898450614,0.5384615384615384,4.223339387898742,58.428653359715966,1.3565705553000709,0.18704262988004006,,,,,,,,,,,,,
N5.2_sweep,N5,,SOL,,,DOWN,0.3,10.0,26.0,-1.3371543694116736,0.34615384615384615,-3.9690120315180315,-34.76601360470352,-1.2748785643457194,0.21407399435009644,,,,,,,,,,,,,
N5.2_sweep,N5,,ETH,,,UP,0.3,15.0,27.0,1.5589196845909001,0.4444444444444444,3.557984828468342,42.090831483954304,1.1646239141400463,0.25474633000926006,,,,,,,,,,,,,
N5.2_sweep,N5,,ETH,,,DOWN,0.3,15.0,24.0,-1.8542491706653135,0.20833333333333334,-5.659234273622856,-44.501980095967525,-1.7464776132805844,0.09407195993819206,,,,,,,,,,,,,
N5.2_sweep,N5,,SOL,,,UP,0.3,15.0,26.0,0.6899700082186973,0.5384615384615384,0.9801400756587495,17.939220213686127,0.31482886990282344,0.7555042593813652,,,,,,,,,,,,,
N5.2_sweep,N5,,SOL,,,DOWN,0.3,15.0,26.0,-2.1184682034229905,0.38461538461538464,-6.262419387322601,-55.08017328899775,-2.011539439649181,0.05516578046944409,,,,,,,,,,,,,
N5.2_sweep,N5,,ETH,,,UP,0.5,1.0,7.0,-1.1702412802902926,0.2857142857142857,-7.171476085065211,-8.191688962032048,-1.1952460141775352,0.2770857545325254,,,,,,,,,,,,,
N5.2_sweep,N5,,ETH,,,DOWN,0.5,1.0,6.0,-0.15636413481428676,0.3333333333333333,-1.2495760142323253,-0.9381848088857205,-0.1928137650283264,0.854692032008622,,,,,,,,,,,,,
N5.2_sweep,N5,,SOL,,,UP,0.5,1.0,10.0,-0.7063685850016207,0.4,-4.691949789700467,-7.063685850016207,-0.934658770368415,0.374361608166367,,,,,,,,,,,,,
N5.2_sweep,N5,,SOL,,,DOWN,0.5,1.0,7.0,1.8575612180413095,0.7142857142857143,14.113763170080748,13.002928526289166,2.352293861680125,0.0568798355132325,,,,,,,,,,,,,
N5.2_sweep,N5,,ETH,,,UP,0.5,3.0,7.0,2.6074093208087445,0.7142857142857143,8.76436267519886,18.25186524566121,1.4607271125331436,0.19439219478293746,,,,,,,,,,,,,
N5.2_sweep,N5,,ETH,,,DOWN,0.5,3.0,6.0,-0.07047968942171286,0.5,-0.234416235704831,-0.4228781365302771,-0.03617121045475876,0.9725455167389723,,,,,,,,,,,,,
N5.2_sweep,N5,,SOL,,,UP,0.5,3.0,10.0,1.0166038827129467,0.4,2.3138715167288932,10.166038827129466,0.46093423918638987,0.6557817087179427,,,,,,,,,,,,,
N5.2_sweep,N5,,SOL,,,DOWN,0.5,3.0,7.0,1.4155581377445674,0.5714285714285714,5.821866605522613,9.908906964211972,0.9703111009204356,0.36936459533858423,,,,,,,,,,,,,
N5.2_sweep,N5,,ETH,,,UP,0.5,5.0,7.0,3.308913070256708,0.7142857142857143,11.515988598673236,23.162391491796956,1.919331433112206,0.10336190007779877,,,,,,,,,,,,,
N5.2_sweep,N5,,ETH,,,DOWN,0.5,5.0,6.0,-2.537463467368681,0.16666666666666666,-7.7208260875896855,-15.224780804212084,-1.1913493297898,0.2869796808296272,,,,,,,,,,,,,
N5.2_sweep,N5,,SOL,,,UP,0.5,5.0,10.0,1.020200045867095,0.5,1.6719679186262308,10.20200045867095,0.33306398170522505,0.7467136080499213,,,,,,,,,,,,,
N5.2_sweep,N5,,SOL,,,DOWN,0.5,5.0,7.0,-1.233760501123811,0.42857142857142855,-2.6664024330494085,-8.636323507866678,-0.44440040550823473,0.6723334043658622,,,,,,,,,,,,,
N5.2_sweep,N5,,ETH,,,UP,0.5,10.0,7.0,4.789043441545049,0.8571428571428571,20.377602783305665,33.523304090815344,3.396267130550945,0.014562725513594943,,,,,,,,,,,,,
N5.2_sweep,N5,,ETH,,,DOWN,0.5,10.0,6.0,-1.6263333610257593,0.3333333333333333,-3.496290325147404,-9.758000166154556,-0.5394893096102958,0.6126971391347034,,,,,,,,,,,,,
N5.2_sweep,N5,,SOL,,,UP,0.5,10.0,10.0,5.986518475243239,0.8,10.441500330498902,59.86518475243239,2.079996653231136,0.06726554191684864,,,,,,,,,,,,,
N5.2_sweep,N5,,SOL,,,DOWN,0.5,10.0,7.0,-2.8299989492484126,0.5714285714285714,-4.327308387281684,-19.809992644738887,-0.7212180645469474,0.49790283673861424,,,,,,,,,,,,,
N5.2_sweep,N5,,ETH,,,UP,0.5,15.0,7.0,6.495004585264952,0.8571428571428571,13.747076491601204,45.465032096854664,2.291179415266867,0.06184392617102752,,,,,,,,,,,,,
N5.2_sweep,N5,,ETH,,,DOWN,0.5,15.0,6.0,-6.156480839882406,0.16666666666666666,-12.981673261247998,-36.93888503929443,-2.0031156723238808,0.10153472003397623,,,,,,,,,,,,,
N5.2_sweep,N5,,SOL,,,UP,0.5,15.0,10.0,6.609787918664987,0.6,9.842422897504488,66.09787918664986,1.9606575720442132,0.08155815864629878,,,,,,,,,,,,,
N5.2_sweep,N5,,SOL,,,DOWN,0.5,15.0,7.0,-6.247201263497328,0.2857142857142857,-11.112127356061604,-43.730408844481296,-1.8520212260102675,0.11347178601866448,,,,,,,,,,,,,
N5.2_sweep,N5,,ETH,,,UP,1.0,1.0,1.0,-0.6011687852812473,0.0,,-0.6011687852812473,,,,,,,,,,,,,,,
N5.2_sweep,N5,,ETH,,,DOWN,1.0,1.0,2.0,-1.3782025603000565,0.0,-15.416393523873014,-2.756405120600113,-1.3734014930003196,0.40065646541330335,,,,,,,,,,,,,
N5.2_sweep,N5,,SOL,,,UP,1.0,1.0,3.0,-0.2944062034891259,0.3333333333333333,-1.4332006665133417,-0.8832186104673776,-0.15637501286567973,0.8900960013673389,,,,,,,,,,,,,
N5.2_sweep,N5,,SOL,,,DOWN,1.0,1.0,3.0,2.3552919353755035,0.6666666666666666,16.407456052397833,7.065875806126511,1.7902002219470097,0.21530862090850533,,,,,,,,,,,,,
N5.2_sweep,N5,,ETH,,,UP,1.0,3.0,1.0,4.57225713832623,1.0,,4.57225713832623,,,,,,,,,,,,,,,
N5.2_sweep,N5,,ETH,,,DOWN,1.0,3.0,2.0,1.4138085534703226,0.5,3.354978495316173,2.8276171069406453,0.29888523974922576,0.815104122556503,,,,,,,,,,,,,
N5.2_sweep,N5,,SOL,,,UP,1.0,3.0,3.0,4.1979067674959145,0.3333333333333333,7.400415705137398,12.593720302487743,0.8074515510221933,0.504171468237474,,,,,,,,,,,,,
N5.2_sweep,N5,,SOL,,,DOWN,1.0,3.0,3.0,1.7517833477088811,0.3333333333333333,4.6731091553412965,5.2553500431266436,0.5098780103605389,0.6608323606281123,,,,,,,,,,,,,
N5.2_sweep,N5,,ETH,,,UP,1.0,5.0,1.0,10.276380020754893,1.0,,10.276380020754893,,,,,,,,,,,,,,,
N5.2_sweep,N5,,ETH,,,DOWN,1.0,5.0,2.0,-6.406300475973881,0.0,-33.41061853304749,-12.812600951947761,-2.976454467401512,0.2063423804620208,,,,,,,,,,,,,
N5.2_sweep,N5,,SOL,,,UP,1.0,5.0,3.0,2.909382878007954,0.3333333333333333,3.207289887489353,8.728148634023862,0.34994401631157995,0.7597968317178019,,,,,,,,,,,,,
N5.2_sweep,N5,,SOL,,,DOWN,1.0,5.0,3.0,-3.6001402482520004,0.3333333333333333,-6.050627886767564,-10.800420744756002,-0.6601776260267392,0.5770033643632582,,,,,,,,,,,,,
N5.2_sweep,N5,,ETH,,,UP,1.0,10.0,1.0,7.458747805571565,1.0,,7.458747805571565,,,,,,,,,,,,,,,
N5.2_sweep,N5,,ETH,,,DOWN,1.0,10.0,2.0,-5.306039941180679,0.5,-7.256438989371022,-10.612079882361359,-0.6464549653870123,0.6346572392620904,,,,,,,,,,,,,
N5.2_sweep,N5,,SOL,,,UP,1.0,10.0,3.0,6.835264404536656,1.0,22.07713976505687,20.50579321360997,2.4088134309879212,0.13763811064865483,,,,,,,,,,,,,
N5.2_sweep,N5,,SOL,,,DOWN,1.0,10.0,3.0,-3.4843095684347953,0.6666666666666666,-5.18781777482921,-10.452928705304386,-0.5660373248760053,0.6284101823671855,,,,,,,,,,,,,
N5.2_sweep,N5,,ETH,,,UP,1.0,15.0,1.0,10.898192709072351,1.0,,10.898192709072351,,,,,,,,,,,,,,,
N5.2_sweep,N5,,ETH,,,DOWN,1.0,15.0,2.0,-9.879337983854324,0.0,-23.960021798581298,-19.758675967708648,-2.134528394045866,0.27891673036205744,,,,,,,,,,,,,
N5.2_sweep,N5,,SOL,,,UP,1.0,15.0,3.0,9.282484309611672,0.6666666666666666,10.90697161722528,27.847452928835015,1.1900481675873749,0.35613922925207775,,,,,,,,,,,,,
N5.2_sweep,N5,,SOL,,,DOWN,1.0,15.0,3.0,-6.741701042782373,0.3333333333333333,-10.339412431632995,-20.22510312834712,-1.1281223835553718,0.3764004908045957,,,,,,,,,,,,,
N5.3_volume,N5,,ETH,,,UP,0.2,15.0,62.0,-0.14124855076118104,0.3548387096774194,-0.5648537462369214,-8.757410147193225,-0.2801764239225334,0.7802901200826862,True,,,,,,,,,,,,
N5.4_wf,N5,,ETH,,,UP,0.2,15.0,,,,,,,,,0.0,6.0,5.0,0.8641063977168623,-1.1135395070700158,0.2,0.1353648984478082,,,,,
N5.4_wf,N5,,ETH,,,UP,0.2,15.0,,,,,,,,,1.0,7.0,1.0,-1.3613787834844973,-0.8021471489857488,0.0,,,,,,
N5.4_wf,N5,,ETH,,,UP,0.2,15.0,,,,,,,,,2.0,20.0,7.0,2.6768476911060786,0.5493317790727517,0.5714285714285714,0.31436933310811743,,,,,
N5.4_wf,N5,,ETH,,,UP,0.2,15.0,,,,,,,,,3.0,22.0,3.0,-0.06033164942899376,-0.18591076497855086,0.3333333333333333,0.6362280029557534,,,,,
N5.4_wf,N5,,ETH,,,UP,0.2,15.0,,,,,,,,,4.0,32.0,9.0,-0.2334380979622632,-0.3774887360721405,0.4444444444444444,0.33545991943947273,,,,,
N5.5_perm,N5,,ETH,,,UP,0.2,15.0,,,,,,,,,,,,,,,,0.3261396182710395,0.2,30.0,,
N5.6_xasset,N5,,DOGEUSDT,,,UP,0.5,,29.0,-0.15044673611989776,0.5172413793103449,-1.621089651704442,-4.362955347477035,-0.5499279105245913,0.5867291590941119,,,,,,,,,,,,1.0,
N5.6_xasset,N5,,DOGEUSDT,,,UP,0.5,,29.0,-0.8283581032246077,0.27586206896551724,-7.311521624179956,-24.022384993513622,-2.480313044570422,0.01940701472764883,,,,,,,,,,,,3.0,
N5.6_xasset,N5,,DOGEUSDT,,,UP,1.0,,2.0,-1.470822879994357,0.0,-75.79041535381727,-2.941645759988714,-6.7519468441732275,0.09360637866205379,,,,,,,,,,,,1.0,
N5.6_xasset,N5,,DOGEUSDT,,,UP,1.0,,2.0,6.473414915143675,0.5,7.1772227466355,12.94682983028735,0.6393978215826351,0.6378360029820296,,,,,,,,,,,,3.0,
N5.6_xasset,N5,,AVAXUSDT,,,UP,0.5,,46.0,-0.33148095360244556,0.41304347826086957,-2.384937069148835,-15.248123865712497,-1.0189563246999718,0.31367085831143005,,,,,,,,,,,,1.0,
N5.6_xasset,N5,,AVAXUSDT,,,UP,0.5,,46.0,-0.4334099705862276,0.45652173913043476,-2.9011964833094837,-19.93685864696647,-1.2395264194205997,0.2215761919582948,,,,,,,,,,,,3.0,
N5.6_xasset,N5,,AVAXUSDT,,,UP,1.0,,1.0,-13.069447047797562,0.0,,-13.069447047797562,,,,,,,,,,,,,,1.0,
N5.6_xasset,N5,,AVAXUSDT,,,UP,1.0,,1.0,-6.743298969072169,0.0,,-6.743298969072169,,,,,,,,,,,,,,3.0,
N5.6_xasset,N5,,LINKUSDT,,,UP,0.5,,38.0,-0.7041829961429584,0.23684210526315788,-6.087929952602382,-26.75895385343242,-2.36407458831393,0.023435580123202016,,,,,,,,,,,,1.0,
N5.6_xasset,N5,,LINKUSDT,,,UP,0.5,,38.0,-0.30847269387402826,0.42105263157894735,-1.937848340397066,-11.721962367213074,-0.7525083325869597,0.456506509731307,,,,,,,,,,,,3.0,
N5.6_xasset,N5,,LINKUSDT,,,UP,1.0,,3.0,-2.6278367045408793,0.3333333333333333,-8.388137226439714,-7.883510113622638,-0.9152208042818314,0.45668953846872795,,,,,,,,,,,,1.0,
N5.6_xasset,N5,,LINKUSDT,,,UP,1.0,,3.0,1.371984463796183,0.3333333333333333,5.215098619337111,4.115953391388549,0.5690139090421904,0.6267277762514878,,,,,,,,,,,,3.0,
N11_pair,N11,,,,,UP,,,1069.0,-0.669791190908241,0.17492984097287184,-11.315365836743984,-716.0067830809096,-23.305433302460386,0.0,,,,,,,,,,,,4.0,3.500467726847521
N11_pair,N11,,,,,UP,,,1069.0,-0.6727907768170552,0.2899906454630496,-6.365922917934299,-719.213340417432,-13.111426896225991,0.0,,,,,,,,,,,,16.0,10.006548175865294
N11_pair,N11,,,,,UP,,,1068.0,-0.7414430975380583,0.3342696629213483,-4.531918493186152,-791.8612281706462,-9.32969500182987,0.0,,,,,,,,,,,,96.0,20.826779026217228
N11_pair,N11,,,,,DOWN,,,911.0,-0.5432617763498527,0.24588364434687157,-8.148623295621466,-494.9114782547158,-15.493272494233437,0.0,,,,,,,,,,,,4.0,3.4961580680570803
N11_pair,N11,,,,,DOWN,,,911.0,-0.5507670400784942,0.32821075740944017,-4.969325439704092,-501.74877351150826,-9.448358373767489,0.0,,,,,,,,,,,,16.0,10.427003293084523
N11_pair,N11,,,,,DOWN,,,910.0,-0.643222070687253,0.3791208791208791,-4.035824114460123,-585.3320843254003,-7.669245792216539,4.440892098500626e-14,,,,,,,,,,,,96.0,23.056043956043958
N11_inv,N11_inverse,,,,,UP,,,1069.0,-0.530208809091759,0.21141253507951357,-8.957279113513325,-566.7932169190905,-18.4486541543031,0.0,,,,,,,,,,,,4.0,3.500467726847521
N11_inv,N11_inverse,,,,,UP,,,1069.0,-0.5272092231829446,0.27876520112254444,-4.988435323511062,-563.5866595825678,-10.274316216821301,0.0,,,,,,,,,,,,16.0,10.006548175865294
N11_inv,N11_inverse,,,,,DOWN,,,911.0,-0.6567382236501472,0.21295279912184412,-9.850706641496442,-598.2885217452841,-18.72950518395755,0.0,,,,,,,,,,,,4.0,3.4961580680570803
N11_inv,N11_inverse,,,,,DOWN,,,911.0,-0.6492329599215056,0.2579582875960483,-5.85773953280234,-591.4512264884917,-11.13753225415591,0.0,,,,,,,,,,,,16.0,10.427003293084523
