poly_updown_eth_15m_momo_v2_hod,17,52.9,24.03,1.4138,25.8603,0.23,,0,05-23,06-01,9.2
poly_updown_sol_5m_momo_SELL_f7,84,51.2,50.84,0.6052,24.2014,0.23,,0,05-20,05-27,6.6
poly_sniper_v5_btc_5m_up_a2_hlcascade50k_v9,18,44.4,7.07,0.3930,7.5465,0.22,0.530,100,05-29,06-02,3.5
shadow_poly_updown_btc_5m_fade_sniper,246,52.4,73.11,0.2972,24.1884,0.19,,0,05-24,06-02,8.2
poly_updown_sol_15m_momo_v2_SELL_f7,23,47.8,18.71,0.8135,23.5109,0.17,,0,05-20,05-27,6.4
poly_updown_btc_5m_momo_v2_hod_mtf,35,51.4,21.65,0.6186,25.3006,0.14,,0,05-22,06-02,10.1
poly_updown_sol_15m_momo_v2_SELL,75,50.7,29.09,0.3879,24.5250,0.14,,0,05-07,05-21,13.5
poly_updown_eth_15m_momo_HEDGE_f7,28,50.0,13.27,0.4738,21.4036,0.12,,0,05-22,05-27,4.7
poly_updown_btc_15m_sniper,463,51.2,43.20,0.0933,20.9320,0.10,,0,05-07,05-22,15.2
poly_sniper_v5_sol_5m_j_2asset_trending_cci_rf_ema200_v8,414,75.1,6.63,0.0160,3.4493,0.09,0.736,49,05-27,06-02,5.4
poly_sniper_v5_sol_5m_down_b1_flow250_v9,108,59.3,4.30,0.0398,5.5080,0.08,0.581,0,05-29,06-02,3.5
poly_updown_eth_5m_v3,91,50.5,12.52,0.1376,19.8986,0.07,,0,05-07,06-02,25.4
poly_updown_sol_15m_momo_v2_HOLD,75,52.0,12.61,0.1682,25.1002,0.06,,0,05-07,05-21,13.5
poly_updown_btc_5m_momo_v2_SELL_f7,127,45.7,13.25,0.1043,22.4693,0.05,,0,05-21,05-27,6.3
poly_updown_sol_5m_momo_HEDGE_f7,84,52.4,8.57,0.1020,24.2767,0.04,,0,05-20,05-27,6.6
poly_sniper_v5_eth_5m_ema50_hurst_parent15mrang_v7,273,64.8,2.24,0.0082,3.9392,0.03,0.645,47,05-28,06-02,4.5
poly_fast_taker_lagv2_btc_5m,29,82.6,0.73,0.0253,16.2690,0.01,0.678,52,06-01,06-02,0.4
poly_updown_sol_5m_momo_HOLD_f7,176,51.1,2.57,0.0146,24.8891,0.01,,0,05-20,06-02,12.4
poly_sniper_v5_sol_5m_f7_mfi_ema200_vwap_v6,673,69.1,0.01,0.0000,3.4449,0.00,0.678,45,05-27,06-02,5.5
poly_updown_sol_15m_momo_SELL_f7,29,48.3,-4.56,-0.1573,25.3983,-0.03,,0,05-21,05-27,6.3
poly_updown_btc_15m_momo_v2_hod,18,50.0,-8.04,-0.4466,25.3324,-0.07,,0,05-22,06-01,9.9
poly_updown_eth_5m_sniper_DOWN_INV,262,53.4,-39.64,-0.1513,23.5017,-0.10,,0,05-07,05-22,15.0
poly_updown_sol_5m_momo_SELL,353,50.4,-51.77,-0.1467,23.9408,-0.12,,0,05-07,05-21,14.1
poly_updown_sol_15m_momo_HEDGE_f7,29,51.7,-20.92,-0.7215,25.5463,-0.15,,0,05-21,05-27,6.3
shadow_poly_updown_ALL_5m_S3_prewindow,454,51.8,-76.39,-0.1683,24.4043,-0.15,,0,05-26,06-02,6.6
poly_sniper_v5_eth_5m_ema50_hurst_parent15mrang_v7_vL,317,64.7,-11.27,-0.0356,3.9084,-0.16,0.649,47,05-28,06-02,4.5
poly_updown_btc_5m_momo_v2_HEDGE_f7,127,46.5,-40.08,-0.3156,22.6183,-0.16,,0,05-21,05-27,6.3
poly_sniper_v5_sol_5m_b1_120s_250_v9,436,56.7,-20.35,-0.0467,5.8995,-0.17,0.580,55,05-29,06-02,3.6
poly_fast_taker_b2_nomerge_btc_5m,29,62.1,-1.45,-0.0500,1.5902,-0.17,0.636,59,06-01,06-02,0.4
poly_updown_sol_5m_momo_HEDGE,353,51.0,-80.42,-0.2278,23.7390,-0.18,,0,05-07,05-21,14.1
poly_updown_sol_15m_momo_v2_HEDGE_f7,23,52.2,-21.23,-0.9231,23.7874,-0.19,,0,05-20,05-27,6.4
poly_updown_sol_5m_sniper_hod,105,53.3,-37.87,-0.3606,19.9596,-0.19,,0,05-22,06-02,10.8
