slug,ws_s,outcome_truth,current_px,trend_align,v_trend,v_levels,v_momentum,p_up_levels,score_momentum,mom_imb_l5,mom_cvd_norm,mom_aggressor,bb_position,rsi14,fired,skip_reason,direction,stake_usd,vwap_entry,shares,hit_levels,underfilled,won,pnl_usd,balance_cum_usd
eth-updown-5m-1778333100,1778332800,Up,2313.74,3,1,1,0,0.6541613316261559,0.052772633720777645,0.1289904079419441,0.00392156848,0.0,no_data,,True,,Up,25.0,0.9503783693883128,26.3053125,2.0,False,True,1.2792062499999994,-236.01769968615727
eth-updown-5m-1778333400,1778333100,Up,2314.37,3,1,1,1,0.8269961977186315,0.2562613561299507,-0.11434149831512316,0.00665985152,1.0,no_data,,False,momentum_engaged,,,,,,,,,
eth-updown-5m-1778333700,1778333400,Down,2314.09,3,1,1,0,0.8695817490493895,-0.14505707398417153,-0.3639026849604288,0.00168,0.0,no_data,,True,,Up,25.0,0.7917029530520149,31.5775,3.0,False,False,-25.0,-261.01769968615724
eth-updown-5m-1778334000,1778333700,Down,2314.76,3,1,1,0,0.7676806083649719,0.07381987728259003,0.18328969320647504,0.00168,0.0,no_data,,False,vwap_guard_0.170<0.30,,,,,,,,,
eth-updown-5m-1778334300,1778334000,Up,2312.03,3,1,1,1,0.8293213828425036,0.2775280267854986,-0.060856466236253515,0.0062353776,1.0,no_data,,False,momentum_engaged,,,,,,,,,
eth-updown-5m-1778334600,1778334300,Down,2313.77,3,1,0,0,0.6194805194805317,-0.1214551028615044,-0.304897757153761,0.00168,0.0,no_data,,False,abstention_1_of_2,,,,,,,,,
eth-updown-5m-1778334900,1778334600,Up,2312.6,3,1,1,1,0.7545454545454784,0.32583433250633587,0.061048141745839724,0.00471691936,1.0,no_data,,False,momentum_engaged,,,,,,,,,
eth-updown-5m-1778335200,1778334900,Down,2313.56,3,1,0,0,0.6437229437229608,0.05086749147413891,0.12590872868534728,0.00168,0.0,no_data,,False,abstention_1_of_2,,,,,,,,,
eth-updown-5m-1778335500,1778335200,Down,2313.85,3,1,0,0,0.6102453102453307,-0.13616740545862663,-0.3405361606265666,0.00015686264,0.0,no_data,,False,abstention_1_of_2,,,,,,,,,
eth-updown-5m-1778335800,1778335500,Up,2313.43,3,1,1,1,0.6587301587301887,0.1821088741808852,0.455272185452213,0.0,0.0,no_data,,False,momentum_engaged,,,,,,,,,
eth-updown-5m-1778336100,1778335800,Down,2314.06,3,1,1,1,0.8689497716894852,0.3482238221229816,0.11950378618745396,0.00140769216,1.0,no_data,,False,momentum_engaged,,,,,,,,,
eth-updown-5m-1778336400,1778336100,Down,2312.68,3,1,1,0,0.7453102453102773,-0.11456960681186756,-0.2864240170296689,0.0,0.0,no_data,,True,,Up,25.0,0.59,42.37288135593221,1.0,False,False,-25.0,-286.01769968615724
eth-updown-5m-1778336700,1778336400,Down,2312.96,3,1,1,0,0.7129870129870212,0.03255075747550011,0.08011689368875027,0.00168,0.0,no_data,,False,vwap_guard_0.170<0.30,,,,,,,,,
eth-updown-5m-1778337000,1778336700,Down,2307.3,3,1,1,0,0.7241820768136468,0.08960937414730219,0.21614853364825545,0.010499868959999999,0.0,no_data,,True,,Up,25.0,0.5251892663205042,47.60188679245283,2.0,False,False,-25.0,-311.01769968615724
eth-updown-5m-1778337300,1778337000,Down,2307.76,3,1,1,0,0.698008534850629,-0.06187885568386082,-0.15589713920965204,0.0016,0.0,no_data,,True,,Up,25.0,0.7600000000000001,32.89473684210526,1.0,False,False,-25.0,-336.01769968615724
eth-updown-5m-1778337600,1778337300,Up,2307.54,3,1,1,1,0.7105263157894771,0.20182517121995944,-0.24654563195010135,0.0014780799999999999,1.0,no_data,,False,momentum_engaged,,,,,,,,,
eth-updown-5m-1778337900,1778337600,Up,2306.55,3,1,1,0,0.7668563300142159,0.08325646811999872,0.2081411702999968,0.0,0.0,no_data,,True,,Up,25.0,0.6033988169426474,41.43196721311476,2.0,False,True,16.103327868852464,-319.91437181730475
eth-updown-5m-1778338200,1778337900,Down,2309.0,3,1,0,-1,0.6274537695590338,-0.30614375210508715,-0.7653593802627179,0.0,0.0,no_data,,False,momentum_engaged,,,,,,,,,
eth-updown-5m-1778338500,1778338200,Up,2307.46,3,1,1,1,0.715078236130867,0.2501730328856829,-0.1333696618657928,0.01173632544,1.0,no_data,,False,momentum_engaged,,,,,,,,,
eth-updown-5m-1778338800,1778338500,Down,2307.51,3,1,1,0,0.7122332859174854,-0.0787824168872745,-0.19695604221818622,0.0,0.0,no_data,,True,,Up,25.0,0.5257936507936508,47.54716981132076,2.0,False,False,-25.0,-344.91437181730475
