fired,skip_reason,slug,ws_s,outcome_truth,current_px,trend_align,v_trend,v_levels,v_momentum,p_up_levels,score_momentum,bb_position,rsi14,direction,stake_usd,vwap_entry,shares,hit_levels,underfilled,won,pnl_usd,balance_cum_usd
False,pre_open_4.70<13.00,btc-updown-5m-1777005900,1777005600,Up,,,,,,,,,,,,,,,,,,
False,pre_open_4.78<13.00,btc-updown-5m-1777006200,1777005900,Down,,,,,,,,,,,,,,,,,,
False,pre_open_4.87<13.00,btc-updown-5m-1777006500,1777006200,Down,,,,,,,,,,,,,,,,,,
False,pre_open_4.95<13.00,btc-updown-5m-1777006800,1777006500,Up,,,,,,,,,,,,,,,,,,
False,pre_open_5.03<13.00,btc-updown-5m-1777007100,1777006800,Down,,,,,,,,,,,,,,,,,,
False,pre_open_5.12<13.00,btc-updown-5m-1777007400,1777007100,Down,,,,,,,,,,,,,,,,,,
False,pre_open_5.20<13.00,btc-updown-5m-1777007700,1777007400,Down,,,,,,,,,,,,,,,,,,
False,pre_open_5.28<13.00,btc-updown-5m-1777008000,1777007700,Up,,,,,,,,,,,,,,,,,,
False,pre_open_5.37<13.00,btc-updown-5m-1777008300,1777008000,Up,,,,,,,,,,,,,,,,,,
False,pre_open_5.45<13.00,btc-updown-5m-1777008600,1777008300,Up,,,,,,,,,,,,,,,,,,
False,pre_open_5.53<13.00,btc-updown-5m-1777008900,1777008600,Up,,,,,,,,,,,,,,,,,,
False,pre_open_5.62<13.00,btc-updown-5m-1777009200,1777008900,Down,,,,,,,,,,,,,,,,,,
False,pre_open_5.70<13.00,btc-updown-5m-1777009500,1777009200,Up,,,,,,,,,,,,,,,,,,
False,pre_open_5.78<13.00,btc-updown-5m-1777009800,1777009500,Down,,,,,,,,,,,,,,,,,,
False,pre_open_5.87<13.00,btc-updown-5m-1777010100,1777009800,Up,,,,,,,,,,,,,,,,,,
False,pre_open_5.95<13.00,btc-updown-5m-1777010400,1777010100,Down,,,,,,,,,,,,,,,,,,
False,pre_open_6.03<13.00,btc-updown-5m-1777010700,1777010400,Up,,,,,,,,,,,,,,,,,,
False,pre_open_6.12<13.00,btc-updown-5m-1777011000,1777010700,Up,,,,,,,,,,,,,,,,,,
False,pre_open_6.20<13.00,btc-updown-5m-1777011300,1777011000,Up,,,,,,,,,,,,,,,,,,
False,pre_open_6.28<13.00,btc-updown-5m-1777011600,1777011300,Down,,,,,,,,,,,,,,,,,,
False,pre_open_6.37<13.00,btc-updown-5m-1777011900,1777011600,Down,,,,,,,,,,,,,,,,,,
False,pre_open_6.45<13.00,btc-updown-5m-1777012200,1777011900,Up,,,,,,,,,,,,,,,,,,
False,pre_open_6.53<13.00,btc-updown-5m-1777012500,1777012200,Down,,,,,,,,,,,,,,,,,,
False,pre_open_6.62<13.00,btc-updown-5m-1777012800,1777012500,Down,,,,,,,,,,,,,,,,,,
False,pre_open_6.70<13.00,btc-updown-5m-1777013100,1777012800,Up,,,,,,,,,,,,,,,,,,
False,pre_open_6.78<13.00,btc-updown-5m-1777013400,1777013100,Up,,,,,,,,,,,,,,,,,,
False,pre_open_6.87<13.00,btc-updown-5m-1777013700,1777013400,Down,,,,,,,,,,,,,,,,,,
False,pre_open_6.95<13.00,btc-updown-5m-1777014000,1777013700,Down,,,,,,,,,,,,,,,,,,
False,pre_open_7.03<13.00,btc-updown-5m-1777014300,1777014000,Up,,,,,,,,,,,,,,,,,,
False,pre_open_7.12<13.00,btc-updown-5m-1777014600,1777014300,Down,,,,,,,,,,,,,,,,,,
False,pre_open_7.20<13.00,btc-updown-5m-1777014900,1777014600,Down,,,,,,,,,,,,,,,,,,
False,pre_open_7.28<13.00,btc-updown-5m-1777015200,1777014900,Down,,,,,,,,,,,,,,,,,,
False,pre_open_7.37<13.00,btc-updown-5m-1777015500,1777015200,Up,,,,,,,,,,,,,,,,,,
False,pre_open_7.45<13.00,btc-updown-5m-1777015800,1777015500,Down,,,,,,,,,,,,,,,,,,
False,pre_open_7.53<13.00,btc-updown-5m-1777016100,1777015800,Up,,,,,,,,,,,,,,,,,,
False,pre_open_7.62<13.00,btc-updown-5m-1777016400,1777016100,Down,,,,,,,,,,,,,,,,,,
False,pre_open_7.70<13.00,btc-updown-5m-1777016700,1777016400,Up,,,,,,,,,,,,,,,,,,
False,pre_open_7.78<13.00,btc-updown-5m-1777017000,1777016700,Down,,,,,,,,,,,,,,,,,,
False,pre_open_7.87<13.00,btc-updown-5m-1777017300,1777017000,Down,,,,,,,,,,,,,,,,,,
False,pre_open_7.95<13.00,btc-updown-5m-1777017600,1777017300,Down,,,,,,,,,,,,,,,,,,
False,pre_open_8.03<13.00,btc-updown-5m-1777017900,1777017600,Up,,,,,,,,,,,,,,,,,,
False,pre_open_8.12<13.00,btc-updown-5m-1777018200,1777017900,Up,,,,,,,,,,,,,,,,,,
False,pre_open_8.20<13.00,btc-updown-5m-1777018500,1777018200,Up,,,,,,,,,,,,,,,,,,
False,pre_open_8.28<13.00,btc-updown-5m-1777018800,1777018500,Up,,,,,,,,,,,,,,,,,,
False,pre_open_8.37<13.00,btc-updown-5m-1777019100,1777018800,Down,,,,,,,,,,,,,,,,,,
False,pre_open_8.45<13.00,btc-updown-5m-1777019400,1777019100,Down,,,,,,,,,,,,,,,,,,
False,pre_open_8.53<13.00,btc-updown-5m-1777019700,1777019400,Up,,,,,,,,,,,,,,,,,,
False,pre_open_8.62<13.00,btc-updown-5m-1777020000,1777019700,Down,,,,,,,,,,,,,,,,,,
False,pre_open_8.70<13.00,btc-updown-5m-1777020300,1777020000,Up,,,,,,,,,,,,,,,,,,
False,pre_open_8.78<13.00,btc-updown-5m-1777020600,1777020300,Up,,,,,,,,,,,,,,,,,,
False,pre_open_8.87<13.00,btc-updown-5m-1777020900,1777020600,Down,,,,,,,,,,,,,,,,,,
False,pre_open_8.95<13.00,btc-updown-5m-1777021200,1777020900,Down,,,,,,,,,,,,,,,,,,
False,pre_open_9.03<13.00,btc-updown-5m-1777021500,1777021200,Down,,,,,,,,,,,,,,,,,,
False,pre_open_9.12<13.00,btc-updown-5m-1777021800,1777021500,Up,,,,,,,,,,,,,,,,,,
False,pre_open_9.20<13.00,btc-updown-5m-1777022100,1777021800,Up,,,,,,,,,,,,,,,,,,
False,pre_open_9.28<13.00,btc-updown-5m-1777022400,1777022100,Down,,,,,,,,,,,,,,,,,,
False,pre_open_9.37<13.00,btc-updown-5m-1777022700,1777022400,Down,,,,,,,,,,,,,,,,,,
False,pre_open_9.45<13.00,btc-updown-5m-1777023000,1777022700,Up,,,,,,,,,,,,,,,,,,
False,pre_open_9.53<13.00,btc-updown-5m-1777023300,1777023000,Up,,,,,,,,,,,,,,,,,,
False,pre_open_9.62<13.00,btc-updown-5m-1777023600,1777023300,Up,,,,,,,,,,,,,,,,,,
False,pre_open_9.70<13.00,btc-updown-5m-1777023900,1777023600,Down,,,,,,,,,,,,,,,,,,
False,pre_open_9.78<13.00,btc-updown-5m-1777024200,1777023900,Up,,,,,,,,,,,,,,,,,,
False,pre_open_9.87<13.00,btc-updown-5m-1777024500,1777024200,Down,,,,,,,,,,,,,,,,,,
False,pre_open_9.95<13.00,btc-updown-5m-1777024800,1777024500,Down,,,,,,,,,,,,,,,,,,
False,pre_open_10.03<13.00,btc-updown-5m-1777025100,1777024800,Up,,,,,,,,,,,,,,,,,,
False,pre_open_10.12<13.00,btc-updown-5m-1777025400,1777025100,Up,,,,,,,,,,,,,,,,,,
False,pre_open_10.20<13.00,btc-updown-5m-1777025700,1777025400,Up,,,,,,,,,,,,,,,,,,
False,pre_open_10.28<13.00,btc-updown-5m-1777026000,1777025700,Up,,,,,,,,,,,,,,,,,,
False,pre_open_10.37<13.00,btc-updown-5m-1777026300,1777026000,Up,,,,,,,,,,,,,,,,,,
False,pre_open_10.45<13.00,btc-updown-5m-1777026600,1777026300,Down,,,,,,,,,,,,,,,,,,
False,pre_open_10.53<13.00,btc-updown-5m-1777026900,1777026600,Up,,,,,,,,,,,,,,,,,,
False,pre_open_10.62<13.00,btc-updown-5m-1777027200,1777026900,Up,,,,,,,,,,,,,,,,,,
False,pre_open_10.70<13.00,btc-updown-5m-1777027500,1777027200,Up,,,,,,,,,,,,,,,,,,
False,pre_open_10.78<13.00,btc-updown-5m-1777027800,1777027500,Up,,,,,,,,,,,,,,,,,,
False,pre_open_10.87<13.00,btc-updown-5m-1777028100,1777027800,Up,,,,,,,,,,,,,,,,,,
False,pre_open_10.95<13.00,btc-updown-5m-1777028400,1777028100,Up,,,,,,,,,,,,,,,,,,
False,pre_open_11.03<13.00,btc-updown-5m-1777028700,1777028400,Up,,,,,,,,,,,,,,,,,,
False,pre_open_11.12<13.00,btc-updown-5m-1777029000,1777028700,Up,,,,,,,,,,,,,,,,,,
False,pre_open_11.20<13.00,btc-updown-5m-1777029300,1777029000,Down,,,,,,,,,,,,,,,,,,
False,pre_open_11.28<13.00,btc-updown-5m-1777029600,1777029300,Up,,,,,,,,,,,,,,,,,,
False,pre_open_11.37<13.00,btc-updown-5m-1777029900,1777029600,Up,,,,,,,,,,,,,,,,,,
False,pre_open_11.45<13.00,btc-updown-5m-1777030200,1777029900,Up,,,,,,,,,,,,,,,,,,
False,pre_open_11.53<13.00,btc-updown-5m-1777030500,1777030200,Down,,,,,,,,,,,,,,,,,,
False,pre_open_11.62<13.00,btc-updown-5m-1777030800,1777030500,Up,,,,,,,,,,,,,,,,,,
False,pre_open_11.70<13.00,btc-updown-5m-1777031100,1777030800,Down,,,,,,,,,,,,,,,,,,
False,pre_open_11.78<13.00,btc-updown-5m-1777031400,1777031100,Down,,,,,,,,,,,,,,,,,,
False,pre_open_11.87<13.00,btc-updown-5m-1777031700,1777031400,Up,,,,,,,,,,,,,,,,,,
False,pre_open_11.95<13.00,btc-updown-5m-1777032000,1777031700,Down,,,,,,,,,,,,,,,,,,
False,pre_open_12.03<13.00,btc-updown-5m-1777032300,1777032000,Down,,,,,,,,,,,,,,,,,,
False,pre_open_12.12<13.00,btc-updown-5m-1777032600,1777032300,Up,,,,,,,,,,,,,,,,,,
False,pre_open_12.20<13.00,btc-updown-5m-1777032900,1777032600,Down,,,,,,,,,,,,,,,,,,
False,pre_open_12.28<13.00,btc-updown-5m-1777033200,1777032900,Up,,,,,,,,,,,,,,,,,,
False,pre_open_12.37<13.00,btc-updown-5m-1777033500,1777033200,Down,,,,,,,,,,,,,,,,,,
False,pre_open_12.45<13.00,btc-updown-5m-1777033800,1777033500,Down,,,,,,,,,,,,,,,,,,
False,pre_open_12.53<13.00,btc-updown-5m-1777034100,1777033800,Up,,,,,,,,,,,,,,,,,,
False,pre_open_12.62<13.00,btc-updown-5m-1777034400,1777034100,Down,,,,,,,,,,,,,,,,,,
False,pre_open_12.70<13.00,btc-updown-5m-1777034700,1777034400,Down,,,,,,,,,,,,,,,,,,
False,pre_open_12.78<13.00,btc-updown-5m-1777035000,1777034700,Down,,,,,,,,,,,,,,,,,,
False,pre_open_12.87<13.00,btc-updown-5m-1777035300,1777035000,Up,,,,,,,,,,,,,,,,,,
False,pre_open_12.95<13.00,btc-updown-5m-1777035600,1777035300,Up,,,,,,,,,,,,,,,,,,
False,abstention_1_of_2,btc-updown-5m-1777035900,1777035600,Up,78330.8,0.0,0.0,-1.0,0.0,0.13035817318362236,-0.11399055467821013,no_data,,,,,,,,,,
False,momentum_engaged,btc-updown-5m-1777036200,1777035900,Down,78401.4,0.0,0.0,-1.0,1.0,0.22013958715324755,0.2286344549400856,no_data,,,,,,,,,,
False,momentum_engaged,btc-updown-5m-1777036500,1777036200,Up,78408.46,0.0,0.0,-1.0,-1.0,0.2034364464422705,-0.15944836218554076,no_data,,,,,,,,,,
False,abstention_1_of_2,btc-updown-5m-1777036800,1777036500,Down,78327.49,0.0,0.0,-1.0,0.0,0.14211086946873175,-0.029334034978240456,no_data,,,,,,,,,,
False,momentum_engaged,btc-updown-5m-1777037100,1777036800,Down,78359.66,0.0,0.0,-1.0,1.0,0.1399783399087115,0.15832062410892092,no_data,,,,,,,,,,
False,momentum_engaged,btc-updown-5m-1777037400,1777037100,Up,78170.29,0.0,0.0,0.0,1.0,0.47293347252542683,0.1833247624020068,no_data,,,,,,,,,,
False,momentum_engaged,btc-updown-5m-1777037700,1777037400,Down,78128.61,0.0,0.0,1.0,1.0,0.7893802790167553,0.20358078494183088,no_data,,,,,,,,,,
False,momentum_engaged,btc-updown-5m-1777038000,1777037700,Down,78169.61,0.0,0.0,0.0,-1.0,0.47809623232417753,-0.18985130937732075,no_data,,,,,,,,,,
False,momentum_engaged,btc-updown-5m-1777038300,1777038000,Down,78167.73,0.0,0.0,0.0,-1.0,0.49236974470914086,-0.22267066792954093,no_data,,,,,,,,,,
False,abstention_2_of_2,btc-updown-5m-1777038600,1777038300,Down,78222.22,0.0,0.0,0.0,0.0,0.5158892192978503,-0.048455742928372375,no_data,,,,,,,,,,
False,momentum_engaged,btc-updown-5m-1777038900,1777038600,Up,78060.32,0.0,0.0,0.0,1.0,0.5762282507015798,0.3553203475225135,no_data,,,,,,,,,,
False,momentum_engaged,btc-updown-5m-1777039200,1777038900,Down,77968.0,0.0,0.0,0.0,1.0,0.6351170568562263,0.27283440708634,no_data,,,,,,,,,,
False,momentum_engaged,btc-updown-5m-1777039500,1777039200,Up,77979.53,0.0,0.0,0.0,-1.0,0.44230769230773676,-0.29088015982814935,no_data,,,,,,,,,,
False,abstention_2_of_2,btc-updown-5m-1777039800,1777039500,Down,77900.0,0.0,0.0,0.0,0.0,0.5571428571428572,0.03436028842142902,no_data,,,,,,,,,,
False,abstention_1_of_2,btc-updown-5m-1777040100,1777039800,Up,77989.4,0.0,0.0,-1.0,0.0,0.2772575250837223,-0.005454564201973551,no_data,,,,,,,,,,
False,momentum_engaged,btc-updown-5m-1777040400,1777040100,Down,77913.58,0.0,0.0,0.0,1.0,0.49506285714284914,0.19145259032113832,no_data,,,,,,,,,,
False,abstention_2_of_2,btc-updown-5m-1777040700,1777040400,Down,77915.03,0.0,0.0,0.0,0.0,0.48843428571429104,0.08085432195027842,no_data,,,,,,,,,,
False,abstention_2_of_2,btc-updown-5m-1777041000,1777040700,Up,77770.46,0.0,0.0,0.0,0.0,0.5394897446329706,-0.020470484770745583,no_data,,,,,,,,,,
False,abstention_2_of_2,btc-updown-5m-1777041300,1777041000,Up,77771.03,0.0,0.0,0.0,0.0,0.5383983916904008,-0.03127688295602444,no_data,,,,,,,,,,
False,abstention_1_of_2,btc-updown-5m-1777041600,1777041300,Down,77875.01,0.0,0.0,1.0,0.0,0.671382857142881,0.016495217133139978,no_data,,,,,,,,,,
False,abstention_2_of_2,btc-updown-5m-1777041900,1777041600,Down,77904.01,0.0,0.0,0.0,0.0,0.5388114285714525,-0.01546938438478365,no_data,,,,,,,,,,
False,abstention_1_of_2,btc-updown-5m-1777042200,1777041900,Up,78045.72,0.0,0.0,-1.0,0.0,0.19047303061897103,-0.009371271740448888,no_data,,,,,,,,,,
False,momentum_engaged,btc-updown-5m-1777042500,1777042200,Up,77963.65,0.0,0.0,1.0,-1.0,0.707859531772717,-0.20734310315333293,no_data,,,,,,,,,,
False,momentum_engaged,btc-updown-5m-1777042800,1777042500,Down,78046.61,0.0,0.0,-1.0,1.0,0.1837235756943374,1.0,no_data,,,,,,,,,,
False,momentum_engaged,btc-updown-5m-1777043100,1777042800,Down,77881.77,0.0,0.0,0.0,1.0,0.6404799999999814,1.0,no_data,,,,,,,,,,
False,abstention_2_of_2,btc-updown-5m-1777043400,1777043100,Up,77633.4,0.0,0.0,0.0,0.0,0.6284748906850662,0.09723833312165729,no_data,,,,,,,,,,
False,abstention_1_of_2,btc-updown-5m-1777043700,1777043400,Down,77729.1,0.0,0.0,-1.0,0.0,0.12125347820323146,0.05674451348994726,no_data,,,,,,,,,,
False,abstention_2_of_2,btc-updown-5m-1777044000,1777043700,Up,77762.0,0.0,0.0,0.0,0.0,0.5556877198860761,-0.06994317569336435,no_data,,,,,,,,,,
False,abstention_2_of_2,btc-updown-5m-1777044300,1777044000,Up,77744.03,0.0,0.0,0.0,0.0,0.5900940573917623,-0.08866084681266287,no_data,,,,,,,,,,
False,momentum_engaged,btc-updown-5m-1777044600,1777044300,Up,77837.62,0.0,0.0,1.0,-1.0,0.8423085714285927,-0.26504267766375755,no_data,,,,,,,,,,
False,abstention_1_of_2,btc-updown-5m-1777044900,1777044600,Down,77850.65,0.0,0.0,1.0,0.0,0.7827428571428838,0.02385972213112713,no_data,,,,,,,,,,
False,momentum_engaged,btc-updown-5m-1777045200,1777044900,Up,77770.46,0.0,0.0,0.0,-1.0,0.5394897446329706,-0.2218496088880397,no_data,,,,,,,,,,
False,abstention_2_of_2,btc-updown-5m-1777045500,1777045200,Down,77747.09,0.0,0.0,0.0,0.0,0.5842352152789458,-0.11767283730555532,no_data,,,,,,,,,,
False,abstention_1_of_2,btc-updown-5m-1777045800,1777045500,Up,78055.39,0.0,0.0,-1.0,0.0,0.11713906531420953,0.03538632628689898,no_data,,,,,,,,,,
False,momentum_engaged,btc-updown-5m-1777046100,1777045800,Up,78032.49,0.0,0.0,-1.0,-1.0,0.29080481562226684,-0.20456525070788023,no_data,,,,,,,,,,
False,abstention_2_of_2,btc-updown-5m-1777046400,1777046100,Down,77977.01,0.0,0.0,0.0,0.0,0.4844481605352327,0.04617334237647147,no_data,,,,,,,,,,
False,abstention_2_of_2,btc-updown-5m-1777046700,1777046400,Down,77935.26,0.0,0.0,0.0,0.0,0.3959542857143097,-0.02613522346021001,no_data,,,,,,,,,,
False,abstention_2_of_2,btc-updown-5m-1777047000,1777046700,Down,78021.71,0.0,0.0,0.0,0.0,0.3725566404397834,-0.03125711374402448,no_data,,,,,,,,,,
False,momentum_engaged,btc-updown-5m-1777047300,1777047000,Down,77946.5,0.0,0.0,-1.0,1.0,0.34457142857142853,0.26585428108981385,no_data,,,,,,,,,,
False,abstention_2_of_2,btc-updown-5m-1777047600,1777047300,Up,77775.78,0.0,0.0,0.0,0.0,0.5293037838355317,-0.06277394577966919,no_data,,,,,,,,,,
False,abstention_2_of_2,btc-updown-5m-1777047900,1777047600,Down,77680.64,0.0,0.0,0.0,0.0,0.3780972571882886,-0.05039924706875775,no_data,,,,,,,,,,
False,abstention_1_of_2,btc-updown-5m-1777048200,1777047900,Up,77729.99,0.0,0.0,-1.0,0.0,0.11653637206834655,-0.07667197047059104,no_data,,,,,,,,,,
False,abstention_2_of_2,btc-updown-5m-1777048500,1777048200,Down,77780.01,0.0,0.0,0.0,0.0,0.5212047962089927,0.034968563731913795,no_data,,,,,,,,,,
False,momentum_engaged,btc-updown-5m-1777048800,1777048500,Down,77842.83,0.0,0.0,1.0,1.0,0.8184914285714207,1.0,no_data,,,,,,,,,,
False,momentum_engaged,btc-updown-5m-1777049100,1777048800,Down,77588.01,0.0,0.0,1.0,1.0,0.8690473035643492,0.17060339862204418,no_data,,,,,,,,,,
False,abstention_2_of_2,btc-updown-5m-1777049400,1777049100,Up,77740.65,0.0,0.0,0.0,0.0,0.5965655888758676,-0.022568218064769843,no_data,,,,,,,,,,
False,momentum_engaged,btc-updown-5m-1777049700,1777049400,Up,77640.9,0.0,0.0,0.0,1.0,0.5887239962899429,0.19725320015108905,no_data,,,,,,,,,,
False,abstention_1_of_2,btc-updown-5m-1777050000,1777049700,Down,77700.01,0.0,0.0,-1.0,0.0,0.27543394726384157,-0.12498034413868662,no_data,,,,,,,,,,
False,abstention_1_of_2,btc-updown-5m-1777050300,1777050000,Down,77707.49,0.0,0.0,-1.0,0.0,0.2357890552537164,0.09094245602518392,no_data,,,,,,,,,,
False,abstention_1_of_2,btc-updown-5m-1777050600,1777050300,Up,77698.84,0.0,0.0,-1.0,0.0,0.2816350867894716,-0.009818308142772843,no_data,,,,,,,,,,
False,abstention_2_of_2,btc-updown-5m-1777050900,1777050600,Down,77751.26,0.0,0.0,0.0,0.0,0.5762511069095166,0.03717914614361508,no_data,,,,,,,,,,
False,momentum_engaged,btc-updown-5m-1777051200,1777050900,Down,77727.99,0.0,0.0,-1.0,-1.0,0.12713661057371278,-0.15059409657452325,no_data,,,,,,,,,,
False,abstention_1_of_2,btc-updown-5m-1777051500,1777051200,Up,77615.28,0.0,0.0,1.0,0.0,0.7245130515436593,-0.0860172188302106,no_data,,,,,,,,,,
False,abstention_1_of_2,btc-updown-5m-1777051800,1777051500,Down,77623.66,0.0,0.0,1.0,0.0,0.6800980522061503,0.11664326906567823,no_data,,,,,,,,,,
False,abstention_1_of_2,btc-updown-5m-1777052100,1777051800,Up,77689.85,0.0,0.0,-1.0,0.0,0.3292831588710433,-0.07016704509359824,no_data,,,,,,,,,,
False,abstention_1_of_2,btc-updown-5m-1777052400,1777052100,Up,77598.03,0.0,0.0,1.0,0.0,0.8159401086524429,0.1077274717551151,no_data,,,,,,,,,,
False,abstention_2_of_2,btc-updown-5m-1777052700,1777052400,Up,77569.09,0.0,0.0,0.0,0.0,0.5752308862410017,-0.1423461953730201,no_data,,,,,,,,,,
False,momentum_engaged,btc-updown-5m-1777053000,1777052700,Up,77580.01,0.0,0.0,1.0,-1.0,0.885682211816057,-0.20713112445444778,no_data,,,,,,,,,,
False,abstention_2_of_2,btc-updown-5m-1777053300,1777053000,Down,77670.51,0.0,0.0,0.0,0.0,0.43178746521799316,0.008580340174249424,no_data,,,,,,,,,,
False,abstention_2_of_2,btc-updown-5m-1777053600,1777053300,Down,77794.79,0.0,0.0,0.0,0.0,0.49290620587321265,0.12207402162528946,no_data,,,,,,,,,,
False,abstention_2_of_2,btc-updown-5m-1777053900,1777053600,Down,77651.54,0.0,0.0,0.0,0.0,0.5323307274413978,0.018033847186145677,no_data,,,,,,,,,,
False,momentum_engaged,btc-updown-5m-1777054200,1777053900,Down,77641.99,0.0,0.0,0.0,-1.0,0.5829468663044597,-0.17871674260269832,no_data,,,,,,,,,,
False,momentum_engaged,btc-updown-5m-1777054500,1777054200,Down,77659.44,0.0,0.0,0.0,1.0,0.490459785345155,0.27515425603571697,no_data,,,,,,,,,,
False,abstention_1_of_2,btc-updown-5m-1777054800,1777054500,Up,77424.14,0.0,0.0,1.0,0.0,0.8465297493204367,-0.020951613295862433,no_data,,,,,,,,,,
False,abstention_1_of_2,btc-updown-5m-1777055100,1777054800,Down,77466.48,0.0,0.0,1.0,0.0,0.8725326862482463,0.06509494142446459,no_data,,,,,,,,,,
False,abstention_1_of_2,btc-updown-5m-1777055400,1777055100,Up,77537.14,0.0,0.0,1.0,0.0,0.6678026873347601,-0.08598653322292123,no_data,,,,,,,,,,
False,abstention_1_of_2,btc-updown-5m-1777055700,1777055400,Down,77528.24,0.0,0.0,1.0,0.0,0.6935895114265906,0.06541548875041303,no_data,,,,,,,,,,
False,abstention_1_of_2,btc-updown-5m-1777056000,1777055700,Up,77581.43,0.0,0.0,1.0,0.0,0.8783950221310315,-0.14830756441318507,no_data,,,,,,,,,,
False,abstention_1_of_2,btc-updown-5m-1777056300,1777056000,Down,77522.0,0.0,0.0,1.0,0.0,0.7116692622505527,0.07540275158939869,no_data,,,,,,,,,,
False,momentum_engaged,btc-updown-5m-1777056600,1777056300,Up,77609.36,0.0,0.0,1.0,1.0,0.755889757519534,0.2669945537401356,no_data,,,,,,,,,,
False,momentum_engaged,btc-updown-5m-1777056900,1777056600,Up,77580.0,0.0,0.0,1.0,-1.0,0.8857335300532486,-0.17372111893030906,no_data,,,,,,,,,,
False,momentum_engaged,btc-updown-5m-1777057200,1777056900,Up,77593.34,0.0,0.0,1.0,1.0,0.8407976679475391,1.0,no_data,,,,,,,,,,
False,abstention_1_of_2,btc-updown-5m-1777057500,1777057200,Down,77729.37,0.0,0.0,-1.0,0.0,0.11982244600506253,-0.07655835727677136,no_data,,,,,,,,,,
False,abstention_2_of_2,btc-updown-5m-1777057800,1777057500,Up,77576.15,0.0,0.0,0.0,0.0,0.5547752707254531,-0.08714200724160892,no_data,,,,,,,,,,
False,momentum_engaged,btc-updown-5m-1777058100,1777057800,Up,77603.51,0.0,0.0,1.0,-1.0,0.7868954551477612,-0.17679510340550597,no_data,,,,,,,,,,
False,abstention_2_of_2,btc-updown-5m-1777058400,1777058100,Down,77646.86,0.0,0.0,0.0,0.0,0.5571352855439177,-0.0896561920684204,no_data,,,,,,,,,,
False,abstention_1_of_2,btc-updown-5m-1777058700,1777058400,Up,77606.74,0.0,0.0,1.0,0.0,0.7697760699615391,0.12813844962119067,no_data,,,,,,,,,,
