slug,ws_s,outcome_truth,current_px,trend_align,v_trend,v_levels,v_momentum,p_up_levels,score_momentum,mom_imb_l5,mom_cvd_norm,mom_aggressor,bb_position,rsi14,fired,skip_reason,direction,stake_usd,vwap_entry,shares,hit_levels,underfilled,won,pnl_usd,balance_cum_usd
sol-updown-5m-1778503500,1778503200,Down,95.09,3,1,0,0,0.6417721518987314,-0.07678265770734458,-0.19195664426836143,0.0,0.0,no_data,,False,abstention_1_of_2,,,,,,,,,
sol-updown-5m-1778503800,1778503500,Down,95.12,3,1,0,0,0.6265822784810092,0.0014779627905763923,0.0036949069764409806,0.0,0.0,no_data,,False,abstention_1_of_2,,,,,,,,,
sol-updown-5m-1778504100,1778503800,Down,94.75,3,1,-1,0,0.2818181818181724,-0.07678265770734458,-0.19195664426836143,0.0,0.0,no_data,,False,conflict_pos1_neg1,,,,,,,,,
sol-updown-5m-1778504400,1778504100,Up,94.89,3,1,1,0,0.7430379746835429,-0.12038879816673823,-0.30097199541684555,0.0,0.0,no_data,,True,,Up,25.0,0.9603694155013525,26.031649484536082,2.0,False,True,1.0110164948453606,-556.5860869974114
sol-updown-5m-1778504700,1778504400,Up,94.97,3,1,1,0,0.7025316455696198,-0.05719138653520667,-0.14297846633801667,0.0,0.0,no_data,,True,,Up,25.0,0.5416479782276519,46.15543859649122,6.0,False,True,20.732329824561397,-535.85375717285
sol-updown-5m-1778505000,1778504700,Down,95.21,3,1,0,0,0.5810126582278501,0.055481351057337015,0.13870337764334253,0.0,0.0,no_data,,False,abstention_1_of_2,,,,,,,,,
sol-updown-5m-1778505300,1778505000,Down,95.25,3,1,0,0,0.5607594936708848,0.06480259067974214,0.16200647669935536,0.0,0.0,no_data,,False,abstention_1_of_2,,,,,,,,,
sol-updown-5m-1778505600,1778505300,Up,95.31,3,1,0,0,0.5303797468354406,-0.07488496997253681,-0.18721242493134202,0.0,0.0,no_data,,False,abstention_1_of_2,,,,,,,,,
sol-updown-5m-1778505900,1778505600,Down,95.2,3,1,0,-1,0.586075949367086,-0.17202818767148945,-0.4300704691787236,0.0,0.0,no_data,,False,momentum_engaged,,,,,,,,,
sol-updown-5m-1778506200,1778505900,Down,95.15,3,1,0,0,0.6113924050632871,-0.07488496997253681,-0.18721242493134202,0.0,0.0,no_data,,False,abstention_1_of_2,,,,,,,,,
sol-updown-5m-1778506500,1778506200,Down,95.01,3,1,1,1,0.6822784810126545,0.22730559986633453,-0.18185364731416367,0.00015686264,1.0,no_data,,False,momentum_engaged,,,,,,,,,
sol-updown-5m-1778506800,1778506500,Up,94.6,3,1,1,1,0.8272727272727414,0.20436647189592616,-0.24388382026018457,0.0064,1.0,no_data,,False,momentum_engaged,,,,,,,,,
sol-updown-5m-1778507100,1778506800,Up,95.09,3,1,0,0,0.6417721518987314,0.1293003412766455,-0.42955170144838617,0.00373673952,1.0,no_data,,False,abstention_1_of_2,,,,,,,,,
sol-updown-5m-1778507400,1778507100,Down,95.34,3,1,1,0,0.8809523809523714,0.07665706799725308,0.19164266999313267,0.0,0.0,no_data,,False,vwap_guard_0.080<0.30,,,,,,,,,
sol-updown-5m-1778507700,1778507400,Up,95.18,3,1,0,1,0.596202531645565,0.1674641148325359,0.41866028708133973,0.0,0.0,no_data,,False,momentum_engaged,,,,,,,,,
sol-updown-5m-1778508000,1778507700,Up,95.12,3,1,0,0,0.6265822784810092,-0.05765331993647375,-0.14413329984118436,0.0,0.0,no_data,,False,abstention_1_of_2,,,,,,,,,
sol-updown-5m-1778508300,1778508000,Up,95.48,3,1,1,0,0.747619047619038,0.057883408141731145,0.14470852035432785,0.0,0.0,no_data,,True,,Up,25.0,0.8796823964078361,28.419347826086955,4.0,False,True,3.3509608695652164,-532.5027963032848
sol-updown-5m-1778508600,1778508300,Down,95.84,3,1,0,0,0.404761904761897,0.0953132690285372,-0.516464904268657,0.0063307691199999995,1.0,no_data,,False,abstention_1_of_2,,,,,,,,,
sol-updown-5m-1778508900,1778508600,Down,95.69,2,1,0,0,0.5476190476190447,0.06019999199802704,0.1504999799950676,0.0,0.0,no_data,,False,abstention_1_of_2,,,,,,,,,
sol-updown-5m-1778509200,1778508900,Down,95.75,2,1,0,0,0.4904761904761856,-0.01911507279055375,-0.047787681976384375,0.0,0.0,no_data,,False,abstention_1_of_2,,,,,,,,,
sol-updown-5m-1778509500,1778509200,Down,95.36,2,1,1,0,0.8619047619047562,0.1074398706360163,0.26859967659004075,0.0,0.0,no_data,,True,,Up,25.0,0.550361910401081,45.42465517241379,6.0,False,False,-25.0,-557.5027963032848
sol-updown-5m-1778509800,1778509500,Down,95.14,2,1,0,0,0.6164556962025302,0.05372705733233693,0.1343176433308423,0.0,0.0,no_data,,False,abstention_1_of_2,,,,,,,,,
sol-updown-5m-1778510100,1778509800,Up,94.62,2,1,1,0,0.7545454545454311,0.03622477875261798,0.09056194688154495,0.0,0.0,no_data,,True,,Up,25.0,0.7671094538957508,32.58987341772152,4.0,False,True,7.43807594936709,-550.0647203539177
sol-updown-5m-1778510400,1778510100,Down,94.71,2,1,0,0,0.42727272727274135,0.09379163491378428,0.2344790872844607,0.0,0.0,no_data,,False,abstention_1_of_2,,,,,,,,,
