slug,outcome,n_fills,n_buys,n_sells,n_maker,n_taker,buy_shares,sell_shares,buy_usd,sell_usd,avg_buy_px,avg_sell_px,size_p50,size_p90,first_offset,last_offset,median_offset,n_unique_offsets,mc,asset_sym,slot_start_s,median_book_spread,wallet,span_s,fires_per_min,maker_pct,sell_pct
btc-updown-5m-1778852700,Down,9,0,9,9,0,0.0,399.99446,0.0,69.37623765402168,,0.17555556032392713,16.66666,110.87,153,202,198.0,3,updown_5m,BTC,1778852700,0.01000000536441803,0x04b6d7e9,49,11.020408163265307,100.0,100.0
btc-updown-5m-1778852700,Up,35,0,35,35,0,0.0,925.632237,0.0,328.26682523476245,,0.23228570989200048,5.617972,81.47415400000007,218,267,267.0,5,updown_5m,BTC,1778852700,0.03999999910593033,0x04b6d7e9,49,42.85714285714286,100.0,100.0
btc-updown-5m-1778853000,Down,41,1,40,40,1,200.0,4412.1728060000005,198.00000190734863,3464.968567587379,0.9900000095367432,0.8667500004172325,200.0,200.0,23,262,129.0,8,updown_5m,BTC,1778853000,0.010000050067901611,0x04b6d7e9,239,10.292887029288703,97.5609756097561,97.5609756097561
btc-updown-5m-1778853000,Up,115,0,115,115,0,0.0,3367.097782,0.0,648.4724788985169,,0.16269565389856047,10.0,70.41022080000005,37,283,278.0,14,updown_5m,BTC,1778853000,0.01000000536441803,0x04b6d7e9,246,28.04878048780488,100.0,100.0
btc-updown-5m-1778853300,Down,15,0,15,15,0,0.0,2104.575551,0.0,1994.3213299029164,,0.9366666714350382,170.75,200.0,25,167,115.0,8,updown_5m,BTC,1778853300,0.010000050067901611,0x04b6d7e9,142,6.338028169014084,100.0,100.0
btc-updown-5m-1778853300,Up,57,0,57,57,0,0.0,1865.813883,0.0,160.54349891200044,,0.0917543863975688,5.11111,92.7326186,67,165,106.0,17,updown_5m,BTC,1778853300,0.009999997913837433,0x04b6d7e9,98,34.89795918367347,100.0,100.0
btc-updown-5m-1778853600,Down,48,0,48,48,0,0.0,1595.969612,0.0,468.4492083190578,,0.25791666625688475,11.4957665,116.54145060000005,67,138,135.0,11,updown_5m,BTC,1778853600,0.025000005960464478,0x04b6d7e9,71,40.563380281690144,100.0,100.0
btc-updown-5m-1778853600,Up,28,0,28,28,0,0.0,1206.606223,0.0,1060.6029963735182,,0.6292857250996998,20.055,116.77600000000004,81,231,87.5,12,updown_5m,BTC,1778853600,0.010000020265579224,0x04b6d7e9,150,11.2,100.0,100.0
btc-updown-5m-1778855400,Down,16,0,16,16,0,0.0,447.517697,0.0,187.9436127410734,,0.2799999974668026,10.8456785,59.1973665,241,272,263.5,4,updown_5m,BTC,1778855400,0.049999989569187164,0x04b6d7e9,31,30.96774193548387,100.0,100.0
btc-updown-5m-1778855400,Up,2,0,2,2,0,0.0,214.0,0.0,45.499998688697815,,0.22999999672174454,107.0,181.4,223,228,225.5,2,updown_5m,BTC,1778855400,0.01499999314546585,0x04b6d7e9,5,24.0,100.0,100.0
btc-updown-5m-1778855700,Down,173,0,173,173,0,0.0,2536.865973,0.0,628.2806676592165,,0.2547976865158605,6.0,29.870000000000008,32,275,215.0,28,updown_5m,BTC,1778855700,0.01000000536441803,0x04b6d7e9,243,42.71604938271605,100.0,100.0
btc-updown-5m-1778855700,Up,62,0,62,62,0,0.0,1079.1861330000002,0.0,567.6518926498586,,0.5119354864281993,6.740384000000001,34.482,107,196,187.0,13,updown_5m,BTC,1778855700,0.030000030994415283,0x04b6d7e9,89,41.79775280898876,100.0,100.0
btc-updown-5m-1778856000,Down,86,0,86,86,0,0.0,1377.7124630000003,0.0,338.4907033320731,,0.2891860488195752,5.591666,36.6652165,27,265,60.0,11,updown_5m,BTC,1778856000,0.030000001192092896,0x04b6d7e9,238,21.68067226890756,100.0,100.0
btc-updown-5m-1778856000,Up,4,0,4,4,0,0.0,800.0,0.0,750.000011920929,,0.9375000149011612,200.0,200.0,216,244,232.0,3,updown_5m,BTC,1778856000,0.010000020265579224,0x04b6d7e9,28,8.571428571428571,100.0,100.0
btc-updown-5m-1778856300,Down,3,0,3,3,0,0.0,210.0,0.0,200.79999566078186,,0.9066666563351949,5.0,161.0,96,128,96.0,2,updown_5m,BTC,1778856300,0.009999990463256836,0x04b6d7e9,32,5.625,100.0,100.0
btc-updown-5m-1778856300,Up,17,0,17,17,0,0.0,238.764103,0.0,57.20111005411672,,0.2217647025690359,5.0,28.662701400000003,30,138,33.0,6,updown_5m,BTC,1778856300,0.03999999165534973,0x04b6d7e9,108,9.444444444444445,100.0,100.0
btc-updown-5m-1778856600,Down,162,0,162,162,0,0.0,3287.278449,0.0,1295.4582792315214,,0.395617274498498,7.6941275000000005,50.0,40,230,115.0,24,updown_5m,BTC,1778856600,0.019999980926513672,0x04b6d7e9,190,51.15789473684211,100.0,100.0
btc-updown-5m-1778856600,Up,107,1,106,106,1,1.0,2737.9284420000004,0.9700000286102295,1634.4329983616294,0.9700000286102295,0.46094339917290883,7.575755,67.27023240000005,27,230,129.0,14,updown_5m,BTC,1778856600,0.010000020265579224,0x04b6d7e9,203,31.625615763546797,99.06542056074767,99.06542056074767
btc-updown-5m-1778856900,Down,99,0,99,99,0,0.0,2034.4853180000002,0.0,707.1136727962436,,0.34747474286893404,7.69,50.0,70,263,128.0,18,updown_5m,BTC,1778856900,0.019999995827674866,0x04b6d7e9,193,30.77720207253886,100.0,100.0
btc-updown-5m-1778856900,Up,67,0,67,67,0,0.0,1185.229635,0.0,556.7674522297897,,0.4594029819787438,9.097221,50.0,37,273,77.0,11,updown_5m,BTC,1778856900,0.030000001192092896,0x04b6d7e9,236,17.033898305084747,100.0,100.0
btc-updown-5m-1778857200,Down,49,0,49,49,0,0.0,651.5373719999999,0.0,176.73140891540837,,0.2340816374944181,7.11111,29.913003800000006,73,147,98.0,6,updown_5m,BTC,1778857200,0.01000000536441803,0x04b6d7e9,74,39.729729729729726,100.0,100.0
btc-updown-5m-1778857200,Up,105,0,105,105,0,0.0,990.306479,0.0,425.6896395241739,,0.48371429592370985,5.0,9.298876000000014,54,259,150.0,16,updown_5m,BTC,1778857200,0.009999997913837433,0x04b6d7e9,205,30.731707317073173,100.0,100.0
btc-updown-5m-1778857500,Down,129,1,128,128,1,20.0,2750.268685,9.599999785423279,1158.0181049450212,0.47999998927116394,0.41257812082767487,6.122447,61.65690800000001,43,274,111.0,25,updown_5m,BTC,1778857500,0.009999990463256836,0x04b6d7e9,231,33.506493506493506,99.2248062015504,99.2248062015504
btc-updown-5m-1778857500,Up,131,1,130,130,1,2.55,2747.568416,1.3514999270439148,1385.4845934892355,0.5299999713897705,0.5253846177688012,6.95,50.0,58,247,167.0,23,updown_5m,BTC,1778857500,0.010000050067901611,0x04b6d7e9,189,41.58730158730159,99.23664122137404,99.23664122137404
btc-updown-5m-1778857800,Down,116,0,116,116,0,0.0,1976.135835,0.0,726.9592264224526,,0.35517241317650367,5.0,41.845,26,247,213.0,18,updown_5m,BTC,1778857800,0.010000020265579224,0x04b6d7e9,221,31.49321266968326,100.0,100.0
btc-updown-5m-1778857800,Up,114,0,114,114,0,0.0,2339.28396,0.0,1018.561704419291,,0.5131578892469406,5.0,49.53100000000001,35,268,215.0,21,updown_5m,BTC,1778857800,0.04000002145767212,0x04b6d7e9,233,29.356223175965667,100.0,100.0
btc-updown-5m-1778858100,Down,227,0,227,227,0,0.0,2636.854581,0.0,1085.933376373072,,0.4240088103101117,5.0,23.725447600000006,36,262,186.0,31,updown_5m,BTC,1778858100,0.010000020265579224,0x04b6d7e9,226,60.26548672566372,100.0,100.0
btc-updown-5m-1778858100,Up,85,0,85,85,0,0.0,1456.808806,0.0,757.6260484680835,,0.5418823498136857,8.0,47.386,92,251,118.0,18,updown_5m,BTC,1778858100,0.010000050067901611,0x04b6d7e9,159,32.07547169811321,100.0,100.0
btc-updown-5m-1778858400,Down,188,0,188,188,0,0.0,2672.482315,0.0,714.0300328670089,,0.23707446931524478,5.0,41.23529380000005,18,268,158.0,27,updown_5m,BTC,1778858400,0.01000000536441803,0x04b6d7e9,250,45.12,100.0,100.0
btc-updown-5m-1778858400,Up,101,6,95,95,6,59.21,1532.636284,42.63120169401169,1118.281263503743,0.7200000286102295,0.7481052599455181,5.0,40.0,33,173,166.0,18,updown_5m,BTC,1778858400,0.019999980926513672,0x04b6d7e9,140,43.285714285714285,94.05940594059405,94.05940594059405
btc-updown-5m-1778858700,Down,84,0,84,84,0,0.0,2943.648564,0.0,2505.2099166050975,,0.8166666605642864,18.32,84.49999960000001,55,236,118.0,28,updown_5m,BTC,1778858700,0.009999990463256836,0x04b6d7e9,181,27.845303867403317,100.0,100.0
btc-updown-5m-1778858700,Up,131,0,131,131,0,0.0,2554.0390429999998,0.0,558.1376740615838,,0.1958015252843158,6.179486,50.0,19,173,85.0,30,updown_5m,BTC,1778858700,0.01000000536441803,0x04b6d7e9,154,51.038961038961034,100.0,100.0
btc-updown-5m-1778859000,Down,88,0,88,88,0,0.0,1749.345477,0.0,433.26170133457987,,0.25818181833760306,7.85,50.0,28,224,83.0,20,updown_5m,BTC,1778859000,0.010000020265579224,0x04b6d7e9,196,26.93877551020408,100.0,100.0
btc-updown-5m-1778859000,Up,57,0,57,57,0,0.0,1763.404901,0.0,1329.6905463970731,,0.702807016539992,10.0,83.9970228,63,167,107.0,14,updown_5m,BTC,1778859000,0.009999990463256836,0x04b6d7e9,104,32.88461538461539,100.0,100.0
btc-updown-5m-1778859300,Down,99,0,99,99,0,0.0,2258.868684,0.0,1137.877732298253,,0.512020202297153,5.435481,71.668452,52,224,115.0,23,updown_5m,BTC,1778859300,0.010000050067901611,0x04b6d7e9,172,34.53488372093023,100.0,100.0
btc-updown-5m-1778859300,Up,114,0,114,114,0,0.0,2227.7026319999995,0.0,827.3086890426695,,0.3496491247624682,7.246374,50.0,38,264,171.0,26,updown_5m,BTC,1778859300,0.010000020265579224,0x04b6d7e9,226,30.265486725663717,100.0,100.0
btc-updown-5m-1778859600,Down,143,0,143,143,0,0.0,2749.594438,0.0,1126.5747181507882,,0.4112587431510845,5.0,50.0,37,256,116.0,30,updown_5m,BTC,1778859600,0.030000001192092896,0x04b6d7e9,219,39.178082191780824,100.0,100.0
btc-updown-5m-1778859600,Up,130,0,130,130,0,0.0,2458.3870479999996,0.0,1099.1905936195226,,0.4653076898593169,5.0,47.10000000000001,30,263,196.0,20,updown_5m,BTC,1778859600,0.030000001192092896,0x04b6d7e9,233,33.47639484978541,100.0,100.0
btc-updown-5m-1778859900,Down,85,0,85,85,0,0.0,2288.43331,0.0,1016.8050282237026,,0.45435294403749354,7.0,92.78400000000015,61,178,133.0,19,updown_5m,BTC,1778859900,0.009999990463256836,0x04b6d7e9,117,43.58974358974359,100.0,100.0
btc-updown-5m-1778859900,Up,78,0,78,78,0,0.0,2779.038076,0.0,2190.409773971262,,0.6123076982987232,9.3229405,141.725,68,222,140.0,19,updown_5m,BTC,1778859900,0.010000050067901611,0x04b6d7e9,154,30.389610389610386,100.0,100.0
btc-updown-5m-1778860200,Down,143,0,143,143,0,0.0,2353.158322,0.0,573.8675131354858,,0.2113986003336373,5.593411,50.0,31,190,95.0,28,updown_5m,BTC,1778860200,0.01000000536441803,0x04b6d7e9,159,53.9622641509434,100.0,100.0
btc-updown-5m-1778860200,Up,72,0,72,72,0,0.0,2433.152782,0.0,2011.9031367123362,,0.793611110912429,10.1176465,88.4601417,67,204,93.0,20,updown_5m,BTC,1778860200,0.009999990463256836,0x04b6d7e9,137,31.532846715328468,100.0,100.0
btc-updown-5m-1778860500,Down,109,0,109,109,0,0.0,3026.8553150000002,0.0,2136.730077022627,,0.5869724813404433,10.416665,51.250000000000014,5,212,117.0,25,updown_5m,BTC,1778860500,0.010000050067901611,0x04b6d7e9,207,31.594202898550723,100.0,100.0
btc-updown-5m-1778860500,Up,155,0,155,155,0,0.0,2922.64807,0.0,936.1889726197779,,0.25361290054936564,5.32,50.0,12,217,152.0,28,updown_5m,BTC,1778860500,0.009999997913837433,0x04b6d7e9,205,45.36585365853659,100.0,100.0
btc-updown-5m-1778860800,Down,98,0,98,98,0,0.0,2090.555985,0.0,575.1952840658176,,0.28510203638247084,8.4408315,51.313999999999986,55,274,144.0,21,updown_5m,BTC,1778860800,0.019999995827674866,0x04b6d7e9,219,26.84931506849315,100.0,100.0
btc-updown-5m-1778860800,Up,89,0,89,89,0,0.0,1888.5652699999998,0.0,1197.9492457579538,,0.6443820147032149,8.0,50.0,31,185,151.0,19,updown_5m,BTC,1778860800,0.009999990463256836,0x04b6d7e9,154,34.675324675324674,100.0,100.0
btc-updown-5m-1778861100,Down,79,0,79,79,0,0.0,1062.745782,0.0,342.9679407209156,,0.34405062960672983,7.0,30.80266640000001,53,257,82.0,17,updown_5m,BTC,1778861100,0.01000000536441803,0x04b6d7e9,204,23.235294117647058,100.0,100.0
btc-updown-5m-1778861100,Up,72,1,71,71,1,10.0,1987.2923180000003,6.3999998569488525,1216.2559947806049,0.6399999856948853,0.5163380360939134,11.0,58.809374999999996,30,298,198.0,23,updown_5m,BTC,1778861100,0.010000020265579224,0x04b6d7e9,268,16.119402985074625,98.61111111111111,98.61111111111111
btc-updown-5m-1778861400,Down,92,0,92,92,0,0.0,1746.186111,0.0,785.723600183269,,0.351086959566759,5.427142,50.0,19,272,199.0,18,updown_5m,BTC,1778861400,0.01000000536441803,0x04b6d7e9,253,21.818181818181817,100.0,100.0
btc-updown-5m-1778861400,Up,60,0,60,60,0,0.0,1468.6281650000003,0.0,506.31253842150454,,0.3198333280781905,7.618187000000001,49.091,57,274,132.0,21,updown_5m,BTC,1778861400,0.01000000536441803,0x04b6d7e9,217,16.589861751152075,100.0,100.0
btc-updown-5m-1778861700,Down,85,0,85,85,0,0.0,2795.7231060000004,0.0,2014.2026407952958,,0.6484705889926238,10.416665,94.72432600000003,11,224,74.0,26,updown_5m,BTC,1778861700,0.010000020265579224,0x04b6d7e9,213,23.943661971830988,100.0,100.0
btc-updown-5m-1778861700,Up,155,0,155,155,0,0.0,2696.86094,0.0,769.8023803860142,,0.2998709661345328,5.76,46.823999999999955,18,254,132.0,26,updown_5m,BTC,1778861700,0.010000020265579224,0x04b6d7e9,236,39.40677966101695,100.0,100.0
btc-updown-5m-1778862000,Down,41,0,41,41,0,0.0,867.73962,0.0,169.77199255450543,,0.1819512181710906,5.475,67.262785,38,218,133.0,13,updown_5m,BTC,1778862000,0.009999997913837433,0x04b6d7e9,180,13.666666666666666,100.0,100.0
btc-updown-5m-1778862000,Up,31,2,29,29,2,25.0,1017.574165,22.750000655651093,956.8024707042547,0.9100000262260437,0.9417241339025826,20.0,98.01,82,218,98.0,11,updown_5m,BTC,1778862000,0.009999990463256836,0x04b6d7e9,136,13.676470588235295,93.54838709677419,93.54838709677419
btc-updown-5m-1778862300,Down,82,0,82,82,0,0.0,2222.9701139999997,0.0,1514.7171425223505,,0.6242682937441802,10.335293499999999,50.0,8,235,46.0,17,updown_5m,BTC,1778862300,0.030000001192092896,0x04b6d7e9,227,21.674008810572687,100.0,100.0
btc-updown-5m-1778862300,Up,147,0,147,147,0,0.0,2073.435564,0.0,735.776381232436,,0.31142857011889113,6.274508,34.82142580000005,20,209,72.0,31,updown_5m,BTC,1778862300,0.009999997913837433,0x04b6d7e9,189,46.66666666666667,100.0,100.0
btc-updown-5m-1778862600,Down,2,0,2,2,0,0.0,140.76,0.0,46.45080184578896,,0.33000001311302185,70.38,86.076,37,38,37.5,2,updown_5m,BTC,1778862600,0.02000001072883606,0x04b6d7e9,1,120.0,100.0,100.0
btc-updown-5m-1778863500,Down,260,40,220,220,40,624.3252,4797.355986,544.1079761642933,2802.8040231157665,0.8745000049471855,0.33972727128050545,8.93,47.44399999999998,124,253,183.0,36,updown_5m,BTC,1778863500,0.009999990463256836,0x04b6d7e9,129,120.93023255813954,84.61538461538461,84.61538461538461
btc-updown-5m-1778863500,Up,229,12,217,217,12,114.94,4300.159607,24.2371006436646,1142.2784308563148,0.2591666715840499,0.27875576183749234,5.0,46.984000000000016,127,295,146.0,26,updown_5m,BTC,1778863500,0.01000000536441803,0x04b6d7e9,168,81.78571428571429,94.75982532751091,94.75982532751091
btc-updown-5m-1778863800,Down,2,2,0,0,2,61.49,0.0,47.96219824075699,0.0,0.7799999713897705,,30.745,47.405,233,233,233.0,1,updown_5m,BTC,1778863800,0.009999990463256836,0x04b6d7e9,0,120.0,0.0,0.0
btc-updown-5m-1778863800,Up,35,1,34,34,1,1.15,1117.175574,0.26450000479817387,273.07104735066076,0.23000000417232513,0.23852941218544454,7.569764,107.66169080000002,224,268,237.0,10,updown_5m,BTC,1778863800,0.01000000536441803,0x04b6d7e9,44,47.727272727272734,97.14285714285714,97.14285714285714
btc-updown-5m-1778864100,Down,254,0,254,254,0,0.0,3403.1207489999997,0.0,739.4105995263689,,0.21708661479156788,5.025,34.10692990000002,10,234,91.0,40,updown_5m,BTC,1778864100,0.01000000536441803,0x04b6d7e9,224,68.03571428571428,100.0,100.0
btc-updown-5m-1778864100,Up,75,0,75,75,0,0.0,2693.521421,0.0,2177.7461731513367,,0.7547999938329061,13.37,109.60000000000021,29,197,89.0,25,updown_5m,BTC,1778864100,0.009999990463256836,0x04b6d7e9,168,26.78571428571429,100.0,100.0
