wallet,tf,bucket_start_s,bucket_end_s,n_buys,n_sells,n_maker,n_taker,n_total,frac_of_total
0xcfb103c3,5m,30,60,4354,520,520,4354,4874,0.10363377346856328
0xcfb103c3,5m,60,90,5388,612,612,5388,6000,0.12757542897237992
0xcfb103c3,5m,90,120,4710,533,533,4710,5243,0.11147966235036465
0xcfb103c3,5m,120,150,4478,533,533,4478,5011,0.10654674576343263
0xcfb103c3,5m,150,180,3305,396,396,3305,3701,0.07869277710446301
0xcfb103c3,5m,180,210,3808,425,425,3808,4233,0.09000446514001403
0xcfb103c3,5m,210,240,3048,333,333,3048,3381,0.07188875422593609
0xcfb103c3,5m,240,270,3455,362,362,3455,3817,0.08115923539792902
0xcfb103c3,5m,270,300,1853,172,172,1853,2025,0.04305670727817822
0xce25e214,5m,0,30,422,115,115,422,537,0.08470031545741324
0xce25e214,5m,30,60,593,221,221,593,814,0.12839116719242902
0xce25e214,5m,60,90,592,220,220,592,812,0.1280757097791798
0xce25e214,5m,90,120,671,219,219,671,890,0.14037854889589904
0xce25e214,5m,120,150,684,215,215,684,899,0.1417981072555205
0xce25e214,5m,150,180,497,163,163,497,660,0.10410094637223975
0xce25e214,5m,180,210,413,143,143,413,556,0.08769716088328075
0xce25e214,5m,210,240,367,149,149,367,516,0.08138801261829653
0xce25e214,5m,240,270,347,143,143,347,490,0.07728706624605679
0xce25e214,5m,270,300,128,38,38,128,166,0.026182965299684544
0xce25e214,15m,0,30,249,89,89,249,338,0.030527456647398844
0xce25e214,15m,30,60,132,68,68,132,200,0.018063583815028903
0xce25e214,15m,60,90,236,91,91,236,327,0.029533959537572256
0xce25e214,15m,90,120,296,106,106,296,402,0.03630780346820809
0xce25e214,15m,120,150,211,95,95,211,306,0.027637283236994218
0xce25e214,15m,150,180,174,76,76,174,250,0.022579479768786128
0xce25e214,15m,180,210,293,118,118,293,411,0.037120664739884394
0xce25e214,15m,210,240,156,76,76,156,232,0.020953757225433526
0xce25e214,15m,240,270,317,142,142,317,459,0.04145592485549133
0xce25e214,15m,270,300,221,98,98,221,319,0.028811416184971097
0xce25e214,15m,300,330,259,90,90,259,349,0.03152095375722543
0xce25e214,15m,330,360,208,87,87,208,295,0.02664378612716763
0xce25e214,15m,360,390,231,93,93,231,324,0.02926300578034682
0xce25e214,15m,390,420,202,102,102,202,304,0.02745664739884393
0xce25e214,15m,420,450,215,104,104,215,319,0.028811416184971097
0xce25e214,15m,450,480,252,85,85,252,337,0.0304371387283237
0xce25e214,15m,480,510,270,112,112,270,382,0.034501445086705204
0xce25e214,15m,510,540,205,84,84,205,289,0.026101878612716765
0xce25e214,15m,540,570,233,116,116,233,349,0.03152095375722543
0xce25e214,15m,570,600,349,141,141,349,490,0.04425578034682081
0xce25e214,15m,600,630,381,98,98,381,479,0.04326228323699422
0xce25e214,15m,630,660,281,129,129,281,410,0.037030346820809246
0xce25e214,15m,660,690,333,123,123,333,456,0.041184971098265896
0xce25e214,15m,690,720,276,109,109,276,385,0.03477239884393064
0xce25e214,15m,720,750,316,120,120,316,436,0.039378612716763
0xce25e214,15m,750,780,283,94,94,283,377,0.03404985549132948
0xce25e214,15m,780,810,592,167,167,592,759,0.06855130057803469
0xce25e214,15m,810,840,360,108,108,360,468,0.04226878612716763
0xce25e214,15m,840,870,362,143,143,362,505,0.04561054913294798
0xce25e214,15m,870,900,96,19,19,96,115,0.010386560693641618
