slug,outcome_truth,slot_start_s,tf,ACC-M.n_maker_bid_up,ACC-M.n_maker_bid_dn,ACC-M.n_maker_ask_up,ACC-M.n_maker_ask_dn,ACC-M.n_taker_up,ACC-M.n_taker_dn,ACC-M.inv_up,ACC-M.inv_dn,ACC-M.cost_paid,ACC-M.cash_received,ACC-M.rebates,ACC-M.taker_fees,ACC-M.leftover_redeemed,ACC-M.leftover_burned_cost,ACC-M.n_merges,ACC-M.pairs_merged,ACC-M.pnl,ACC-M-lift1c.n_maker_bid_up,ACC-M-lift1c.n_maker_bid_dn,ACC-M-lift1c.n_maker_ask_up,ACC-M-lift1c.n_maker_ask_dn,ACC-M-lift1c.n_taker_up,ACC-M-lift1c.n_taker_dn,ACC-M-lift1c.inv_up,ACC-M-lift1c.inv_dn,ACC-M-lift1c.cost_paid,ACC-M-lift1c.cash_received,ACC-M-lift1c.rebates,ACC-M-lift1c.taker_fees,ACC-M-lift1c.leftover_redeemed,ACC-M-lift1c.leftover_burned_cost,ACC-M-lift1c.n_merges,ACC-M-lift1c.pairs_merged,ACC-M-lift1c.pnl,ACC-PC.n_maker_bid_up,ACC-PC.n_maker_bid_dn,ACC-PC.n_maker_ask_up,ACC-PC.n_maker_ask_dn,ACC-PC.n_taker_up,ACC-PC.n_taker_dn,ACC-PC.inv_up,ACC-PC.inv_dn,ACC-PC.cost_paid,ACC-PC.cash_received,ACC-PC.rebates,ACC-PC.taker_fees,ACC-PC.leftover_redeemed,ACC-PC.leftover_burned_cost,ACC-PC.n_merges,ACC-PC.pairs_merged,ACC-PC.pnl,ACC-H.n_maker_bid_up,ACC-H.n_maker_bid_dn,ACC-H.n_maker_ask_up,ACC-H.n_maker_ask_dn,ACC-H.n_taker_up,ACC-H.n_taker_dn,ACC-H.inv_up,ACC-H.inv_dn,ACC-H.cost_paid,ACC-H.cash_received,ACC-H.rebates,ACC-H.taker_fees,ACC-H.leftover_redeemed,ACC-H.leftover_burned_cost,ACC-H.n_merges,ACC-H.pairs_merged,ACC-H.pnl,MAS.n_maker_bid_up,MAS.n_maker_bid_dn,MAS.n_maker_ask_up,MAS.n_maker_ask_dn,MAS.n_taker_up,MAS.n_taker_dn,MAS.inv_up,MAS.inv_dn,MAS.cost_paid,MAS.cash_received,MAS.rebates,MAS.taker_fees,MAS.leftover_redeemed,MAS.leftover_burned_cost,MAS.n_merges,MAS.pairs_merged,MAS.pnl
btc-updown-15m-1778859900,Up,1778859900,15m,2,2,0,0,0,0,0.0,1.349999465942382,7.863399975502487,6.960000000000001,0.053135877921594556,0.0,0.0,0.674999732971191,1,6.960000000000001,-0.8502640975808919,21,18,0,0,0,0,0.0,4.41,78.06199964702131,74.92,0.5046963604417988,0.0,0.0,2.205,13,74.92,-2.6373032865795096,2,2,0,0,1,0,1.9600000000000009,0.0,9.518399708473678,10.269999465942384,0.053135877921594556,0.057924990653991704,1.9600000000000009,0.0,2,8.309999465942383,0.7468106447363078,2,2,0,0,30,30,0.0,1.349999465942382,158.01339983245134,156.96,0.053135877921594556,5.0062249939084005,0.0,0.674999732971191,30,156.96,-6.006488948438143,0,0,10,9,0,0,0.5827335258789059,1.7763568394002505e-15,30.0,31.418057355756012,0.20656648575086645,0.0,0.5827335258789059,8.881784197001252e-16,0,0.0,1.624623841506878
btc-updown-15m-1778860800,Up,1778860800,15m,1,3,0,0,0,0,0.0,5.390000228881837,3.2990001486420604,1.0,0.025417392810205445,0.0,0.0,2.7590001271843883,1,1.0,-2.273582755831855,28,22,0,0,0,0,0.0,4.73,107.91149973788264,105.27,0.7427916836787449,0.0,0.0,2.365,22,105.27,-1.8987080542038939,1,4,0,0,1,0,0.0,5.390000228881837,8.399000053274628,6.0,0.04291039282355688,0.08746500006675718,0.0,5.309000079500672,1,6.0,-2.4435546605178287,1,2,0,0,30,30,0.0,4.630000000000003,155.6297994723916,151.0,0.02282548805195045,5.1243849936330275,0.0,2.3150000000000013,29,151.0,-9.731358977972674,0,0,7,7,0,0,0.0,3.9132352370605465,30.0,28.31511711955832,0.1957025910996307,0.0,0.0,1.9566176185302733,0,0.0,-1.4891802893420483
btc-updown-15m-1778861700,Up,1778861700,15m,1,0,0,0,0,0,5.0,0.0,1.899999976158142,5.0,0.016491999919891358,0.0,5.0,0.0,0,0.0,3.116492023761749,11,12,0,0,0,0,8.39,0.0,52.16599969298841,55.0,0.33711159916233047,0.0,8.39,0.0,10,46.61,3.1711119061739197,1,0,0,0,0,1,0.0,0.0,4.849999845027924,5.0,0.016491999919891358,0.08466500165224053,0.0,0.0,1,5.0,0.08182715323972703,0,0,0,0,30,30,0.0,0.0,152.25000068545341,150.0,0.0,5.02477499837279,0.0,0.0,30,150.0,-7.2747756838262045,0,0,8,6,0,0,0.0,4.0,30.0,30.19999983906746,0.1907220003037452,0.0,0.0,2.0,0,0.0,0.39072183937120286
btc-updown-15m-1778862600,Down,1778862600,15m,1,2,0,0,0,0,0.0,2.3199996948242188,5.065199942398067,6.319999694824219,0.03347719039937584,0.0,2.3199996948242188,0.0,1,4.0,1.2882769428255276,6,4,0,0,0,0,1.1600000000000001,0.0,20.322000106048584,20.0,0.1376343922485237,0.0,0.0,0.5800000000000001,3,20.0,-0.18436571380006228,1,2,0,0,0,0,0.0,2.3199996948242188,5.065199942398067,6.319999694824219,0.03347719039937584,0.0,2.3199996948242188,0.0,1,4.0,1.2882769428255276,1,2,0,0,7,6,2.6800003051757812,0.0,38.465199978160854,36.31999969482422,0.03347719039937584,1.0917200007426733,0.0,1.3400001525878906,7,36.31999969482422,-3.203443093679934,0,0,8,8,0,0,0.0,0.0,30.0,29.59999978542328,0.20970600006008144,0.0,0.0,0.0,0,0.0,-0.19029421451664064
btc-updown-15m-1778863500,Up,1778863500,15m,2,2,0,0,0,0,7.060000896453857,0.0,4.990000180006035,8.200000762939453,0.03208632249752042,0.0,7.060000896453857,0.0,1,1.1399998664855957,3.242086905430938,16,17,0,0,0,0,3.2200000000000006,0.0,76.21939980859759,74.63999999999999,0.47369170677306915,0.0,3.2200000000000006,0.0,14,71.41999999999999,-1.1057081018245327,2,2,0,0,0,1,3.200000762939453,0.0,6.41820024781228,8.200000762939453,0.03208632249752042,0.06298362251354218,3.200000762939453,0.0,1,5.0,1.750903215111151,2,0,0,0,30,30,8.200000762939453,0.0,160.77199977862836,158.20000076293945,0.02818032287002562,4.692799987462158,8.200000762939453,0.0,30,150.0,-7.236618680281047,0,0,8,7,0,0,4.210528,4.9999999999999964,30.0,30.91052769003868,0.11384799674205372,0.0,4.210528,2.4999999999999982,0,0.0,1.0243756867807328
btc-updown-15m-1778864400,Down,1778864400,15m,2,1,0,0,0,0,1.3199996948242188,0.0,6.177999861955641,5.0,0.03665619904003144,0.0,0.0,0.6599998474121094,1,5.0,-1.1413436629156095,16,14,0,0,0,0,0.0,1.0,69.11999901652338,66.0,0.4339944003054138,0.0,1.0,0.0,12,65.0,-2.6860046162179714,5,1,0,0,0,2,5.0,0.0,12.230399690485001,11.319999694824219,0.06868819894323348,0.1011872352571678,0.0,6.327999867916105,2,11.319999694824219,-0.9428990319747167,1,1,0,0,30,30,0.0,3.6800003051757812,155.87799940299988,155.0,0.01940819906005859,4.888590015712973,3.6800003051757812,0.0,31,151.31999969482422,-5.747181219652797,0,0,6,10,0,0,0.0,0.0,30.0,29.149999767541885,0.20149500011682497,0.0,0.0,0.0,0,0.0,-0.6485052323412894
btc-updown-15m-1778865300,Up,1778865300,15m,1,2,0,0,0,0,0.0,5.0,7.6500000059604645,5.0,0.05221300004672995,0.0,0.0,5.349999964237213,1,5.0,-2.5977870059137347,24,21,0,0,0,0,0.46000000000000085,0.0,98.6878002985001,95.0,0.6493305536992793,0.0,0.46000000000000085,0.0,18,94.53999999999999,-3.038469744800807,1,2,0,0,0,0,0.0,5.0,7.6500000059604645,5.0,0.05221300004672995,0.0,0.0,5.349999964237213,1,5.0,-2.5977870059137347,1,2,0,0,30,30,0.0,5.0,160.34999877214432,155.0,0.05221300004672995,5.143390005574222,0.0,2.5,31,155.0,-10.44117577767182,0,0,11,9,0,0,0.0,4.000000457763674,30.0,27.699999367094044,0.19195399823810366,0.0,0.0,2.000000228881837,0,0.0,-2.1080466346678506
btc-updown-15m-1778866200,Up,1778866200,15m,5,4,0,0,0,0,5.0,0.0,18.90000008046627,20.0,0.09570399922645091,0.0,5.0,0.0,3,15.0,1.1957039187601808,23,14,0,0,0,0,7.99,0.0,79.70179871838096,77.99,0.44714354234800857,0.0,7.99,0.0,14,70.0,-1.26465517603296,5,4,0,0,0,1,0.0,0.0,21.200000122189522,20.0,0.09570399922645091,0.0869400002336502,0.0,0.0,4,20.0,-1.1912361231967208,5,1,0,0,30,30,15.0,0.0,175.95000013709068,170.0,0.07018199906873701,4.7727050110232785,15.0,0.0,31,155.0,-10.65252314904521,0,0,10,10,0,0,2.960003038146972,0.0,30.0,32.870801026010035,0.1974795657490882,0.0,2.960003038146972,0.0,0,0.0,3.0682805917591267
btc-updown-15m-1778867100,Up,1778867100,15m,2,0,0,0,0,0,10.0,0.0,4.750000089406967,10.0,0.03488100006008148,0.0,10.0,0.0,0,0.0,5.284880910653115,14,13,0,0,0,0,5.129999999999999,0.0,51.05489958218337,52.18000000000001,0.34569437003354864,0.0,5.129999999999999,0.0,7,47.050000000000004,1.4707947878501884,2,0,0,0,0,2,0.0,0.0,7.250000080093741,10.0,0.03488100006008148,0.09736999975435437,0.0,0.0,2,10.0,2.6875109202119862,2,0,0,0,30,30,10.0,0.0,153.24999928474426,160.0,0.03488100006008148,5.196450003671642,10.0,0.0,30,150.0,1.588431711644163,0,0,11,9,0,0,0.0,0.0,30.0,30.399999618530273,0.20966400009846675,0.0,0.0,0.0,0,0.0,0.6096636186287405
btc-updown-15m-1778868000,Up,1778868000,15m,3,3,0,0,0,0,6.0,0.0,12.279999703168869,15.0,0.07213360112085335,0.0,6.0,0.0,2,9.0,2.7921338979519845,25,19,0,0,0,0,3.16,0.0,96.82279988236431,93.16,0.5317742626962114,0.0,3.16,0.0,18,90.0,-3.131025619668094,3,3,0,0,0,1,1.0,0.0,14.279999732971191,15.0,0.07213360112085335,0.08400000041723252,1.0,0.0,3,14.0,0.7081338677324296,1,3,0,0,30,30,0.0,4.0,146.6799993813038,155.0,0.03853360087051386,4.650170000659223,0.0,2.0,30,155.0,3.708364218907512,0,0,7,9,0,0,0.0,2.8600006103515625,30.0,31.769999623298645,0.1940539985046385,0.0,0.0,1.4300003051757812,0,0.0,1.9640536218032842
btc-updown-15m-1778868900,Down,1778868900,15m,4,0,0,0,0,0,10.0,0.0,3.700000047683716,0.0,0.0315000000834465,0.0,0.0,3.700000047683716,0,0.0,-3.6685000476002694,12,17,0,0,0,0,3.0,0.0,59.86000004991889,55.0,0.28475719981829517,0.0,0.0,1.5,11,55.0,-4.575242850100594,4,0,0,0,0,0,10.0,0.0,3.700000047683716,0.0,0.0315000000834465,0.0,0.0,3.700000047683716,0,0.0,-3.6685000476002694,2,1,0,0,30,30,0.0,0.0,167.29999930597842,155.0,0.0338799999666214,3.517920032929551,0.0,0.0,31,155.0,-15.784039338941353,0,0,11,8,0,0,4.799998474121095,4.0,30.0,30.07000050306319,0.17657500456786146,0.0,4.0,2.3999992370605474,0,0.0,0.24657550763105363
btc-updown-15m-1778869800,Up,1778869800,15m,4,5,0,0,0,0,0.0,0.0,20.450000017881393,20.0,0.11015899958944309,0.0,0.0,0.0,4,20.0,-0.3398410182919491,32,36,0,0,0,0,1.5300000000000002,0.0,143.05189959807396,139.12,0.7664572250011735,0.0,1.5300000000000002,0.0,25,137.59,-3.1654423730727785,4,5,0,0,0,0,0.0,0.0,20.450000017881393,20.0,0.11015899958944309,0.0,0.0,0.0,4,20.0,-0.3398410182919491,0,5,0,0,30,30,0.0,20.0,168.94999973475933,150.0,0.05482399973964679,4.370555008895396,0.0,10.0,30,150.0,-23.26573074391507,0,0,7,10,0,0,4.4454917901916495,3.552713678800501e-15,30.0,32.67829039374065,0.19420900278146705,0.0,4.4454917901916495,1.7763568394002505e-15,0,0.0,2.872499396522123
btc-updown-15m-1778870700,Down,1778870700,15m,2,0,0,0,0,0,5.71999979019165,0.0,2.223599845314027,0.0,0.019027847076133718,0.0,0.0,2.223599845314027,0,0.0,-2.2045719982378933,15,17,0,0,0,0,0.0,8.5,64.75999998986723,64.0,0.3427913998250958,0.0,8.5,0.0,10,55.5,-0.4172085900421223,3,0,0,0,0,2,0.7199997901916504,0.0,8.373599791669847,10.0,0.032495846755699144,0.162084998973608,0.0,0.3599998950958252,2,10.0,1.4968110561122447,2,0,0,0,30,30,5.71999979019165,0.0,150.32359949662685,150.0,0.019027847076133718,4.587590005073544,0.0,2.859999895095825,30,150.0,-4.892161654624267,0,0,8,6,0,0,2.7200001335144046,0.0,30.0,29.357599800777436,0.19394771136420424,0.0,0.0,1.3600000667572023,0,0.0,-0.44845248785836134
btc-updown-15m-1778871600,Down,1778871600,15m,1,0,0,0,0,0,5.0,0.0,1.3500000536441803,0.0,0.013797000345468515,0.0,0.0,1.3500000536441803,0,0.0,-1.3362030532987117,22,19,0,0,0,0,0.21000000000000085,0.0,85.03629960713984,80.0,0.39304058114101287,0.0,0.0,0.10500000000000043,16,80.0,-4.64325902599883,1,0,0,0,0,1,0.0,0.0,4.8499999940395355,5.0,0.013797000345468515,0.07350000166893,0.0,0.0,1,5.0,0.0902970046370033,1,0,0,0,30,30,5.0,0.0,156.09999991953373,150.0,0.013797000345468515,4.030984990253446,0.0,2.5,30,150.0,-10.117187909441698,0,0,10,9,0,0,0.0,0.0,30.0,29.54999953508377,0.20169100020194036,0.0,0.0,0.0,0,0.0,-0.24830946471428916
