slug,outcome_truth,slot_start_s,tf,ACC-M.n_maker_bid_up,ACC-M.n_maker_bid_dn,ACC-M.n_maker_ask_up,ACC-M.n_maker_ask_dn,ACC-M.n_taker_up,ACC-M.n_taker_dn,ACC-M.inv_up,ACC-M.inv_dn,ACC-M.cost_paid,ACC-M.cash_received,ACC-M.rebates,ACC-M.taker_fees,ACC-M.leftover_redeemed,ACC-M.leftover_burned_cost,ACC-M.n_merges,ACC-M.pairs_merged,ACC-M.pnl,ACC-M-lift1c.n_maker_bid_up,ACC-M-lift1c.n_maker_bid_dn,ACC-M-lift1c.n_maker_ask_up,ACC-M-lift1c.n_maker_ask_dn,ACC-M-lift1c.n_taker_up,ACC-M-lift1c.n_taker_dn,ACC-M-lift1c.inv_up,ACC-M-lift1c.inv_dn,ACC-M-lift1c.cost_paid,ACC-M-lift1c.cash_received,ACC-M-lift1c.rebates,ACC-M-lift1c.taker_fees,ACC-M-lift1c.leftover_redeemed,ACC-M-lift1c.leftover_burned_cost,ACC-M-lift1c.n_merges,ACC-M-lift1c.pairs_merged,ACC-M-lift1c.pnl,ACC-PC.n_maker_bid_up,ACC-PC.n_maker_bid_dn,ACC-PC.n_maker_ask_up,ACC-PC.n_maker_ask_dn,ACC-PC.n_taker_up,ACC-PC.n_taker_dn,ACC-PC.inv_up,ACC-PC.inv_dn,ACC-PC.cost_paid,ACC-PC.cash_received,ACC-PC.rebates,ACC-PC.taker_fees,ACC-PC.leftover_redeemed,ACC-PC.leftover_burned_cost,ACC-PC.n_merges,ACC-PC.pairs_merged,ACC-PC.pnl,ACC-H.n_maker_bid_up,ACC-H.n_maker_bid_dn,ACC-H.n_maker_ask_up,ACC-H.n_maker_ask_dn,ACC-H.n_taker_up,ACC-H.n_taker_dn,ACC-H.inv_up,ACC-H.inv_dn,ACC-H.cost_paid,ACC-H.cash_received,ACC-H.rebates,ACC-H.taker_fees,ACC-H.leftover_redeemed,ACC-H.leftover_burned_cost,ACC-H.n_merges,ACC-H.pairs_merged,ACC-H.pnl,MAS.n_maker_bid_up,MAS.n_maker_bid_dn,MAS.n_maker_ask_up,MAS.n_maker_ask_dn,MAS.n_taker_up,MAS.n_taker_dn,MAS.inv_up,MAS.inv_dn,MAS.cost_paid,MAS.cash_received,MAS.rebates,MAS.taker_fees,MAS.leftover_redeemed,MAS.leftover_burned_cost,MAS.n_merges,MAS.pairs_merged,MAS.pnl
btc-updown-15m-1778783400,Down,1778783400,15m,1,0,0,0,0,0,5.0,0.0,2.0000000298023224,0.0,0.016800000083446502,0.0,0.0,2.0000000298023224,0,0.0,-1.9832000297188759,11,14,0,0,0,0,0.0,1.8099999999999987,52.17110061138869,49.03,0.165927785514021,0.0,1.8099999999999987,0.0,8,47.22,-2.9751728258746653,1,0,0,0,0,0,5.0,0.0,2.0000000298023224,0.0,0.016800000083446502,0.0,0.0,2.0000000298023224,0,0.0,-1.9832000297188759,0,0,0,0,30,30,0.0,0.0,168.8000000268221,150.0,0.0,4.25375999853551,0.0,0.0,30,150.0,-23.0537600253576,0,0,10,7,0,0,1.474768220703126,1.7763568394002505e-15,30.0,26.833830529537302,0.20043786272826677,0.0,1.7763568394002505e-15,0.737384110351563,0,0.0,-2.96573160773443
btc-updown-15m-1778784300,Up,1778784300,15m,4,4,0,0,0,0,3.949999988079071,0.0,12.888500009417534,15.0,0.08641856972667927,0.0,3.949999988079071,0.0,3,11.050000011920929,2.1979185603091445,42,38,0,0,0,0,0.0,5.17,134.58259941105845,130.76,0.900077192073466,0.0,0.0,2.585,21,130.76,-2.9225222189849944,4,5,0,0,1,0,3.949999988079071,0.0,17.688499902129173,20.0,0.10273556981346363,0.08466500165224053,3.949999988079071,0.0,4,16.05000001192093,2.329570666032051,4,3,0,0,30,30,8.949999988079071,0.0,160.2384991093874,165.0,0.07083656990692373,5.109825001794096,8.949999988079071,0.0,32,156.05000001192093,-0.27748754127455655,0,0,10,6,0,0,4.7549160000000015,0.0,30.0,32.02990857540226,0.19211845107665032,0.0,4.7549160000000015,0.0,0,0.0,2.222027026478912
btc-updown-15m-1778786100,Down,1778786100,15m,5,3,0,0,0,0,3.5999999999999996,0.0,12.878000009059907,11.4,0.0797011597712898,0.0,0.0,1.7999999999999998,3,11.4,-1.3982988492886168,47,50,0,0,0,0,4.609999999999999,0.0,177.9135993859052,168.64,1.0680410458794012,0.0,0.0,2.3049999999999997,30,168.64,-8.205558340025817,5,3,0,0,0,1,0.0,1.4000000000000004,15.678000020980836,16.4,0.0797011597712898,0.08623999989986421,1.4000000000000004,0.0,3,15.0,0.7154611388905883,5,3,0,0,30,30,3.6000000000000014,0.0,163.3779999792576,161.4,0.0797011597712898,4.9196700029540015,0.0,1.8000000000000007,33,161.4,-6.817968822440287,0,0,7,9,0,0,0.0,0.0,30.0,31.099999397993088,0.20519800023031223,0.0,0.0,0.0,0,0.0,1.3051973982233989
btc-updown-15m-1778787000,Up,1778787000,15m,2,0,0,0,0,0,10.0,0.0,7.100000083446503,10.0,0.027691999419212333,0.0,10.0,0.0,0,0.0,2.9276919159727104,32,24,0,0,0,0,6.920000000000001,0.0,116.36420019670727,112.12,0.5850784514848312,0.0,6.920000000000001,0.0,20,105.2,-3.6591217452224356,4,0,0,0,0,1,15.0,0.0,16.600000262260437,20.0,0.050077998444557154,0.07350000166893002,15.0,0.0,1,5.0,3.37657773451519,4,0,0,0,30,30,20.0,0.0,179.25000086426735,170.0,0.050077998444557154,4.449934973063467,20.0,0.0,30,150.0,-13.649857838886266,0,0,10,10,0,0,0.0,0.0,30.0,29.64999943971634,0.20922299989652618,0.0,0.0,0.0,0,0.0,-0.14077756038713574
btc-updown-15m-1778787900,Down,1778787900,15m,2,1,0,0,0,0,0.0,0.0,4.649999886751175,5.0,0.03264100041055676,0.0,0.0,0.0,1,5.0,0.3826411136593819,16,21,0,0,0,0,5.120000000000001,0.0,59.489600013589865,54.88,0.38986035109917816,0.0,0.0,2.5600000000000005,9,54.88,-4.2197396624906816,2,1,0,0,1,0,5.0,0.0,6.3999998569488525,5.0,0.03264100041055676,0.07962499937415123,0.0,3.449999988079071,1,5.0,-1.4469838559124468,3,1,0,0,30,30,1.0,0.0,158.05999851226807,155.0,0.036027600401544534,5.043010010530946,0.0,0.5,31,155.0,-8.066980922397459,0,0,7,7,0,0,0.0,0.0,30.0,30.09999915957451,0.20937000028371788,0.0,0.0,0.0,0,0.0,0.3093691598582282
btc-updown-15m-1778788800,Down,1778788800,15m,2,4,0,0,0,0,0.0,4.080000610351562,8.987199295854552,10.0,0.04509187097645202,0.0,4.080000610351562,0.0,2,5.919999389648438,1.0578925751218993,17,15,0,0,0,0,8.81,0.0,59.703400295329104,48.50000000000001,0.2908615336793994,0.0,0.0,4.405,8,48.50000000000001,-10.9125387616497,2,5,0,0,1,0,0.0,2.7899999237060547,11.401799040222159,13.709999313354494,0.055085124889141274,0.0720649987733364,2.7899999237060547,0.0,2,10.919999389648439,2.29122039924814,2,2,0,0,30,30,0.9199993896484386,0.0,167.18719855377674,155.0,0.028438871196750804,3.651025057098267,0.0,0.4599996948242193,31,155.0,-15.80978473967825,0,0,7,7,0,0,0.0,0.0,30.0,30.000000149011612,0.2063040001235007,0.0,0.0,0.0,0,0.0,0.2063041491351143
btc-updown-15m-1778792400,Down,1778792400,15m,3,4,0,0,0,0,6.190000398159027,0.0,8.128900254511823,6.3299999833106995,0.061811555213428945,0.0,0.0,4.936800147056569,1,6.3299999833106995,-1.7370887159876949,18,21,0,0,0,0,5.59,0.0,80.53030043952467,74.0,0.5159706850163657,0.0,0.0,2.795,13,74.0,-6.014329754508296,4,4,0,0,1,1,10.0,0.0,13.455300165605536,11.3299999833107,0.07651155554721495,0.15149987340672494,0.0,8.113200022387495,2,11.3299999833107,-2.200288500154346,2,4,0,0,30,30,0.0,3.499999792575835,159.3963000031948,156.3299999833107,0.03134061063613937,4.956315008786913,3.499999792575835,0.0,31,152.83000019073486,-7.991274418034873,0,0,6,7,0,0,4.0,3.9772740000000013,30.0,29.98704603115094,0.1763127821198855,0.0,3.9772740000000013,2.0,0,0.0,0.16335881327082546
btc-updown-15m-1778794200,Up,1778794200,15m,5,3,0,0,0,0,3.049999999999999,0.0,12.101999884843828,15.0,0.08093791992242808,0.0,3.049999999999999,0.0,2,11.950000000000001,2.9789380350786008,26,23,0,0,0,0,9.68,0.0,80.54679942531587,79.32,0.49498203936357654,0.0,9.68,0.0,11,69.63999999999999,-0.7318173859522972,5,3,0,0,0,1,0.0,1.950000000000001,14.401999926567079,15.0,0.08093791992242808,0.0869400002336502,0.0,0.9750000000000005,3,15.0,0.5919979931216992,5,1,0,0,30,30,13.049999999999997,0.0,158.65199997127056,165.0,0.054344920242862645,4.5791899882382125,13.049999999999997,0.0,30,151.95,1.8231549607341009,0,0,11,6,0,0,0.0,2.2949239237060546,30.0,31.291893284534694,0.19925519781575074,0.0,0.0,1.1474619618530273,0,0.0,1.4911484823504466
btc-updown-15m-1778795100,Down,1778795100,15m,4,0,0,0,0,0,9.61000015258789,0.0,3.608900172376634,0.0,0.029925546891622534,0.0,0.0,3.608900172376634,0,0.0,-3.5789746254850114,21,24,0,0,0,0,8.899999999999999,0.0,57.12640060853958,52.1,0.3634303937353084,0.0,0.0,4.449999999999999,9,52.1,-4.662970214804275,6,0,0,0,0,1,9.61000015258789,0.0,8.208900106811525,5.0,0.04540254720371245,0.08466500165224053,0.0,5.258900237941743,1,5.0,-3.2481625612600524,3,0,0,0,30,30,4.610000152587887,0.0,146.20890037503244,150.0,0.01612854654615402,4.5873450103390185,0.0,2.3050000762939433,29,150.0,-0.7801168388253048,0,0,11,9,0,0,0.0,0.0,30.0,30.24999976158142,0.20849499994993204,0.0,0.0,0.0,0,0.0,0.4584947615313517
btc-updown-15m-1778796900,Down,1778796900,15m,2,0,0,0,0,0,10.0,0.0,3.9499999582767487,0.0,0.033172999854803084,0.0,0.0,3.9499999582767487,0,0.0,-3.9168269584219457,16,31,0,0,0,0,0.0,8.940000000000003,77.21739883989095,74.72,0.35493391514574046,0.0,8.940000000000003,0.0,12,65.78,-2.1424649247452123,3,0,0,0,0,0,12.25999984741211,0.0,4.6957999375581725,0.0,0.04016860352354716,0.0,0.0,4.6957999375581725,0,0.0,-4.655631334034625,0,0,0,0,30,30,0.0,0.0,162.4000010639429,150.0,0.0,3.5539000000417196,0.0,0.0,30,150.0,-15.95390106398463,0,0,8,9,0,0,0.0,0.0,30.0,22.999999523162842,0.1819999998331069,0.0,0.0,0.0,0,0.0,-6.818000477004052
btc-updown-15m-1778797800,Up,1778797800,15m,1,3,0,0,0,0,0.0,10.0,7.950000017881393,5.0,0.06689900003170968,0.0,0.0,5.799999982118607,1,5.0,-2.8831010178496834,20,14,0,0,0,0,9.88,0.0,64.58399945199491,63.44,0.34533072149225674,0.0,9.88,0.0,10,53.559999999999995,-0.798668730502655,1,3,0,0,0,1,0.0,15.0,10.650000125169754,5.0,0.06689900003170968,0.08693999939918504,0.0,8.500000089406967,1,5.0,-5.670041124537229,1,1,0,0,30,30,0.0,0.0,164.84999977052212,155.0,0.03409000002503395,4.046385024821161,0.0,0.0,31,155.0,-13.862294795318247,0,0,10,8,0,0,0.0,2.2352979999999993,30.0,31.25999783866167,0.19869358646797464,0.0,0.0,1.1176489999999997,0,0.0,1.4586914251296434
btc-updown-15m-1778798700,Down,1778798700,15m,4,6,0,0,0,0,0.0,2.0,18.960000157356262,20.0,0.12141919924097055,0.0,2.0,0.0,3,18.0,1.1614190418847095,17,17,0,0,0,0,0.0,6.98,53.61859967164994,53.66,0.3331846838567255,0.0,6.98,0.0,8,46.68,0.3745850122067864,4,6,0,0,0,0,0.0,2.0,18.960000157356262,20.0,0.12141919924097055,0.0,2.0,0.0,3,18.0,1.1614190418847095,4,6,0,0,30,30,0.0,2.0,168.65999925136566,170.0,0.12141919924097055,5.037829998923538,2.0,0.0,31,168.0,-3.5764100510482386,0,0,6,7,0,0,0.0,1.0768660762939462,30.0,30.67766409559107,0.2060854764978129,0.0,1.0768660762939462,0.0,0,0.0,0.883749572088881
btc-updown-15m-1778799600,Down,1778799600,15m,1,0,0,0,0,0,5.0,0.0,0.9000000357627869,0.0,0.010332000320434569,0.0,0.0,0.9000000357627869,0,0.0,-0.8896680354423523,14,17,0,0,0,0,6.459999999999999,0.0,42.41180025849343,40.56,0.24108120303260122,0.0,0.0,3.2299999999999995,8,40.56,-1.6107190554608266,1,0,0,0,0,0,5.0,0.0,0.9000000357627869,0.0,0.010332000320434569,0.0,0.0,0.9000000357627869,0,0.0,-0.8896680354423523,1,0,0,0,30,30,5.0,0.0,143.3100003376603,150.0,0.010332000320434569,3.7805725752632826,0.0,2.5,30,150.0,2.9197590873968364,0,0,7,6,0,0,0.0,0.0,30.0,28.599999845027924,0.19089000069260592,0.0,0.0,0.0,0,0.0,-1.2091101542794718
btc-updown-15m-1778800500,Up,1778800500,15m,1,1,0,0,0,0,0.0,0.0,4.8499999940395355,5.0,0.03395700015354156,0.0,0.0,0.0,1,5.0,0.18395700611400567,14,19,0,0,0,0,7.03,0.0,62.62749991519452,63.370000000000005,0.41387532175188313,0.0,7.03,0.0,10,56.34,1.1563754065573661,1,1,0,0,0,0,0.0,0.0,4.8499999940395355,5.0,0.03395700015354156,0.0,0.0,0.0,1,5.0,0.18395700611400567,1,1,0,0,30,30,0.0,0.0,159.99999970197678,155.0,0.03395700015354156,4.696894991855618,0.0,0.0,31,155.0,-9.662937693678845,0,0,6,7,0,0,0.0,0.0,30.0,28.399999737739563,0.2066679996378421,0.0,0.0,0.0,0,0.0,-1.3933322626225966
btc-updown-15m-1778801400,Down,1778801400,15m,1,0,0,0,0,0,5.0,0.0,1.850000023841858,0.0,0.016317000086784363,0.0,0.0,1.850000023841858,0,0.0,-1.8336830237550736,17,27,0,0,0,0,3.6000000000000005,0.0,67.30069987983705,64.63000000000001,0.4512757062518614,0.0,0.0,1.8000000000000003,12,64.63000000000001,-2.219424173585182,1,0,0,0,0,1,0.0,0.0,4.8500001430511475,5.0,0.016317000086784363,0.08399999833106976,0.0,0.0,1,5.0,0.0823168587045675,0,0,0,0,30,30,0.0,0.0,158.54999989271164,150.0,0.0,4.642154990912672,0.0,0.0,30,150.0,-13.192154883624312,0,0,10,10,0,0,0.6818239999999989,2.2888183615066282e-07,30.0,30.24999702696801,0.20694097939621717,0.0,2.2888183615066282e-07,0.34091199999999944,0,0.0,0.4569380063642292
btc-updown-15m-1778807700,Down,1778807700,15m,4,3,0,0,0,0,9.630000407695771,0.0,13.127399714601045,9.5699995803833,0.09768264672631594,0.0,0.0,9.457999980568886,2,9.5699995803833,-3.45971748749143,39,37,0,0,0,0,8.99,0.0,141.2015003105879,136.20000000000005,0.9391001870360798,0.0,0.0,4.495,22,136.20000000000005,-4.062400123551782,5,3,0,0,0,1,9.630000407695771,0.0,17.827399702680115,14.5699995803833,0.11511964672130914,0.08718499997496605,0.0,11.807999974608421,3,14.5699995803833,-3.2294654755504717,5,4,0,0,30,30,9.630000407695771,0.0,167.5273998397708,164.5699995803833,0.13035164654106468,4.983054986573454,0.0,4.815000203847886,31,164.5699995803833,-7.81010359941988,0,0,9,6,0,0,0.9417285817413301,0.0,30.0,30.38709711402179,0.20495901867612587,0.0,0.0,0.47086429087066506,0,0.0,0.5920561326979126
