sleeve_id,anchor,gate_stack,n_full,n_train,n_val,n_lockbox,wr_full,wr_train,wr_val,wr_lockbox,dpt_25_full,dpt_25_train,dpt_25_val,dpt_25_lockbox,sum_25_full,sum_25_lockbox,max_dd_25_full,max_dd_25_lockbox,loss_streak_full,loss_streak_lockbox,sharpe_full,sharpe_lockbox,n_32d_proj,bootstrap_p_lockbox,pass,fail_reason
s15_5m|150-240+r3|g_queue_top_high+g_imb5_strong_with+g_within_dev,s15_5m|150-240,g_queue_top_high+g_imb5_strong_with+g_within_dev,357,201,63,93,0.8375350140056023,0.8855721393034826,0.9206349206349206,0.6774193548387096,6.569593648439493,1.398516659882778,5.567473700355991,18.424647749828313,2345.344932492899,1713.4922407340332,168.8561995636278,168.8561995636269,4,4,5.573731651904815,12.83346739667296,460.64516129032256,0.245,False,wr_lockbox_low
s15_5m|150-240+r3|g_queue_top_high+g_imb5_strong_with+g_tr_above_ema800,s15_5m|150-240,g_queue_top_high+g_imb5_strong_with+g_tr_above_ema800,357,201,63,93,0.8375350140056023,0.8855721393034826,0.9206349206349206,0.6774193548387096,6.569593648439493,1.398516659882778,5.567473700355991,18.424647749828313,2345.344932492899,1713.4922407340332,168.8561995636278,168.8561995636269,4,4,5.573731651904815,12.83346739667296,460.64516129032256,0.245,False,wr_lockbox_low
offset_150-240|r1,offset_150-240,g_imb5_strong_with,615,335,110,170,0.7853658536585366,0.844776119402985,0.8454545454545455,0.6294117647058823,6.757491451773977,2.222057889377224,2.7428875539222104,18.292648346871665,4155.857242840996,3109.750218968183,237.16554970694654,210.38201072097786,5,5,5.363143139091047,13.01502975550153,793.5483870967741,0.245,False,n_32d_out_of_band
offset_150-240|r2,offset_150-240,g_imb5_strong_with+g_within_dev,615,335,110,170,0.7853658536585366,0.844776119402985,0.8454545454545455,0.6294117647058823,6.757491451773977,2.222057889377224,2.7428875539222104,18.292648346871665,4155.857242840996,3109.750218968183,237.16554970694654,210.38201072097786,5,5,5.363143139091047,13.01502975550153,793.5483870967741,0.245,False,n_32d_out_of_band
offset_150-240|r2,offset_150-240,g_imb5_strong_with+g_tr_above_ema800,615,335,110,170,0.7853658536585366,0.844776119402985,0.8454545454545455,0.6294117647058823,6.757491451773977,2.222057889377224,2.7428875539222104,18.292648346871665,4155.857242840996,3109.750218968183,237.16554970694654,210.38201072097786,5,5,5.363143139091047,13.01502975550153,793.5483870967741,0.245,False,n_32d_out_of_band
offset_150-240|r3,offset_150-240,g_imb5_strong_with+g_within_dev+g_tr_above_ema800,615,335,110,170,0.7853658536585366,0.844776119402985,0.8454545454545455,0.6294117647058823,6.757491451773977,2.222057889377224,2.7428875539222104,18.292648346871665,4155.857242840996,3109.750218968183,237.16554970694654,210.38201072097786,5,5,5.363143139091047,13.01502975550153,793.5483870967741,0.245,False,n_32d_out_of_band
s15_5m|150-240+r1|g_imb5_strong_with,s15_5m|150-240,g_imb5_strong_with,615,335,110,170,0.7853658536585366,0.844776119402985,0.8454545454545455,0.6294117647058823,6.757491451773977,2.222057889377224,2.7428875539222104,18.292648346871665,4155.857242840996,3109.750218968183,237.16554970694654,210.38201072097786,5,5,5.363143139091047,13.01502975550153,793.5483870967741,0.245,False,n_32d_out_of_band
s15_5m|150-240+r2|g_imb5_strong_with+g_within_dev,s15_5m|150-240,g_imb5_strong_with+g_within_dev,615,335,110,170,0.7853658536585366,0.844776119402985,0.8454545454545455,0.6294117647058823,6.757491451773977,2.222057889377224,2.7428875539222104,18.292648346871665,4155.857242840996,3109.750218968183,237.16554970694654,210.38201072097786,5,5,5.363143139091047,13.01502975550153,793.5483870967741,0.245,False,n_32d_out_of_band
s15_5m|150-240+r2|g_imb5_strong_with+g_tr_above_ema800,s15_5m|150-240,g_imb5_strong_with+g_tr_above_ema800,615,335,110,170,0.7853658536585366,0.844776119402985,0.8454545454545455,0.6294117647058823,6.757491451773977,2.222057889377224,2.7428875539222104,18.292648346871665,4155.857242840996,3109.750218968183,237.16554970694654,210.38201072097786,5,5,5.363143139091047,13.01502975550153,793.5483870967741,0.245,False,n_32d_out_of_band
s15_5m|150-240+r3|g_imb5_strong_with+g_within_dev+g_tr_above_ema800,s15_5m|150-240,g_imb5_strong_with+g_within_dev+g_tr_above_ema800,615,335,110,170,0.7853658536585366,0.844776119402985,0.8454545454545455,0.6294117647058823,6.757491451773977,2.222057889377224,2.7428875539222104,18.292648346871665,4155.857242840996,3109.750218968183,237.16554970694654,210.38201072097786,5,5,5.363143139091047,13.01502975550153,793.5483870967741,0.245,False,n_32d_out_of_band
stack_r5,any_offset,g_imb5_strong_with+g_hawkes_imbalance_with+g_stoch_with+g_mp_skew_with+g_mp_no_extreme,89,57,11,21,0.7415730337078652,0.7368421052631579,0.9090909090909091,0.6666666666666666,7.007811261991561,2.9785108739741317,6.5051054557716474,18.207805832725487,623.6952023172489,382.36392248723524,209.13966728816976,85.61111081676717,6,2,6.5356378222404,56.04179038257707,114.83870967741935,0.0,False,wr_lockbox_low
stack_r4,any_offset,g_imb5_strong_with+g_stoch_with+g_mp_skew_with+g_mp_no_extreme,108,72,11,25,0.7685185185185185,0.7916666666666666,0.9090909090909091,0.64,10.179429001903793,7.980305325512017,6.5051054557716474,18.129607550210252,1099.3783322056097,453.24018875525627,158.21590860823767,75.0,6,3,9.872819361709086,28.73975071984448,139.3548387096774,0.0,False,wr_lockbox_low
