stack,depth,n_tr,wr_tr,dpt_tr,dd_tr,ls_tr,n_v,wr_v,dpt_v,dd_v,ls_v,n_l,wr_l,dpt_l,dd_l,ls_l,sum_l,score_l,fingerprint,n_atoms
g_R1_five|g_f7_rsi_with|g_mp_no_extreme_150|g_vwap_in_55_80,4,64,0.765625,2.7175177415325056,90.9846436187454,3,31,0.7741935483870968,2.2238009459885726,50.23387033328111,2,88,0.8181818181818182,4.035948131208671,96.1193790852462,3,355.1634355463631,37.86054944090214,88_0.8182_4.0359_96.12_3,4
g_cci_with|g_f7_rsi_with|g_mp_wt_no_extreme_100|g_tr_above_ema50|g_vwap_in_55_80,5,19,0.8421052631578947,6.655966480314054,25.0,1,10,0.6,-4.157936332778167,75.0,3,47,0.851063829787234,5.505046125960969,51.1839633859794,2,258.7371679201655,37.74069479886426,47_0.8511_5.5050_51.18_2,5
g_bb_pos_strong_with|g_cci_strong_with|g_f7_rsi_with|g_mp_wt_no_extreme_100|g_vwap_in_45_85,5,20,0.8,4.930661466787866,50.0,2,9,0.6666666666666666,-2.4564170325402097,50.0,2,52,0.8269230769230769,5.1850740960468045,51.1839633859794,2,269.62385299443383,37.39010104075369,52_0.8269_5.1851_51.18_2,5
g_cci_strong_with|g_f7_rsi_with|g_vwap_in_55_80,3,62,0.7580645161290323,2.6875276396852383,78.80057211078044,2,28,0.8214285714285714,3.863399606156973,43.79268053865134,1,76,0.8289473684210527,4.267045806553983,89.10659976041316,3,324.2954812981027,37.19924291645564,76_0.8289_4.2670_89.11_3,3
g_f7_rsi_with|g_favorite|g_mp_wt_no_extreme_100|g_tr_above_ema50|g_vwap_in_45_85,5,23,0.782608695652174,3.796632041598902,68.9264201546115,2,12,0.6666666666666666,-2.5834524440704905,75.0,3,65,0.8153846153846154,4.613854711818541,76.1839633859794,3,299.90055626820515,37.1980858998828,65_0.8154_4.6139_76.18_3,5
g_R1_five|g_f7_rsi_with|g_mp_wt_no_extreme_100|g_vwap_in_45_85,4,23,0.782608695652174,3.796632041598902,68.9264201546115,2,12,0.6666666666666666,-2.5834524440704905,75.0,3,67,0.8059701492537313,4.541705451834612,76.1839633859794,3,304.294265272919,37.17546130920266,67_0.8060_4.5417_76.18_3,4
g_bb_pos_with|g_f7_rsi_with|g_mp_wt_no_extreme_100|g_tr_above_cloud|g_vwap_in_45_85,5,23,0.782608695652174,3.796632041598902,68.9264201546115,2,12,0.6666666666666666,-2.5834524440704905,75.0,3,69,0.7971014492753623,4.457414381921874,76.1839633859794,3,307.5615923526093,37.02606467178646,69_0.7971_4.4574_76.18_3,5
g_ev_ge_30|g_f7_rsi_with|g_mfi_with|g_mp_wt_no_extreme_100|g_vwap_in_45_85,5,17,0.7647058823529411,3.324749705377958,51.91051671886803,1,10,0.7,-1.484494908694005,50.0,2,56,0.8214285714285714,4.94328805220489,100.0,4,276.82413092347383,36.99218051096759,56_0.8214_4.9433_100.00_4,5
g_f7_rsi_with|g_mp_no_extreme_150|g_mp_wt_no_extreme_100|g_tr_partial_stack_with|g_vwap_in_55_80,5,19,0.8421052631578947,6.655966480314054,25.0,1,10,0.6,-4.157936332778167,75.0,3,46,0.8478260869565217,5.385884082169492,51.1839633859794,2,247.7506677797966,36.528843096135255,46_0.8478_5.3859_51.18_2,5
g_cci_strong_with|g_f7_rsi_with|g_mp_wt_no_extreme_100|g_rf_with|g_vwap_in_45_85,5,19,0.7894736842105263,4.610841201908215,50.0,2,9,0.6666666666666666,-2.4564170325402097,50.0,2,51,0.8235294117647058,5.087231320627124,51.1839633859794,2,259.44879735198333,36.33009837570013,51_0.8235_5.0872_51.18_2,5
g_cci_strong_with|g_f7_rsi_with|g_mp_no_extreme_150|g_vwap_in_55_80,4,62,0.7580645161290323,2.6875276396852383,78.80057211078044,2,28,0.8214285714285714,3.863399606156973,43.79268053865134,1,75,0.8266666666666667,4.184816549510258,89.10659976041316,3,313.8612412132693,36.24157442053423,75_0.8267_4.1848_89.11_3,4
g_f7_rsi_with|g_mp_wt_no_extreme_100|g_tr_above_ema50|g_vwap_in_45_85,4,23,0.782608695652174,3.796632041598902,68.9264201546115,2,12,0.6666666666666666,-2.5834524440704905,75.0,3,69,0.7971014492753623,4.355748612211767,76.1839633859794,3,300.5466542426119,36.18156536307055,69_0.7971_4.3557_76.18_3,4
g_cci_strong_with|g_f7_rsi_with|g_tr_above_cloud|g_vwap_in_55_80,4,61,0.7540983606557377,2.406670727490014,98.62037139437432,3,28,0.8214285714285714,3.863399606156973,43.79268053865134,1,75,0.8266666666666667,4.177453082103116,89.10659976041316,3,313.30898115773374,36.17780492218899,75_0.8267_4.1775_89.11_3,4
g_f7_rsi_with|g_favorite|g_mp_wt_no_extreme_100|g_tr_partial_stack_with|g_vwap_in_45_85,5,23,0.782608695652174,3.796632041598902,68.9264201546115,2,12,0.6666666666666666,-2.5834524440704905,75.0,3,64,0.8125,4.514282126997441,76.1839633859794,3,288.9140561278362,36.114257015979526,64_0.8125_4.5143_76.18_3,5
g_R1_five|g_f7_rsi_with|g_mp_wt_no_extreme_100|g_tr_above_cloud|g_vwap_in_45_85,5,23,0.782608695652174,3.796632041598902,68.9264201546115,2,12,0.6666666666666666,-2.5834524440704905,75.0,3,66,0.803030303030303,4.444057047462881,76.1839633859794,3,293.3077651325501,36.10369012598154,66_0.8030_4.4441_76.18_3,5
g_bb_pos_strong_with|g_rf_strict_align|g_tr_full_stack_with,3,146,0.7945205479452054,1.820737106194616,134.28207925097763,3,47,0.8085106382978723,-0.7539961981877569,99.35500752495268,2,74,0.8648648648648649,4.188921998218263,34.4298402287246,1,309.9802278681515,36.03446954694365,74_0.8649_4.1889_34.43_1,3
g_bb_pos_strong_with|g_cci_strong_with|g_rf_strict_align|g_tr_full_stack_with,4,126,0.8015873015873016,2.1567157213848698,89.6336548407995,3,42,0.8333333333333334,0.2082449176703125,78.98141515127806,2,70,0.8571428571428571,4.266436558172286,34.4298402287246,1,298.65055907206,35.69556923966375,70_0.8571_4.2664_34.43_1,4
g_f7_rsi_with|g_mp_wt_no_extreme_100|g_tr_partial_stack_with|g_vwap_in_45_85,4,23,0.782608695652174,3.796632041598902,68.9264201546115,2,12,0.6666666666666666,-2.5834524440704905,75.0,3,68,0.7941176470588235,4.258237560327102,76.1839633859794,3,289.56015410224296,35.1143264804022,68_0.7941_4.2582_76.18_3,4
g_R1_five|g_f7_rsi_with|g_favorite|g_mp_wt_no_extreme_100|g_vwap_in_45_85,5,23,0.782608695652174,3.796632041598902,68.9264201546115,2,12,0.6666666666666666,-2.5834524440704905,75.0,3,64,0.8125,4.353877614039255,76.1839633859794,3,278.6481672985123,34.83102091231404,64_0.8125_4.3539_76.18_3,5
g_f7_rsi_with|g_favorite|g_mp_wt_no_extreme_100|g_tr_above_ema200|g_vwap_in_45_85,5,23,0.782608695652174,3.796632041598902,68.9264201546115,2,12,0.6666666666666666,-2.5834524440704905,75.0,3,66,0.803030303030303,4.271446884518221,100.0,4,281.9154943782026,34.70139853318866,66_0.8030_4.2714_100.00_4,5
g_bb_pos_strong_with|g_f7_rsi_with|g_mp_wt_no_extreme_100|g_vwap_in_45_85,4,22,0.8181818181818182,5.1055698616715794,43.92642015461151,1,10,0.7,-1.67640696820964,50.0,2,57,0.8070175438596491,4.5906937495432025,76.1839633859794,3,261.66954372396253,34.658977752083466,57_0.8070_4.5907_76.18_3,4
g_bb_pos_strong_with|g_ev_ge_30|g_f7_rsi_with|g_mp_wt_no_extreme_100|g_vwap_in_55_80,5,19,0.8421052631578947,6.655966480314054,25.0,1,8,0.625,-3.4177504601290227,50.0,2,40,0.85,5.456020148058445,51.1839633859794,2,218.2408059223378,34.50690125526759,40_0.8500_5.4560_51.18_2,5
g_bb_pos_strong_with|g_cci_strong_with|g_f7_rsi_with|g_vwap_in_55_80,4,62,0.7580645161290323,2.6875276396852383,78.80057211078044,2,28,0.8214285714285714,3.863399606156973,43.79268053865134,1,72,0.8194444444444444,4.006017315925783,89.10659976041316,3,288.4332467466564,33.99218411570224,72_0.8194_4.0060_89.11_3,4
g_f7_rsi_with|g_mp_wt_no_extreme_100|g_tr_above_cloud|g_vwap_in_45_85,4,23,0.782608695652174,3.796632041598902,68.9264201546115,2,12,0.6666666666666666,-2.5834524440704905,75.0,3,70,0.7857142857142857,4.036594176465848,100.0,4,282.5615923526093,33.77256990789211,70_0.7857_4.0366_100.00_4,4
g_bb_pos_strong_with|g_f7_rsi_with|g_mp_wt_no_extreme_100|g_tr_above_ema200|g_vwap_in_45_85,5,22,0.8181818181818182,5.1055698616715794,43.92642015461151,1,10,0.7,-1.67640696820964,50.0,2,56,0.8035714285714286,4.4764829211356,76.1839633859794,3,250.6830435835936,33.49893077726881,56_0.8036_4.4765_76.18_3,5
g_f7_rsi_with|g_mp_wt_no_extreme_100|g_rf_with|g_ribbon_agrees|g_vwap_in_45_85,5,21,0.8095238095238095,4.824537640822546,43.92642015461151,1,10,0.7,-1.67640696820964,50.0,2,60,0.8,4.298641795109926,75.0,3,257.9185077065956,33.2971361675438,60_0.8000_4.2986_75.00_3,5
g_bb_pos_extreme_with|g_cci_strong_with|g_rf_strict_align|g_tr_full_stack_with,4,101,0.8217821782178217,2.2995208987952034,99.23016684370596,3,32,0.875,1.0230428960023108,54.228889660358526,1,49,0.8571428571428571,4.746314011293151,50.0,2,232.5693865533644,33.22419807905206,49_0.8571_4.7463_50.00_2,4
g_bb_pos_strong_with|g_f7_rsi_with|g_mp_wt_no_extreme_100|g_rf_with|g_vwap_in_45_85,5,21,0.8095238095238095,4.824537640822546,43.92642015461151,1,10,0.7,-1.67640696820964,50.0,2,52,0.8076923076923077,4.603192542561759,51.1839633859794,2,239.36601221321143,33.194093486079744,52_0.8077_4.6032_51.18_2,5
g_bb_pos_extreme_with|g_rf_strict_align|g_tr_full_stack_with,3,108,0.8333333333333334,2.6910683078624125,87.77067960620701,3,33,0.8787878787878788,1.0727398914995545,54.228889660358526,1,50,0.86,4.656337221248898,49.75252549091951,1,232.8168610624449,32.92527624636421,50_0.8600_4.6563_49.75_1,3
g_bb_pos_strong_with|g_f7_rsi_with|g_favorite|g_mp_wt_no_extreme_100|g_vwap_in_45_85,5,22,0.8181818181818182,5.1055698616715794,43.92642015461151,1,10,0.7,-1.67640696820964,50.0,2,54,0.8148148148148148,4.3708045509177005,76.1839633859794,3,236.02344574955583,32.11872274554883,54_0.8148_4.3708_76.18_3,5
g_cci_strong_with|g_f7_rsi_with|g_mp_no_extreme_150|g_mp_wt_no_extreme_100|g_vwap_in_55_80,5,18,0.8333333333333334,6.601535297241006,25.0,1,8,0.625,-3.4177504601290227,50.0,2,39,0.8461538461538461,4.995926522600002,51.1839633859794,2,194.84113438140008,31.199551133782485,39_0.8462_4.9959_51.18_2,5
g_f7_rsi_with|g_mp_no_extreme_100|g_mp_wt_no_extreme_100|g_tr_above_ema50|g_vwap_in_55_80,5,17,0.8235294117647058,6.100583526697989,32.984096564256525,1,8,0.625,-3.743735184071934,50.0,2,42,0.8333333333333334,4.811374646100548,51.1839633859794,2,202.07773513622303,31.181271484271537,42_0.8333_4.8114_51.18_2,5
g_cci_strong_with|g_f7_rsi_with|g_mp_no_extreme_100|g_mp_wt_no_extreme_100|g_vwap_in_45_85,5,18,0.7777777777777778,4.214432564647563,57.984096564256525,2,7,0.7142857142857143,-1.4968959196650984,25.0,1,49,0.8163265306122449,4.297465492113879,51.1839633859794,2,210.5758091135801,30.082258444797155,49_0.8163_4.2975_51.18_2,5
g_R1_full|g_bb_pos_extreme_with|g_rf_strict_align,3,59,0.864406779661017,2.207965704794667,79.42731351037513,2,18,0.8888888888888888,0.4431629273109592,46.00496874930302,1,33,0.9090909090909092,4.256028631810977,25.0,1,140.44894484976223,24.449023100897687,33_0.9091_4.2560_25.00_1,3
