stack,dir,n_tr,wr_tr,dpt_tr,n_v,wr_v,dpt_v,n_l,wr_l,dpt_l,dd_l,ls_l,sum_l,score_l
g_bb_pos_with|g_f7_rsi_with|g_mp_no_extreme_150|g_mp_wt_no_extreme_100|g_vwap_in_55_80,BOTH,19,0.8421052631578947,6.655966480314054,10,0.6,-4.157936332778167,48,0.8541666666666666,5.765387628552748,51.183963385979396,2,276.7386061705319,39.943777191929605
g_bb_pos_strong_with|g_f7_rsi_with|g_mp_no_extreme_150|g_vwap_in_55_80,BOTH,64,0.765625,2.924356385265718,28,0.8214285714285714,3.8633996061569724,76,0.8289473684210527,4.550161507740632,89.10659976041316,3,345.812274588288,39.66738837806016
g_bb_pos_with|g_f7_rsi_with|g_mp_no_extreme_150|g_vwap_in_55_80,BOTH,65,0.7692307692307693,2.9806297652565266,32,0.78125,2.648825574709833,92,0.8152173913043478,4.109717821134813,96.11937908524621,3,378.0940395444028,39.4190285570368
g_cci_strong_with|g_f7_rsi_with|g_favorite|g_mp_wt_no_extreme_100|g_vwap_in_45_85,BOTH,20,0.8,4.930661466787866,9,0.6666666666666666,-2.4564170325402097,52,0.8461538461538461,5.454367965694132,51.18396338597941,2,283.6271342160949,39.3320067511168
g_cci_strong_with|g_f7_rsi_with|g_mfi_with|g_mp_no_extreme_150|g_vwap_in_45_85,BOTH,61,0.8032786885245902,3.1010450270491545,38,0.7894736842105263,2.782332810655907,87,0.8275862068965517,4.210526515616341,92.06973661961979,3,366.31580685862167,39.2731768242349
g_bb_pos_with|g_f7_rsi_with|g_favorite|g_mp_wt_no_extreme_100|g_vwap_in_45_85,BOTH,23,0.782608695652174,3.796632041598902,12,0.6666666666666666,-2.5834524440704905,66,0.8181818181818182,4.8166968866450235,76.1839633859794,3,317.90199451857154,39.13103049059464
g_dir_dn|g_f7_rsi_with|g_mp_wt_no_extreme_100|g_ribbon_agrees|g_vwap_in_45_85,g_dir_dn,10,0.7,1.5891721647420907,7,0.7142857142857143,-0.33457195443316884,35,0.8571428571428571,6.612565632866344,75.0,3,231.43979715032205,39.120465855019894
g_R1_five|g_bb_pos_strong_with|g_f7_rsi_with|g_vwap_in_55_80,BOTH,63,0.7619047619047619,2.656174751958922,28,0.8214285714285714,3.8633996061569724,76,0.8289473684210527,4.461671646810695,89.10659976041316,3,339.0870451576128,38.89595165541703
g_f7_rsi_with|g_mp_no_extreme_150|g_mp_wt_no_extreme_100|g_tr_above_ema200|g_vwap_in_55_80,BOTH,19,0.8421052631578947,6.655966480314054,10,0.6,-4.157936332778167,47,0.851063829787234,5.654300128301341,51.183963385979396,2,265.752106030163,38.7639286866373
g_bb_pos_with|g_f7_rsi_with|g_ribbon_agrees|g_vwap_in_55_80,BOTH,64,0.765625,2.7175177415325056,32,0.78125,2.648825574709833,92,0.8152173913043478,4.036617501236169,121.11937908524621,3,371.36881011372753,38.71787491996847
g_bb_pos_strong_with|g_cci_strong_with|g_f7_rsi_with|g_mfi_with|g_vwap_in_45_85,BOTH,61,0.8032786885245902,3.1010450270491545,38,0.7894736842105263,2.782332810655907,82,0.8292682926829268,4.205907955908925,92.06973661961979,3,344.88445238453187,38.0861163963116
g_cci_strong_with|g_dir_dn|g_f7_rsi_with|g_mp_wt_no_extreme_100|g_vwap_in_45_85,g_dir_dn,8,0.75,4.156999233974,6,0.8333333333333334,3.7763327198279697,27,0.8888888888888888,7.2008052278942785,50.0,2,194.42174115314552,37.41648153036144
g_cci_strong_with|g_dir_dn|g_f7_rsi_with|g_mp_wt_no_extreme_100|g_tr_partial_stack_with|g_vwap_in_45_85,g_dir_dn,8,0.75,4.156999233974,6,0.8333333333333334,3.7763327198279697,27,0.8888888888888888,7.2008052278942785,50.0,2,194.42174115314552,37.41648153036144
g_dir_dn|g_f7_rsi_with|g_favorite|g_mp_wt_no_extreme_100|g_ribbon_agrees|g_vwap_in_45_85,g_dir_dn,10,0.7,1.5891721647420907,7,0.7142857142857143,-0.33457195443316884,32,0.875,6.431053099247354,75.0,3,205.79369917591532,36.37953005318854
g_bb_pos_with|g_dir_dn|g_f7_rsi_with|g_favorite|g_mp_wt_no_extreme_100|g_vwap_in_45_85,g_dir_dn,10,0.7,1.5891721647420907,7,0.7142857142857143,-0.33457195443316884,32,0.875,6.431053099247354,75.0,3,205.79369917591532,36.37953005318854
g_cci_strong_with|g_dir_dn|g_f7_rsi_with|g_favorite|g_mp_wt_no_extreme_100|g_vwap_in_45_85,g_dir_dn,8,0.75,4.156999233974,6,0.8333333333333334,3.7763327198279697,24,0.9166666666666666,7.032318465780784,50.0,2,168.77564317873882,34.45118389982953
g_dir_dn|g_f7_rsi_with|g_mp_no_extreme_150|g_ribbon_agrees|g_vwap_in_55_80,g_dir_dn,35,0.7714285714285715,2.9824711873068233,22,0.8636363636363636,5.398546477509209,52,0.8461538461538461,4.5208386576508515,75.0,3,235.08361019784428,32.60023117651987
g_cci_strong_with|g_dir_dn|g_f7_rsi_with|g_mfi_with|g_tr_partial_stack_with|g_vwap_in_45_85,g_dir_dn,32,0.75,1.3797571883207125,21,0.8571428571428571,4.458852583943068,49,0.8367346938775511,4.618878263937826,56.53963605043117,2,226.32503493295349,32.332147847564784
g_cci_strong_with|g_dir_dn|g_f7_rsi_with|g_mfi_with|g_vwap_in_45_85,g_dir_dn,32,0.75,1.3797571883207125,21,0.8571428571428571,4.458852583943068,49,0.8367346938775511,4.618878263937826,56.53963605043117,2,226.32503493295349,32.332147847564784
g_dir_dn|g_f7_rsi_with|g_mfi_with|g_tr_above_ema200|g_vwap_in_55_80,g_dir_dn,24,0.75,1.6669720131737649,18,0.8333333333333334,4.258408305170118,41,0.8536585365853658,5.027747827236498,50.0,2,206.1376609166964,32.19329397227836
g_dir_dn|g_f7_rsi_with|g_mp_no_extreme_150|g_tr_above_ema200|g_vwap_in_55_80,g_dir_dn,34,0.7647058823529411,2.87659898444325,21,0.8571428571428571,4.902068259053983,51,0.8431372549019608,4.393654190163589,75.0,3,224.07636369834302,31.376966938820665
g_bb_pos_strong_with|g_dir_dn|g_f7_rsi_with|g_vwap_in_55_80,g_dir_dn,34,0.7647058823529411,2.87659898444325,19,0.9473684210526315,8.04965439158598,41,0.8536585365853658,4.896618816087603,75.0,3,200.76137145959171,31.35365862276027
g_R1_five|g_bb_pos_strong_with|g_dir_dn|g_f7_rsi_with|g_vwap_in_55_80,g_dir_dn,34,0.7647058823529411,2.87659898444325,19,0.9473684210526315,8.04965439158598,41,0.8536585365853658,4.896618816087603,75.0,3,200.76137145959171,31.35365862276027
g_cci_strong_with|g_dir_dn|g_f7_rsi_with|g_mfi_with|g_mp_no_extreme_150|g_vwap_in_45_85,g_dir_dn,32,0.75,1.3797571883207125,21,0.8571428571428571,4.458852583943068,48,0.8333333333333334,4.497724892669169,56.5396360504312,2,215.8907948481201,31.1611521302811
g_bb_pos_with|g_dir_up|g_f7_rsi_with|g_mp_no_extreme_150|g_vwap_in_55_80,g_dir_up,30,0.7666666666666667,2.9784814395311816,10,0.6,-3.400560411448791,43,0.813953488372093,4.626863814203148,42.15550071319652,1,198.95514401073535,30.340375021954614
g_bb_pos_strong_with|g_dir_dn|g_f7_rsi_with|g_mp_no_extreme_150|g_vwap_in_55_80,g_dir_dn,34,0.7647058823529411,2.87659898444325,19,0.9473684210526315,8.04965439158598,40,0.85,4.7581782843689595,75.0,3,190.32713137475838,30.093361783516535
g_bb_pos_strong_with|g_cci_strong_with|g_dir_dn|g_f7_rsi_with|g_mfi_with|g_vwap_in_45_85,g_dir_dn,32,0.75,1.3797571883207125,21,0.8571428571428571,4.458852583943068,46,0.8260869565217391,4.3899479528480025,56.539636050431156,2,201.9376058310081,29.7740756249604
g_bb_pos_with|g_dir_dn|g_f7_rsi_with|g_mp_no_extreme_150|g_mp_wt_no_extreme_100|g_vwap_in_55_80,g_dir_dn,8,0.875,8.236465205927614,7,0.7142857142857143,-0.33457195443316884,23,0.8695652173913043,6.027646441418054,50.0,2,138.63586815261525,28.907576815136437
g_dir_dn|g_f7_rsi_with|g_mp_no_extreme_150|g_mp_wt_no_extreme_100|g_tr_above_ema200|g_vwap_in_55_80,g_dir_dn,8,0.875,8.236465205927614,7,0.7142857142857143,-0.33457195443316884,23,0.8695652173913043,6.027646441418054,50.0,2,138.63586815261525,28.907576815136437
g_cci_strong_with|g_dir_up|g_f7_rsi_with|g_mfi_with|g_tr_partial_stack_with|g_vwap_in_45_85,g_dir_up,29,0.8620689655172413,5.000397124956398,17,0.7058823529411765,0.7113377965952945,38,0.8421052631578947,4.616447684486884,50.0,2,175.4250120105016,28.457694750224654
g_bb_pos_with|g_dir_up|g_f7_rsi_with|g_ribbon_agrees|g_vwap_in_55_80,g_dir_up,29,0.7586206896551724,2.397746341460054,10,0.6,-3.400560411448791,42,0.8095238095238095,4.328468440362542,42.15550071319652,1,181.79567449522676,28.051681583231524
g_bb_pos_with|g_dir_up|g_f7_rsi_with|g_mp_no_extreme_150|g_mp_wt_no_extreme_100|g_vwap_in_55_80,g_dir_up,11,0.8181818181818182,5.506512861686009,3,0.3333333333333333,-13.07911988224983,25,0.84,5.524109520716666,25.0,1,138.10273801791666,27.620547603583333
g_dir_up|g_f7_rsi_with|g_mp_no_extreme_150|g_tr_above_ema200|g_vwap_in_55_80,g_dir_up,30,0.7666666666666667,2.8537306831875338,11,0.6363636363636364,-1.6476200915180603,44,0.7954545454545454,4.044372489451471,50.0,2,177.95238953586474,26.827332119892265
g_bb_pos_with|g_dir_dn|g_f7_rsi_with|g_ribbon_agrees|g_vwap_in_55_80,g_dir_dn,35,0.7714285714285715,2.9824711873068233,22,0.8636363636363636,5.398546477509209,50,0.82,3.7914627123700146,97.15868659472,3,189.57313561850074,26.80968994532778
g_dir_up|g_f7_rsi_with|g_mp_no_extreme_150|g_mp_wt_no_extreme_100|g_tr_above_ema200|g_vwap_in_55_80,g_dir_up,11,0.8181818181818182,5.506512861686009,3,0.3333333333333333,-13.07911988224983,24,0.8333333333333334,5.296509911564489,25.0,1,127.11623787754775,25.947493401853304
g_bb_pos_strong_with|g_dir_up|g_f7_rsi_with|g_mp_no_extreme_150|g_vwap_in_55_80,g_dir_up,30,0.7666666666666667,2.9784814395311816,9,0.5555555555555556,-4.974249385304268,36,0.8055555555555556,4.319031755931379,43.48734261450561,1,155.48514321352962,25.914190535588272
g_bb_pos_strong_with|g_dir_up|g_f7_rsi_with|g_vwap_in_55_80,g_dir_up,30,0.7666666666666667,2.9784814395311816,9,0.5555555555555556,-4.974249385304268,36,0.8055555555555556,4.319031755931379,43.48734261450561,1,155.48514321352962,25.914190535588272
g_dir_up|g_f7_rsi_with|g_mfi_with|g_tr_above_ema200|g_vwap_in_55_80,g_dir_up,17,0.7647058823529411,2.5379431753564545,9,0.6666666666666666,-1.3261399104951042,37,0.8108108108108109,4.247538858709313,50.0,2,157.15893777224457,25.83677021574267
g_bb_pos_with|g_dir_dn|g_f7_rsi_with|g_mp_no_extreme_150|g_vwap_in_55_80,g_dir_dn,35,0.7714285714285715,2.9824711873068233,22,0.8636363636363636,5.398546477509209,49,0.8163265306122449,3.6558958272177016,75.0,3,179.13889553366738,25.59127079052391
g_dir_up|g_f7_rsi_with|g_mp_no_extreme_150|g_ribbon_agrees|g_vwap_in_55_80,g_dir_up,30,0.7666666666666667,2.703306805026268,10,0.6,-3.400560411448791,47,0.7872340425531915,3.6704054175799166,58.47429039997701,2,172.50905462625607,25.16303178636867
g_cci_strong_with|g_dir_up|g_f7_rsi_with|g_mfi_with|g_vwap_in_45_85,g_dir_up,29,0.8620689655172413,5.000397124956398,17,0.7058823529411765,0.7113377965952945,39,0.8205128205128205,3.8570515900128615,50.0,2,150.4250120105016,24.08727945934968
g_cci_strong_with|g_dir_up|g_f7_rsi_with|g_mfi_with|g_mp_no_extreme_150|g_vwap_in_45_85,g_dir_up,29,0.8620689655172413,5.000397124956398,17,0.7058823529411765,0.7113377965952945,39,0.8205128205128205,3.8570515900128615,50.0,2,150.4250120105016,24.08727945934968
g_bb_pos_strong_with|g_cci_strong_with|g_dir_up|g_f7_rsi_with|g_mfi_with|g_vwap_in_45_85,g_dir_up,29,0.8620689655172413,5.000397124956398,17,0.7058823529411765,0.7113377965952945,36,0.8333333333333334,3.9707457375978814,50.0,2,142.94684655352373,23.82447442558729
g_R1_five|g_bb_pos_strong_with|g_dir_up|g_f7_rsi_with|g_vwap_in_55_80,g_dir_up,29,0.7586206896551724,2.397746341460054,9,0.5555555555555556,-4.974249385304268,35,0.8,3.952162105657744,43.48734261450561,1,138.32567369802103,23.381306332814187
g_dir_up|g_f7_rsi_with|g_favorite|g_mp_wt_no_extreme_100|g_ribbon_agrees|g_vwap_in_45_85,g_dir_up,13,0.8461538461538461,5.494678100719526,5,0.6,-5.731885129562743,35,0.7714285714285715,3.900520309510978,75.0,3,136.51821083288422,23.075789346667353
g_cci_strong_with|g_dir_up|g_f7_rsi_with|g_mp_wt_no_extreme_100|g_vwap_in_45_85,g_dir_up,12,0.8333333333333334,5.4464362886637785,3,0.3333333333333333,-14.921916537276568,28,0.7857142857142857,4.101838965619861,50.0,2,114.85149103735611,21.704891642129144
g_cci_strong_with|g_dir_up|g_f7_rsi_with|g_favorite|g_mp_wt_no_extreme_100|g_vwap_in_45_85,g_dir_up,12,0.8333333333333334,5.4464362886637785,3,0.3333333333333333,-14.921916537276568,28,0.7857142857142857,4.101838965619861,50.0,2,114.85149103735611,21.704891642129144
g_cci_strong_with|g_dir_up|g_f7_rsi_with|g_mp_wt_no_extreme_100|g_tr_partial_stack_with|g_vwap_in_45_85,g_dir_up,12,0.8333333333333334,5.4464362886637785,3,0.3333333333333333,-14.921916537276568,27,0.7777777777777778,3.8468515147032285,50.0,2,103.86499089698717,19.988826817917857
g_bb_pos_with|g_dir_up|g_f7_rsi_with|g_favorite|g_mp_wt_no_extreme_100|g_vwap_in_45_85,g_dir_up,13,0.8461538461538461,5.494678100719526,5,0.6,-5.731885129562743,34,0.7647058823529411,3.29730280419577,75.0,3,112.10829534265619,19.22641403400405
g_dir_up|g_f7_rsi_with|g_mp_wt_no_extreme_100|g_ribbon_agrees|g_vwap_in_45_85,g_dir_up,13,0.8461538461538461,5.494678100719526,5,0.6,-5.731885129562743,36,0.75,3.097728078691228,88.28716866702484,3,111.5182108328842,18.586368472147367
