edge,daily,liq,competitive,dte,max_spread,min_size,price,q,slug,cid,vol24
19.231,60.0,2120.0,0.956,57,4.5,20,0.715,Will the next Google Gemini Pro model be released by June 26,will-the-next-google-gemini-pro-model-be-released-by-june-26-2026-20260601225410820,0x253108d1876c9d55c1d7a7cfd4490245a7fc050da30a0395ca2fa380f76050f4,1033.0
18.904,50.0,1645.0,0.999,210,4.5,20,0.535,Will MGM Resorts be acquired before 2027?,will-mgm-resorts-be-acquired-before-2027,0xbb957a0c805d53d96f666fd5c0ea0f70535ca092bfd55fc07ba9b782e3d3d249,71.0
17.85,132.0,6395.0,0.997,75,4.5,20,0.555,Will Loranne Ausley win the Tallahassee mayoral election?,will-loranne-ausley-win-the-tallahassee-mayoral-election-20260602161659079,0x5e679f25f413ea3f2e6715c2453738b8311a4291fe26fbb7606469e4338ea554,5115.0
16.865,98.0,4811.0,0.985,226,4.5,20,0.375,Will Peter Obi win the 2027 Nigerian Presidential Election?,will-peter-obi-win-the-2027-nigerian-presidential-election-20260602163030948,0xe00cb03a0aefe8f4a06338da171a8df62edd2056622843931f4d5af4199afffe,919.0
16.136,106.0,5569.0,1.0,27,4.5,50,0.49,Will Silver (XAGUSD) hit (LOW) $70 in June?,will-xagusd-dip-to-70-in-june-2026,0x7552dce1c0935117bcfaff5e77e0e783138bbda98a37a825bfc20a2e9cca2add,701.0
15.716,119.0,6572.0,0.998,27,4.5,50,0.54,Will S&P 500 (SPY) hit (LOW) $740 in June?,will-spy-dip-to-740-in-june-2026,0x5646776f837d1a7e348d1c731d3fe504fd46b71801b6be590cabc527df0d082d,1050.0
15.504,50.0,2225.0,0.882,27,4.5,20,0.135,Will FURIA make a roster change before July?,will-furia-make-a-roster-change-before-july,0x3435121be894256832ea72d7d4f96de7933bb136aef72d5c8ec3d432fc103492,0.0
15.464,60.0,2880.0,0.965,27,4.5,50,0.31,Will Natural Gas (NG) hit (LOW) $2.80 in June?,will-ng-dip-to-2-80-in-june-2026,0x3067590c13df7d3cb4aa906df2e653ba52db2ae3af34df005930852a7248698d,64.0
14.149,80.0,4654.0,0.972,14,4.5,20,0.33,Will Kroger Q1 identical sales without fuel growth be betwee,will-kroger-q1-identical-sales-without-fuel-growth-be-between-1-and-1pt5,0x88fcccaab82e5e68027b190febd67ee9b59f9715acca7c1b016af3b65d5355e6,398.0
13.871,64.0,3614.0,0.952,27,4.5,50,0.725,"Will Gold (XAUUSD) hit (LOW) $4,400 in June?",will-xauusd-dip-to-4400-in-june-2026,0x6185427ca3cf12a18f0dff54f656e8185b3ea167cf7f073766ac489bf1df4dcb,3984.0
13.532,60.0,3434.0,0.987,57,4.5,20,0.615,Will the next Google Gemini Pro model be released by June 19,will-the-next-google-gemini-pro-model-be-released-by-june-19-2026-20260601225410819,0x29615691f1cd58a76040e86f1bd432b798ceaa31d3139011efdbd66f017efa01,1112.0
13.053,64.0,3903.0,0.979,27,4.5,50,0.645,"Will Gold (XAUUSD) hit (HIGH) $4,600 in June?",will-xauusd-reach-4600-in-june-2026,0xbd8fee7c09a57fa5010ef017f0198f1abf74b43a673948f5ebb38e1c4d8eaa32,2300.0
12.618,200.0,14850.0,0.998,27,5.5,50,0.55,Will WTI Crude Oil (WTI) hit (HIGH) $105 in June?,will-wti-crude-oil-wti-hit-high-105-in-june,0x394fa541074583a82786e8480c1ebf3c06fe9f54daa740a90e46fe0741e1527e,4810.0
12.101,200.0,15528.0,0.92,27,5.5,50,0.205,Will WTI Crude Oil (WTI) hit (HIGH) $115 in June?,will-wti-crude-oil-wti-hit-high-115-in-june,0x2c01f20a44b5d4dd7d7e784da6dfa2da56a2dc26aa572715e20050102e88afcb,5459.0
12.069,200.0,15572.0,0.97,27,5.5,50,0.335,Will WTI Crude Oil (WTI) hit (HIGH) $110 in June?,will-wti-reach-110-in-june-2026-658-257-353,0xadba518e3da8a4986a9a215cdbda8b093e22e85413b2a79d6832f92d6e921a6a,14714.0
11.712,200.0,16077.0,0.874,27,5.5,50,0.12,Will WTI Crude Oil (WTI) hit (HIGH) $125 in June?,will-wti-crude-oil-wti-hit-high-125-in-june,0x5eed2b8a92f935bafeda8ad20ee2aff166f12dd7ee83dfa30cdedc607432a2ef,1291.0
11.574,200.0,16280.0,0.991,27,5.5,50,0.595,Will WTI Crude Oil (WTI) hit (LOW) $85 in June?,will-wti-crude-oil-wti-hit-low-85-in-june-342,0x1d1c15c3c9a75382ade580fe59be9b6b17074c0d36847c3740b1b642d48f9ea8,3059.0
11.32,400.0,34337.0,0.982,392,5.5,20,0.365,"Will Anthropic IPO by September 30, 2026?",will-anthropic-ipo-by-september-30-2026-733,0x2450ec499544c566d0de8bbd7739fb68b598c6ad380f0c1ddf3b731d42ec6b19,20453.0
11.258,200.0,16765.0,0.904,27,5.5,50,0.825,Will WTI Crude Oil (WTI) hit (LOW) $90 in June?,will-wti-crude-oil-wti-hit-low-90-in-june,0x5619adb4f6a420a495f2e1cdc4294a89b9c807a27bbdf998755df21be2962b81,3647.0
11.148,51.0,3575.0,0.91,75,4.5,20,0.195,Will Al Lawson win the Tallahassee mayoral election?,will-al-lawson-win-the-tallahassee-mayoral-election-20260602161659083,0x78b532aef17ee0ff782cc0fa3abab14411343957b56a326e0897801057644f8a,1303.0
11.086,60.0,4412.0,0.92,26,4.5,20,0.206,Will there be no next Google Gemini Pro model release by Jun,will-there-be-no-next-google-gemini-pro-model-release-by-june-30-2026-20260601225614972,0x3984d44578bc08c3321f425ab12bff288dd436da95154d8585031def66765681,7263.0
11.041,100.0,8057.0,0.952,575,4.5,100,0.725,Will Anthropic or OpenAI IPO first?,will-anthropic-or-openai-ipo-first,0xc289a877bc155123069739b21d690b3e8dc220b98f6ae3924468bbcbdfaf98dc,5574.0
10.492,58.0,4528.0,0.963,27,4.5,50,0.305,Will Natural Gas (NG) hit (HIGH) $3.60 in June?,will-ng-reach-3-60-in-june-2026,0xcc0a820a19e30d5e6d79d95431d3f3cc4c1f14b1ce6692dfbc733d586e8c2304,586.0
10.288,71.0,5901.0,0.963,22,4.5,20,0.305,Will UMich Consumer Sentiment be between 46.0 and 48.9 in Ju,will-umich-consumer-sentiment-be-between-46pt0-and-48pt9-in-june,0x79c34b99382df430a3f7db33cdf5aca34a5d3820d4678e0f8608f416a60c9481,0.0
10.208,750.0,72475.0,0.982,316,4.5,100,0.365,Sports Prediction Markets taxed as gambling?,sports-prediction-markets-taxed-as-gambling,0x3a7fe8fa58bde67a753d46b5b8210a53b9fbc7a6c424b41a9b00015588c3e2a3,2708.0
9.996,100.0,9004.0,0.982,15,4.5,20,0.635,Will President Trump attend the NBA Finals?,nba-playoffs-will-president-trump-attend-the-nba-finals,0x58e514036d7a8ffcbde14a5c189d4282f837585656885d4856cec0a41349fe27,19676.0
9.985,47.0,3707.0,0.956,242,4.5,100,0.285,Will Chad Tracy be the next Red Sox manager?,will-chad-tracy-be-the-next-red-sox-manager-975,0x6c200dae8b86d23a3e7c1a4c8e9e3b219deab1e7f28a4f3ce1797311f34ad6cd,0.0
9.716,50.0,4146.0,0.93,575,5.5,20,0.225,Will Goldman Sachs or any of its underwriting affiliates ser,will-goldman-sachs-or-any-of-its-underwriting-affiliates-serve-as-the-lead-underwriter-in-anthropics-initial-public-offering,0x27dcf3218163c07c9509240174f145ec03631f5598ad8d216fa369878b94fbd8,940.0
9.647,70.0,6256.0,0.983,27,4.5,50,0.37,"Will Gold (XAUUSD) hit (HIGH) $4,700 in June?",will-xauusd-reach-4700-in-june-2026,0x21593df6ff0ba9ab13b8a6730c9a1bee9bf85ac92a1a694a3c5384ecf9cd7425,3294.0
9.279,200.0,20555.0,0.894,26,3.5,200,0.155,US announces new Iran agreement/ceasefire extension by June ,us-announces-new-iran-agreementceasefire-extension-by-june-9,0x5c0e75027a5561ea72a0776b00086be32fb4af8e758d26be217ac6c9efcdadf9,20097.0
9.219,200.0,20695.0,0.937,27,5.5,50,0.76,Will WTI Crude Oil (WTI) hit (HIGH) $100 in June?,will-wti-reach-100-in-june-2026-823-791-134,0x9586c8a756737566608c7821cbb4eccd165a02f64502e7302bf14b13063e5e86,21859.0
8.952,55.0,5144.0,1.0,27,4.5,50,0.495,Will NVIDIA (NVDA) hit (HIGH) $240 in June?,will-nvda-reach-240-in-june-2026,0x713695e7824f13a460a013bdb5985ec7eb428adc50d045405f83dea6af41fc27,646.0
8.816,42.0,3764.0,0.963,20,4.5,20,0.305,Will General Mills Q4 organic net sales growth be between 0%,will-general-mills-q4-organic-net-sales-growth-be-between-0-and-1pt5,0x42a3de3a6d79c3bbc600798593f2bc6f8686d2c1daef2737ed7c64dbbcaaff6d,134.0
8.676,105.0,11103.0,0.999,20,4.5,50,0.465,Will Micron Q3 adjusted gross margin be above 85%?,will-micron-q3-adjusted-gross-margin-be-above-85-415,0x108677b8622766ef788ca23e55977e885fbe8c179a08c634bc247b898e7c1f5d,109.0
8.591,50.0,4820.0,0.952,116,4.5,20,0.725,MLB: Aaron Judge or Juan Soto to draw more walks?,mlb-aaron-judge-or-juan-soto-to-draw-more-walks,0x7e8f8596bceba09095a584e6f2ce3a0df89ae90890ac2013756941531a1e60b5,43.0
8.525,65.0,6625.0,0.96,14,4.5,20,0.295,Will Kroger Q1 identical sales without fuel growth be betwee,will-kroger-q1-identical-sales-without-fuel-growth-be-between-1pt5-and-2,0xb2500007458986cf1a29eddbc8bd440a754edd8b397788f93b9ef08be5eb02ba,871.0
8.388,200.0,22843.0,0.882,27,5.5,50,0.135,Will WTI Crude Oil (WTI) hit (LOW) $75 in June?,will-wti-crude-oil-wti-hit-low-75-in-june-987,0x68f69b5563c4adb083c573c0876bb13f605fc9dfc2e6cfe5b1fa72f6b907cdf1,2767.0
7.789,60.0,6703.0,0.894,26,4.5,20,0.155,Will the next Google Gemini Pro model be released on June 23,will-the-next-google-gemini-pro-model-be-released-on-june-23-2026-20260601225614964,0x229263ccd4a5d9550584284ef55e3e008cadace7785658c50d6657267929662d,1963.0
7.68,51.0,5641.0,1.0,27,4.5,50,0.48,"Will Robinhood Markets, Inc. (HOOD) hit (HIGH) $100 in June?",will-hood-reach-100-in-june-2026,0xc6db5e3757db0275494e8f34caab01036b9f52cdfa104311d6682c1d9922a668,3171.0
7.185,200.0,26834.0,0.865,27,5.5,50,0.105,Will WTI Crude Oil (WTI) hit (HIGH) $130 in June?,will-wti-reach-130-in-june-2026-362,0x65187bf18ba3a88bd131b1537c069526fd0f3eb3f0b34e0f2f256a095e021afa,15376.0
6.921,53.0,6658.0,0.994,27,4.5,50,0.425,Will Silver (XAGUSD) hit (HIGH) $82 in June?,will-xagusd-reach-82-in-june-2026,0x4ea3630261a50df7f01756366f52f06df6cc3f62e5003278239dd1c4c76a09cc,2048.0
6.856,200.0,28170.0,0.979,27,5.5,50,0.355,Will WTI Crude Oil (WTI) hit (LOW) $80 in June?,will-wti-dip-to-80-in-june-2026-848-561-294-989-956,0x8df9bd0fa7983177691f7fbb910ac9ead0a1468f953f8130a80dddbc50deb5ab,17161.0
6.507,100.0,14368.0,0.979,17,4.5,200,0.355,"US x Iran diplomatic meeting by June 21, 2026?",us-x-iran-diplomatic-meeting-by-june-21-2026,0x3088733a3d7f03d026035f6dd7df44a82c59eeb95545dda3889b65baa9a36e82,29479.0
6.414,100.0,14590.0,0.894,26,4.5,20,0.845,Trump declassifies new UFO files by June 30?,trump-declassifies-new-ufo-files-by-june-30,0xd74764448c8b1e4e4a9aa648d7e884122cf559cf643177f0cdc4b0e422830d3c,9153.0
6.322,200.0,30635.0,0.899,27,5.5,50,0.165,Will WTI Crude Oil (WTI) hit (HIGH) $120 in June?,will-wti-reach-120-in-june-2026-243,0xbb1be4fe1444180e094701f32dc9d39b4fb64063a397b72238b22b9839a9fc3f,5814.0
6.296,700.0,110188.0,0.865,26,3.5,200,0.105,US announces new Iran agreement/ceasefire extension by June ,us-announces-new-iran-agreementceasefire-extension-by-june-7-265-824-655-577-216,0x27182c8b13f2a6284754660cbb3c6350a04f7aa4afe04d24dad481947014d90d,223085.0
6.224,200.0,31136.0,0.943,26,4.5,50,0.745,US announces new Iran agreement/ceasefire extension by July ,us-announces-new-iran-agreementceasefire-extension-by-july-31,0x724a93f3e0ed0a6c83d2b4f2bc60839b39a92cc2c7cbac0169447f48d72537ab,3958.0
6.149,60.0,8758.0,0.999,26,4.5,20,0.475,Will 20 ships transit the Strait of Hormuz on any day by Jun,will-20-ships-transit-the-strait-of-hormuz-on-any-day-by-june-30-2026,0x2358809f9f612f8fb4f224b342ba2841ca644a6e3c46adb4c3bcee910cc31632,3241.0
5.915,600.0,100437.0,0.911,152,4.5,100,0.812,Will Xavier Becerra win the California Governor Election in ,will-xavier-becerra-win-the-california-governor-election-in-2026,0xa5d79e71e66c9fe122f8b8b3ca6ab7a0e3048bd8508f130746944e92ed79ddf3,174464.0
5.882,100.0,16002.0,0.986,26,4.5,20,0.62,Trump declassifies new UFO files by June 15?,trump-declassifies-new-ufo-files-by-june-15,0x3deb9137ed843d8e462eacad2ebba2b1ecd079ed539caa538b697f3117cc370f,17937.0
5.681,100.0,16604.0,0.977,57,4.5,200,0.345,Iran closes its airspace by July 31?,iran-closes-its-airspace-by-july-31,0x46e99bb62eda23f2d65b8d789910e54e205c14b16b59939d51b01a55f63e7c38,27779.0
5.083,50.0,8836.0,0.952,575,5.5,20,0.275,Will Morgan Stanley or any of its underwriting affiliates se,will-morgan-stanley-or-any-of-its-underwriting-affiliates-serve-as-the-lead-underwriter-in-anthropics-initial-public-offering,0xdee26876ad54f7d8b491fa1438a0e99a8aa855b9ed077eb9d290c6ef0c877df4,623.0
4.951,300.0,59590.0,0.996,26,4.5,200,0.565,US announces new Iran agreement/ceasefire extension by June ,us-announces-new-iran-agreementceasefire-extension-by-june-30-848-925-757-129-337,0xa48ee32a0cbe5bc1a48844bd14e1691701d3bf8f45f4dd8cb8d1d304561393b6,73149.0
4.743,50.0,9542.0,0.922,210,5.5,20,0.21,Ex-Cuba leader Raul Castro in US custody by December 31?,ex-cuba-leader-raul-castro-in-us-custody-by-december-31,0xc476305664a8b06e1df5151daef77e35f90d632bd2ecc1ea29f1c945e4e1c98a,25.0
4.68,200.0,41735.0,0.899,26,4.5,200,0.165,Israel closes its airspace by June 30?,israel-closes-its-airspace-by-june-30-324,0x676e7cda423f5826bcbb3c141e808ad7c66bc2d055e4d0aca79c26779712062c,56004.0
4.498,60.0,12340.0,0.874,210,4.5,20,0.12,Will Saudi Arabia recognize Israel by December 31?,will-saudi-arabia-recognize-israel-by-december-31,0x9f49858223675c7f9b354adccf3303956beff106a80e13ba12dd320735bf8181,7948.0
4.497,51.0,10342.0,0.937,38,4.5,100,0.76,Will a team from LCK (South Korea) win MSI 2026?,will-a-team-from-lck-south-korea-win-msi-2026,0x4890e36c536eef20111bd617f6479b6b7384ad2ebf16e18a108d989dc0aa9f9e,827.0
4.452,41.0,8209.0,0.92,98,4.5,100,0.205,Will Jeff Bezos buy the Seattle Seahawks?,will-jeff-bezos-buy-the-seattle-seahawks-794,0x17214389488fcb9d3de8c0b4ee56c01bd92cb4242c55982f71746ac9fb576c6c,5.0
3.81,200.0,51490.0,0.929,26,4.5,200,0.224,Iran closes its airspace by June 30?,iran-closes-its-airspace-by-june-30-432-786-462-866,0x51a7c8afb7a0e09b8b47643171d90f400de23a176c4ea06f6552d6e53213839c,284892.0
3.722,400.0,106474.0,0.915,17,3.5,200,0.805,Will Abelardo de la Espriella  win the 2026 Colombian presid,will-abelardo-de-la-espriella-win-the-2026-colombian-presidential-election,0xfbe85201ab2b4acff01cd5a3639039fc813d3448c64db081f70926bd9b9e74e9,61533.0
3.674,200.0,53435.0,0.87,11,4.5,200,0.119,Iran closes its airspace by June 15?,iran-closes-its-airspace-by-june-15,0xd9933a54c518e773050255ea9dba01a71e1a41f49311ed078ae4a6f7e76b1625,197795.0
3.349,400.0,118452.0,0.904,17,3.5,200,0.175,Will Ivan Cepeda Castro win the 2026 Colombian presidential ,will-ivan-cepeda-castro-win-the-2026-colombian-presidential-election,0x0fb006e0c06caa4db12f7e30ec8c2483d658f83eb57b2ee8eb478e39beca3dfd,75568.0
3.257,300.0,91098.0,0.865,152,4.5,100,0.1055,Will Tom Steyer win the California Governor Election in 2026,will-tom-steyer-win-the-california-governor-election-in-2026,0x8d62f20324e9e7f1a3c663ab6aac9a2f6e7adb96c6a69ac2cea7e08a71a7f2ef,366879.0
3.027,200.0,65075.0,0.865,45,3.5,200,0.895,Will Neymar play in the World Cup?,will-neymar-play-in-the-world-cup,0xb60c044bba6f7958768691345df1e102448a5b7ef16e4a08879bb10483fb4567,7331.0
2.784,100.0,34916.0,0.871,392,5.5,200,0.885,"Will Anthropic IPO by December 31, 2026?",will-anthropic-ipo-by-december-31-2026-546-128,0xb40b0cd531184a1e436d23ca898e1590418187b116f387158753d1adb9853e47,6413.0
2.633,100.0,36973.0,0.941,11,4.5,200,0.25,Will Donald Trump announce that the United States blockade o,will-donald-trump-announce-that-the-united-states-blockade-of-the-strait-of-hormuz-has-been-lifted-by-june-15-2026,0x3094a2b925483a06aa72945a1472e311e5eb6be75284f61e0c008e279508ddf6,40874.0
2.543,100.0,38325.0,0.865,210,4.5,20,0.105,Vance announces he won't run for President in 2028 this year,vance-announces-he-wont-run-for-president-in-2028-this-year,0x82141371409da1f4b21c5da853ee821c1acbb5c542a52ababc920df9546ec932,421.0
2.328,200.0,84921.0,0.997,26,4.5,200,0.555,Will Donald Trump announce that the United States blockade o,will-donald-trump-announce-that-the-united-states-blockade-of-the-strait-of-hormuz-has-been-lifted-by-june-30-2026-159-962,0x4d0c4865bdecc5f7971dbab47bb6c069d93909dec75bdff52fb766ae6094a6d6,62458.0
2.307,50.0,20672.0,0.958,41,4.5,200,0.29,Iran closes its airspace by July 15?,iran-closes-its-airspace-by-july-15,0x5cf44e7b58610c8ac35b45c23846887e4efe31fda7963711e85d808647ad44d9,15074.0
2.282,50.0,20915.0,0.899,210,4.5,200,0.165,Will Turkey schedule early presidential elections in 2026?,will-turkey-schedule-early-presidential-elections-in-2026,0xda2c94b13cfb01655e69e1ad2c914666a328f316355afd0ac09d2cb4b42edf36,155.0
2.273,600.0,262995.0,0.987,57,4.5,200,0.385,"US x Iran permanent peace deal by July 31, 2026?",us-x-iran-permanent-peace-deal-by-july-31-2026-831-252,0x20af55ab35186377b81219db6cb8615240cba42cea41731091be9484a5f5b122,77824.0
2.129,200.0,92934.0,0.97,26,3.5,200,0.325,US-Iran nuclear deal by June 30?,us-iran-nuclear-deal-by-june-30,0xa70fc3695a65833b91b45df6db6015096f3e1471b70352ca411b4209010e7633,257928.0
2.045,500.0,243501.0,0.915,26,3.5,200,0.195,Strait of Hormuz traffic returns to normal by end of June?,strait-of-hormuz-traffic-returns-to-normal-by-end-of-june,0x348cd9adf4f6855f58bd9c6dbf9ff251c4142ef77233a5dc95c65b4b61cd2187,381002.0
2.014,100.0,48662.0,0.999,210,4.5,100,0.465,US strike on Cuba by December 31?,us-strike-on-cuba-by-december-31,0x3de0f3d7d7efb40cde68e814d40a0b232832083653c8e78260eb999baa967de0,96712.0
1.965,1000.0,507926.0,0.871,11,4.5,200,0.115,"US x Iran permanent peace deal by June 15, 2026?",us-x-iran-permanent-peace-deal-by-june-15-2026-734-856-129,0xd86a816093fcd0a0e1ca440bc5ce199bd3c5a8d6139e044b076958164f8c5423,2334724.0
1.948,42.0,20566.0,0.92,38,4.5,100,0.205,Will a team from LPL (China) win MSI 2026?,will-a-team-from-lpl-china-win-msi-2026,0x9f61a4c01f2c8414b54fae93f7bad383593edea835ccd5c1990fa43422be1634,717.0
1.501,100.0,65604.0,0.963,57,4.5,200,0.695,Will Donald Trump announce that the United States blockade o,will-donald-trump-announce-that-the-united-states-blockade-of-the-strait-of-hormuz-has-been-lifted-by-july-31-2026,0x0549eb8269570dea333fe47ffff241827d93a22caed18f64f9a1eb4c3239c7f8,12068.0
1.439,100.0,68469.0,0.99,,3.5,50,0.4,Will the Democrats win the Texas Senate race in 2026?,will-the-democrats-win-the-texas-senate-race-in-2026,0x34918035a590555ba1fb1d6a019d766ab6e557d63e7f3140b63b4550eee7f417,4218.0
1.315,70.0,52217.0,0.899,57,4.5,200,0.165,Iran agrees to surrender enriched uranium stockpile by July ,iran-agrees-to-surrender-enriched-uranium-stockpile-by-july-31-2026,0xc11f41372087c4d934ae7adb869ff08272b2bcb3e242d4e628330353c130e480,8302.0
1.212,50.0,40241.0,0.925,26,3.5,200,0.215,Iran agrees to end enrichment of uranium by June 30?,iran-agrees-to-end-enrichment-of-uranium-by-june-30,0x9d3f02264a94bafc676afd7add8b11442e6ec72dabaa69cefef835f0672275c7,36026.0
1.082,400.0,368581.0,0.952,210,3.5,200,0.725,"US x Iran permanent peace deal by December 31, 2026?",us-x-iran-permanent-peace-deal-by-december-31-2026-961-587-341-574-555-817,0x9769f78cbc95a5ed11895e6064bac471d8fd8f930b260cf581b68d3f58630d27,64494.0
0.984,100.0,100583.0,1.0,88,4.5,200,0.495,"US x Iran permanent peace deal by August 31, 2026?",us-x-iran-permanent-peace-deal-by-august-31-2026,0xda519921a7090298cbdc56ee838a403a5193c2b3f637aef3e154e52de7b5e79c,25466.0
0.977,200.0,203737.0,0.987,57,4.5,200,0.385,Strait of Hormuz traffic returns to normal by July 31?,strait-of-hormuz-traffic-returns-to-normal-by-july-31,0xb8e6d129a06d0ccb21d7b32eb529ea455eddba3cf29bfa097112202cbdf5bf21,60747.0
0.913,40.0,42807.0,0.972,210,4.5,100,0.33,Will Benjamin Netanyahu be the next Prime Minister of Israel,will-benjamin-netanyahu-be-the-next-prime-minister-of-israel,0x7586a96520578acaaaa4ea84a2582f197f84255da1f3392a7aa300386c187b37,8208.0
