n,wr,dpt,sum_pnl,sleeve,variant,split,threshold,boot_p,n_universe
1246,0.8081861958266453,0.41402062423842173,515.8696978010735,SOL_S15_60_150,hybrid_v1_AND,train,,,1335
881,0.7661748013620885,-0.20722181797918351,-182.56242163966067,SOL_S15_60_150,hybrid_v1_AND,val,,,1045
330,0.7181818181818181,0.18183888674709286,60.00683262654064,SOL_S15_60_150,hybrid_v1_AND,lockbox,,,3783
314,0.9331210191082803,2.1862968524268482,686.4972116620304,SOL_S15_60_150,ridge,val,0.86136105948047,,1045
898,0.8518930957683741,4.4090249752572355,3959.3044277809977,SOL_S15_60_150,ridge,lockbox,0.86136105948047,0.0,3783
330,0.9030303030303031,3.9716411284799324,1310.6415723983778,SOL_S15_60_150,ridge_topN,lockbox,0.9242212861233532,,3783
470,0.8851063829787233,1.2509598273272236,587.951118843795,SOL_S15_60_150,elastic_net,val,0.7982365625635015,,1045
1645,0.7933130699088146,2.850207515627348,4688.591363206988,SOL_S15_60_150,elastic_net,lockbox,0.7982365625635015,0.0,3783
330,0.9303030303030303,5.704290806331271,1882.4159660893197,SOL_S15_60_150,elastic_net_topN,lockbox,0.881329087271791,,3783
418,0.9043062200956937,1.8677758512342892,780.7303058159329,SOL_S15_60_150,logistic_l2,val,0.8727963516020827,,1045
1204,0.8222591362126246,3.94767620149414,4753.002146598945,SOL_S15_60_150,logistic_l2,lockbox,0.8727963516020827,0.0,3783
330,0.9212121212121213,4.489240059730027,1481.449219710909,SOL_S15_60_150,logistic_l2_topN,lockbox,0.9340424251412386,,3783
418,0.8803827751196173,2.29577686225421,959.6347284222597,SOL_S15_60_150,logistic_poly2,val,0.9236390341956001,,1045
1358,0.7974963181148749,3.163728493520933,4296.343294201427,SOL_S15_60_150,logistic_poly2,lockbox,0.9236390341956001,0.0,3783
330,0.8909090909090909,5.419831306262475,1788.544331066617,SOL_S15_60_150,logistic_poly2_topN,lockbox,0.9970764421590057,,3783
