sleeve,model,feature,weight
BTC_S6_60_150,logistic_l2,ribbon_compression_bps,-0.6492753643483659
BTC_S6_60_150,logistic_l2,adx_14,0.22671453604460773
BTC_S6_60_150,logistic_l2,plus_di_14,0.07485856465374545
BTC_S6_60_150,logistic_l2,minus_di_14,0.14116927528602274
BTC_S6_60_150,logistic_l2,vwap_since_open_bps,0.49232569828788647
BTC_S6_60_150,logistic_l2,mfi_60s,-0.19103068345968213
BTC_S6_60_150,logistic_l2,stoch_k_60s,-0.40282938098286103
BTC_S6_60_150,logistic_l2,stoch_d_60s,0.43198400555902505
BTC_S6_60_150,logistic_l2,cci_60s,-0.7448685060600537
BTC_S6_60_150,logistic_l2,bb_pos_60s,0.2234370585143895
BTC_S6_60_150,logistic_l2,bb_width_60s,-0.01567357408809351
BTC_S6_60_150,logistic_l2,ofi_skew_l1_30s,-0.06500534904307972
BTC_S6_60_150,logistic_l2,mlofi_skew_l5_30s,0.27387305656670663
BTC_S6_60_150,logistic_l2,mlofi_skew_l5_60s,-0.06373544241030173
BTC_S6_60_150,logistic_l2,mlofi_skew_l25_30s,0.31574208288429934
BTC_S6_60_150,logistic_l2,rsi_14,0.3405759915588021
BTC_S6_60_150,logistic_l2,cvd,0.6881732299006439
BTC_S6_60_150,logistic_l2,vpin_value,-0.6288022028538104
BTC_S6_60_150,logistic_l2,vpin_zscore,0.7508137502377722
BTC_S6_60_150,logistic_l2,as_uncertainty,0.2791561670649676
BTC_S6_60_150,logistic_l2,as_skew,-0.16859917501191418
BTC_S6_60_150,logistic_poly2,mp_skew,-0.02298706391969539
BTC_S6_60_150,logistic_poly2,mp_weighted_skew,-0.18627401464574625
BTC_S6_60_150,logistic_poly2,mp_skew_change_500ms,-0.12605169892803808
BTC_S6_60_150,logistic_poly2,mp_up_dev_bps,0.05360324108708016
BTC_S6_60_150,logistic_poly2,mp_dn_dev_bps,-0.025326442511974544
BTC_S6_60_150,logistic_poly2,mp_imbalance,-0.22235555471540241
BTC_S6_60_150,logistic_poly2,mp_weighted_imbalance,-0.23295046554869994
BTC_S6_60_150,logistic_poly2,L_stat,0.15107902182727548
BTC_S6_60_150,logistic_poly2,hawkes_lambda_imbalance,0.16376458729009544
BTC_S6_60_150,logistic_poly2,hawkes_lambda_total,0.0912914892762138
BTC_S6_60_150,logistic_poly2,rv_ratio_60_to_3600,-0.028717601914109797
BTC_S6_60_150,logistic_poly2,hurst_300s,-0.013234719225250933
BTC_S6_60_150,logistic_poly2,hurst_100s,-0.05990856943201947
BTC_S6_60_150,logistic_poly2,hurst_900s,0.09279327742281163
BTC_S6_60_150,logistic_poly2,trend_slope_30m,0.36370488306267046
BTC_S6_60_150,logistic_poly2,rv_60s,-0.013557277832608449
BTC_S6_60_150,logistic_poly2,rv_300s,-0.012372633387907585
BTC_S6_60_150,logistic_poly2,up_imb5,-0.007989171055629263
BTC_S6_60_150,logistic_poly2,dn_imb5,0.005216934113296844
BTC_S6_60_150,logistic_poly2,up_imb25,-0.10717903309866607
BTC_S6_60_150,logistic_poly2,dn_imb25,0.10725922568568791
BTC_S6_60_150,logistic_poly2,up_queue_top_bid,0.11956635876542127
BTC_S6_60_150,logistic_poly2,up_micro_dev_bps,-0.03034945098061965
BTC_S6_60_150,logistic_poly2,dn_micro_dev_bps,0.009114870190466364
BTC_S6_60_150,logistic_poly2,up_bid_slope,0.025587135971001058
BTC_S6_60_150,logistic_poly2,up_ask_slope,-0.15508263121252383
BTC_S6_60_150,logistic_poly2,dn_bid_slope,0.15510434269366444
BTC_S6_60_150,logistic_poly2,dn_ask_slope,-0.026007241277334905
BTC_S6_60_150,logistic_poly2,up_imb5_change_500ms,-0.06312471155301529
BTC_S6_60_150,logistic_poly2,up_quote_intensity_5s,-0.09204284477169256
BTC_S6_60_150,logistic_poly2,ribbon_alignment_pct,-0.038596138041506876
BTC_S6_60_150,logistic_poly2,ribbon_compression_bps,0.02943941898578291
BTC_S6_60_150,logistic_poly2,adx_14,0.11647568142943676
BTC_S6_60_150,logistic_poly2,plus_di_14,-0.027759371179738822
BTC_S6_60_150,logistic_poly2,minus_di_14,0.12058051016800421
BTC_S6_60_150,logistic_poly2,vwap_since_open_bps,0.09251687977580568
BTC_S6_60_150,logistic_poly2,mfi_60s,-0.14466379474500368
BTC_S6_60_150,logistic_poly2,stoch_k_60s,-0.05747389651687846
BTC_S6_60_150,logistic_poly2,stoch_d_60s,0.004010025729523076
BTC_S6_60_150,logistic_poly2,cci_60s,-0.13117699280978193
BTC_S6_60_150,logistic_poly2,bb_pos_60s,0.002842236991160623
BTC_S6_60_150,logistic_poly2,bb_width_60s,-0.038362090161355215
BTC_S6_60_150,logistic_poly2,ofi_skew_l1_30s,0.059078758912022744
BTC_S6_60_150,logistic_poly2,mlofi_skew_l5_30s,0.11574330153123924
BTC_S6_60_150,logistic_poly2,mlofi_skew_l5_60s,0.1711694117234321
BTC_S6_60_150,logistic_poly2,mlofi_skew_l25_30s,0.24685641183555962
BTC_S6_60_150,logistic_poly2,rsi_14,0.3570510749569553
BTC_S6_60_150,logistic_poly2,cvd,0.3924191185333519
BTC_S6_60_150,logistic_poly2,vpin_value,-0.002925840751505001
BTC_S6_60_150,logistic_poly2,vpin_zscore,0.10916694937058928
BTC_S6_60_150,logistic_poly2,as_uncertainty,-0.003057344957564828
BTC_S6_60_150,logistic_poly2,as_skew,-0.007566541114177008
BTC_S6_60_150,logistic_poly2,mp_skew mp_weighted_skew,0.010505588556893842
BTC_S6_60_150,logistic_poly2,mp_skew mp_skew_change_500ms,-0.005967772600865403
BTC_S6_60_150,logistic_poly2,mp_skew mp_up_dev_bps,-0.025618853843738416
BTC_S6_60_150,logistic_poly2,mp_skew mp_dn_dev_bps,-0.116899987193851
BTC_S6_60_150,logistic_poly2,mp_skew mp_imbalance,-0.002640840415772742
BTC_S6_60_150,logistic_poly2,mp_skew mp_weighted_imbalance,-0.0807304465148258
BTC_S6_60_150,logistic_poly2,mp_skew L_stat,-0.037806686916969305
BTC_S6_60_150,logistic_poly2,mp_skew hawkes_lambda_imbalance,0.04467540914125505
BTC_S6_60_150,logistic_poly2,mp_skew hawkes_lambda_total,0.01792514070255544
BTC_S6_60_150,logistic_poly2,mp_skew rv_ratio_60_to_3600,-0.055925861017456495
BTC_S6_60_150,logistic_poly2,mp_skew hurst_300s,-0.046321781224509015
BTC_S6_60_150,logistic_poly2,mp_skew hurst_100s,0.02710641545773822
BTC_S6_60_150,logistic_poly2,mp_skew hurst_900s,0.02705094681777161
BTC_S6_60_150,logistic_poly2,mp_skew trend_slope_30m,-0.06439347029259807
BTC_S6_60_150,logistic_poly2,mp_skew rv_60s,0.005052584689778859
BTC_S6_60_150,logistic_poly2,mp_skew rv_300s,0.007033985481681467
BTC_S6_60_150,logistic_poly2,mp_skew up_imb5,0.00528115395443568
BTC_S6_60_150,logistic_poly2,mp_skew dn_imb5,-0.007023747998709679
BTC_S6_60_150,logistic_poly2,mp_skew up_imb25,-0.0376518422852306
BTC_S6_60_150,logistic_poly2,mp_skew dn_imb25,0.037545651423556
BTC_S6_60_150,logistic_poly2,mp_skew up_queue_top_bid,0.04691245033467116
BTC_S6_60_150,logistic_poly2,mp_skew up_micro_dev_bps,-0.0003369002661899476
BTC_S6_60_150,logistic_poly2,mp_skew dn_micro_dev_bps,-0.04054404176291761
BTC_S6_60_150,logistic_poly2,mp_skew up_bid_slope,0.0013356657239221293
BTC_S6_60_150,logistic_poly2,mp_skew up_ask_slope,0.004190060297844858
BTC_S6_60_150,logistic_poly2,mp_skew dn_bid_slope,-0.004291374203270473
BTC_S6_60_150,logistic_poly2,mp_skew dn_ask_slope,-0.0014976071279489906
BTC_S6_60_150,logistic_poly2,mp_skew up_imb5_change_500ms,-0.004087186940958302
BTC_S6_60_150,logistic_poly2,mp_skew up_quote_intensity_5s,0.016055959513189957
BTC_S6_60_150,logistic_poly2,mp_skew ribbon_alignment_pct,-0.020289262914199458
BTC_S6_60_150,logistic_poly2,mp_skew ribbon_compression_bps,0.0034708879434205138
BTC_S6_60_150,logistic_poly2,mp_skew adx_14,0.024491867086124736
BTC_S6_60_150,logistic_poly2,mp_skew plus_di_14,-0.012987693285362676
BTC_S6_60_150,logistic_poly2,mp_skew minus_di_14,0.02152510622311936
BTC_S6_60_150,logistic_poly2,mp_skew vwap_since_open_bps,-0.018278407713375414
BTC_S6_60_150,logistic_poly2,mp_skew mfi_60s,0.0341592101658589
BTC_S6_60_150,logistic_poly2,mp_skew stoch_k_60s,0.0834007278356341
BTC_S6_60_150,logistic_poly2,mp_skew stoch_d_60s,0.08520984520727606
BTC_S6_60_150,logistic_poly2,mp_skew cci_60s,0.023090165922072733
BTC_S6_60_150,logistic_poly2,mp_skew bb_pos_60s,-0.02114260581326851
BTC_S6_60_150,logistic_poly2,mp_skew bb_width_60s,0.04723464431950251
BTC_S6_60_150,logistic_poly2,mp_skew ofi_skew_l1_30s,0.019051725262612066
BTC_S6_60_150,logistic_poly2,mp_skew mlofi_skew_l5_30s,0.013462334069406926
BTC_S6_60_150,logistic_poly2,mp_skew mlofi_skew_l5_60s,0.00887834587831442
BTC_S6_60_150,logistic_poly2,mp_skew mlofi_skew_l25_30s,0.04427069766914455
BTC_S6_60_150,logistic_poly2,mp_skew rsi_14,-0.011766772323919894
BTC_S6_60_150,logistic_poly2,mp_skew cvd,0.007369511016200887
BTC_S6_60_150,logistic_poly2,mp_skew vpin_value,-0.03686734720139103
BTC_S6_60_150,logistic_poly2,mp_skew vpin_zscore,0.045325535061971844
BTC_S6_60_150,logistic_poly2,mp_skew as_uncertainty,0.003608645068453134
BTC_S6_60_150,logistic_poly2,mp_skew as_skew,0.003812177038241492
BTC_S6_60_150,logistic_poly2,mp_weighted_skew mp_skew_change_500ms,0.003755476464759704
BTC_S6_60_150,logistic_poly2,mp_weighted_skew mp_up_dev_bps,-0.013969186854310322
BTC_S6_60_150,logistic_poly2,mp_weighted_skew mp_dn_dev_bps,-0.03907722614962651
BTC_S6_60_150,logistic_poly2,mp_weighted_skew mp_imbalance,-0.035791977061759024
BTC_S6_60_150,logistic_poly2,mp_weighted_skew mp_weighted_imbalance,-0.05422539317309289
BTC_S6_60_150,logistic_poly2,mp_weighted_skew L_stat,0.020316197369782373
BTC_S6_60_150,logistic_poly2,mp_weighted_skew hawkes_lambda_imbalance,0.09537500787664283
BTC_S6_60_150,logistic_poly2,mp_weighted_skew hawkes_lambda_total,-0.051201725704871755
BTC_S6_60_150,logistic_poly2,mp_weighted_skew rv_ratio_60_to_3600,0.028169241417083532
BTC_S6_60_150,logistic_poly2,mp_weighted_skew hurst_300s,-0.0002575851829777884
BTC_S6_60_150,logistic_poly2,mp_weighted_skew hurst_100s,-0.02658076627492004
BTC_S6_60_150,logistic_poly2,mp_weighted_skew hurst_900s,-0.02938873502878346
