bin,low,high,n,pred_mean,actual_mean,sleeve,model
6,0.8837150705785998,0.9334388428074197,32,0.9117356326443615,0.9375,SOL_S6_60_150,logistic_l2
7,0.9334388428074197,0.9711479639745633,32,0.9561830186693299,0.8125,SOL_S6_60_150,logistic_l2
8,0.9711479639745633,0.9895506424376646,32,0.9800091593149725,0.90625,SOL_S6_60_150,logistic_l2
9,0.9895506424376646,1.0,33,0.9965440565562249,0.9696969696969697,SOL_S6_60_150,logistic_l2
0,2.307776099668834e-05,0.2864286140266074,33,0.11324352342173818,0.7575757575757576,SOL_S6_60_150,logistic_poly2
1,0.2864286140266074,0.6496412073286145,32,0.507251328598797,0.65625,SOL_S6_60_150,logistic_poly2
2,0.6496412073286145,0.8105370328641506,32,0.7590570019994007,0.5625,SOL_S6_60_150,logistic_poly2
3,0.8105370328641506,0.8819499043473439,32,0.8488439810076752,0.625,SOL_S6_60_150,logistic_poly2
4,0.8819499043473439,0.9317255225695227,32,0.9080817548958958,0.875,SOL_S6_60_150,logistic_poly2
5,0.9317255225695227,0.9666315399021751,32,0.9498652032112662,0.8125,SOL_S6_60_150,logistic_poly2
6,0.9666315399021751,0.9880029187574848,32,0.9800757482851357,0.96875,SOL_S6_60_150,logistic_poly2
7,0.9880029187574848,0.9958274691907493,32,0.9921987813511228,0.90625,SOL_S6_60_150,logistic_poly2
8,0.9958274691907493,0.9994326793031354,32,0.9978033812487332,0.75,SOL_S6_60_150,logistic_poly2
9,0.9994326793031354,1.0,33,0.9998877590658534,0.9696969696969697,SOL_S6_60_150,logistic_poly2
0,0.07120768307213585,0.6475948224654862,143,0.4999092190089656,0.45454545454545453,BTC_S15_150_240,logistic_l2
1,0.6475948224654862,0.7764225035110945,143,0.7141466343796451,0.6503496503496503,BTC_S15_150_240,logistic_l2
2,0.7764225035110945,0.846710355226758,143,0.8152104940916544,0.7132867132867133,BTC_S15_150_240,logistic_l2
3,0.846710355226758,0.8959722472731358,143,0.8719016724987172,0.7972027972027972,BTC_S15_150_240,logistic_l2
4,0.8959722472731358,0.9316261598571217,142,0.9143459681099353,0.8802816901408451,BTC_S15_150_240,logistic_l2
5,0.9316261598571217,0.9527250677159901,143,0.9436562729063086,0.9230769230769231,BTC_S15_150_240,logistic_l2
6,0.9527250677159901,0.9702554313660295,143,0.9614886752895928,0.9440559440559441,BTC_S15_150_240,logistic_l2
7,0.9702554313660295,0.9815095834538045,143,0.9756723982795797,0.958041958041958,BTC_S15_150_240,logistic_l2
8,0.9815095834538045,0.9900464667878545,143,0.9859462987896458,0.993006993006993,BTC_S15_150_240,logistic_l2
9,0.9900464667878545,0.9996626184863336,143,0.994304274432869,0.9790209790209791,BTC_S15_150_240,logistic_l2
0,5.974463904886417e-06,0.5903061567654173,143,0.26434694101718315,0.4755244755244755,BTC_S15_150_240,logistic_poly2
1,0.5903061567654173,0.8495356796459739,143,0.7486751588491076,0.6713286713286714,BTC_S15_150_240,logistic_poly2
2,0.8495356796459739,0.9351980172780368,143,0.9026791010648425,0.8181818181818182,BTC_S15_150_240,logistic_poly2
3,0.9351980172780368,0.9688731829177601,143,0.9547432059040528,0.8111888111888111,BTC_S15_150_240,logistic_poly2
4,0.9688731829177601,0.9847932342273434,142,0.9775010253799692,0.8732394366197183,BTC_S15_150_240,logistic_poly2
5,0.9847932342273434,0.9923213163293975,143,0.9893595806392872,0.916083916083916,BTC_S15_150_240,logistic_poly2
6,0.9923213163293975,0.9969111255770108,143,0.99481509690648,0.8881118881118881,BTC_S15_150_240,logistic_poly2
7,0.9969111255770108,0.999000418728178,143,0.9980018859506926,0.951048951048951,BTC_S15_150_240,logistic_poly2
8,0.999000418728178,0.9998811902795853,143,0.9995640963763027,0.951048951048951,BTC_S15_150_240,logistic_poly2
9,0.9998811902795853,1.0,143,0.9999748673694487,0.9370629370629371,BTC_S15_150_240,logistic_poly2
0,0.06397925035519658,0.6396274853104966,117,0.48517809414031604,0.5128205128205128,ETH_S15_150_240,logistic_l2
1,0.6396274853104966,0.7527908245423274,116,0.6985315717671268,0.6206896551724138,ETH_S15_150_240,logistic_l2
2,0.7527908245423274,0.8076487919473521,117,0.7825595622459794,0.811965811965812,ETH_S15_150_240,logistic_l2
3,0.8076487919473521,0.8639358191904339,116,0.8409565256034125,0.7758620689655172,ETH_S15_150_240,logistic_l2
4,0.8639358191904339,0.9031834788321695,116,0.8836494307760722,0.9051724137931034,ETH_S15_150_240,logistic_l2
5,0.9031834788321695,0.9328574442075981,117,0.9177775205720635,0.8888888888888888,ETH_S15_150_240,logistic_l2
6,0.9328574442075981,0.9523309902172974,116,0.9423073181679992,0.9655172413793104,ETH_S15_150_240,logistic_l2
7,0.9523309902172974,0.9686094866067417,117,0.9608413865220575,0.9487179487179487,ETH_S15_150_240,logistic_l2
8,0.9686094866067417,0.9843485512824905,116,0.9773960711434435,0.9741379310344828,ETH_S15_150_240,logistic_l2
9,0.9843485512824905,0.9995851799704861,117,0.9920569102653775,0.9829059829059829,ETH_S15_150_240,logistic_l2
0,3.148060519766912e-11,0.06480286410801936,117,0.016301321471076113,0.6153846153846154,ETH_S15_150_240,logistic_poly2
1,0.06480286410801936,0.32703132571623256,116,0.19090413864567218,0.7758620689655172,ETH_S15_150_240,logistic_poly2
2,0.32703132571623256,0.6644898595536575,117,0.49455344249043287,0.7863247863247863,ETH_S15_150_240,logistic_poly2
3,0.6644898595536575,0.8669928670778928,116,0.7834668689191521,0.7931034482758621,ETH_S15_150_240,logistic_poly2
4,0.8669928670778928,0.9460307326664193,116,0.9091741491741211,0.8706896551724138,ETH_S15_150_240,logistic_poly2
5,0.9460307326664193,0.9829730018232737,117,0.9676404960436782,0.9230769230769231,ETH_S15_150_240,logistic_poly2
6,0.9829730018232737,0.9964607089878219,116,0.9909241490636138,0.853448275862069,ETH_S15_150_240,logistic_poly2
7,0.9964607089878219,0.9992809879651959,117,0.9980406518354864,0.9145299145299145,ETH_S15_150_240,logistic_poly2
8,0.9992809879651959,0.9999656725123879,116,0.9997842209632535,0.9051724137931034,ETH_S15_150_240,logistic_poly2
9,0.9999656725123879,1.0,117,0.9999943068047092,0.9487179487179487,ETH_S15_150_240,logistic_poly2
0,0.017035942018689205,0.6166824258833783,327,0.4744332162004476,0.4617737003058104,S7_BTC_5m_base,logistic_l2
1,0.6166824258833783,0.7335387887619207,327,0.6821854372457457,0.6085626911314985,S7_BTC_5m_base,logistic_l2
2,0.7335387887619207,0.8082941133222573,326,0.7745529286943612,0.7208588957055214,S7_BTC_5m_base,logistic_l2
3,0.8082941133222573,0.8552061318689945,327,0.8328251388594773,0.7981651376146789,S7_BTC_5m_base,logistic_l2
4,0.8552061318689945,0.8975405785452508,326,0.8777844043147197,0.8650306748466258,S7_BTC_5m_base,logistic_l2
5,0.8975405785452508,0.9333236016054065,327,0.9160780795751907,0.9021406727828746,S7_BTC_5m_base,logistic_l2
6,0.9333236016054065,0.9573014969117977,327,0.9454318648667278,0.9143730886850153,S7_BTC_5m_base,logistic_l2
7,0.9573014969117977,0.9743489829319081,326,0.9658773109007991,0.9662576687116564,S7_BTC_5m_base,logistic_l2
8,0.9743489829319081,0.9885276722750559,327,0.9814528395020755,0.9755351681957186,S7_BTC_5m_base,logistic_l2
9,0.9885276722750559,0.9999737304992696,327,0.9943815497162405,0.9724770642201835,S7_BTC_5m_base,logistic_l2
0,1.2555886437666984e-07,0.4370986758745996,327,0.19810746263146053,0.4648318042813456,S7_BTC_5m_base,logistic_poly2
1,0.4370986758745996,0.7288129822577947,327,0.5931188046994728,0.6422018348623854,S7_BTC_5m_base,logistic_poly2
2,0.7288129822577947,0.8705129266738315,326,0.8064287044453576,0.7147239263803681,S7_BTC_5m_base,logistic_poly2
3,0.8705129266738315,0.9327705578372728,327,0.9055873859622297,0.7981651376146789,S7_BTC_5m_base,logistic_poly2
4,0.9327705578372728,0.9625300255162273,326,0.9492225731598342,0.852760736196319,S7_BTC_5m_base,logistic_poly2
5,0.9625300255162273,0.9798596304736095,327,0.971760598080885,0.8929663608562691,S7_BTC_5m_base,logistic_poly2
6,0.9798596304736095,0.9907279180885047,327,0.985691803218218,0.9327217125382263,S7_BTC_5m_base,logistic_poly2
7,0.9907279180885047,0.9970556940843065,326,0.9941413452802417,0.9570552147239264,S7_BTC_5m_base,logistic_poly2
8,0.9970556940843065,0.9996849001999736,327,0.9986704550973053,0.963302752293578,S7_BTC_5m_base,logistic_poly2
9,0.9996849001999736,1.0,327,0.9999323599898422,0.9663608562691132,S7_BTC_5m_base,logistic_poly2
