rule,side,asset,tf,fire_offset_s,n,WR,per_trade,sum_pnl
DISAGR_mp=0_imb=0.1_hk=Y,UP,BTC,5m,210,304,0.8717105263157895,0.45975274156526125,139.76483343583942
DISAGR_mp=0_imb=0.1_hk=Y,DN,BTC,5m,210,311,0.8553054662379421,0.5507156648381312,171.27257176465878
DISAGR_mp=0_imb=0.1_hk=Y,UP,BTC,5m,240,225,0.7911111111111111,-2.883836931246016,-648.8633095303536
DISAGR_mp=0_imb=0.1_hk=Y,DN,BTC,5m,240,294,0.8367346938775511,-1.1087072735458807,-325.9599384224889
DISAGR_mp=0_imb=0.1_hk=Y,UP,BTC,5m,270,167,0.8083832335329342,0.6722786055634864,112.27052712910222
DISAGR_mp=0_imb=0.1_hk=Y,DN,BTC,5m,270,184,0.8369565217391305,0.72378368227809,133.17619753916856
DISAGR_mp=0_imb=0.1_hk=Y,UP,BTC,5m,300,31,0.6451612903225806,-4.929055012976855,-152.80070540228252
DISAGR_mp=0_imb=0.1_hk=Y,UP,ETH,15m,60,47,0.48936170212765956,-5.81061699573676,-273.09899879962774
DISAGR_mp=0_imb=0.1_hk=Y,DN,ETH,15m,60,81,0.6172839506172839,1.3651675932406442,110.57857505249218
DISAGR_mp=0_imb=0.1_hk=Y,UP,ETH,15m,120,55,0.6727272727272727,-1.4847793608073412,-81.66286484440377
DISAGR_mp=0_imb=0.1_hk=Y,DN,ETH,15m,120,105,0.6666666666666666,-0.357880557711302,-37.57745855968671
DISAGR_mp=0_imb=0.1_hk=Y,UP,ETH,15m,240,78,0.8076923076923077,0.997216997306648,77.78292578991855
DISAGR_mp=0_imb=0.1_hk=Y,DN,ETH,15m,240,108,0.7962962962962963,3.8145612267911293,411.97261249344194
DISAGR_mp=0_imb=0.1_hk=Y,UP,ETH,15m,360,66,0.8333333333333334,-0.39885941424026156,-26.324721339857263
DISAGR_mp=0_imb=0.1_hk=Y,DN,ETH,15m,360,121,0.7520661157024794,-1.5005285023731418,-181.56394878715017
DISAGR_mp=0_imb=0.1_hk=Y,UP,ETH,15m,480,48,0.8541666666666666,-1.3437773382792306,-64.50131223740307
DISAGR_mp=0_imb=0.1_hk=Y,DN,ETH,15m,480,96,0.8125,0.45529947017131533,43.70874913644627
DISAGR_mp=0_imb=0.1_hk=Y,UP,ETH,15m,600,52,0.8076923076923077,-1.67448557010301,-87.07324964535651
DISAGR_mp=0_imb=0.1_hk=Y,DN,ETH,15m,600,115,0.8521739130434782,2.396571500731108,275.6057225840774
DISAGR_mp=0_imb=0.1_hk=Y,UP,ETH,15m,720,45,0.7555555555555555,-0.4536517423436764,-20.414328405465437
DISAGR_mp=0_imb=0.1_hk=Y,DN,ETH,15m,720,80,0.7875,-2.9642757379365348,-237.1420590349228
