rule,side,asset,tf,fire_offset_s,n,wins,WR,sum_pnl,per_trade,ha_n,ha_WR,ha_per_trade,ha_sum,lm_n,lm_WR,lm_per_trade,lm_sum,edge_vs_HA_per_trade,edge_vs_LM_per_trade,additive_per_trade
XF-A,BOTH,ETH,15m,720,4,3,0.75,-5.616500829873461,-1.4041252074683652,627,0.6730462519936204,0.3326315789473684,208.56,50,0.62,-5.893912353787577,-294.6956176893789,-1.7367567864157336,4.4897871463192125,False
XF-A,UP,ETH,15m,840,0,0,,0.0,,714,0.6624649859943977,0.3116806722689076,222.54,39,0.5128205128205128,-10.935321434657936,-426.4775359516596,,,False
XF-A,DN,ETH,15m,840,3,0,0.0,-75.0,-25.0,714,0.6624649859943977,0.3116806722689076,222.54,39,0.5128205128205128,-10.935321434657936,-426.4775359516596,-25.311680672268906,-14.064678565342064,False
XF-A,BOTH,ETH,15m,840,3,0,0.0,-75.0,-25.0,714,0.6624649859943977,0.3116806722689076,222.54,39,0.5128205128205128,-10.935321434657936,-426.4775359516596,-25.311680672268906,-14.064678565342064,False
XF-A,UP,ETH,5m,30,15,9,0.6,-60.86055869035158,-4.057370579356772,2076,0.6151252408477842,0.2179479768786127,452.46,355,0.7098591549295776,0.2286161057032254,81.15871752464503,-4.275318556235384,-4.2859866850599975,False
XF-A,DN,ETH,5m,30,12,10,0.8333333333333334,62.85445639234007,5.237871366028339,2076,0.6151252408477842,0.2179479768786127,452.46,355,0.7098591549295776,0.2286161057032254,81.15871752464503,5.019923389149727,5.009255260325114,False
XF-A,BOTH,ETH,5m,30,27,19,0.7037037037037037,1.993897701988482,0.0738480630366104,2076,0.6151252408477842,0.2179479768786127,452.46,355,0.7098591549295776,0.2286161057032254,81.15871752464503,-0.1440999138420023,-0.154768042666615,False
XF-A,UP,ETH,5m,60,8,7,0.875,18.97615535064858,2.3720194188310724,2063,0.6766844401357247,0.3398351914687348,701.08,250,0.68,-2.209778394787366,-552.4445986968415,2.0321842273623374,4.581797813618438,False
XF-A,DN,ETH,5m,60,9,5,0.5555555555555556,-80.83968211572702,-8.982186901747447,2063,0.6766844401357247,0.3398351914687348,701.08,250,0.68,-2.209778394787366,-552.4445986968415,-9.322022093216182,-6.7724085069600815,False
XF-A,BOTH,ETH,5m,60,17,12,0.7058823529411765,-61.86352676507845,-3.6390309861810857,2063,0.6766844401357247,0.3398351914687348,701.08,250,0.68,-2.209778394787366,-552.4445986968415,-3.9788661776498206,-1.4292525913937197,False
XF-A,UP,ETH,5m,90,12,11,0.9166666666666666,63.69244693230512,5.307703911025427,2022,0.7398615232443125,0.4649258160237389,940.0800000000002,297,0.7138047138047138,0.1255233933694614,37.28044783073005,4.842778095001687,5.182180517655965,False
XF-A,DN,ETH,5m,90,16,15,0.9375,123.6846356157114,7.730289725981962,2022,0.7398615232443125,0.4649258160237389,940.0800000000002,297,0.7138047138047138,0.1255233933694614,37.28044783073005,7.265363909958222,7.6047663326125,False
XF-A,BOTH,ETH,5m,90,28,26,0.9285714285714286,187.3770825480165,6.692038662429161,2022,0.7398615232443125,0.4649258160237389,940.0800000000002,297,0.7138047138047138,0.1255233933694614,37.28044783073005,6.227112846405421,6.566515269059699,False
XF-A,UP,ETH,5m,120,6,6,1.0,32.86407289319173,5.477345482198622,1931,0.7664422578974625,0.5175556706369757,999.4000000000002,220,0.7136363636363636,-1.528814027271197,-336.3390859996633,4.959789811561646,7.0061595094698195,False
XF-A,DN,ETH,5m,120,3,3,1.0,20.451136605695226,6.817045535231741,1931,0.7664422578974625,0.5175556706369757,999.4000000000002,220,0.7136363636363636,-1.528814027271197,-336.3390859996633,6.299489864594765,8.345859562502937,False
XF-A,BOTH,ETH,5m,120,9,9,1.0,53.31520949888695,5.923912166542994,1931,0.7664422578974625,0.5175556706369757,999.4000000000002,220,0.7136363636363636,-1.528814027271197,-336.3390859996633,5.406356495906018,7.4527261938141915,False
