sleeve_id,fires,wr,pnl,first_fire,last_fire
poly_sniper_v5_btc_15m_btceth_diverg_stoch_volcontr_v8,14,0.643,-22.97,2026-05-29 19:16:04.530881+02,2026-06-01 15:01:06.168384+02
poly_updown_btc_15m_momo_v2_hod,14,0.500,-7.30,2026-05-26 01:01:00.2196+02,2026-06-01 17:30:17.566184+02
poly_updown_eth_5m_vwap_off210_f7_m1v,12,0.583,46.97,2026-06-01 12:20:33.572261+02,2026-06-01 19:20:38.064596+02
poly_sniper_v5_btc_15m_regime_trstack_off480_up,12,0.667,-8.59,2026-05-29 19:46:03.884915+02,2026-06-01 19:16:05.519862+02
poly_updown_sol_15m_momo_v2_hod,12,0.500,-5.65,2026-05-26 01:01:05.460672+02,2026-06-01 02:00:32.237746+02
poly_sniper_v5_eth_5m_up_a2_hlcascade25k_v9,11,0.364,-27.37,2026-05-31 03:31:05.445316+02,2026-06-01 19:21:05.649219+02
poly_updown_eth_15m_momo_v2_HEDGE_f7,11,0.727,119.01,2026-05-25 19:45:47.62991+02,2026-05-27 07:15:49.771997+02
poly_updown_sol_15m_momo_v2_HEDGE_f7,11,0.545,25.74,2026-05-25 19:45:49.261892+02,2026-05-27 07:15:47.984191+02
poly_updown_sol_15m_momo_v2_SELL_f7,11,0.455,35.01,2026-05-25 19:45:52.443507+02,2026-05-27 07:15:44.65082+02
poly_updown_eth_15m_momo_v2_hod,11,0.727,123.57,2026-05-26 01:01:04.559059+02,2026-06-01 17:30:58.313254+02
poly_updown_eth_15m_momo_SELL_f7,11,0.455,49.02,2026-05-26 01:00:59.057007+02,2026-05-27 11:30:23.691057+02
poly_sniper_v5_btc_5m_ts_mpskew_s6_0_60,11,0.545,-4.43,2026-05-31 04:36:05.541822+02,2026-06-01 16:11:08.882778+02
poly_updown_eth_15m_momo_HEDGE_f7,11,0.545,23.86,2026-05-26 01:01:09.358919+02,2026-05-27 11:30:59.374194+02
poly_updown_eth_15m_momo_v2_SELL_f7,11,0.636,144.17,2026-05-25 19:45:59.723084+02,2026-05-27 07:15:46.596198+02
