at,sleeve_id,ws_s,slug,direction,outcome,won,fill_vwap,pnl_usd,placed
2026-06-01 22:01:04.076242+02,poly_sniper_v5_btc_5m_parent15m_notrang_ts_mpskew_v7,1780343700,btc-updown-5m-1780343700,UP,Up,true,0.98,0.09504081632653069,5.0
2026-06-01 22:01:04.184533+02,poly_sniper_v5_btc_5m_parent15m_notrang_ts_mpskew_v7,1780343700,btc-updown-5m-1780343700,UP,Up,true,0.52,4.447384615384615,5.0
2026-06-01 22:01:04.185625+02,poly_sniper_v5_btc_5m_parent15m_notrang_ts_mpskew_v7,1780343700,btc-updown-5m-1780343700,UP,Up,true,0.85,0.8298529411764708,5.0
2026-06-01 22:01:04.256831+02,poly_sniper_v5_btc_5m_parent15m_notrang_ts_mpskew_v7,1780343700,btc-updown-5m-1780343700,UP,Up,true,0.56,3.7745714285714276,5.0
2026-06-01 22:01:04.257345+02,poly_sniper_v5_btc_5m_parent15m_notrang_ts_mpskew_v7,1780343700,btc-updown-5m-1780343700,UP,Up,true,0.51,4.632421568627452,5.0
2026-06-01 22:01:04.405624+02,poly_sniper_v5_btc_5m_parent15m_notrang_ts_mpskew_v7,1780343700,btc-updown-5m-1780343700,UP,Up,true,0.66,2.456757575757575,5.0
2026-06-01 22:01:04.427674+02,poly_sniper_v5_btc_5m_parent15m_notrang_ts_mpskew_v7,1780343700,btc-updown-5m-1780343700,UP,Up,true,0.55,3.93340909090909,5.0
2026-06-01 23:06:05.483179+02,poly_sniper_v5_btc_5m_parent15m_notrang_ts_mpskew_v7,1780347600,btc-updown-5m-1780347600,DOWN,Down,true,0.66,2.456757575757575,5.0
2026-06-01 23:06:05.580048+02,poly_sniper_v5_btc_5m_parent15m_notrang_ts_mpskew_v7,1780347600,btc-updown-5m-1780347600,DOWN,Down,true,0.8900000000000001,0.579477528089887,5.0
2026-06-01 23:06:05.609712+02,poly_sniper_v5_btc_5m_parent15m_notrang_ts_mpskew_v7,1780347600,btc-updown-5m-1780347600,DOWN,Down,true,0.65,2.569807692307692,5.0
2026-06-01 23:06:05.648626+02,poly_sniper_v5_btc_5m_parent15m_notrang_ts_mpskew_v7,1780347600,btc-updown-5m-1780347600,DOWN,Down,true,0.79,1.2556139240506328,5.0
2026-06-01 23:06:05.757878+02,poly_sniper_v5_btc_5m_parent15m_notrang_ts_mpskew_v7,1780347600,btc-updown-5m-1780347600,DOWN,Down,true,0.85,0.8298529411764708,5.0
2026-06-01 23:11:05.941832+02,poly_sniper_v5_btc_5m_parent15m_notrang_ts_mpskew_v7,1780347900,btc-updown-5m-1780347900,DOWN,Down,true,0.9900000000000001,0.047005050505050015,5.0
2026-06-01 23:11:06.019893+02,poly_sniper_v5_btc_5m_parent15m_notrang_ts_mpskew_v7,1780347900,btc-updown-5m-1780347900,DOWN,Down,true,0.9900000000000001,0.047005050505050015,5.0
2026-06-01 23:11:06.182589+02,poly_sniper_v5_btc_5m_parent15m_notrang_ts_mpskew_v7,1780347900,btc-updown-5m-1780347900,DOWN,Down,true,0.7,2.0378571428571433,5.0
2026-06-01 23:11:06.190289+02,poly_sniper_v5_btc_5m_parent15m_notrang_ts_mpskew_v7,1780347900,btc-updown-5m-1780347900,DOWN,Down,true,0.8700000000000001,0.7016264367816085,5.0
2026-06-01 23:11:06.258668+02,poly_sniper_v5_btc_5m_parent15m_notrang_ts_mpskew_v7,1780347900,btc-updown-5m-1780347900,DOWN,Down,true,0.8600000000000001,0.7649534883720924,5.0
