sleeve,filter,n,wr,avg,sum
poly_updown_btc_5m_momo_v2,BASELINE_ALL,438,42.01,-2.536,-1110.67
poly_updown_btc_5m_momo_v2,F7_only,359,45.68,-1.891,-678.98
poly_updown_btc_5m_momo_v2,MARKOV:w20_1m_voladaptive,347,36.89,-6.264,-2173.45
poly_updown_btc_5m_momo_v2,F7+MARKOV:w20_1m_voladaptive,323,39.63,-4.871,-1573.46
poly_updown_btc_5m_momo_v2,MARKOV:w20_5m_voladaptive,220,45.45,-2.889,-635.66
poly_updown_btc_5m_momo_v2,F7+MARKOV:w20_5m_voladaptive,196,51.02,-0.182,-35.66
poly_updown_btc_5m_momo_v2,MARKOV:w20_1m_fixed,200,52.0,2.101,420.16
poly_updown_btc_5m_momo_v2,F7+MARKOV:w20_1m_fixed,200,52.0,2.101,420.16
poly_updown_btc_5m_momo_v2,MARKOV:w20_5m_fixed,150,50.67,-2.074,-311.13
poly_updown_btc_5m_momo_v2,F7+MARKOV:w20_5m_fixed,126,60.32,2.293,288.87
poly_updown_btc_5m_sniper,BASELINE_ALL,315,53.33,-1.815,-571.88
poly_updown_btc_5m_sniper,F7_only,253,58.1,-1.878,-475.16
poly_updown_btc_5m_sniper,MARKOV:w20_1m_voladaptive,224,61.61,-2.122,-475.25
poly_updown_btc_5m_sniper,F7+MARKOV:w20_1m_voladaptive,216,63.89,-1.274,-275.25
poly_updown_btc_5m_sniper,MARKOV:w20_5m_voladaptive,132,69.7,-1.867,-246.46
poly_updown_btc_5m_sniper,F7+MARKOV:w20_5m_voladaptive,132,69.7,-1.867,-246.46
poly_updown_btc_5m_sniper,MARKOV:w20_1m_fixed,116,58.62,1.753,203.38
poly_updown_btc_5m_sniper,F7+MARKOV:w20_1m_fixed,116,58.62,1.753,203.38
poly_updown_btc_5m_sniper,MARKOV:w20_5m_fixed,72,88.89,-1.249,-89.96
poly_updown_btc_5m_sniper,F7+MARKOV:w20_5m_fixed,72,88.89,-1.249,-89.96
poly_updown_btc_5m_v3,BASELINE_ALL,59,40.68,-0.614,-36.23
poly_updown_btc_5m_v3,F7_only,41,36.59,-0.212,-8.68
poly_updown_btc_5m_v3,MARKOV:w20_1m_voladaptive,22,36.36,-7.349,-161.69
poly_updown_btc_5m_v3,F7+MARKOV:w20_1m_voladaptive,14,57.14,2.737,38.31
poly_updown_btc_5m_v3,MARKOV:w20_5m_voladaptive,8,0.0,-25.0,-200.0
poly_updown_btc_5m_v3,F7+MARKOV:w20_5m_voladaptive,8,0.0,-25.0,-200.0
poly_updown_btc_5m_v3,MARKOV:w20_1m_fixed,0,0.0,0.0,0.0
poly_updown_btc_5m_v3,F7+MARKOV:w20_1m_fixed,0,0.0,0.0,0.0
poly_updown_btc_5m_v3,MARKOV:w20_5m_fixed,8,0.0,-25.0,-200.0
poly_updown_btc_5m_v3,F7+MARKOV:w20_5m_fixed,8,0.0,-25.0,-200.0
poly_updown_btc_5m_v3_1,BASELINE_ALL,52,50.0,4.536,235.85
poly_updown_btc_5m_v3_1,F7_only,43,39.53,0.893,38.4
poly_updown_btc_5m_v3_1,MARKOV:w20_1m_voladaptive,14,57.14,2.737,38.31
poly_updown_btc_5m_v3_1,F7+MARKOV:w20_1m_voladaptive,14,57.14,2.737,38.31
poly_updown_btc_5m_v3_1,MARKOV:w20_5m_voladaptive,8,0.0,-25.0,-200.0
poly_updown_btc_5m_v3_1,F7+MARKOV:w20_5m_voladaptive,8,0.0,-25.0,-200.0
poly_updown_btc_5m_v3_1,MARKOV:w20_1m_fixed,0,0.0,0.0,0.0
poly_updown_btc_5m_v3_1,F7+MARKOV:w20_1m_fixed,0,0.0,0.0,0.0
poly_updown_btc_5m_v3_1,MARKOV:w20_5m_fixed,8,0.0,-25.0,-200.0
poly_updown_btc_5m_v3_1,F7+MARKOV:w20_5m_fixed,8,0.0,-25.0,-200.0
poly_updown_btc_5m_v3_2,BASELINE_ALL,55,38.18,-1.31,-72.06
poly_updown_btc_5m_v3_2,F7_only,42,38.1,0.354,14.86
poly_updown_btc_5m_v3_2,MARKOV:w20_1m_voladaptive,22,36.36,-7.349,-161.69
poly_updown_btc_5m_v3_2,F7+MARKOV:w20_1m_voladaptive,14,57.14,2.737,38.31
poly_updown_btc_5m_v3_2,MARKOV:w20_5m_voladaptive,8,0.0,-25.0,-200.0
poly_updown_btc_5m_v3_2,F7+MARKOV:w20_5m_voladaptive,8,0.0,-25.0,-200.0
poly_updown_btc_5m_v3_2,MARKOV:w20_1m_fixed,0,0.0,0.0,0.0
poly_updown_btc_5m_v3_2,F7+MARKOV:w20_1m_fixed,0,0.0,0.0,0.0
poly_updown_btc_5m_v3_2,MARKOV:w20_5m_fixed,8,0.0,-25.0,-200.0
poly_updown_btc_5m_v3_2,F7+MARKOV:w20_5m_fixed,8,0.0,-25.0,-200.0
poly_updown_btc_5m_v3_3,BASELINE_ALL,51,41.18,-1.336,-68.14
poly_updown_btc_5m_v3_3,F7_only,38,42.11,0.494,18.78
poly_updown_btc_5m_v3_3,MARKOV:w20_1m_voladaptive,22,36.36,-7.349,-161.69
poly_updown_btc_5m_v3_3,F7+MARKOV:w20_1m_voladaptive,14,57.14,2.737,38.31
poly_updown_btc_5m_v3_3,MARKOV:w20_5m_voladaptive,8,0.0,-25.0,-200.0
poly_updown_btc_5m_v3_3,F7+MARKOV:w20_5m_voladaptive,8,0.0,-25.0,-200.0
poly_updown_btc_5m_v3_3,MARKOV:w20_1m_fixed,0,0.0,0.0,0.0
poly_updown_btc_5m_v3_3,F7+MARKOV:w20_1m_fixed,0,0.0,0.0,0.0
poly_updown_btc_5m_v3_3,MARKOV:w20_5m_fixed,8,0.0,-25.0,-200.0
poly_updown_btc_5m_v3_3,F7+MARKOV:w20_5m_fixed,8,0.0,-25.0,-200.0
poly_updown_btc_5m_v4,BASELINE_ALL,45,46.67,2.887,129.9
poly_updown_btc_5m_v4,F7_only,40,40.0,0.421,16.82
poly_updown_btc_5m_v4,MARKOV:w20_1m_voladaptive,14,57.14,2.737,38.31
poly_updown_btc_5m_v4,F7+MARKOV:w20_1m_voladaptive,14,57.14,2.737,38.31
poly_updown_btc_5m_v4,MARKOV:w20_5m_voladaptive,8,0.0,-25.0,-200.0
poly_updown_btc_5m_v4,F7+MARKOV:w20_5m_voladaptive,8,0.0,-25.0,-200.0
poly_updown_btc_5m_v4,MARKOV:w20_1m_fixed,0,0.0,0.0,0.0
poly_updown_btc_5m_v4,F7+MARKOV:w20_1m_fixed,0,0.0,0.0,0.0
poly_updown_btc_5m_v4,MARKOV:w20_5m_fixed,8,0.0,-25.0,-200.0
poly_updown_btc_5m_v4,F7+MARKOV:w20_5m_fixed,8,0.0,-25.0,-200.0
poly_updown_btc_5m_volume_INV_NIGHT,BASELINE_ALL,343,56.27,2.46,843.64
poly_updown_btc_5m_volume_INV_NIGHT,F7_only,125,60.8,5.254,656.76
poly_updown_btc_5m_volume_INV_NIGHT,MARKOV:w20_1m_voladaptive,81,56.79,3.296,266.98
poly_updown_btc_5m_volume_INV_NIGHT,F7+MARKOV:w20_1m_voladaptive,81,56.79,3.296,266.98
poly_updown_btc_5m_volume_INV_NIGHT,MARKOV:w20_5m_voladaptive,136,64.71,6.986,950.16
poly_updown_btc_5m_volume_INV_NIGHT,F7+MARKOV:w20_5m_voladaptive,84,66.67,8.304,697.52
poly_updown_btc_5m_volume_INV_NIGHT,MARKOV:w20_1m_fixed,12,66.67,8.667,104.0
poly_updown_btc_5m_volume_INV_NIGHT,F7+MARKOV:w20_1m_fixed,12,66.67,8.667,104.0
poly_updown_btc_5m_volume_INV_NIGHT,MARKOV:w20_5m_fixed,30,40.0,-4.84,-145.19
poly_updown_btc_5m_volume_INV_NIGHT,F7+MARKOV:w20_5m_fixed,22,54.55,2.491,54.81
poly_updown_eth_15m_momo,BASELINE_ALL,8,37.5,-6.506,-52.05
poly_updown_eth_15m_momo,F7_only,5,0.0,-25.11,-125.55
poly_updown_eth_15m_momo,MARKOV:w20_1m_voladaptive,8,37.5,-6.506,-52.05
poly_updown_eth_15m_momo,F7+MARKOV:w20_1m_voladaptive,5,0.0,-25.11,-125.55
poly_updown_eth_15m_momo,MARKOV:w20_5m_voladaptive,5,0.0,-25.11,-125.55
poly_updown_eth_15m_momo,F7+MARKOV:w20_5m_voladaptive,5,0.0,-25.11,-125.55
poly_updown_eth_15m_momo,MARKOV:w20_1m_fixed,0,0.0,0.0,0.0
poly_updown_eth_15m_momo,F7+MARKOV:w20_1m_fixed,0,0.0,0.0,0.0
poly_updown_eth_15m_momo,MARKOV:w20_5m_fixed,0,0.0,0.0,0.0
poly_updown_eth_15m_momo,F7+MARKOV:w20_5m_fixed,0,0.0,0.0,0.0
poly_updown_eth_15m_momo_v2,BASELINE_ALL,90,64.44,7.265,653.88
poly_updown_eth_15m_momo_v2,F7_only,81,60.49,5.599,453.56
poly_updown_eth_15m_momo_v2,MARKOV:w20_1m_voladaptive,90,64.44,7.265,653.88
poly_updown_eth_15m_momo_v2,F7+MARKOV:w20_1m_voladaptive,81,60.49,5.599,453.56
poly_updown_eth_15m_momo_v2,MARKOV:w20_5m_voladaptive,36,77.78,15.534,559.23
poly_updown_eth_15m_momo_v2,F7+MARKOV:w20_5m_voladaptive,33,75.76,14.807,488.62
poly_updown_eth_15m_momo_v2,MARKOV:w20_1m_fixed,54,46.3,-0.674,-36.38
poly_updown_eth_15m_momo_v2,F7+MARKOV:w20_1m_fixed,54,46.3,-0.674,-36.38
poly_updown_eth_15m_momo_v2,MARKOV:w20_5m_fixed,33,75.76,14.807,488.62
poly_updown_eth_15m_momo_v2,F7+MARKOV:w20_5m_fixed,33,75.76,14.807,488.62
poly_updown_eth_15m_sniper,BASELINE_ALL,99,66.67,-2.276,-225.29
poly_updown_eth_15m_sniper,F7_only,67,50.75,-2.405,-161.14
poly_updown_eth_15m_sniper,MARKOV:w20_1m_voladaptive,46,47.83,-4.602,-211.69
poly_updown_eth_15m_sniper,F7+MARKOV:w20_1m_voladaptive,46,47.83,-4.602,-211.69
poly_updown_eth_15m_sniper,MARKOV:w20_5m_voladaptive,31,45.16,-7.506,-232.69
poly_updown_eth_15m_sniper,F7+MARKOV:w20_5m_voladaptive,31,45.16,-7.506,-232.69
poly_updown_eth_15m_sniper,MARKOV:w20_1m_fixed,26,53.85,-4.099,-106.57
poly_updown_eth_15m_sniper,F7+MARKOV:w20_1m_fixed,26,53.85,-4.099,-106.57
poly_updown_eth_15m_sniper,MARKOV:w20_5m_fixed,12,66.67,8.501,102.01
poly_updown_eth_15m_sniper,F7+MARKOV:w20_5m_fixed,12,66.67,8.501,102.01
poly_updown_eth_15m_volume_INV_NIGHT,BASELINE_ALL,123,42.28,-4.655,-572.61
poly_updown_eth_15m_volume_INV_NIGHT,F7_only,48,25.0,-12.706,-609.87
poly_updown_eth_15m_volume_INV_NIGHT,MARKOV:w20_1m_voladaptive,28,0.0,-25.016,-700.44
poly_updown_eth_15m_volume_INV_NIGHT,F7+MARKOV:w20_1m_voladaptive,28,0.0,-25.016,-700.44
poly_updown_eth_15m_volume_INV_NIGHT,MARKOV:w20_5m_voladaptive,46,17.39,-16.413,-755.0
poly_updown_eth_15m_volume_INV_NIGHT,F7+MARKOV:w20_5m_voladaptive,36,22.22,-14.012,-504.44
poly_updown_eth_15m_volume_INV_NIGHT,MARKOV:w20_1m_fixed,16,0.0,-25.0,-400.0
poly_updown_eth_15m_volume_INV_NIGHT,F7+MARKOV:w20_1m_fixed,16,0.0,-25.0,-400.0
poly_updown_eth_15m_volume_INV_NIGHT,MARKOV:w20_5m_fixed,12,0.0,-25.037,-300.44
poly_updown_eth_15m_volume_INV_NIGHT,F7+MARKOV:w20_5m_fixed,12,0.0,-25.037,-300.44
poly_updown_eth_5m_momo,BASELINE_ALL,161,54.04,6.207,999.39
poly_updown_eth_5m_momo,F7_only,143,54.55,6.936,991.88
poly_updown_eth_5m_momo,MARKOV:w20_1m_voladaptive,161,54.04,6.207,999.39
poly_updown_eth_5m_momo,F7+MARKOV:w20_1m_voladaptive,143,54.55,6.936,991.88
poly_updown_eth_5m_momo,MARKOV:w20_5m_voladaptive,98,36.73,0.33,32.33
poly_updown_eth_5m_momo,F7+MARKOV:w20_5m_voladaptive,92,32.61,-1.433,-131.83
poly_updown_eth_5m_momo,MARKOV:w20_1m_fixed,110,43.64,2.892,318.1
poly_updown_eth_5m_momo,F7+MARKOV:w20_1m_fixed,110,43.64,2.892,318.1
poly_updown_eth_5m_momo,MARKOV:w20_5m_fixed,6,0.0,-10.15,-60.9
poly_updown_eth_5m_momo,F7+MARKOV:w20_5m_fixed,6,0.0,-10.15,-60.9
poly_updown_eth_5m_momo_v2,BASELINE_ALL,115,2.61,-20.247,-2328.41
poly_updown_eth_5m_momo_v2,F7_only,82,3.66,-18.32,-1502.21
poly_updown_eth_5m_momo_v2,MARKOV:w20_1m_voladaptive,85,3.53,-18.569,-1578.41
poly_updown_eth_5m_momo_v2,F7+MARKOV:w20_1m_voladaptive,82,3.66,-18.32,-1502.21
poly_updown_eth_5m_momo_v2,MARKOV:w20_5m_voladaptive,54,0.0,-25.361,-1369.5
poly_updown_eth_5m_momo_v2,F7+MARKOV:w20_5m_voladaptive,30,0.0,-25.65,-769.5
poly_updown_eth_5m_momo_v2,MARKOV:w20_1m_fixed,20,0.0,-7.139,-142.78
poly_updown_eth_5m_momo_v2,F7+MARKOV:w20_1m_fixed,20,0.0,-7.139,-142.78
poly_updown_eth_5m_momo_v2,MARKOV:w20_5m_fixed,27,0.0,-25.0,-675.0
poly_updown_eth_5m_momo_v2,F7+MARKOV:w20_5m_fixed,3,0.0,-25.0,-75.0
poly_updown_eth_5m_sniper,BASELINE_ALL,105,54.29,3.126,328.23
poly_updown_eth_5m_sniper,F7_only,101,52.48,2.337,236.07
poly_updown_eth_5m_sniper,MARKOV:w20_1m_voladaptive,95,49.47,1.034,98.23
poly_updown_eth_5m_sniper,F7+MARKOV:w20_1m_voladaptive,95,49.47,1.034,98.23
poly_updown_eth_5m_sniper,MARKOV:w20_5m_voladaptive,49,71.43,6.408,313.98
poly_updown_eth_5m_sniper,F7+MARKOV:w20_5m_voladaptive,49,71.43,6.408,313.98
poly_updown_eth_5m_sniper,MARKOV:w20_1m_fixed,62,54.84,4.816,298.59
poly_updown_eth_5m_sniper,F7+MARKOV:w20_1m_fixed,62,54.84,4.816,298.59
poly_updown_eth_5m_sniper,MARKOV:w20_5m_fixed,16,100.0,11.759,188.14
poly_updown_eth_5m_sniper,F7+MARKOV:w20_5m_fixed,16,100.0,11.759,188.14
poly_updown_eth_5m_sniper_DOWN_INV,BASELINE_ALL,56,62.5,3.69,206.64
poly_updown_eth_5m_sniper_DOWN_INV,F7_only,0,0.0,0.0,0.0
poly_updown_eth_5m_sniper_DOWN_INV,MARKOV:w20_1m_voladaptive,0,0.0,0.0,0.0
poly_updown_eth_5m_sniper_DOWN_INV,F7+MARKOV:w20_1m_voladaptive,0,0.0,0.0,0.0
poly_updown_eth_5m_sniper_DOWN_INV,MARKOV:w20_5m_voladaptive,16,100.0,21.345,341.52
poly_updown_eth_5m_sniper_DOWN_INV,F7+MARKOV:w20_5m_voladaptive,0,0.0,0.0,0.0
poly_updown_eth_5m_sniper_DOWN_INV,MARKOV:w20_1m_fixed,0,0.0,0.0,0.0
poly_updown_eth_5m_sniper_DOWN_INV,F7+MARKOV:w20_1m_fixed,0,0.0,0.0,0.0
poly_updown_eth_5m_sniper_DOWN_INV,MARKOV:w20_5m_fixed,0,0.0,0.0,0.0
poly_updown_eth_5m_sniper_DOWN_INV,F7+MARKOV:w20_5m_fixed,0,0.0,0.0,0.0
poly_updown_eth_5m_v3,BASELINE_ALL,19,100.0,23.264,442.01
poly_updown_eth_5m_v3,F7_only,18,100.0,23.279,419.02
poly_updown_eth_5m_v3,MARKOV:w20_1m_voladaptive,10,100.0,23.523,235.23
poly_updown_eth_5m_v3,F7+MARKOV:w20_1m_voladaptive,10,100.0,23.523,235.23
poly_updown_eth_5m_v3,MARKOV:w20_5m_voladaptive,6,100.0,23.539,141.24
poly_updown_eth_5m_v3,F7+MARKOV:w20_5m_voladaptive,6,100.0,23.539,141.24
poly_updown_eth_5m_v3,MARKOV:w20_1m_fixed,6,100.0,23.539,141.24
poly_updown_eth_5m_v3,F7+MARKOV:w20_1m_fixed,6,100.0,23.539,141.24
poly_updown_eth_5m_v3,MARKOV:w20_5m_fixed,0,0.0,0.0,0.0
poly_updown_eth_5m_v3,F7+MARKOV:w20_5m_fixed,0,0.0,0.0,0.0
poly_updown_eth_5m_v3_1,BASELINE_ALL,12,100.0,23.526,282.31
poly_updown_eth_5m_v3_1,F7_only,12,100.0,23.526,282.31
poly_updown_eth_5m_v3_1,MARKOV:w20_1m_voladaptive,12,100.0,23.526,282.31
poly_updown_eth_5m_v3_1,F7+MARKOV:w20_1m_voladaptive,12,100.0,23.526,282.31
poly_updown_eth_5m_v3_1,MARKOV:w20_5m_voladaptive,8,100.0,23.539,188.31
poly_updown_eth_5m_v3_1,F7+MARKOV:w20_5m_voladaptive,8,100.0,23.539,188.31
poly_updown_eth_5m_v3_1,MARKOV:w20_1m_fixed,8,100.0,23.539,188.31
poly_updown_eth_5m_v3_1,F7+MARKOV:w20_1m_fixed,8,100.0,23.539,188.31
poly_updown_eth_5m_v3_1,MARKOV:w20_5m_fixed,0,0.0,0.0,0.0
poly_updown_eth_5m_v3_1,F7+MARKOV:w20_5m_fixed,0,0.0,0.0,0.0
poly_updown_eth_5m_v3_2,BASELINE_ALL,20,100.0,23.305,466.1
poly_updown_eth_5m_v3_2,F7_only,20,100.0,23.305,466.1
poly_updown_eth_5m_v3_2,MARKOV:w20_1m_voladaptive,12,100.0,23.526,282.31
poly_updown_eth_5m_v3_2,F7+MARKOV:w20_1m_voladaptive,12,100.0,23.526,282.31
poly_updown_eth_5m_v3_2,MARKOV:w20_5m_voladaptive,8,100.0,23.539,188.31
poly_updown_eth_5m_v3_2,F7+MARKOV:w20_5m_voladaptive,8,100.0,23.539,188.31
poly_updown_eth_5m_v3_2,MARKOV:w20_1m_fixed,8,100.0,23.539,188.31
poly_updown_eth_5m_v3_2,F7+MARKOV:w20_1m_fixed,8,100.0,23.539,188.31
poly_updown_eth_5m_v3_2,MARKOV:w20_5m_fixed,0,0.0,0.0,0.0
poly_updown_eth_5m_v3_2,F7+MARKOV:w20_5m_fixed,0,0.0,0.0,0.0
poly_updown_eth_5m_v3_3,BASELINE_ALL,20,100.0,23.305,466.1
poly_updown_eth_5m_v3_3,F7_only,20,100.0,23.305,466.1
poly_updown_eth_5m_v3_3,MARKOV:w20_1m_voladaptive,12,100.0,23.526,282.31
poly_updown_eth_5m_v3_3,F7+MARKOV:w20_1m_voladaptive,12,100.0,23.526,282.31
poly_updown_eth_5m_v3_3,MARKOV:w20_5m_voladaptive,8,100.0,23.539,188.31
poly_updown_eth_5m_v3_3,F7+MARKOV:w20_5m_voladaptive,8,100.0,23.539,188.31
poly_updown_eth_5m_v3_3,MARKOV:w20_1m_fixed,8,100.0,23.539,188.31
poly_updown_eth_5m_v3_3,F7+MARKOV:w20_1m_fixed,8,100.0,23.539,188.31
poly_updown_eth_5m_v3_3,MARKOV:w20_5m_fixed,0,0.0,0.0,0.0
poly_updown_eth_5m_v3_3,F7+MARKOV:w20_5m_fixed,0,0.0,0.0,0.0
poly_updown_eth_5m_v4,BASELINE_ALL,12,100.0,23.526,282.31
poly_updown_eth_5m_v4,F7_only,12,100.0,23.526,282.31
poly_updown_eth_5m_v4,MARKOV:w20_1m_voladaptive,12,100.0,23.526,282.31
poly_updown_eth_5m_v4,F7+MARKOV:w20_1m_voladaptive,12,100.0,23.526,282.31
poly_updown_eth_5m_v4,MARKOV:w20_5m_voladaptive,8,100.0,23.539,188.31
poly_updown_eth_5m_v4,F7+MARKOV:w20_5m_voladaptive,8,100.0,23.539,188.31
poly_updown_eth_5m_v4,MARKOV:w20_1m_fixed,8,100.0,23.539,188.31
poly_updown_eth_5m_v4,F7+MARKOV:w20_1m_fixed,8,100.0,23.539,188.31
poly_updown_eth_5m_v4,MARKOV:w20_5m_fixed,0,0.0,0.0,0.0
poly_updown_eth_5m_v4,F7+MARKOV:w20_5m_fixed,0,0.0,0.0,0.0
poly_updown_eth_5m_volume_INV_NIGHT,BASELINE_ALL,170,59.41,3.429,582.96
poly_updown_eth_5m_volume_INV_NIGHT,F7_only,56,57.14,3.204,179.43
poly_updown_eth_5m_volume_INV_NIGHT,MARKOV:w20_1m_voladaptive,41,48.78,-0.948,-38.89
poly_updown_eth_5m_volume_INV_NIGHT,F7+MARKOV:w20_1m_voladaptive,40,47.5,-1.568,-62.72
poly_updown_eth_5m_volume_INV_NIGHT,MARKOV:w20_5m_voladaptive,60,61.67,4.819,289.17
poly_updown_eth_5m_volume_INV_NIGHT,F7+MARKOV:w20_5m_voladaptive,41,51.22,0.308,12.62
poly_updown_eth_5m_volume_INV_NIGHT,MARKOV:w20_1m_fixed,16,50.0,0.003,0.04
poly_updown_eth_5m_volume_INV_NIGHT,F7+MARKOV:w20_1m_fixed,16,50.0,0.003,0.04
poly_updown_eth_5m_volume_INV_NIGHT,MARKOV:w20_5m_fixed,22,9.09,-20.582,-452.8
poly_updown_eth_5m_volume_INV_NIGHT,F7+MARKOV:w20_5m_fixed,20,10.0,-20.14,-402.8
poly_updown_sol_15m_momo,BASELINE_ALL,6,0.0,-26.136,-156.82
poly_updown_sol_15m_momo,F7_only,0,0.0,0.0,0.0
poly_updown_sol_15m_momo,MARKOV:w20_1m_voladaptive,6,0.0,-26.136,-156.82
poly_updown_sol_15m_momo,F7+MARKOV:w20_1m_voladaptive,0,0.0,0.0,0.0
poly_updown_sol_15m_momo,MARKOV:w20_5m_voladaptive,3,0.0,-25.911,-77.73
poly_updown_sol_15m_momo,F7+MARKOV:w20_5m_voladaptive,0,0.0,0.0,0.0
poly_updown_sol_15m_momo,MARKOV:w20_1m_fixed,0,0.0,0.0,0.0
poly_updown_sol_15m_momo,F7+MARKOV:w20_1m_fixed,0,0.0,0.0,0.0
poly_updown_sol_15m_momo,MARKOV:w20_5m_fixed,0,0.0,0.0,0.0
poly_updown_sol_15m_momo,F7+MARKOV:w20_5m_fixed,0,0.0,0.0,0.0
poly_updown_sol_15m_momo_v2,BASELINE_ALL,9,100.0,20.133,181.2
poly_updown_sol_15m_momo_v2,F7_only,6,100.0,18.092,108.55
poly_updown_sol_15m_momo_v2,MARKOV:w20_1m_voladaptive,9,100.0,20.133,181.2
poly_updown_sol_15m_momo_v2,F7+MARKOV:w20_1m_voladaptive,6,100.0,18.092,108.55
poly_updown_sol_15m_momo_v2,MARKOV:w20_5m_voladaptive,9,100.0,20.133,181.2
poly_updown_sol_15m_momo_v2,F7+MARKOV:w20_5m_voladaptive,6,100.0,18.092,108.55
