sleeve_a,sleeve_b,n_a,n_b,jaccard_fire,jaccard_slug,inter_fires,union_fires,inter_slugs,union_slugs,cov_smaller
BTC_15M_EMA50_EMA800_OFF600_DOWN_V5,SOL_5M_V7_S2_BTC_F7_OVERBOUGHT_EMA800_VWAP,917,1068,0.0,0.0,0,1985,0,1364,0.0
BTC_15M_EMA50_EMA800_OFF600_DOWN_V5,SOL_5M_V7_S3_BTC_F7_AGAINST_CCI_HURST_REV,917,882,0.0,0.0,0,1799,0,1619,0.0
BTC_15M_EMA50_EMA800_OFF600_DOWN_V5,SOL_5M_V7_S4_CCI_F7_OVERSOLD_MFI_STOCH,917,673,0.0,0.0,0,1590,0,1453,0.0
BTC_15M_EMA50_EMA800_OFF600_DOWN_V5,SOL_5M_V7_S5_CCI_F7_OVERSOLD_MFI_STOCH_LIGHT,917,725,0.0,0.0,0,1642,0,1484,0.0
BTC_15M_MPSKEW_TRSTACK_OFF600_DOWN_V5,BTC_15M_MPSKEW_TRSTACK_OFF600_DOWN_V5,258,258,1.0,1.0,258,258,258,258,1.0
BTC_15M_MPSKEW_TRSTACK_OFF600_DOWN_V5,BTC_15M_REGIME_TRSTACK_OFF480_UP_V5,258,212,0.0,0.010752688172043012,0,470,5,465,0.0
BTC_15M_MPSKEW_TRSTACK_OFF600_DOWN_V5,BTC_15M_TS_TRSTACK_OFF600_DOWN_V5,258,198,0.33724340175953077,0.33724340175953077,115,341,115,341,0.5808080808080808
BTC_15M_MPSKEW_TRSTACK_OFF600_DOWN_V5,BTC_5M_TS_MPSKEW_ANY_OFFSET30_V5,258,144,0.0,0.0,0,402,0,402,0.0
BTC_15M_MPSKEW_TRSTACK_OFF600_DOWN_V5,BTC_5M_TS_MPSKEW_S6_0_60_V5,258,144,0.0,0.0,0,402,0,402,0.0
BTC_15M_MPSKEW_TRSTACK_OFF600_DOWN_V5,ETH_15M_TRSTACK_VWAP_OFFEARLY_V5,258,467,0.0,0.0,0,725,0,725,0.0
