cluster_id,cluster_size,sleeve_id,version,asset,tf,n,wr_pct,dpt_usd,sum_pnl_usd,sum_28d_proj,kept,rank_in_cluster
13,7,SOL_15M_V7_S5_BTC_SLOPE_STR_V2,V7,SOL,15m,104,78.84615384615384,4.578999681567551,476.2159668830253,404.0620325068094,0,4
13,7,SOL_15M_V7_S5_BTC_SLOPE_STR,V7,SOL,15m,104,78.84615384615384,4.578999681567551,476.2159668830253,404.0620325068094,0,5
13,7,SOL_15M_V7_S1_BTC_ADX_VOLLOW,V7,SOL,15m,40,82.5,6.302716416865783,252.10865667463133,213.91037536029327,0,6
13,7,SOL_15M_V7_S1_BTC_ADX_VOLLOW_V2,V7,SOL,15m,42,80.95238095238095,5.879949967243094,246.95789862420995,209.54003519629936,0,7
12,6,ETH_5M_V7_C2_EMA50_HURST_PARENT_RANGING,V7,ETH,5m,748,79.41176470588235,3.887681072725013,2907.9854423983093,2467.3815874894744,1,1
12,6,ETH_5M_BB_MP_HURST_BAND_V6,V6,ETH,5m,162,74.07407407407408,9.863113189229407,1597.824336655164,1355.7297401922604,0,2
12,6,ETH_5M_CLOUD_RIBBON_MP_HURST_V6,V6,ETH,5m,481,81.70478170478171,4.600729101891758,2212.950698009936,1877.6551377054,0,3
12,6,ETH_5M_V7_C3_V6C3_PARENT_RANGING,V7,ETH,5m,437,81.92219679633868,4.896477294093643,2139.7605775189218,1815.5544294099943,0,4
12,6,ETH_5M_V7_C1_CLOUD_VWAP_HURST_MP,V7,ETH,5m,163,72.39263803680981,9.145132208035845,1490.6565499098424,1264.7994968931996,0,5
12,6,ETH_5M_V7_C5_CLOUD_HURST_VWAP_PARENT,V7,ETH,5m,265,67.9245283018868,6.7025423773861545,1776.173730007331,1507.0564981880384,0,6
0,5,BTC_15M_EMA50_EMA800_OFF600_DOWN_V5,V5,BTC,15m,917,76.33587786259542,1.069440961331232,980.6773615407396,832.0898825194155,1,1
0,5,BTC_15M_MPSKEW_TRSTACK_OFF600_DOWN_V5,V5,BTC,15m,258,88.37209302325581,1.7567323867201277,453.23695577379294,384.5646897474607,0,2
0,5,BTC_15M_TS_TRSTACK_OFF600_DOWN_V5,V5,BTC,15m,198,89.39393939393939,1.8823694230479684,372.70914576349776,316.2380630720587,0,3
0,5,BTC_15M_EMA200_MPSKEW_RF_OFF600_DOWN_V6,V6,BTC,15m,526,65.39923954372624,-0.5339828984023488,-280.8750045596355,-238.31818568696343,0,4
0,5,BTC_15M_V7_BASELINE,V7,BTC,15m,526,65.39923954372624,-0.5339828984023488,-280.8750045596355,-238.31818568696343,0,5
4,3,ETH_5M_CLOUD_MP_SMS_ACTIVE_OFF120_V5,V5,ETH,5m,124,85.48387096774194,3.73886115355268,463.6187830405324,393.373512882876,1,1
4,3,ETH_5M_TR200_MP_SMS_ACTIVE_OFF120_V5,V5,ETH,5m,120,87.5,3.5931088005423595,431.17305606508313,365.8438051461312,0,2
4,3,ETH_5M_V5_REPL_OFF120_V6,V6,ETH,5m,120,87.5,3.5931088005423595,431.17305606508313,365.8438051461312,0,3
14,3,SOL_5M_CCI_F7_MFI_PARTIAL_VWAP_V6,V6,SOL,5m,183,81.9672131147541,3.759478257790199,687.9845211756063,583.7444422096054,1,1
14,3,SOL_5M_F7_MP_EMA200_VWAP_V6,V6,SOL,5m,189,79.8941798941799,3.645805990333284,689.0573321729906,584.6547060861739,0,2
14,3,SOL_5M_F7_MFI_EMA200_VWAP_V6,V6,SOL,5m,144,80.55555555555556,3.680262026551586,529.9577318234285,449.6611057895757,0,3
2,2,BTC_5M_TS_MPSKEW_ANY_OFFSET30_V5,V5,BTC,5m,357,90.19607843137256,11.49502156485454,4103.72269865307,3481.946532190484,1,1
2,2,BTC_5M_TS_MPSKEW_S6_0_60_V5,V5,BTC,5m,357,90.19607843137256,11.49502156485454,4103.72269865307,3481.946532190484,0,2
9,2,SOL_5M_RF_TR_PP_MID_V5,V5,SOL,5m,126,84.12698412698413,3.998391091345571,503.7972775095419,427.4643566747628,1,1
9,2,SOL_5M_RF_TR_PARTIAL_MID_V5,V5,SOL,5m,207,79.22705314009661,1.6747285478741631,346.6688094099518,294.1432322266258,0,2
24,2,SOL_5M_V7_S5_CCI_F7_OVERSOLD_MFI_STOCH_LIGHT,V7,SOL,5m,725,79.86206896551724,1.8230044885627328,1321.6782542079816,1121.4239732673784,1,1
24,2,SOL_5M_V7_S4_CCI_F7_OVERSOLD_MFI_STOCH,V7,SOL,5m,673,79.49479940564636,1.8774092003636509,1263.496391844737,1072.0575445955344,0,2
1,1,BTC_15M_REGIME_TRSTACK_OFF480_UP_V5,V5,BTC,15m,212,83.9622641509434,1.891615769538917,401.0225431422504,340.26155175706094,1,1
5,1,ETH_5M_TR200_MP_MPNX_SMS_OFF120_V5,V5,ETH,5m,16,75.0,3.4708746985935512,55.53399517749682,47.1197534839367,1,1
6,1,SOL_15M_RFAGED_TRSTACK_LATE_V5,V5,SOL,15m,297,85.52188552188552,0.9114215727951276,270.6922071201529,229.67823634437212,1,1
7,1,SOL_15M_TRSTACK_VOL_RIBBON_EMA_MID_V5,V5,SOL,15m,103,73.7864077669903,2.5221480276341386,259.78124684631626,220.4204518696017,1,1
8,1,SOL_5M_DEPTH_UP_HOD_SESSION_V5,V5,SOL,5m,90,91.11111111111111,4.0284279362004325,362.5585142580389,307.625406037124,1,1
10,1,BTC_15M_EMA800_RIBSLP_HAWKES_OFF840_V6,V6,BTC,15m,353,73.37110481586402,7.032073871019022,2482.322076469715,2106.2126709440004,1,1
11,1,BTC_15M_VWAPPREM_EMA50_MPSKEW_OFF600_V6,V6,BTC,15m,359,69.63788300835655,1.279783383565414,459.44223469998366,389.8297748969558,1,1
15,1,BTC_5M_V7_T1_PARENT15M_REGIME,V7,BTC,5m,712,86.09550561797754,5.513566507194375,3925.6593531223953,3330.862481437184,1,1
16,1,BTC_5M_V7_T2_PARENT15M_SLOPE,V7,BTC,5m,557,78.99461400359067,8.67495768385418,4831.951429906778,4099.8375768906,1,1
17,1,BTC_5M_V7_T3_OFI_TS,V7,BTC,5m,689,94.62989840348332,2.823587872620092,1945.4520442352436,1650.6865829874794,1,1
18,1,BTC_5M_V7_T4_HURST_TS_HAWKES,V7,BTC,5m,1414,92.36209335219236,4.657690891263667,6585.974920246826,5588.0999323306405,1,1
19,1,BTC_5M_V7_T5_PARENT15M_NOTRANGING_MPSKEW,V7,BTC,5m,343,93.5860058309038,9.365401870509768,3212.33284158485,2725.6157443750244,1,1
20,1,ETH_5M_V7_C4_XA_3SOURCE_PARENT_RANGING,V7,ETH,5m,105,72.38095238095238,9.5249002598664,1000.114527285972,848.5820231517339,1,1
21,1,SOL_5M_V7_S1_BTC_TREND_CCI_HURST_REV,V7,SOL,5m,661,72.61724659606656,4.6960028087849,3104.0578566068198,2633.7460601512407,1,1
22,1,SOL_5M_V7_S2_BTC_F7_OVERBOUGHT_EMA800_VWAP,V7,SOL,5m,1068,72.47191011235955,2.0468977207473267,2186.086765758145,1854.861498219032,1,1
23,1,SOL_5M_V7_S3_BTC_F7_AGAINST_CCI_HURST_REV,V7,SOL,5m,882,72.78911564625851,4.161702168504832,3670.6213126212624,3114.466568284708,1,1
