proxy_wallet,pseudonym,appearances,best_rank,profit_1d,profit_30d,profit_7d,profit_all,volume_1d,volume_30d,volume_7d,volume_all,score_all,score_30d
0x63ce342161250d705dc0b16df89036c8e5f9ba9a,0x8dxd,2,41,,,,2382956.869226364,,,,200152822.075472,2382956.869226364,0.0
0x5bffcf561bcae83af680ad600cb99f1184d6ffbe,YatSen,2,17,,,,2316339.105998588,,,,342323925.0011539,2316339.105998588,0.0
0x0346afae2603313d2bbee96b628536c8cbe352a5,GoalLineGhost,2,14,,,,,,24484073.454183012,5807361.039298002,,0.0,0.0
0x03e8a544e97eeff5753bc1e90d46e5ef22af1697,weflyhigh,2,10,20486.75435260753,,35557.58175822254,,,,,,0.0,0.0
0x054964a95e2cb3fc2105a62a1edf3da44979c052,COMEONDUDE,2,14,14999.99999999965,,55275.37679627311,,,,,,0.0,0.0
0x0eb568f307e9a48af2c3e688ad6074236712c494,asdfjh,2,16,,,,,,28997619.985272992,5079893.939107999,,0.0,0.0
0x1117eade222413335b7ec959e5b48c1d3dbc3532,benwyatt,2,7,30831.441291615367,,87500.56945192488,,,,,,0.0,0.0
0x1136368d7f6728e94ed14c532ab95a932f710c2e,arlanta,2,32,5010.055208109567,,,,,,3001388.671557,,0.0,0.0
0x24c8cf69a0e0a17eee21f69d29752bfa32e823e1,debased,2,11,,,,,,20832135.338554002,,453078781.30644196,0.0,0.0
0x26437896ed9dfeb2f69765edcafe8fdceaab39ae,Latina,2,15,5662.902456127107,,106224.73108212627,,,,,,0.0,0.0
0x2d7be5170a8026c18709eaea1027c7f12e8ce2ce,caicai888888,2,2,,,211649.8505422299,,,,2021280.5701679997,,0.0,0.0
0x37e4728b3c4607fb2b3b205386bb1d1fb1a8c991,SemyonMarmeladov,2,4,,325640.03232152056,185007.34689508495,,,,,,0.0,325640.03232152056
0x492442eab586f242b53bda933fd5de859c8a3782,0x492442EaB586F242B53bDa933fD5dE859c8A3782-1766317541188,2,4,,2018422.4755495861,,,,,,492491581.795628,0.0,2018422.4755495861
0x53757615de1c42b83f893b79d4241a009dc2aeea,0x53757615de1c42b83f893b79d4241a009dc2aeea,2,35,5032.069236708378,,,,,17761925.081818,,,0.0,0.0
0x5d1d9cfd66ee3068c2a8a57dedf1e1b006dcafd2,0x5d1d9cfd66ee3068c2a8a57dedf1e1b006dcafd2,2,22,12432.40366138157,,35011.630444161245,,,,,,0.0,0.0
0x6ea32b39eaf57d9464893a2fd295eb55b0f29a76,TimeGoesFast,2,11,,,,,,13783427.426508006,6486350.398922001,,0.0,0.0
0x86e99faea12fccd8925de5d9f052471baf7a4cdf,deloochsREBORN,2,30,5708.051784345695,,,,87014.10024600002,,,,0.0,0.0
0x86fbea68d619daf670185ecd38a69aa90f7703d4,0x86fbea68d619daf670185ecd38a69aa90f7703d4,2,32,7531.357654621446,,33276.160280597316,,,,,,0.0,0.0
0x91eee6b7cea1916214daebec3b92b7513079c5b8,everydaymortgage,2,1,,,,,,39115090.227961995,11984716.676595,,0.0,0.0
0x9b1e0334569aa1768a07705a859686aad58e82c9,FullPicks1,2,4,,492992.7608082339,,,645161.29032,,,,0.0,492992.7608082339
0xa1360dbbc43a66cfdbccd72ee8aa868d478c97de,jdsahgf,2,17,,,,,,28990016.845507998,3118540.349997,,0.0,0.0
0xb4f2f0c858566fef705edf8efc1a5e9fba307862,Desy-1725192185234,2,25,,,,,,13648063.615370002,,260731596.849635,0.0,0.0
0xb55fa1296e6ec55d0ce53d93b9237389f11764d4,0xb55fa1296E6ec55D0cE53d93B9237389f11764d4-1777575277609,2,33,,,,,,18492754.237446003,1911578.966679999,,0.0,0.0
0xb687f00464e33934f5d591f224e71c3559ecaee5,alwayslatetotheparty,2,1,5353.603078436231,,,,1426440.3,,,,0.0,0.0
0xc21ea96be762bb55041529af6e386e7c53b80215,JustCrazy,2,12,,,,,,38503965.946503,6411332.264901,,0.0,0.0
0xd106952ebf30a3125affd8a23b6c1f30c35fc79c,Herdonia,2,17,14114.880110473372,,,,64309.25722100001,,,,0.0,0.0
0xd1c537b2a7cba8d365e111bffb9de7b205e2cbd0,weatherman12,2,23,,609831.5047648933,,,,,2856581.954337,,0.0,609831.5047648933
0xd218e474776403a330142299f7796e8ba32eb5c9,cigarettes,2,6,,,84797.96428045793,,,,,501006799.162419,0.0,0.0
0xd81e5bc01e4a98d0af93d82dc2c542a4c0f9e3d0,beet420,2,12,17837.750014949997,,67175.65349000506,,,,,,0.0,0.0
0xd950a1a89f3e61a7a9efc85a46e440ce58c15e86,username123123,2,29,,,,,72941.94410299999,,3203929.332487999,,0.0,0.0
0xd959b6925d3d3391a40c1a85dd3d8916ef16daf7,Borntorun,2,9,21419.58693956188,,,,82524.27015299999,,,,0.0,0.0
0xde7be6d489bce070a959e0cb813128ae659b5f4b,wan123,2,18,,712425.7301534833,45271.06630011735,,,,,,0.0,712425.7301534833
0xe8dd7741ccb12350957ec71e9ee332e0d1e6ec86,influenz.eth,2,26,,539859.6840028948,,,,,,259773232.727182,0.0,539859.6840028948
0xe9076a87c5ed90ef16e6fe6529c943baeca0cff6,0xe9076a87c5ed90ef16e6fe6529c943baeca0cff6,2,21,,,,,,25786592.491249003,2997062.9521710025,,0.0,0.0
0xed107a85a4585a381e48c7f7ca4144909e7dd2e5,bobe2,2,35,,,,,,11125332.84162,,223988175.394976,0.0,0.0
0xf1f4d313795218b1c3bc72cd3f05dcf076fc544c,fijinice,2,19,12930.92989263509,,48990.12099447037,,,,,,0.0,0.0
0xf5198df69e13937a40d1c76d6f72d9aa067d906b,sbimbg,2,15,,,,,,18830781.573911,5261020.20042,,0.0,0.0
0xf68a281980f8c13828e84e147e3822381d6e5b1b,iDARKenjoyer,2,25,11382.397094569726,,45206.930035577294,,,,,,0.0,0.0
0xfea31bc088000ff909be1dfd8d0e3f2c7ef2d227,newdogbeginning,2,19,,,,,159376.663571,,3424456.0044629993,,0.0,0.0
0x56687bf447db6ffa42ffe2204a05edaa20f55839,Theo4,1,1,,,,22053933.752321757,,,,,22053933.752321757,0.0
0x1f2dd6d473f3e824cd2f8a89d9c69fb96f6ad0cf,Fredi9999,1,2,,,,16619506.631730152,,,,,16619506.631730152,0.0
0x78b9ac44a6d7d7a076c14e0ad518b301b63c6b76,Len9311238,1,5,,,,8709972.988069998,,,,,8709972.988069998,0.0
0xd235973291b2b75ff4070e9c0b01728c520b0f29,zxgngl,1,7,,,,7807265.589240883,,,,,7807265.589240883,0.0
0x863134d00841b2e200492805a01e1e2f5defaa53,RepTrump,1,8,,,,7532409.671579,,,,,7532409.671579,0.0
0x8119010a6e589062aa03583bb3f39ca632d9f887,PrincessCaro,1,9,,,,6083643.099591745,,,,,6083643.099591745,0.0
0xe9ad918c7678cd38b12603a762e638a5d1ee7091,walletmobile,1,10,,,,5942685.45339684,,,,,5942685.45339684,0.0
0x94f199fb7789f1aef7fff6b758d6b375100f4c7a,KeyTransporter,1,11,,,,5711459.802519929,,,,,5711459.802519929,0.0
0x885783760858e1bd5dd09a3c3f916cfa251ac270,BetTom42,1,12,,,,5642135.735356,,,,,5642135.735356,0.0
0x23786fdad0073692157c6d7dc81f281843a35fcb,mikatrade77,1,13,,,,5147998.544602999,,,,,5147998.544602999,0.0
0xd0c042c08f755ff940249f62745e82d356345565,alexmulti,1,17,,,,4804855.613376001,,,,,4804855.613376001,0.0
0x006cc834cc092684f1b56626e23bedb3835c16ea,0x006cc834Cc092684F1B56626E23BEdB3835c16ea-1729683673397,1,18,,,,4557100.273542076,,,,,4557100.273542076,0.0
0xdc876e6873772d38716fda7f2452a78d426d7ab6,432614799197,1,19,,,,4526176.046413322,,,,,4526176.046413322,0.0
0x16f91db2592924cfed6e03b7e5cb5bb1e32299e3,Jenzigo,1,21,,,,4049827.0941029997,,,,,4049827.0941029997,0.0
0xefbc5fec8d7b0acdc8911bdd9a98d6964308f9a2,reachingthesky,1,23,,,,3742635.156562068,,,,,3742635.156562068,0.0
0x019782cab5d844f02bafb71f512758be78579f3c,majorexploiter,1,24,,,,3668541.581104434,,,,,3668541.581104434,0.0
0x94a428cfa4f84b264e01f70d93d02bc96cb36356,GCottrell93,1,30,,,,3421871.7467882005,,,,,3421871.7467882005,0.0
0x17db3fcd93ba12d38382a0cade24b200185c5f6d,fengdubiying,1,31,,,,3133968.2010023133,,,,,3133968.2010023133,0.0
0x033a07b3de5947eab4306676ad74eb546da30d50,RandomGenius-190,1,33,,,,3115550.407118868,,,,,3115550.407118868,0.0
0xed2239a9150c3920000d0094d28fa51c7db03dd0,Michie,1,34,,,,3095007.670859059,,,,,3095007.670859059,0.0
0x36a3f17401e395ef4cb1b7f42bcdb8ab8e15fafb,gfjoigfsjoigsjoi,1,35,,,,2930573.327551775,,,,,2930573.327551775,0.0
0xd38b71f3e8ed1af71983e5c309eac3dfa9b35029,primm,1,38,,,,2673262.1587221543,,,,,2673262.1587221543,0.0
0x343d4466dc323b850e5249394894c7381d91456e,tazcot,1,39,,,,2604547.667341,,,,,2604547.667341,0.0
0xb786b8b6335e77dfad19928313e97753039cb18d,0xb786b8b6335e77dfad19928313e97753039cb18d,1,42,,,,2334029.7272689445,,,,,2334029.7272689445,0.0
0xac44cb78be973ec7d91b69678c4bdfa7009afbd7,blackwall,1,44,,,,2310857.9291402893,,,,,2310857.9291402893,0.0
0x7fb7ad0d194d7123e711e7db6c9d418fac14e33d,0x7fB7Ad0d194D7123e711e7db6C9D418fAc14E33d-1750343282446,1,45,,,,2282134.8592162575,,,,,2282134.8592162575,0.0
0xa9878e59934ab507f9039bcb917c1bae0451141d,ilovecircle,1,46,,,,2238997.228075588,,,,,2238997.228075588,0.0
0x0b9cae2b0dfe7a71c413e0604eaac1c352f87e44,geniusMC,1,47,,,,2205915.197013427,,,,,2205915.197013427,0.0
0xd25c72ac0928385610611c8148803dc717334d20,FeatherLeather,1,48,,,,2097480.476399747,,,,,2097480.476399747,0.0
0x2bf64b86b64c315d879571b07a3b76629e467cd0,BabaTrump,1,49,,,,2093362.982851,,,,,2093362.982851,0.0
0x02227b8f5a9636e895607edd3185ed6ee5598ff7,HorizonSplendidView,1,50,,,,1991767.5134605914,,,,,1991767.5134605914,0.0
0x07e78f5f58f8fa839f298cfe3fefd258883aa343,Spon,1,30,,,,,,,,242651070.82364702,0.0,0.0
0x08fff5b9a79576a7c6e18a9d05ece0658a34ba79,krazyagain,1,39,,,,,,,2380753.993787,,0.0,0.0
0x0a55f6b56bd976ae3ddfbffc9c2c4b70a0f9f9be,TimeToFire,1,34,,442244.8680465447,,,,,,,0.0,442244.8680465447
0x0c0e270cf879583d6a0142fc817e05b768d0434e,The Spirit of Ukraine>UMA,1,31,,480758.6747692323,,,,,,,0.0,480758.6747692323
0x0c154c190e293b7e5f8d453b5f690c4dc9599a45,0x0c154c190E293B7e5F8D453b5F690C4dC9599A45-1775083003603,1,21,,,93749.75069940044,,,,,,0.0,0.0
0x13414a77a4be48988851c73dfd824d0168e70853,PineBluff,1,32,,,45256.931951673556,,,,,,0.0,0.0
0x15dcf79ffaae8a1390addda4e2ae7edec06877c8,Bulboor,1,30,7709.787152783997,,,,,,,,0.0,0.0
0x1610db79f753a80207e1d66716be9e91e627ae49,0x1610DB79f753a80207E1d66716be9E91E627AE49-1778875286261,1,28,,,49982.60624974,,,,,,0.0,0.0
0x1615086ace48440b0bc0da28a9dfc3d6e8208f2b,alihanyer,1,16,,,,,220372.484333,,,,0.0,0.0
0x162f6fff88a52864f2ecc9833e58089d5254798d,Valen9,1,42,,,35395.86872675342,,,,,,0.0,0.0
0x16bb9951a36fce71e2ef57890b786145e0ba8492,SDTrading,1,21,12499.402361499946,,,,,,,,0.0,0.0
0x1b626635d9155f6366298c0f8dc2eac2e546db9c,IlikeVagina,1,45,,314394.331292,,,,,,,0.0,314394.331292
0x1df231bd33dae91463e1682927e8096b82c289a0,pedroBala,1,27,,,,,103111.17734299999,,,,0.0,0.0
0x20e2d462eb96d6fe2c4c7d3fb99e1df17a93667f,sportsbettor222,1,47,4644.528550929972,,,,,,,,0.0,0.0
0x2114c6395bb0c3c2129339785e54a48ca1d984c5,uyyan395,1,35,6323.5180390099995,,,,,,,,0.0,0.0
0x228b8d11eba89bf1c554f8879a9293b7106daf4c,0x228B8d11EBa89BF1c554f8879a9293B7106DaF4c-1765442354872,1,29,,,,,92230.423136,,,,0.0,0.0
0x23222038e8255625fff4fff060af8fff89833ede,Tttyh,1,47,,,,,57262.835271,,,,0.0,0.0
0x241f846866c2de4fb67cdb0ca6b963d85e56ef50,Pestle,1,5,,1756848.7485425873,,,,,,,0.0,1756848.7485425873
0x2580d0e16709994f5b8a0206271ad14e2b911d56,Maxdaboss1,1,37,,,39879.79729595434,,,,,,0.0,0.0
0x27f738fe203827445690339104aae35b20bc44b0,ic4cream,1,13,16460.829120000213,,,,,,,,0.0,0.0
0x2d27e4d20f3b8a2ee3bc861d9b83752f338676d8,interstellaar,1,13,,,,,,,,413423375.59290004,0.0,0.0
0x30ae3992180b30b791df5e6e5480629449594318,w1n3r,1,46,,,,,57864.274839000005,,,,0.0,0.0
0x39d3c773be30fcc73161fc6768f46d563a779ef0,matanovik,1,36,,386990.4974731509,,,,,,,0.0,386990.4974731509
0x3af1ed6ea380092db15c20ffa1b35652b0cad739,Sooooo1,1,14,,,107889.22536141364,,,,,,0.0,0.0
0x3b4ab03aa434a5441778da50b693c6d240968060,05yaojiayou,1,18,,,,,159999.808546,,,,0.0,0.0
0x3de4543d599ffb09386aac2eab198a295511b032,248188374,1,15,,828588.0478764737,,,,,,,0.0,828588.0478764737
0x3e04fbc51adb75418129f6ce2091ae633070564d,roldy,1,49,4416.7510531624575,,,,,,,,0.0,0.0
0x3fd9a838ded6eb832baab3ccbcb5e934e3871ef0,therighteousdog,1,37,,355982.3065841448,,,,,,,0.0,355982.3065841448
0x4133bcbad1d9c41de776646696f41c34d0a65e70,EF203F2IPFC2ICP20W-CP3,1,33,,,,,,,,226885468.73612797,0.0,0.0
0x44c1dfe43260c94ed4f1d00de2e1f80fb113ebc1,aenews2,1,37,,,,,,,,219441020.673615,0.0,0.0
0x4662492a083f518d87c91044227d97ef1d90bdf6,xibr,1,20,,,,,,26744227.846836,,,0.0,0.0
0x49007e1e636d0e922d0122a02ea743e41d194a72,08AF,1,44,,,,,61980.97,,,,0.0,0.0
0x4a650133a506a876352f8e8021ec3d220dab06bb,.sorry,1,43,,,,,,13777448.015774,,,0.0,0.0
0x4bac379da2f29d87c01ff737843e396a2cec02b1,LuckyNFT444,1,22,,,,,,,,287648410.1132591,0.0,0.0
0x4ce73141dbfce41e65db3723e31059a730f0abad,qrpenc,1,34,,,,,,,,225756230.84142104,0.0,0.0
0x4d0e9b029700163625c551a0073636f3dc5ec45b,yougotme,1,28,,,,,95135.19,,,,0.0,0.0
0x4f3818cc7bca7c79680bb7fd3ac4108b7f3a2e85,PapiBowser,1,50,4370.064809405003,,,,,,,,0.0,0.0
0x4ffe49ba2a4cae123536a8af4fda48faeb609f71,planktonXD,1,42,,,,,,,,207674995.716358,0.0,0.0
0x5188fa0e8a77e87bc6a58e6781fdfc4e165cc804,AllByMyseIf,1,43,,,35314.207406616326,,,,,,0.0,0.0
0x52c2143f69dd3dcd249f688623c64ab5f7900556,0xcdlambjrrt0lk1en0js1mps0nipda1lyjfk,1,40,,,,,,,2284888.4274730003,,0.0,0.0
0x52f5efdfb8759d4b9be1fbe63f80401474445e8a,martingaleking,1,50,,,33072.8241630595,,,,,,0.0,0.0
0x558ee6a05f51e7e8d89fc07b154e78a865202ee7,perseusplus,1,38,,,,,,14538303.799105,,,0.0,0.0
0x55b4af6a1cff148a307cad8ad098206a028e80ea,StarryPath,1,31,,,,,,,,239656773.33519706,0.0,0.0
0x575a227b3d9369b06a4aeffb3ab820b407f3bba6,qqq89,1,31,7707.764468010006,,,,,,,,0.0,0.0
0x57cd939930fd119067ca9dc42b22b3e15708a0fb,Supah9ga,1,20,,680538.881875128,,,,,,,0.0,680538.881875128
0x59ee6c6a56d7b00223f0c30f8002c4df762b684d,undertaker,1,48,,,,,,,,197598890.580127,0.0,0.0
0x5d0f03cf1243a3e21262d6cf844795afd9fff0ad,EB99999,1,49,,286858.373527307,,,,,,,0.0,286858.373527307
0x5e717d49744bef6dcd1b7764d07c2934a1e4ba82,G.V,1,46,,,,,,12221615.910549,,,0.0,0.0
0x6211f97a76ed5c4b1d658f637041ac5f293db89e,Tiger200,1,15,14777.539791740244,,,,,,,,0.0,0.0
0x63d43bbb87f85af03b8f2f9e2fad7b54334fa2f1,wokerjoesleeper,1,39,,,,,,,,212886211.348404,0.0,0.0
0x6918ea182d963b1fb7888860b8a8b8bcfba5782b,0x6918EA182D963b1Fb7888860b8a8b8bCfbA5782b-1771878010027,1,39,,,37844.039601403965,,,,,,0.0,0.0
0x6979b1a23c14e5cf0c6d29310080841d19d4c2a3,CryptoVagabond,1,47,,307405.9283810939,,,,,,,0.0,307405.9283810939
0x6a73a4b2033820106e3adebe059c17282368c860,0x6A73a4B2033820106e3adeBE059C17282368c860-1778865875649,1,38,,,,,,,2817982.94631,,0.0,0.0
0x6ac5bb06a9eb05641fd5e82640268b92f3ab4b6e,Lakersfan111,1,47,,,,,,12089326.13077,,,0.0,0.0
0x6ad4b92648179a9e5bc114ef2999c78cf73348d1,T1T1,1,24,,,,,,,3836982.1544080004,,0.0,0.0
0x6ade597c0e2b43c0bf3542cada8a5e330d73f5b0,TheOnlyHuman,1,42,,,,,,,2247869.737545,,0.0,0.0
0x6e1d5040d0ac73709b0621f620d2a60b80d2d0fa,0x6E1d5040d0ac73709B0621F620d2a60b80d2D0F,1,40,,,,,,14232236.659597,,,0.0,0.0
0x6ede3d5fa80c7035e151229d3ce8f303950f97a2,0x6EDe3D5Fa80c7035e151229d3CE8f303950f97a2-1777795772014,1,43,,,,,62881.28,,,,0.0,0.0
0x6ff0a3f6a71b03ff03a4b690ca1439ba03e07760,celestat3123,1,42,5318.36650034101,,,,,,,,0.0,0.0
0x709e8dcb133555794decc598e07f2c923b8366f5,0xd4aa6f8e91cfea29b66a48ebff52814,1,41,,336506.00999085547,,,,,,,0.0,336506.00999085547
0x751a2b86cab503496efd325c8344e10159349ea1,Sharky6999,1,44,,,,,,,,203082718.75548598,0.0,0.0
0x7ea571c40408f340c1c8fc8eaacebab53c1bde7b,Cannae,1,21,,661647.2247024062,,,,,,,0.0,661647.2247024062
0x7fea691e28d169a33c500607279f2acb49058f74,CavaSoTasty,1,33,,,,,77184.652005,,,,0.0,0.0
0x801ba46b0e7ba3f82e6a3cfcedb436318e43e036,pizzaallosqualo,1,25,,,,,,,3622360.6093049995,,0.0,0.0
0x84ad9c5c547a82ec9a08547b94bd922446e5bfb7,BillBenter2026,1,29,,,,,,19887251.095650002,,,0.0,0.0
0x85f031d069de300055900c4055c1baeb6bde3f67,RJW1,1,22,,611504.5704693557,,,,,,,0.0,611504.5704693557
0x8c5e8ccd19eba2b566b1af96a698debd5cf1a114,PrimeOasis1987,1,37,,,,,72576.973935,,,,0.0,0.0
0x8cf75278f373594fd1bf571de1d471918111aeb3,DRAGON2027,1,38,,,,,68559.760127,,,,0.0,0.0
0x8f41129e43ebfbfe6075d0804f3b2bb763b3260e,300PS,1,20,,,,,150755.464997,,,,0.0,0.0
0x966cd85371117d811aab6e6f2b98377433659b1a,balldontlieee,1,41,,,35401.16411977672,,,,,,0.0,0.0
0x971a4bb4c480c7bbee0a4e1bee72459b21ac447d,0x971a4Bb4c480C7BbEE0A4e1BEe72459b21ac447d-1778884311892,1,36,,,40241.56656930531,,,,,,0.0,0.0
0x9ac2536ed93f8fe8ce91d9662b03bcbb19ccbe3d,ChloeT1,1,30,,481639.98030331975,,,,,,,0.0,481639.98030331975
0x9c667a1d1c1337c6dca9d93241d386e4ed346b66,InfiniteCrypt0,1,10,,,,,,,,457471627.90834206,0.0,0.0
0x9cb990f1862568a63d8601efeebe0304225c32f2,jtwyslljy,1,50,,265988.20414792653,,,,,,,0.0,265988.20414792653
0x9f47f1fcb1701bf9eaf31236ad39875e5d60af93,TheGuru-791,1,15,,,,,,,,397496287.95666003,0.0,0.0
0xa080dadd87036ad01dbf5e9c254b0c3dbdba234f,bands1,1,11,18788.17870224046,,,,,,,,0.0,0.0
