n_thr,flow_thr,sa_thr,asz_thr,off_thr,n,wr_follow,mean_follow,sum_follow,wr_fade,mean_fade,sum_fade
10,0.2,1.005,100,270,711,0.6174402250351617,-0.05849633308243536,-41.59089282161154,0.38255977496483823,0.9039807508932997,642.7303138851361
10,0.2,1.005,500,60,2744,0.5528425655976676,-0.1336476351370566,-366.72911081608333,0.44715743440233235,0.41825422873696,1147.6896036542182
10,0.2,1.005,500,120,2092,0.5927342256214149,-0.11183021194530268,-233.94880338957321,0.4072657743785851,0.3629123219268868,759.2125774710472
10,0.2,1.005,500,240,407,0.6339066339066339,-0.053582031454677985,-21.80788680205394,0.36609336609336607,1.3246389522870332,539.1280535808226
10,0.2,1.005,500,270,218,0.7568807339449541,0.19201106261917833,41.85841165098088,0.24311926605504589,1.1002523151539076,239.85500470355188
10,0.2,1.005,1000,60,595,0.6235294117647059,-0.09209164395386023,-54.79452815254683,0.3764705882352941,0.6644626167900115,395.35525699005683
10,0.2,1.005,1000,120,474,0.6603375527426161,-0.13126666411188065,-62.22039878903142,0.339662447257384,0.7612519990232527,360.83344753702175
10,0.2,1.005,1000,240,136,0.6544117647058824,-0.24310979806805127,-33.06293253725497,0.34558823529411764,3.074771010861076,418.16885747710637
10,0.2,1.005,1000,270,84,0.6428571428571429,-0.26289763819559897,-22.083401608430314,0.35714285714285715,3.5703327304575985,299.90794935843826
10,0.2,1.01,100,60,3706,0.55774419859687,-0.17017864618396605,-630.6820627577782,0.44225580140313003,0.4294869422084882,1591.6786078246573
10,0.2,1.01,100,120,2950,0.5840677966101695,-0.16224694735387993,-478.6284946939458,0.4159322033898305,0.4165684091184866,1228.8768068995355
10,0.2,1.01,100,240,844,0.5699052132701422,-0.19964454169262918,-168.49999318857903,0.43009478672985785,1.4066818622176178,1187.2394917116694
10,0.2,1.01,100,270,348,0.6149425287356322,-0.12670562026239396,-44.0935558513131,0.3850574712643678,1.4341809363041909,499.0949658338584
10,0.2,1.01,500,60,1363,0.6426999266324285,-0.02476704000665063,-33.757475529064806,0.3573000733675715,0.16012510165665655,218.2505135580229
10,0.2,1.01,500,120,1088,0.6976102941176471,0.00596488489729343,6.489794768255251,0.3023897058823529,0.03658271367325585,39.80199247650236
10,0.2,1.01,500,240,217,0.7188940092165899,-0.009179513615458053,-1.9919544545543975,0.28110599078341014,1.3826381162978332,300.0324712366298
10,0.2,1.01,500,270,114,0.7982456140350878,0.17831503683667452,20.327914199380896,0.20175438596491227,2.010562347745409,229.20410764297662
