horizon_s,src,tgt,lag_s,corr,n
5,ETH,SOL,60,0.007011399669754405,1832499
5,ETH,SOL,300,0.002825785806796532,1832499
5,SOL,BTC,0,0.6404305686355809,1832499
5,SOL,BTC,1,0.5664228270369425,1832499
5,SOL,BTC,5,0.10373174136276989,1832499
5,SOL,BTC,30,-0.0015779780425012018,1832499
5,SOL,BTC,60,0.0070011992485394196,1832499
5,SOL,BTC,300,0.0031329225896506146,1832499
5,SOL,ETH,0,0.6721219221968749,1832499
5,SOL,ETH,1,0.5816401701521097,1832499
5,SOL,ETH,5,0.08375738925839776,1832499
5,SOL,ETH,30,-0.0018525573331685272,1832499
5,SOL,ETH,60,0.008226640504553238,1832499
5,SOL,ETH,300,0.0040116944235472395,1832499
30,BTC,ETH,0,0.8674503362119184,1832474
30,BTC,ETH,1,0.8482688207328473,1832474
30,BTC,ETH,5,0.7427386169543474,1832474
30,BTC,ETH,30,0.01414204986595091,1832474
30,BTC,ETH,60,0.02241251196137622,1832474
30,BTC,ETH,300,0.0004984280307203654,1832474
30,BTC,SOL,0,0.7610375661253537,1832474
30,BTC,SOL,1,0.7457659286796944,1832474
30,BTC,SOL,5,0.6590381979295328,1832474
30,BTC,SOL,30,0.03260277824366112,1832474
30,BTC,SOL,60,0.01793295473013188,1832474
30,BTC,SOL,300,-0.0005684439929987424,1832474
30,ETH,BTC,0,0.8674503362119184,1832474
30,ETH,BTC,1,0.8541606560660294,1832474
30,ETH,BTC,5,0.7623842848551137,1832474
30,ETH,BTC,30,0.030822821784957766,1832474
30,ETH,BTC,60,0.00976255803056935,1832474
30,ETH,BTC,300,0.0005634940324095603,1832474
30,ETH,SOL,0,0.7895951142908706,1832474
30,ETH,SOL,1,0.7755049311186797,1832474
30,ETH,SOL,5,0.6898220960589123,1832474
30,ETH,SOL,30,0.032771697269193135,1832474
30,ETH,SOL,60,0.01107417530181511,1832474
30,ETH,SOL,300,-0.00021512446145538467,1832474
30,SOL,BTC,0,0.7610375661253538,1832474
30,SOL,BTC,1,0.7498883444128108,1832474
30,SOL,BTC,5,0.6697213858253385,1832474
30,SOL,BTC,30,0.035589438053759866,1832474
30,SOL,BTC,60,0.01410742555879312,1832474
30,SOL,BTC,300,2.990380612697724e-05,1832474
30,SOL,ETH,0,0.7895951142908707,1832474
30,SOL,ETH,1,0.7746181116993746,1832474
30,SOL,ETH,5,0.6830852834734221,1832474
30,SOL,ETH,30,0.02225653964367275,1832474
30,SOL,ETH,60,0.021108844751036644,1832474
30,SOL,ETH,300,-0.0012560544380120985,1832474
60,BTC,ETH,0,0.8779753570602375,1832444
60,BTC,ETH,1,0.8687579752464076,1832444
60,BTC,ETH,5,0.8178874274619289,1832444
60,BTC,ETH,30,0.45290540193875867,1832444
60,BTC,ETH,60,0.030653863582826277,1832444
60,BTC,ETH,300,-0.005258076859145723,1832444
60,BTC,SOL,0,0.7797177072359914,1832444
60,BTC,SOL,1,0.7722835353903718,1832444
60,BTC,SOL,5,0.730230283524848,1832444
