sleeve_id,path,gate_stack,n_full,n_train,n_val,n_lockbox,wr_train,wr_val,wr_lockbox,wr_full,dpt_25_train,dpt_25_val,dpt_25_lockbox,dpt_25_full,sum_25_lockbox,sum_25_full,max_dd_25_lockbox,max_dd_25_full,loss_streak_lockbox,loss_streak_full,sharpe_lockbox,sharpe_full,n_32d_proj_lockbox,n_32d_proj_full,bootstrap_p_lockbox,proj_32d,proj_full,proj_honest,objective,pass,fail_reason
Q_g_parent_15m_regime_with+g_tr_above_ema200+g_hurst_trending,Q_parent_15m,g_parent_15m_regime_with+g_tr_above_ema200+g_hurst_trending,737,287,162,288,0.8118466898954704,0.8518518518518519,0.875,0.8453188602442334,0.5645860497282041,2.453293411287683,9.519806002013029,4.479204691289486,2741.7041285797523,3301.173857480351,325.7097231251423,396.4746351509158,12,12,17.256554402205627,6.9843651002661105,1441.161376815449,737.0,0.003,13719.576724877074,3301.173857480351,3301.173857480351,161.5564651104914,True,PASS
Q_g_parent_15m_not_ranging+g_trend_slope_strong_with+g_tr_above_ema800,Q_parent_15m,g_parent_15m_not_ranging+g_trend_slope_strong_with+g_tr_above_ema800,540,215,94,231,0.9302325581395349,0.9361702127659575,0.9264069264069265,0.9296296296296296,2.6879251479596213,3.3038624037001223,10.170671147245782,5.996096310690566,2349.425035013776,3237.892007772906,175.0,183.029329795761,7,7,18.157391802809403,8.261510004818398,1155.9315209873914,540.0,0.031,11756.599368698395,3237.892007772906,3237.892007772906,154.58081839682282,True,PASS
Q_g_parent_15m_slope_with+g_rf_with+g_lm_high_stat,Q_parent_15m,g_parent_15m_slope_with+g_rf_with+g_lm_high_stat,503,235,148,120,0.8085106382978723,0.9121621621621622,0.925,0.8667992047713717,8.101452123877548,11.278885172157473,5.1333659923948725,8.328270723017724,616.0039190873847,4189.120173677915,111.27347459556381,421.41161624915156,3,14,15.315683181163195,12.83159400030846,600.4839070064371,503.0,0.022,3082.5036672072497,4189.120173677915,3082.5036672072497,56.23320699929129,True,PASS
Q_g_parent_15m_regime_with+g_mp_skew_with+g_tr_above_ema200,Q_parent_15m,g_parent_15m_regime_with+g_mp_skew_with+g_tr_above_ema200,645,231,167,247,0.7792207792207793,0.8622754491017964,0.8259109311740891,0.8186046511627907,1.1624736693681288,3.9126539631043245,8.403658612628044,4.647516754700134,2075.703677319127,2997.6483067815866,275.0,367.01618136984723,11,11,17.749435584109474,8.305740196084802,1235.9960419215831,645.0,0.0,10386.888782868486,2997.6483067815866,2997.6483067815866,132.0738622330951,True,PASS
Q_g_parent_15m_regime_with+g_tr_above_ema800+g_hurst_trending,Q_parent_15m,g_parent_15m_regime_with+g_tr_above_ema800+g_hurst_trending,752,292,160,300,0.7808219178082192,0.85,0.8933333333333333,0.8404255319148937,-0.4951140161977501,2.289105474789994,9.169842685664193,3.952973921457333,2750.952805699258,2972.6363889359145,350.0,606.2517117336188,14,14,17.81025896453172,6.233927699189202,1501.2097675160928,752.0,0.0,13765.85740630509,2972.6363889359145,2972.6363889359145,158.8263342898423,True,PASS
Q_g_parent_15m_not_ranging+g_trend_slope_strong_with+g_ribbon_agrees,Q_parent_15m,g_parent_15m_not_ranging+g_trend_slope_strong_with+g_ribbon_agrees,540,215,94,231,0.9302325581395349,0.9361702127659575,0.9047619047619048,0.9203703703703704,2.6083212600843675,3.351281972672369,8.96786238887663,5.458121829962672,2071.5762118305015,2947.385788179843,125.0,183.029329795761,5,5,18.62717881879912,8.64410504992494,1155.9315209873914,540.0,0.031,10366.234811179786,2947.3857881798426,2947.3857881798426,136.29970798122162,True,PASS
Q_g_parent_15m_not_ranging+g_trend_slope_strong_with+g_tr_above_ema200,Q_parent_15m,g_parent_15m_not_ranging+g_trend_slope_strong_with+g_tr_above_ema200,540,215,94,231,0.9255813953488372,0.9468085106382979,0.8961038961038961,0.9166666666666666,2.3583548254385103,3.630957228074771,8.729142130911475,5.305163146571961,2016.4318322405506,2864.788099148859,197.27777705663516,197.27777705663516,7,7,18.681051094794693,8.624967849100319,1155.9315209873914,540.0,0.031,10090.29054029962,2864.7880991488587,2864.7880991488587,132.6714741793503,True,PASS
Q_g_parent_15m_regime_with+g_hawkes_imbalance_with+g_tr_above_ema200,Q_parent_15m,g_parent_15m_regime_with+g_hawkes_imbalance_with+g_tr_above_ema200,979,421,252,306,0.8028503562945368,0.8611111111111112,0.8496732026143791,0.832482124616956,-0.42318934735267744,2.7443866449240426,7.268583150892848,2.796332138364242,2224.1864441732114,2737.609163458593,329.6111067474624,581.5030760299134,11,11,28.34919638601626,7.200816606492174,1531.2339628664147,979.0,0.0,11129.901382565706,2737.609163458593,2737.609163458593,127.14827608961782,True,PASS
Q_g_parent_15m_regime_with+g_hawkes_imbalance_with+g_ribbon_agrees,Q_parent_15m,g_parent_15m_regime_with+g_hawkes_imbalance_with+g_ribbon_agrees,983,419,259,305,0.8042959427207638,0.8378378378378378,0.8524590163934426,0.8280773143438453,-0.3227368851751712,2.140342058699496,7.472290200585525,2.7448325020278315,2279.048511178585,2698.170349493358,329.6111067474624,508.37085097118324,11,11,29.463130107736678,7.02734661891237,1526.2299303080279,983.0,0.0,11404.432952081006,2698.1703494933586,2698.1703494933586,130.4979381321359,True,PASS
J_g_2asset_btc_sol_with+g_trend_slope_strong_with+g_mp_no_extreme,J_confluence,g_2asset_btc_sol_with+g_trend_slope_strong_with+g_mp_no_extreme,406,69,48,289,0.8115942028985508,0.7708333333333334,0.7508650519031141,0.7635467980295566,6.277451284306772,3.9865488071944193,6.983511635305906,6.509195428487454,2018.2348626034068,2642.733343965906,225.0,225.0,9,9,29.504390718360664,12.579191156743004,1446.165409373836,406.0,0.0,10099.312962939111,2642.7333439659064,2642.7333439659064,118.7196978002004,True,PASS
Q_g_parent_15m_regime_with+g_trend_slope_strong_with+g_tr_above_ema800,Q_parent_15m,g_parent_15m_regime_with+g_trend_slope_strong_with+g_tr_above_ema800,291,88,57,146,0.9204545454545454,0.9122807017543859,0.958904109589041,0.9381443298969072,2.9328971079830652,3.99022288592354,14.0177996904103,8.701499672852423,2046.5987547999036,2532.136404800055,100.0,204.514018119365,5,5,18.130781204838232,7.512131764403652,730.5887535244985,291.0,0.031,10241.246802972963,2532.136404800055,2532.136404800055,169.37771810786742,True,PASS
J_g_3asset_unanimity_with+g_trend_slope_strong_with+g_mp_no_extreme,J_confluence,g_3asset_unanimity_with+g_trend_slope_strong_with+g_mp_no_extreme,397,62,48,287,0.7903225806451613,0.7708333333333334,0.7491289198606271,0.7581863979848866,4.432845713100009,3.9865488071944193,6.8924876496288885,6.157014439297288,1978.143955443491,2444.3347324010233,225.0,225.0,9,9,29.208200452403492,11.819351687511906,1436.1573442570623,397.0,0.0,9898.696758215625,2444.3347324010233,2444.3347324010233,116.76614570192123,True,PASS
Q_g_parent_15m_regime_with+g_tr_above_ema200+g_markov_with,Q_parent_15m,g_parent_15m_regime_with+g_tr_above_ema200+g_markov_with,971,425,255,291,0.8023529411764706,0.8627450980392157,0.8316151202749141,0.8269824922760041,-0.16571720615200936,2.808672265768427,6.141084027987569,2.5054964647793274,1787.0554521443826,2432.837067300727,325.0,566.4951101413734,13,13,13.58074496839431,6.352616084976616,1456.17347449061,971.0,0.017,8942.483666173448,2432.8370673007266,2432.8370673007266,104.75904588288292,True,PASS
Q_g_parent_15m_regime_with+g_trend_slope_strong_with+g_tr_above_ema200,Q_parent_15m,g_parent_15m_regime_with+g_trend_slope_strong_with+g_tr_above_ema200,296,91,56,149,0.9010989010989011,0.9285714285714286,0.9261744966442953,0.918918918918919,2.112852567221492,4.507905437457889,13.049779044376956,8.071382992320824,1944.4170776121666,2389.129365726964,100.0,179.514018119365,5,5,18.291440320384883,7.2523927124934335,745.6008511996595,296.0,0.031,9729.926363454937,2389.1293657269644,2389.1293657269644,159.2928536782235,True,PASS
Q_g_parent_15m_regime_with+g_trend_slope_strong_with+g_ribbon_agrees,Q_parent_15m,g_parent_15m_regime_with+g_trend_slope_strong_with+g_ribbon_agrees,294,90,57,147,0.9111111111111111,0.9122807017543859,0.9387755102040817,0.9251700680272109,2.4141064846350644,3.99022288592354,13.102458904949042,8.063856282796964,1926.0614590275093,2370.7737471423075,100.0,179.514018119365,5,5,18.314960292676368,7.271557907907663,735.5927860828855,294.0,0.031,9638.074250427979,2370.7737471423075,2370.7737471423075,158.85887169218512,True,PASS
J_g_2asset_btc_eth_with+g_trend_slope_strong_with+g_mp_no_extreme,J_confluence,g_2asset_btc_eth_with+g_trend_slope_strong_with+g_mp_no_extreme,418,68,50,300,0.75,0.78,0.74,0.7464114832535885,2.6652252523098814,3.9700035238550497,6.370502706279782,5.480589246970716,1911.1508118839347,2290.8863052337592,222.27777705663516,222.27777705663516,8,8,29.298754025206097,10.997815812295949,1501.2097675160928,418.0,0.0,9563.460886654913,2290.8863052337592,2290.8863052337592,110.34034357031616,True,PASS
Q_g_parent_15m_regime_with+g_hawkes_imbalance_with+g_rf_with,Q_parent_15m,g_parent_15m_regime_with+g_hawkes_imbalance_with+g_rf_with,981,429,250,302,0.6783216783216783,0.756,0.8178807947019867,0.7410805300713558,-2.3632998248739856,2.2053397743014513,8.959034272122494,2.2865521599239713,2705.628350180993,2243.107668885416,304.6111067474624,1196.2942532334787,10,13,26.710645748153993,4.797735355502207,1511.2178326328667,981.0,0.0,13539.052355200529,2243.107668885416,2243.107668885416,155.69141632375806,True,PASS
Q_g_parent_15m_slope_with+g_trend_slope_strong_with+g_mp_no_extreme,Q_parent_15m,g_parent_15m_slope_with+g_trend_slope_strong_with+g_mp_no_extreme,441,77,52,312,0.7272727272727273,0.75,0.7051282051282052,0.7142857142857143,2.581968900372601,2.855772619091394,5.942920922408049,4.992070542659305,1854.191327791311,2201.5031093127536,222.27777705663516,222.27777705663516,8,8,25.162083247678712,10.126450263579269,1561.2581582167365,441.0,0.0,9278.4337737465,2201.503109312753,2201.503109312753,104.9729128684088,True,PASS
J_g_xa_majority_with+g_trend_slope_strong_with+g_mp_no_extreme,J_confluence,g_xa_majority_with+g_trend_slope_strong_with+g_mp_no_extreme,440,77,52,311,0.7532467532467533,0.7692307692307693,0.7202572347266881,0.7318181818181818,3.7602989813251777,3.5289849901759234,5.550616459948071,4.998390818397811,1726.2417190438503,2199.291960095037,222.27777705663516,222.27777705663516,8,8,26.091500307015423,11.164463352989104,1556.2541256583497,440.0,0.0,8638.16976574133,2199.291960095037,2199.291960095037,97.88618748104274,True,PASS
J_g_2asset_eth_sol_with+g_trend_slope_strong_with+g_mp_no_extreme,J_confluence,g_2asset_eth_sol_with+g_trend_slope_strong_with+g_mp_no_extreme,410,64,50,296,0.765625,0.76,0.7263513513513513,0.7365853658536585,3.5130692845656326,3.5272277208345524,5.922783633255037,5.2544921358473635,1753.143955443491,2154.341775697419,225.0,225.0,9,9,27.228426832459927,11.33067622517512,1481.1936372825448,410.0,0.0,8772.789432578555,2154.3417756974186,2154.3417756974186,101.89942259915267,True,PASS
Q_g_parent_15m_regime_with+g_rf_with+g_vol_high,Q_parent_15m,g_parent_15m_regime_with+g_rf_with+g_vol_high,650,308,132,210,0.5584415584415584,0.803030303030303,0.8428571428571429,0.7,-4.112179457967906,8.728832267633528,10.311999005710012,3.155652888419406,2165.5197911991027,2051.1743774726137,300.7097231251423,1571.6565967277968,9,43,36.33649663538115,5.027967417605882,1050.8468372612651,650.0,0.0,10836.331540991676,2051.1743774726137,2051.1743774726137,149.43506259807467,True,PASS
Q_g_parent_15m_regime_with+g_rf_with+g_hurst_trending,Q_parent_15m,g_parent_15m_regime_with+g_rf_with+g_hurst_trending,746,292,172,282,0.684931506849315,0.75,0.8368794326241135,0.7573726541554959,-2.4751157485829793,0.38249111011420545,9.512294872685628,2.7151767110600002,2682.467154097347,2025.5218264507603,350.7097231251423,939.6531015285542,12,12,22.15565387326634,4.775795308699962,1411.1371814651272,746.0,0.0,13423.152975906778,2025.5218264507603,2025.5218264507603,159.7385944475154,True,PASS
Q_g_parent_15m_regime_with+g_ribbon_agrees+g_vol_high,Q_parent_15m,g_parent_15m_regime_with+g_ribbon_agrees+g_vol_high,619,291,121,207,0.6735395189003437,0.859504132231405,0.9082125603864735,0.7883683360258481,-2.477672634058129,4.762493055567002,10.163153679796647,3.164833174362839,2103.772811717906,1959.0317349305974,199.16805531760542,1169.4886600606355,7,41,29.889602877153276,5.243259240753104,1035.834739586104,619.0,0.0,10527.347645285716,1959.0317349305974,1959.0317349305974,146.2223183815213,True,PASS
J_g_2asset_eth_sol_with+g_trend_slope_strong_with+g_queue_top_high,J_confluence,g_2asset_eth_sol_with+g_trend_slope_strong_with+g_queue_top_high,1585,767,452,366,0.8409387222946545,0.838495575221239,0.76775956284153,0.8233438485804416,0.29102048237467515,-0.6638550005758829,5.507985225359234,1.2233898058060293,2015.9225924814796,1939.0728422025563,449.3417811261927,1200.627925154496,12,29,13.402463860883524,3.7305931357438533,1831.4759163696333,1585.0,0.0,10087.742287965206,1939.0728422025563,1939.0728422025563,105.37396193963609,True,PASS
Q_g_parent_15m_regime_with+g_rf_with+g_markov_with,Q_parent_15m,g_parent_15m_regime_with+g_rf_with+g_markov_with,933,428,235,270,0.6962616822429907,0.851063829787234,0.8074074074074075,0.767416934619507,-2.155167663621273,4.164410567008229,6.651504106909812,1.9851348682558179,1795.9061088656492,1852.1308320826781,275.7097231251422,1404.269811823641,11,41,15.190745817214472,4.862420784812271,1351.0887907644835,933.0,0.003,8986.772640569772,1852.1308320826781,1852.1308320826781,109.29536522078273,True,PASS
Q_g_parent_15m_regime_with+g_trend_slope_strong_with+g_rf_with,Q_parent_15m,g_parent_15m_regime_with+g_trend_slope_strong_with+g_rf_with,281,95,53,133,0.7368421052631579,0.8679245283018868,0.9172932330827067,0.8469750889679716,-1.938359890980364,3.1363295087881795,13.112685556222212,6.142592360498907,1743.9871789775543,1726.068453300193,107.20588650283224,312.6875982057804,5,8,18.317109022615632,5.8076225539558335,665.5363302654679,281.0,0.031,8726.968625013136,1726.068453300193,1726.068453300193,151.2228669613683,True,PASS
Q_g_parent_15m_not_ranging+g_imb5_strong_with+g_ribbon_agrees,Q_parent_15m,g_parent_15m_not_ranging+g_imb5_strong_with+g_ribbon_agrees,532,264,109,159,0.7234848484848485,0.7522935779816514,0.7358490566037735,0.7330827067669173,1.8380453083991064,4.379774290762005,4.788813171969538,3.240715514010487,761.4212943431565,1724.060653453579,206.48994916726613,525.0,5,21,12.863133710137255,8.270493254370255,795.6411767835292,532.0,0.031,3810.1769475423084,1724.0606534535789,1724.0606534535789,60.38463648784021,True,PASS
Q_g_parent_15m_regime_with+g_queue_top_high+g_tr_above_ema200,Q_parent_15m,g_parent_15m_regime_with+g_queue_top_high+g_tr_above_ema200,512,274,100,138,0.8248175182481752,0.89,0.8333333333333334,0.83984375,0.826804429441851,2.657130507763045,8.669430096251642,3.2981226908712857,1196.3813532827266,1688.6388177260983,169.54538620948767,266.83333333333337,6,9,16.329788690495782,6.612570082221217,690.5564930574028,512.0,0.0,5986.731244073836,1688.6388177260983,1688.6388177260983,101.84274402599105,True,PASS
Q_g_parent_15m_regime_with+g_ribbon_agrees+g_markov_with,Q_parent_15m,g_parent_15m_regime_with+g_ribbon_agrees+g_markov_with,1018,467,262,289,0.7451820128479657,0.8435114503816794,0.8304498269896193,0.7946954813359528,-1.6329611919478841,2.575976598377934,6.061816545814668,1.6347524301333949,1751.864981740439,1664.177973875796,275.0,1334.4217185860582,11,41,12.63347247410606,3.9921560533108837,1446.165409373836,1018.0,0.017,8766.389406527162,1664.177973875796,1664.177973875796,103.05088127884935,True,PASS
Q_g_parent_15m_regime_with+g_mp_skew_with+g_ribbon_agrees,Q_parent_15m,g_parent_15m_regime_with+g_mp_skew_with+g_ribbon_agrees,661,261,169,231,0.685823754789272,0.8165680473372781,0.8268398268398268,0.7685325264750378,-2.018014798446903,2.2762536988281794,7.818902445903542,2.5176270464614805,1806.1664650037183,1664.1514777110388,250.0,1140.767590368954,10,38,16.89189934969567,4.785021056289879,1155.9315209873914,661.0,0.0,9038.115796745315,1664.1514777110388,1664.1514777110388,118.83702870286908,True,PASS
Q_g_parent_15m_regime_with+g_queue_top_high+g_ribbon_agrees,Q_parent_15m,g_parent_15m_regime_with+g_queue_top_high+g_ribbon_agrees,512,276,100,136,0.822463768115942,0.88,0.8308823529411765,0.8359375,0.7182265634696643,2.9978926284307987,8.558466483028715,3.2460375704152584,1163.9514416919053,1661.9712360526123,150.0,266.83333333333337,6,9,14.730069110850541,6.38494223767465,680.5484279406287,512.0,0.0,5824.450910607754,1661.9712360526123,1661.9712360526123,99.80801271237256,True,PASS
Q_g_parent_15m_not_ranging+g_imb5_strong_with+g_tr_above_ema200,Q_parent_15m,g_parent_15m_not_ranging+g_imb5_strong_with+g_tr_above_ema200,532,264,109,159,0.7007575757575758,0.8073394495412844,0.7421383647798742,0.7349624060150376,0.737634870908344,5.746722229177635,5.16759964362607,3.087926075632913,821.6483433365452,1642.7766722367098,245.87883835049897,525.0,6,21,12.214461306239446,7.523980386981467,795.6411767835292,532.0,0.031,4111.555061600792,1642.7766722367096,1642.7766722367096,65.16095215857332,True,PASS
Q_g_parent_15m_not_ranging+g_trend_slope_strong_with+g_rf_with,Q_parent_15m,g_parent_15m_not_ranging+g_trend_slope_strong_with+g_rf_with,538,213,94,231,0.7934272300469484,0.851063829787234,0.8268398268398268,0.8178438661710037,-1.0037917831194985,2.6973794290299127,6.513398136461973,2.8705222788979086,1504.5949695227157,1544.3409860470747,125.0,418.30453654559597,5,7,17.865969286083647,5.735651926915742,1155.9315209873914,538.0,0.031,7529.042214676929,1544.340986047075,1544.340986047075,98.99508104254127,True,PASS
Q_g_parent_15m_regime_with+g_imb5_strong_with+g_tr_above_ema200,Q_parent_15m,g_parent_15m_regime_with+g_imb5_strong_with+g_tr_above_ema200,253,97,59,97,0.6288659793814433,0.847457627118644,0.8556701030927835,0.766798418972332,-0.7509527483187273,7.136294599704339,12.271389514006957,6.08112153223049,1190.3247828586748,1538.523747654314,161.7172683848898,416.4217530589906,6,12,14.429043048820292,6.048723655185964,485.3911581635367,253.0,0.031,5956.423968479717,1538.523747654314,1538.523747654314,120.85917035390632,True,PASS
Q_g_parent_15m_not_ranging+g_rf_with+g_lm_high_stat,Q_parent_15m,g_parent_15m_not_ranging+g_rf_with+g_lm_high_stat,150,40,39,71,0.975,0.9743589743589743,0.9154929577464789,0.9466666666666667,10.317754109697189,19.5170619800682,5.131845009197329,10.254910515090383,364.3609956530104,1538.2365772635576,100.0,100.0,4,4,12.2226091755257,14.536995048765025,355.28631164547534,150.0,0.039,1823.2742852539595,1538.2365772635576,1538.2365772635576,43.241694660224304,True,PASS
Q_g_parent_15m_not_ranging+g_ribbon_agrees+g_lm_high_stat,Q_parent_15m,g_parent_15m_not_ranging+g_ribbon_agrees+g_lm_high_stat,150,40,39,71,0.95,0.9487179487179487,0.9577464788732394,0.9533333333333334,8.503783540410604,17.760737998121492,6.257459799522661,9.847331795395142,444.27964576610896,1477.0997693092713,74.50000048656852,74.50000048656852,2,2,15.833492504469817,13.609258997366652,355.28631164547534,150.0,0.005,2223.189812442242,1477.0997693092713,1477.0997693092713,52.72629347040806,True,PASS
Q_g_parent_15m_regime_with+g_imb5_strong_with+g_ribbon_agrees,Q_parent_15m,g_parent_15m_regime_with+g_imb5_strong_with+g_ribbon_agrees,248,95,65,88,0.6631578947368421,0.7692307692307693,0.8863636363636364,0.7701612903225806,1.0063077784240768,4.6484998983294785,11.553509627869358,5.703470079008899,1016.7088472525035,1414.460579594207,136.7172683848898,366.4217530589906,6,10,14.731469758985254,6.560863862446846,440.35486513805387,248.0,0.031,5087.644174051618,1414.4605795942068,1414.4605795942068,108.38152727966033,True,PASS
Q_g_parent_15m_regime_with+g_queue_top_high+g_tr_above_ema800,Q_parent_15m,g_parent_15m_regime_with+g_queue_top_high+g_tr_above_ema800,531,278,116,137,0.7877697841726619,0.7844827586206896,0.8394160583941606,0.800376647834275,-0.03392460001826998,-0.10175425440047428,9.800048247969618,2.4884596566032084,1342.6066099718378,1321.3720776563036,200.0,508.7239030003693,8,11,15.911966307588894,4.570189364034664,685.5524604990158,531.0,0.0,6718.447189404641,1321.3720776563036,1321.3720776563036,114.70662385305802,True,PASS
Q_g_parent_15m_regime_with+g_queue_top_high+g_rf_with,Q_parent_15m,g_parent_15m_regime_with+g_queue_top_high+g_rf_with,530,280,114,136,0.7107142857142857,0.7192982456140351,0.7720588235294118,0.7283018867924528,-0.6611579888440312,2.356100812977674,7.873577031209533,2.177882513297401,1070.8064762444965,1154.2777320476225,154.12963143248612,586.8802671965759,5,7,19.01683064618112,5.078762680908525,680.5484279406287,530.0,0.0,5358.35047085909,1154.2777320476225,1154.2777320476225,91.82089781868332,True,PASS
Q_g_parent_15m_regime_with+g_imb5_strong_with+g_tr_above_ema800,Q_parent_15m,g_parent_15m_regime_with+g_imb5_strong_with+g_tr_above_ema800,264,112,58,94,0.5089285714285714,0.8275862068965517,0.8617021276595744,0.7045454545454546,-5.475205109501134,6.7022203752831775,12.26283598249954,3.5159560297623242,1152.7065823549567,928.2123918572536,125.0,856.9628219686164,6,19,15.888479123955939,3.595373549440722,470.3790604883757,264.0,0.031,5768.181268371182,928.2123918572537,928.2123918572537,118.89260597432641,True,PASS
Q_g_parent_15m_not_ranging+g_imb5_strong_with+g_tr_above_ema800,Q_parent_15m,g_parent_15m_not_ranging+g_imb5_strong_with+g_tr_above_ema800,531,263,109,159,0.6121673003802282,0.7798165137614679,0.7358490566037735,0.6836158192090396,-1.8592053036251674,5.218239301796052,5.1016536610595065,1.6779284767435252,811.1629321084615,890.9800211508119,257.59007005334206,1003.7915031013054,7,24,14.529603518297087,3.80466119928264,795.6411767835292,531.0,0.031,4059.0857224273855,890.980021150812,890.980021150812,64.32940495843947,True,PASS
