SET
2026-06-06 05:25:10.054739+02|1.0185185185185184|tp065|3533.272499999999|9.25925925925926|0.65
2026-06-06 05:31:03.629803+02|||||
2026-06-06 06:11:04.644129+02|1.8999999999999995|tp065|3868.2931|10.0|0.69
2026-06-06 06:16:06.000076+02|||||
2026-06-06 06:25:20.609348+02|1.3725490196078434|tp065|5604.143800000001|9.803921568627452|0.65
2026-06-06 06:31:04.706658+02|||||
2026-06-06 06:40:45.804438+02|-1.6999999999999997|stop|1618.2065|10.0|0.33
2026-06-06 06:45:40.373167+02|-1.590909090909091|stop|2886.4872|11.363636363636363|0.3
2026-06-06 06:46:02.117846+02|||||
2026-06-06 06:51:04.172178+02|||||
2026-06-06 07:10:20.08059+02|1.3725490196078434|tp065|5490.222|9.803921568627452|0.65
2026-06-06 07:16:04.433336+02|||||
2026-06-06 07:50:30.520647+02|1.6000000000000003|tp065|6497.958800000002|10.0|0.66
2026-06-06 07:56:06.091724+02|||||
2026-06-06 08:10:30.595403+02|-1.7307692307692306|stop|1388.0149000000001|9.615384615384615|0.34
2026-06-06 08:16:04.309317+02|||||
2026-06-06 10:16:04.500744+02|-1.9607843137254903|stop|1244.2462000000003|9.803921568627452|0.31
2026-06-06 10:21:03.1209+02|||||
2026-06-06 14:41:05.49694+02|0.7999999999999996|time60|5820.771899999999|10.0|0.58
2026-06-06 14:46:02.551694+02|||||
2026-06-06 15:01:04.931998+02|1.4423076923076925|tp065|8096.178000000003|9.615384615384615|0.67
2026-06-06 15:06:03.088958+02|||||
2026-06-07 17:51:05.071532+02|0.9538566037735848|time60|3809.2185|9.450566037735848|0.63
2026-06-07 17:56:01.698391+02|||||
2026-06-08 03:16:05.346565+02|0.6999999999999995|time60|3195.3451|10.0|0.57
2026-06-08 03:21:02.193949+02|||||
2026-06-08 03:31:05.335637+02|1.7592592592592589|time60|4667.313699999999|9.25925925925926|0.73
2026-06-08 03:36:02.427178+02|||||
2026-06-08 14:05:35.225231+02|-1.0576923076923082|stop|4630.6728|9.615384615384615|0.41
2026-06-08 14:11:02.469467+02|||||
2026-06-08 14:20:30.846047+02|-1.0576923076923082|stop|3063.3667|9.615384615384615|0.41
2026-06-08 14:26:02.666198+02|||||
2026-06-08 16:50:35.232108+02|-1.1764705882352942|stop|4536.5005|9.803921568627452|0.39
2026-06-08 16:56:01.73928+02|||||
2026-06-08 18:06:05.288456+02|1.3|time60|8913.947800000002|10.0|0.63
2026-06-08 18:11:02.872035+02|||||
2026-06-09 08:51:05.307599+02|1.3265306122448979|time60|2303.5456|10.204081632653061|0.62
2026-06-09 08:56:05.759186+02|||||
2026-06-09 16:05:15.154237+02|-1.2962962962962965|stop|3737.6100000000006|9.25925925925926|0.4
2026-06-09 16:11:03.947239+02|||||
2026-06-09 16:21:05.610628+02|3.068181818181819|time60|7028.253500000001|11.363636363636363|0.7100000000000001
2026-06-09 16:25:45.467622+02|-1.388888888888889|stop|4318.3553|9.25925925925926|0.39
2026-06-09 16:26:03.927722+02|||||
2026-06-09 16:31:03.782814+02|||||
2026-06-09 16:46:06.6121+02|0.20000000000000018|time60|5036.7585|10.0|0.52
2026-06-09 16:51:01.342792+02|-0.943396226415094|stop|4076.096099999999|9.433962264150942|0.43000000000000005
2026-06-09 16:51:04.943285+02|||||
2026-06-09 16:56:03.324545+02|||||
2026-06-09 17:01:05.425735+02|2.1999999999999997|time60|9539.270700000001|10.0|0.72
2026-06-09 17:06:03.887179+02|||||
2026-06-09 18:50:36.748217+02|-1.1764705882352942|stop|2203.7042|9.803921568627452|0.39
2026-06-09 18:56:03.916209+02|||||
2026-06-10 17:06:05.705315+02|3.148148148148148|time60|11805.5354|9.25925925925926|0.88
2026-06-10 19:45:45.682897+02|-1.8867924528301885|stop|2824.4747|9.433962264150942|0.33
2026-06-10 19:51:02.284691+02|||||
2026-06-10 20:51:05.435234+02|2.5925925925925917|time60|9415.6537|9.25925925925926|0.82
2026-06-10 20:56:03.877718+02|||||
2026-06-11 02:21:05.789619+02|0.0980392156862746|time60|2873.8601|9.803921568627452|0.52
2026-06-11 02:26:05.351216+02|||||
2026-06-11 19:41:05.74597+02|1.7502699999999995|time60|3907.0025999999993|10.0|0.69
2026-06-11 19:46:03.580579+02|||||
2026-06-12 07:01:05.887806+02|-1.118065789473684|time60|1083.2602000000002|13.157894736842104|0.31
2026-06-12 07:06:01.199247+02|||||
2026-06-12 19:16:05.678796+02|-0.552615384615385|time60|5210.077800000001|9.615384615384615|0.48
2026-06-12 19:21:06.011488+02|||||
2026-06-15 00:36:05.344683+02|1.9188148148148145|time60|2865.469899999999|9.25925925925926|0.76
2026-06-15 00:41:01.618239+02|||||
2026-06-15 15:36:05.816636+02|-1.4518518518518522|time60|3556.2893|9.25925925925926|0.4
2026-06-15 15:41:03.181015+02|||||
2026-06-17 14:01:05.334134+02|0.363938490566037|time60|4478.3488|9.528301886792452|0.58
2026-06-17 14:06:03.632648+02|||||
2026-06-17 18:01:05.483756+02|1.1806979166666673|time60|4515.285|10.416666666666668|0.61
2026-06-17 18:06:04.403855+02|||||
2026-06-17 18:11:05.536511+02|1.9558699999999996|time60|9147.272500000003|10.0|0.71
2026-06-17 18:16:04.821075+02|||||
2026-06-17 18:26:05.36181+02|-0.08691903999999889|time60|7990.337199999999|9.77673076923077|0.52
2026-06-17 18:31:03.826634+02|||||
2026-06-17 18:31:05.34277+02|-3.728302083333333|time60|919.7728000000001|10.416666666666668|0.13
2026-06-17 18:36:05.646638+02|||||
2026-06-17 20:26:05.684352+02|-0.16449999999999998|time60|6834.3896|9.433962264150942|0.53
2026-06-17 20:31:03.840908+02|||||
2026-06-17 21:41:05.787285+02|0.6536666666666681|time60|7279.3470000000025|10.416666666666668|0.56
2026-06-17 21:46:10.28603+02|||||
2026-06-18 22:21:05.976668+02|0.03530870000000019|time60|4032.3469|10.0|0.521
2026-06-18 22:26:04.183912+02|||||
2026-06-19 11:11:05.959904+02|3.620829999999999|time60|11096.430500000002|10.0|0.8699999999999999
2026-06-19 11:16:14.644026+02|||||
2026-06-19 13:11:05.613226+02|0.22612000000000035|time60|3353.163|10.0|0.54
2026-06-19 13:16:06.506412+02|||||
2026-06-19 14:51:05.11618+02|3.6671481481481485|time60|12648.835300000002|9.25925925925926|0.9400000000000001
2026-06-19 14:56:02.181004+02|||||
2026-06-20 17:01:05.830278+02|-2.358333333333334|time60|1268.7765|9.25925925925926|0.3
2026-06-22 02:31:05.881784+02|-0.6484326923076922|time60|1898.9823999999999|9.615384615384615|0.47000000000000003
2026-06-22 09:06:06.691384+02|1.13683|time60|2968.2575|10.0|0.63
2026-06-22 14:01:09.900674+02|-2.107578431372549|time60|2948.8408000000004|9.803921568627452|0.31
2026-06-22 15:51:05.555857+02|1.8541702127659576|time60|11544.145500000002|10.638297872340425|0.66
2026-06-22 16:11:05.515361+02|-0.07653061224489788|time60|7496.0934|10.204081632653061|0.5
2026-06-23 09:36:05.853628+02|2.36875|time60|6595.5116|10.0|0.75
2026-06-23 10:41:05.566034+02|1.7858137254901956|time60|9109.891100000003|9.901960784313726|0.7
2026-06-23 16:26:05.464792+02|4.200772727272725|time60|14413.268600000003|11.363636363636363|0.8199999999999998
2026-06-23 17:01:06.141872+02|1.7502699999999995|time60|10584.0508|10.0|0.69
2026-06-23 18:06:05.100439+02|3.2892596153846148|time60|14222.6595|9.615384615384615|0.87
2026-06-24 07:41:05.315975+02|1.5173333333333339|time60|3827.473300000001|9.803921568627452|0.68
2026-06-24 17:21:05.469884+02|-0.020607162922746253|time60|7921.900299999999|9.433962264150942|0.5451728000000001
2026-06-24 19:26:05.722586+02|-2.3932549019607845|time60|4139.1738|9.803921568627452|0.28
2026-06-24 19:51:05.580855+02|-0.161|time60|6772.3115|9.25925925925926|0.54
2026-06-24 22:56:05.52566+02|1.3453703703703697|time60|6837.1154000000015|9.25925925925926|0.7
