asset,tf,strategy,n_windows,sum_pnl,sum_trades,mean_sharpe_ann,min_sharpe_ann,n_positive_pnl_windows,mean_win_rate,mean_avg_pnl,mean_auc,sum_funding,sum_fees,all_windows_pos_pnl,quality_pass
BTC,1h,F3_rf_band_pos_z1.0_fade,4,-199.06057553604714,396,-1.1939293538779086,-2.6973143926930594,1,0.4696969696969697,-0.5026782210506241,,-0.01285401944440323,0.9000000000000004,False,False
BTC,1h,F3_rf_band_pos_z1.5_fade,4,-220.30188669231717,259,-1.4775327583901265,-3.756271401790099,1,0.47872778263403265,-0.8535365837335298,,0.2378603116285573,0.9000000000000001,False,False
BTC,15m,F1_prob_sized,4,-222.5210039129551,2342,-13.322494105066614,-17.539682021816486,0,0.459263625753197,-0.09278746567826698,0.5304977162120832,0.0006525405774761466,0.26913663637928087,False,False
ETH,1h,F2_ensemble,4,-226.04399179599432,3185,-2.6728863736517066,-3.4257599133651246,0,0.6014092604249588,-0.07087528578430854,0.5425647974008176,-0.005903638033822164,0.2297906120232119,False,False
ETH,4h,F3_rf_dist_bps_z1.5_fade,4,-248.96255017198493,48,-1.3848447193738207,-2.248186286666606,0,0.5077335858585859,-4.90899201664012,,0.3313819396000345,0.9,False,False
ETH,15m,F3_rf_band_pos_z1.5_momentum,4,-332.82119632673397,1110,-1.5883204058425986,-2.6907310367772332,0,0.45725165504547666,-0.30433224629522865,,-0.05152124951093039,0.9000000000000001,False,False
ETH,15m,F3_rf_band_pos_z1.5_fade,4,-333.17880367326603,1110,-1.5452614559197504,-2.058814380705063,0,0.45802992734328296,-0.29566775370477133,,0.05152124951093039,0.9000000000000001,False,False
BTC,15m,F3_rf_band_pos_z1.0_fade,4,-381.8026132108164,1597,-1.6771449057799694,-4.168343447805427,1,0.4620727444351096,-0.24014231721776264,,-0.0054072667063655416,0.9000000000000002,False,False
ETH,1h,F3_rsi_14_z1.0_fade,4,-432.05323109714453,357,-1.6906160212647303,-3.2395358398278207,0,0.4762172284644195,-1.2056193687224126,,-0.0641656308155631,0.9000000000000004,False,False
BTC,15m,F2_ensemble,4,-435.55451697638284,8972,-12.563300264308904,-13.47773035623326,0,0.4786228283387531,-0.04795644255287183,0.5350742378025118,-0.0006139880635207401,0.15228990131733294,False,False
ETH,15m,F2_ensemble,4,-439.9153321960388,8532,-7.7996115171742435,-8.570237837484541,0,0.5808059909036895,-0.051704453685665085,0.5427601858098878,-0.0012673512941915363,0.14785688799245736,False,False
BTC,15m,F3_rf_band_pos_z1.5_momentum,4,-507.8350684227866,1113,-3.4696988150584165,-4.789140197749721,0,0.44043728651260167,-0.4561115845468745,,-0.04048107884902868,0.9000000000000001,False,False
BTC,15m,F3_rf_band_pos_z1.0_momentum,4,-576.3973867891835,1597,-2.837180740185912,-5.465869670133524,1,0.4315540394019926,-0.35985768278223734,,0.0054072667063655416,0.9000000000000002,False,False
ETH,15m,F3_rf_band_pos_z1.0_fade,4,-797.6750008732355,1596,-2.4673918952869216,-3.9165114690093707,0,0.4710909215921592,-0.4999175635396563,,-0.010028943993587976,0.9000000000000002,False,False
