strategy_id,asset,tf,variant,n_trades,win_rate,total_pnl_usd,avg_pnl_usd,sharpe_ann,calmar,max_dd_usd,profit_factor,avg_bars_held,is_n_trades,is_sharpe_ann,is_total_pnl_usd,is_win_rate,oos_n_trades,oos_sharpe_ann,oos_total_pnl_usd,oos_win_rate,oos_calmar,oos_profit_factor,oos_max_dd_usd,buy_hold_pnl_usd,perm_p_value,gate_perm_pass,gate_pf_pass,gate_calmar_pass,gate_n_pass,gate_oos_sharpe_pass,gate_beats_bh,gates_passed_n,strategy_family
C1_ADA_4h_lb50_off0.5_trail3.0,ADA,4h,lb50_off0.5_trail3.0,241,0.5435684647302904,4273.29246852979,17.73150401879581,3.0382270243386738,14.206241195666935,-300.80387976470456,2.2966411057850857,15.224066390041491,171,3.4515347930314704,3704.503881006925,0.5789473684210527,70,1.7429219059799212,568.788587522865,0.4571428571428571,2.859821888112125,1.512211923935796,-198.8895147237101,-27.03416696019728,,False,True,True,True,True,True,5,C1_atr_breakout
C1_ADA_4h_lb50_off1.0_trail2.0,ADA,4h,lb50_off1.0_trail2.0,131,0.4427480916030534,622.5424111909902,4.752232146496108,3.288930386263321,1.373147065092144,-453.3690724155719,1.524748693349834,4.343511450381679,96,5.7369892868318,816.9508624249736,0.4895833333333333,35,-4.693619973611017,-194.40845123398347,0.3142857142857143,-0.9108792577185448,0.5734904360224155,-213.42944148372985,-27.03416696019728,,False,False,False,False,False,True,1,C1_atr_breakout
C1_ADA_4h_lb50_off1.0_trail3.0,ADA,4h,lb50_off1.0_trail3.0,139,0.539568345323741,2284.5232587670853,16.435419127820758,2.8186809762699068,5.821887443218189,-392.402512251982,2.11758566706556,14.381294964028775,99,3.698695843338216,2368.169911931295,0.6060606060606061,40,-0.5250909658544526,-83.6466531642095,0.375,-0.2131654374080449,0.9056312699932793,-392.4025122519822,-27.03416696019728,,False,False,False,False,False,True,1,C1_atr_breakout
C2_ADA_4h_bb20_sq0.1_trail2.0,ADA,4h,bb20_sq0.1_trail2.0,290,0.4758620689655172,904.43519860979,3.1187420641716894,2.2073169553679586,3.6071812656853295,-250.7318407349169,1.3935989184938091,6.120689655172414,199,2.270424898162305,649.1432788901318,0.4673366834170854,91,2.084074468170573,255.29191971965824,0.4945054945054945,1.5590536252646483,1.3892273263248391,-163.74800429095092,-27.03416696019728,,False,False,True,True,True,True,4,C2_bb_squeeze
C2_ADA_4h_bb20_sq0.2_trail2.0,ADA,4h,bb20_sq0.2_trail2.0,392,0.4897959183673469,1478.7143234832724,3.772230417049165,2.7252139244759803,7.141279421127585,-207.06574218458297,1.508524959393145,6.336734693877551,271,2.8069109083603525,1054.0471238048467,0.4870848708487085,121,2.547806869487599,424.6671996784255,0.4958677685950413,2.474163247457287,1.481979144291844,-171.64073555569084,-27.03416696019728,,False,False,True,True,True,True,4,C2_bb_squeeze
C3_ADA_4h_lb20_off0.5_volx2_trail2.5,ADA,4h,lb20_off0.5_volx2_trail2.5,311,0.5369774919614148,3875.6706317466874,12.461963446130826,4.114059150211723,14.965577930775924,-258.97233302140467,2.3119475135504715,9.97427652733119,214,5.114491761200291,3300.295084413603,0.5794392523364486,97,1.9696100834444776,575.3755473330829,0.4432989690721649,2.221764543803709,1.4812953623169736,-258.97233302140444,-27.03416696019728,,False,False,True,True,True,True,4,C3_vol_donchian
C1_DOGE_4h_lb20_off0.25_trail2.0,DOGE,4h,lb20_off0.25_trail2.0,473,0.4164904862579281,-386.6527557996503,-0.8174476866800218,-0.5900884141280832,-0.3607215095737217,-1071.887163747381,0.9180427297359294,5.378435517970401,309,-2.2133974137129018,-907.7846388161252,0.401294498381877,164,2.1474471084865647,518.2923184163802,0.4451219512195122,1.5519572059275455,1.3687091323755118,-333.9604445514441,17039.532293986635,,False,False,True,True,True,False,3,C1_atr_breakout
C1_DOGE_4h_lb20_off0.25_trail3.0,DOGE,4h,lb20_off0.25_trail3.0,389,0.455012853470437,3088.404692268872,7.93934368192512,1.543393575813244,5.342756503718272,-578.0545473332928,1.4878447623234623,14.866323907455012,267,0.8424499706304152,1126.724789093354,0.445692883895131,123,2.8615185386427573,1871.0615948822403,0.4634146341463415,8.097812963662964,2.086118626756248,-231.0576452281857,17039.532293986635,0.004975124378109453,True,True,True,True,True,False,5,C1_atr_breakout
C1_DOGE_4h_lb20_off0.5_trail2.0,DOGE,4h,lb20_off0.5_trail2.0,342,0.4064327485380117,-351.4544256409105,-1.027644519417867,-0.7958686394113382,-0.3929087168581662,-894.4938367650925,0.8971257279328496,5.16374269005848,220,-2.6637091104616597,-714.2029437059957,0.3818181818181818,122,2.1118987942307066,359.9089534649907,0.4508196721311475,1.5857569414739483,1.3357833499325331,-226.9635049684589,17039.532293986635,,False,False,True,True,True,False,3,C1_atr_breakout
C1_DOGE_4h_lb20_off0.5_trail3.0,DOGE,4h,lb20_off0.5_trail3.0,308,0.4512987012987013,2308.1733362268365,7.494069273463754,1.5155810014403808,3.037054680555731,-760.0038784301635,1.466019431326374,13.9512987012987,209,0.8186512853435356,805.5405813922075,0.416267942583732,100,2.6570109346842585,1412.0144465413514,0.51,5.051963691491759,1.9676728003822503,-279.49813830202083,17039.532293986635,,False,True,True,True,True,False,4,C1_atr_breakout
C1_DOGE_4h_lb20_off1.0_trail2.0,DOGE,4h,lb20_off1.0_trail2.0,154,0.3636363636363636,-557.7922820307288,-3.6220278053943424,-3.6549304862682894,-0.8822018766712146,-632.2728354823154,0.6386920067064923,4.376623376623376,101,-4.495545552604616,-463.87074420263787,0.3366336633663366,53,-1.990238772227617,-96.7611024281856,0.4150943396226415,-0.72161102767638,0.7936522939742292,-134.09038764244045,17039.532293986635,,False,False,False,True,False,False,1,C1_atr_breakout
C1_DOGE_4h_lb20_off1.0_trail3.0,DOGE,4h,lb20_off1.0_trail3.0,169,0.4260355029585799,1167.6111969452131,6.908941993758657,1.503082823902752,1.699733070948951,-686.9379768514726,1.4127204424379909,12.497041420118345,116,1.1085528328921692,541.4450410495698,0.396551724137931,54,1.903742605375731,535.547847602366,0.4629629629629629,2.383068011388885,1.610179755263096,-224.7304084662868,17039.532293986635,,False,True,True,True,True,False,4,C1_atr_breakout
C1_DOGE_4h_lb50_off0.25_trail2.0,DOGE,4h,lb50_off0.25_trail2.0,283,0.4063604240282685,-90.89712271641444,-0.3211912463477541,-0.258108868296677,-0.1982507102641774,-458.4958237743017,0.9670059626829004,4.261484098939929,182,-1.4847853603346546,-324.50326081744845,0.3846153846153846,101,1.7596087260017363,233.60613810103396,0.4455445544554455,1.9885386669031635,1.250839008446628,-117.4762864756554,17039.532293986635,,False,False,True,True,True,False,3,C1_atr_breakout
C1_DOGE_4h_lb50_off0.25_trail3.0,DOGE,4h,lb50_off0.25_trail3.0,250,0.46,1913.369328960244,7.653477315840976,1.6585158917139686,3.649315192141916,-524.3091452008063,1.4613655634609344,12.328,170,0.9533072824312548,706.6638020871931,0.4411764705882353,80,2.977462165878054,1206.705526873051,0.5,5.866845931961591,1.992222097545065,-205.68215713644736,17039.532293986635,0.014925373134328358,True,True,True,True,True,False,5,C1_atr_breakout
C1_DOGE_4h_lb50_off0.5_trail2.0,DOGE,4h,lb50_off0.5_trail2.0,223,0.4125560538116592,-212.50441545469687,-0.9529345984515556,-0.8604356425864085,-0.3849034012015284,-552.0980453571867,0.8991778368072638,4.237668161434978,146,-2.925994349353693,-446.874803757628,0.3767123287671233,77,2.531591554186282,234.3703883029312,0.4805194805194805,2.186915967641448,1.3690333034653084,-107.16936168137076,17039.532293986635,,False,False,True,True,True,False,3,C1_atr_breakout
