label,family,asset,z_thresh,hold_h,z_window_d,expected_proxy,atr_exit,n_signals,status,n_trades,win_rate,total_pnl_usd,avg_pnl_usd,sharpe,g1_p,g1_pass,g2_pass,g3_wf_stable,g3_wf_mean_sharpe,g4_perm_p,g4_pass,g5_pos_folds,g5_pass,g6_boot_lo,g6_boot_hi,g6_pass,g7_regime_min_sharpe,g7_pass,all_gates_pass,avg_funding,avg_fees,mkt_corr,mkt_neutral,fund_z_filter
D1|SOL|z1.5|h72h|zwin7d|zero_fund|atr0,D1,SOL,1.5,72,7,zero_fund,0,301,OK,300,0.5466666666666666,814.2525046915047,2.714175015638349,3.6827334762884734,0.11888633674819754,False,True,True,3.410126723917168,0.000999000999000999,True,2,True,0.12088155706942667,0.3441825435818549,True,-0.4282994821145495,False,False,-0.08777989224999722,0.22500000000000006,,,
D1|SOL|z1.5|h72h|zwin7d|zero_fund|atr1,D1,SOL,1.5,72,7,zero_fund,1,301,OK,300,0.45,-48.206803554021334,-0.1606893451800711,-1.0808207673749495,0.09390370091881962,False,False,True,-1.1034874598781144,0.8711288711288712,False,2,True,-0.1811640561515073,0.04309613776316605,False,-2.6102286157584187,False,False,-0.012845825083332858,0.22500000000000006,,,
D1|SOL|z2.0|h72h|zwin7d|zero_fund|atr0,D1,SOL,2.0,72,7,zero_fund,0,134,OK,133,0.5714285714285714,435.5022707794274,3.2744531637550933,4.507800265070063,0.11824011046976109,False,True,True,4.123677617638676,0.000999000999000999,True,2,True,0.11496097879604117,0.454112678984239,True,0.9084082458748372,True,False,-0.12635517969924276,0.22500000000000003,,,
D1|SOL|z2.0|h72h|zwin7d|zero_fund|atr1,D1,SOL,2.0,72,7,zero_fund,1,134,OK,133,0.49624060150375937,13.904349410303675,0.10454398052859906,0.7470080661043215,1.0,False,True,True,0.3663985591155634,0.2817182817182817,False,2,True,-0.12958367172822233,0.20647797408770083,False,-7.854616969464274,False,False,-0.018517395676690848,0.22500000000000003,,,
D1|SOL|z2.5|h72h|zwin7d|zero_fund|atr0,D1,SOL,2.5,72,7,zero_fund,0,60,OK,59,0.559322033898305,239.62146816614097,4.06138081637527,4.969469224155031,0.43499280512215344,False,True,True,4.748853628457326,0.008991008991008992,True,2,True,0.0687184970124291,0.5672386117094919,True,-2.0347502541780527,False,False,-0.13289093050846695,0.225,,,
D1|SOL|z2.5|h72h|zwin7d|zero_fund|atr1,D1,SOL,2.5,72,7,zero_fund,1,60,OK,59,0.576271186440678,25.49275056491814,0.43208051804946,2.4459349900362723,0.2975952082844287,False,True,True,2.3543303036117678,0.12387612387612387,False,3,True,-0.10764789703506425,0.4107986671309075,False,-0.8805945762755703,False,False,-0.026123825423727345,0.225,,,
D1|SOL|z3.0|h72h|zwin7d|zero_fund|atr0,D1,SOL,3.0,72,7,zero_fund,0,31,OK,30,0.4666666666666667,32.78036884371886,1.0926789614572954,1.4508385094672633,0.8555355519056321,False,True,False,-0.275861016511277,0.3166833166833167,False,1,False,-0.31739556915388634,0.4367154801343523,False,-17.59286925988431,False,False,-0.18313937083332152,0.22499999999999995,,,
D1|SOL|z3.0|h72h|zwin7d|zero_fund|atr1,D1,SOL,3.0,72,7,zero_fund,1,31,OK,30,0.5,-2.2934253709889285,-0.07644751236629761,-0.41825059422452954,1.0,False,False,False,1.4127957099076776,0.5614385614385614,False,1,False,-0.4755683262070753,0.3126446196834782,False,-6.427666636596007,False,False,-0.0340020741666645,0.22499999999999995,,,
D1|SOL|z1.0|h168h|zwin7d|zero_fund|atr0,D1,SOL,1.0,168,7,zero_fund,0,654,OK,653,0.5237366003062787,394.9868464280679,0.6048803161226155,0.6880957567633073,0.24037614229868065,False,True,False,1.0526457882685336,0.12287712287712288,False,1,False,-0.03197200336149571,0.1231357004206568,False,-0.3203944478539396,False,False,-0.06845819433384175,0.225,,,
D1|SOL|z1.0|h168h|zwin7d|zero_fund|atr1,D1,SOL,1.0,168,7,zero_fund,1,654,OK,653,0.41347626339969373,-159.8684766300104,-0.24482155686065912,-1.8403760317420117,1.1169746808307074e-05,True,False,False,-1.9902110476959296,0.998001998001998,False,0,False,-0.19405780877935777,-0.03787185575393907,False,-3.70253730520728,False,False,-0.007873638935681222,0.225,,,
D1|SOL|z1.5|h168h|zwin7d|zero_fund|atr0,D1,SOL,1.5,168,7,zero_fund,0,301,OK,300,0.5533333333333333,482.0356254874589,1.6067854182915298,1.9236887371835052,0.07331195259884651,False,True,True,2.8464693202671363,0.025974025974025976,True,2,True,0.0043061081913653605,0.23603014275132692,True,0.042356982111731147,True,False,-0.1250398219999956,0.22500000000000006,,,
