strategy,asset,tf,window,auc,n_signals,n_trades,n_wins,win_rate,total_pnl_usd,avg_pnl_usd,sharpe,max_dd_usd,avg_funding_paid,avg_fees_paid,avg_bars_held,n_end_of_data,sharpe_ann,feature,z_thr,sign
F3_cvd_60s_z1.0_fade,BTC,4h,1,,20,20,11,0.55,59.91236483479809,2.9956182417399044,2.6641389083559828,-53.051170963809625,0.09254757625026183,0.22499999999999995,40.55,0,1.233341153285686,cvd_60s,1.0,fade
F3_cvd_60s_z1.5_momentum,BTC,4h,1,,17,17,10,0.5882352941176471,43.2479004716086,2.543994145388741,2.161918510134006,-24.338556064057983,0.321188386764462,0.225,42.0,0,0.9834141700394696,cvd_60s,1.5,momentum
F3_cvd_60s_z1.5_fade,BTC,4h,1,,17,17,6,0.35294117647058826,-53.447900471608605,-3.1439941453887417,-2.671806124628571,-114.2946841569204,-0.321188386764462,0.225,42.0,0,-1.2153520080620954,cvd_60s,1.5,fade
F1_prob_sized,BTC,4h,2,0.5384734036967024,60,60,37,0.6166666666666667,4.519366342106936,0.07532277236844893,0.2783610740335088,-37.35976117761229,-0.12505039548850433,0.12864749999999997,12.4,0,0.23303408484299537,,,
F2_ensemble,BTC,4h,2,0.5325430581810544,83,83,46,0.5542168674698795,30.3472090558628,0.3656290247694313,1.4131533508392051,-26.914341477785072,-0.12113737368809853,0.10635451807228913,11.74698795180723,0,1.215480002317416,,,
F3_cvd_60s_z1.0_momentum,BTC,4h,2,,21,21,12,0.5714285714285714,32.4461433586626,1.5450544456506001,2.8684277058266776,-15.853992916676106,0.20994662976200829,0.22499999999999995,41.61904761904762,0,1.3107492766963407,cvd_60s,1.0,momentum
F3_cvd_60s_z1.0_fade,BTC,4h,2,,21,21,9,0.42857142857142855,-45.04614335866259,-2.1450544456505996,-3.982340958748514,-53.747111036365126,-0.20994662976200829,0.22499999999999995,41.61904761904762,0,-1.8197601845201365,cvd_60s,1.0,fade
F3_cvd_60s_z1.5_momentum,BTC,4h,2,,17,17,8,0.47058823529411764,-59.66026947416461,-3.5094276161273297,-5.734877485185071,-81.42560196752488,0.12614048970601277,0.225,39.94117647058823,0,-2.675072181168939,cvd_60s,1.5,momentum
F3_cvd_60s_z1.5_fade,BTC,4h,2,,17,17,9,0.5294117647058824,49.46026947416459,2.9094276161273287,4.7543966582552,-16.495860752615155,-0.12614048970601277,0.225,39.94117647058823,0,2.217720303807086,cvd_60s,1.5,fade
F1_prob_sized,BTC,4h,3,0.49354535695115404,116,116,60,0.5172413793103449,-31.197838973738072,-0.26894688770463854,-1.5106143296905996,-50.13626569364727,0.0006180686047410716,0.1059788793103448,4.25,0,-2.160135141235253,,,
F1_prob_sized_shuffle,BTC,4h,3,0.49716519055287167,137,136,62,0.45588235294117646,-17.79409963031067,-0.13083896786993138,-0.8091387148086405,-52.04366564288047,0.00020499564080694193,0.1009935661764706,3.5073529411764706,0,-1.2736644672876425,,,
F2_ensemble,BTC,4h,3,0.5009561191626409,165,165,89,0.5393939393939394,-25.232103194601308,-0.15292183754303823,-1.1673856984021918,-40.06764174686723,0.003158450019553657,0.07243090909090909,5.181818181818182,0,-1.5118025385503953,,,
F3_cvd_60s_z1.0_momentum,BTC,4h,3,,21,21,12,0.5714285714285714,38.853873188533456,1.8501844375492122,2.0654902467987815,-60.340930523087735,-0.03110581904767577,0.22499999999999995,41.476190476190474,0,0.9454651068298874,cvd_60s,1.0,momentum
F3_cvd_60s_z1.0_fade,BTC,4h,3,,21,21,8,0.38095238095238093,-51.45387318853344,-2.4501844375492117,-2.7353121969395247,-51.210886799267264,0.03110581904767577,0.22499999999999995,41.476190476190474,0,-1.2520718713151404,cvd_60s,1.0,fade
F3_cvd_60s_z1.5_momentum,BTC,4h,3,,16,16,6,0.375,46.94197868890888,2.933873668056805,2.737534507003393,-45.44632633432312,-0.015490434375067107,0.225,41.0,0,1.2603450524938924,cvd_60s,1.5,momentum
F3_cvd_60s_z1.5_fade,BTC,4h,3,,16,16,9,0.5625,-56.54197868890886,-3.533873668056804,-3.297381620423898,-51.88203173115646,0.015490434375067107,0.225,41.0,0,-1.5180954252279688,cvd_60s,1.5,fade
F1_prob_sized,ETH,15m,0,0.5450435664903421,393,393,218,0.55470737913486,-21.035152005342162,-0.053524559810030944,-1.158090608338421,-26.57846661951298,-0.00016020972779898015,0.06043225190839695,5.966921119592875,0,-5.590480921283258,,,
F2_ensemble,ETH,15m,0,0.5491039362378156,2076,2076,1222,0.5886319845857418,-100.89744763568609,-0.04860185338905881,-1.8473328547792565,-100.3546262897179,-0.00022384994389454548,0.03535068641618497,6.690269749518304,0,-8.42180377335676,,,
F3_rf_band_pos_z1.0_momentum,ETH,15m,0,,401,400,178,0.445,-109.593451797612,-0.27398362949403,-0.7750071367242839,-114.24608791831695,-0.002658704312499417,0.22500000000000006,40.0,0,-1.4449655214879995,rf_band_pos,1.0,momentum
F3_rf_band_pos_z1.0_fade,ETH,15m,0,,401,400,199,0.4975,-130.40654820238802,-0.32601637050597004,-0.9221901844926855,-173.3285209163553,0.002658704312499417,0.22500000000000006,40.0,0,-1.7193816130246153,rf_band_pos,1.0,fade
