sleeve_id,cohort,gate_stack,depth,n_train,n_val,n_lockbox,n_full,wr_train,wr_val,wr_lockbox,wr_full,dpt_25,dpt_train,dpt_val,dpt_full,sum_25_28d,sum_lockbox,max_dd_25,max_dd_full,loss_streak,loss_streak_full,sharpe,sharpe_full,n_days_lock,n_days_full,fires_per_day,fires_per_day_lock,days_lock,days_full,bootstrap_p_lockbox,bootstrap_p_full
MGF22_WITHINDEV_TREND_VWAP,22D,g_within_dev&g_trend_slope_with&g_above_1h_dailyvwap_with,3,140,27,71,238,50.71428571428571,66.66666666666666,54.929577464788736,53.78151260504202,0.7585863440522533,2.4374430384932078,8.426577792170544,2.6160472949805196,622.6192562053636,53.85963042770999,210.21516119575003,276.3076499550161,4,7,1.3161750625510542,3.850046786535835,4,21,11.333333333333334,17.75,4.0,21.0,0.44,0.125
MGF22_QUEUE_TOP_HIGH_TREND,22D,g_queue_top_high&g_trend_slope_with&g_above_1h_dailyvwap_with,3,66,11,36,113,43.93939393939394,72.72727272727273,61.111111111111114,52.21238938053098,2.253099330883242,-4.006280962691447,16.093727302823158,-0.0555041353520716,-6.2719672947840905,81.1115759117967,170.33333242270677,339.6924752401825,5,7,2.076292714710794,-0.06446669956489724,4,17,5.380952380952381,9.0,4.0,21.0,0.376,0.5
MGF22_IMB5_STRONG_TREND_VWAP,22D,g_imb5_strong_with&g_trend_slope_with&g_above_1h_dailyvwap_with,3,33,11,22,66,33.33333333333333,72.72727272727273,54.54545454545454,46.96969696969697,-0.30430819994988345,-10.561262012350873,6.296458197026093,-4.332657373321049,-285.9553866391892,-6.694780398897436,106.36396968085828,404.8332978653276,4,5,-0.3880923962189335,-4.793864597291776,4,17,3.142857142857143,5.5,4.0,21.0,0.5,0.5
MGF22_VWAP_50_85_TREND_RIB,22D,g_vwap_ge_50_le_85&g_trend_slope_with&g_ribbon_agrees,3,0,0,0,0,,,,,,,,,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,4.0,21.0,,
GR_FULL_k3_n20,33D,g_above_1h_dailyvwap_with&g_offset_early&g_rf_aged,3,197,50,38,285,57.868020304568525,64.0,57.89473684210527,58.94736842105262,2.1295524328145476,3.955936561963842,8.579973670501051,4.523653258522393,1289.241178678882,80.9229924469528,88.13220938667234,189.64914531949933,3,4,8.214024959858012,9.36518521392602,4,32,8.90625,9.5,4.0,32.0,0.143,0.001
GR_FULL_k3_n40,33D,g_above_1h_dailyvwap_with&g_offset_early&g_rf_aged,3,197,50,38,285,57.868020304568525,64.0,57.89473684210527,58.94736842105262,2.1295524328145476,3.955936561963842,8.579973670501051,4.523653258522393,1289.241178678882,80.9229924469528,88.13220938667234,189.64914531949933,3,4,8.214024959858012,9.36518521392602,4,32,8.90625,9.5,4.0,32.0,0.143,0.001
GR_FULL_k3_n80,33D,g_above_1h_dailyvwap_with&g_offset_early&g_rf_aged,3,197,50,38,285,57.868020304568525,64.0,57.89473684210527,58.94736842105262,2.1295524328145476,3.955936561963842,8.579973670501051,4.523653258522393,1289.241178678882,80.9229924469528,88.13220938667234,189.64914531949933,3,4,8.214024959858012,9.36518521392602,4,32,8.90625,9.5,4.0,32.0,0.143,0.001
GR_FULL_k4_n20,33D,g_above_1h_dailyvwap_with&g_offset_early&g_rf_aged&g_ribbon_slope_with,4,95,24,21,140,64.21052631578948,50.0,76.19047619047619,63.57142857142857,6.400659909806796,4.934775671365609,-2.4298651306174484,3.892148455363263,544.9007837508568,134.41385810594272,25.0,189.8690193607751,1,3,24.94917408599148,5.9049787800045666,4,30,4.375,5.25,4.0,32.0,0.0001,0.018
GR_FULL_k4_n40,33D,g_above_1h_dailyvwap_with&g_offset_early&g_rf_aged&g_ribbon_slope_with,4,95,24,21,140,64.21052631578948,50.0,76.19047619047619,63.57142857142857,6.400659909806796,4.934775671365609,-2.4298651306174484,3.892148455363263,544.9007837508568,134.41385810594272,25.0,189.8690193607751,1,3,24.94917408599148,5.9049787800045666,4,30,4.375,5.25,4.0,32.0,0.0001,0.018
GR_FULL_k4_n80,33D,g_above_1h_dailyvwap_with&g_offset_early&g_rf_aged&g_ribbon_slope_with,4,95,24,21,140,64.21052631578948,50.0,76.19047619047619,63.57142857142857,6.400659909806796,4.934775671365609,-2.4298651306174484,3.892148455363263,544.9007837508568,134.41385810594272,25.0,189.8690193607751,1,3,24.94917408599148,5.9049787800045666,4,30,4.375,5.25,4.0,32.0,0.0001,0.018
