variant,version,fire_offset_s,slug,asset,tf,ws,day,signal,outcome,ret_2m,exit_reason,vwap_e,shares_e,usd_e,fee_in,pnl,fired,slot_start_s,window_s,ws_s,ws_us,fire_us,won,rsi_14,f7_pass,regime_w20_1m_voladaptive,markov_pass_w20_1m_voladaptive,regime_w20_1m_fixed,markov_pass_w20_1m_fixed,regime_w20_5m_voladaptive,markov_pass_w20_5m_voladaptive,regime_w20_5m_fixed,markov_pass_w20_5m_fixed
SELL_5bp,v1,-180,btc-updown-5m-1777536300,BTC,5m,1777536300,2026-04-30,DOWN,Down,-0.0010962962250954,sell_5bp,0.5199999809265137,48.07692484037417,25.0,0.8400000333786011,22.236924806995567,True,1777536300,300,1777536000,1777536000000000,1777536120000000,True,61.512610130493066,False,-1,False,1,False,-1,False,2,False
SELL_5bp,v1,-180,btc-updown-5m-1777540500,BTC,5m,1777540500,2026-04-30,DOWN,Down,-0.0009210489511135,sell_5bp,0.5,50.0,25.0,0.8750000000000001,24.125,True,1777540500,300,1777540200,1777540200000000,1777540320000000,True,50.84882437823616,False,-1,False,1,False,-1,False,1,False
SELL_5bp,v1,-180,btc-updown-5m-1777541700,BTC,5m,1777541700,2026-04-30,UP,Up,0.0007987176875116,sell_5bp,0.4699999988079071,53.19148949661531,25.0,0.9275000020861626,27.26398949452915,True,1777541700,300,1777541400,1777541400000000,1777541520000000,True,65.62475060519806,True,-1,False,2,True,-1,False,1,False
SELL_5bp,v1,-180,btc-updown-5m-1777553700,BTC,5m,1777553700,2026-04-30,UP,Down,0.0011222263191066,sell_5bp,0.5,50.0,25.0,0.8750000000000001,-25.875,True,1777553700,300,1777553400,1777553400000000,1777553520000000,False,42.47752247752298,False,1,False,1,False,2,True,1,False
SELL_5bp,v1,-180,btc-updown-5m-1777557600,BTC,5m,1777557600,2026-04-30,UP,Up,0.0011916887501937,sell_5bp,0.5,50.0,25.0,0.8750000000000001,24.125,True,1777557600,300,1777557300,1777557300000000,1777557420000000,True,40.813799203892614,False,2,True,1,False,2,True,1,False
SELL_5bp,v1,-180,btc-updown-5m-1777558500,BTC,5m,1777558500,2026-04-30,DOWN,Down,-0.0024494519310137,sell_5bp,0.5,50.0,25.0,0.8750000000000001,24.125,True,1777558500,300,1777558200,1777558200000000,1777558320000000,True,45.03845432376725,True,0,True,1,False,2,False,1,False
SELL_5bp,v1,-180,btc-updown-5m-1777559400,BTC,5m,1777559400,2026-04-30,DOWN,Down,-0.0017992274593726,sell_5bp,0.5,50.0,25.0,0.8750000000000001,24.125,True,1777559400,300,1777559100,1777559100000000,1777559220000000,True,41.152171923816525,True,0,True,0,True,1,False,1,False
SELL_5bp,v1,-180,btc-updown-5m-1777559700,BTC,5m,1777559700,2026-04-30,UP,Down,0.0021007541170959,sell_5bp,0.5099999904632568,49.01960875977925,25.0,0.8575000166893006,-25.8575000166893,True,1777559700,300,1777559400,1777559400000000,1777559520000000,False,51.860363318012105,True,2,True,1,False,1,False,1,False
SELL_5bp,v1,-180,btc-updown-5m-1777560600,BTC,5m,1777560600,2026-04-30,UP,Down,0.0007679145906464,sell_5bp,0.5099999904632568,49.01960875977925,25.0,0.8575000166893006,-25.8575000166893,True,1777560600,300,1777560300,1777560300000000,1777560420000000,False,51.58836326293425,True,2,True,2,True,1,False,1,False
SELL_5bp,v1,-180,btc-updown-5m-1777561500,BTC,5m,1777561500,2026-04-30,UP,Up,0.0009798446237002,sell_5bp,0.5099999904632568,49.01960875977925,25.0,0.8575000166893006,23.162108743089952,True,1777561500,300,1777561200,1777561200000000,1777561320000000,True,44.4059368643125,False,1,False,1,False,1,False,1,False
