band,off_lo,off_hi,stack,n_t,wr_t,dpt_t,sum_t,dd_t,ls_t,shp_t,n_v,wr_v,dpt_v,sum_v,dd_v,ls_v,shp_v,n_l,wr_l,dpt_l,sum_l,dd_l,ls_l,shp_l,np_d_l,score
pre_60,0,60,g_R1_full+g_cci_strong_with+g_mp_no_extreme_50+g_regime_trending_dn,25,0.92,8.784278554721734,219.60696386804335,25.0,1,19.02037096866583,28,0.7857142857142857,1.5609759531078673,43.707326687020284,40.795921569013686,1,8.8117559483693,16,0.75,2.7802944555027076,44.48471128804332,72.14414278643149,2,10.062884357984068,1.7777777777777777,5.8412704086105744
mid,90,180,g_rf_strict_align+g_ribbon_agrees+g_ribbon_slope_with+g_tr_full_stack_with,64,0.84375,4.021426879544573,257.3713202908527,73.71052599217423,2,8.906585976445395,24,0.8333333333333334,-0.751468339132941,-18.035240139190584,82.03058589799878,1,-1.6837160333232968,33,0.8787878787878788,4.3184958939333855,142.5103644998017,25.0,1,14.664994679924481,3.6666666666666665,5.8184958939333855
mid,90,180,g_rf_strict_align+g_ribbon_slope_with+g_tr_above_cloud+g_tr_full_stack_with,65,0.8307692307692308,3.5749433890900417,232.3713202908527,73.71052599217423,2,7.7831735857351605,25,0.84,0.05383121124100114,1.3457802810250286,82.03058589799879,1,0.12007258563685526,33,0.8787878787878788,4.3184958939333855,142.5103644998017,25.0,1,14.664994679924481,3.6666666666666665,5.8184958939333855
mid,90,180,g_rf_full_align+g_rf_strict_align+g_ribbon_slope_with+g_tr_full_stack_with,65,0.8307692307692308,3.5749433890900417,232.3713202908527,73.71052599217423,2,7.7831735857351605,25,0.84,0.05383121124100114,1.3457802810250286,82.03058589799879,1,0.12007258563685526,33,0.8787878787878788,4.3184958939333855,142.5103644998017,25.0,1,14.664994679924481,3.6666666666666665,5.8184958939333855
mid,90,180,g_rf_in_band+g_rf_strict_align+g_ribbon_slope_with+g_tr_full_stack_with,65,0.8307692307692308,3.5749433890900417,232.3713202908527,73.71052599217423,2,7.7831735857351605,25,0.84,0.05383121124100114,1.3457802810250286,82.03058589799879,1,0.12007258563685526,33,0.8787878787878788,4.3184958939333855,142.5103644998017,25.0,1,14.664994679924481,3.6666666666666665,5.8184958939333855
mid,90,180,g_rf_fresh+g_rf_strict_align+g_ribbon_slope_with+g_tr_full_stack_with,65,0.8307692307692308,3.5749433890900417,232.3713202908527,73.71052599217423,2,7.7831735857351605,25,0.84,0.05383121124100114,1.3457802810250286,82.03058589799879,1,0.12007258563685526,33,0.8787878787878788,4.3184958939333855,142.5103644998017,25.0,1,14.664994679924481,3.6666666666666665,5.8184958939333855
mid,90,180,g_rf_strict_align+g_ribbon_slope_with+g_tr_full_stack_with,65,0.8307692307692308,3.5749433890900417,232.3713202908527,73.71052599217423,2,7.7831735857351605,25,0.84,0.05383121124100114,1.3457802810250286,82.03058589799879,1,0.12007258563685526,33,0.8787878787878788,4.3184958939333855,142.5103644998017,25.0,1,14.664994679924481,3.6666666666666665,5.8184958939333855
mid,90,180,g_rf_strict_align+g_rf_strong+g_ribbon_slope_with+g_tr_full_stack_with,65,0.8307692307692308,3.5749433890900417,232.3713202908527,73.71052599217423,2,7.7831735857351605,25,0.84,0.05383121124100114,1.3457802810250286,82.03058589799879,1,0.12007258563685526,33,0.8787878787878788,4.3184958939333855,142.5103644998017,25.0,1,14.664994679924481,3.6666666666666665,5.8184958939333855
mid,90,180,g_rf_strict_align+g_ribbon_slope_with+g_tr_above_ema800+g_tr_partial_stack_with,65,0.8307692307692308,3.5749433890900417,232.3713202908527,73.71052599217423,2,7.7831735857351605,25,0.84,0.05383121124100114,1.3457802810250286,82.03058589799879,1,0.12007258563685526,33,0.8787878787878788,4.3184958939333855,142.5103644998017,25.0,1,14.664994679924481,3.6666666666666665,5.8184958939333855
mid,90,180,g_rf_strict_align+g_rf_with+g_ribbon_slope_with+g_tr_full_stack_with,65,0.8307692307692308,3.5749433890900417,232.3713202908527,73.71052599217423,2,7.7831735857351605,25,0.84,0.05383121124100114,1.3457802810250286,82.03058589799879,1,0.12007258563685526,33,0.8787878787878788,4.3184958939333855,142.5103644998017,25.0,1,14.664994679924481,3.6666666666666665,5.8184958939333855
mid,90,180,g_R1_five+g_rf_strict_align+g_ribbon_slope_with+g_tr_full_stack_with,64,0.828125,3.608171277876245,230.9229617840797,73.71052599217423,2,7.738345573091878,25,0.84,0.05383121124100114,1.3457802810250286,82.03058589799879,1,0.12007258563685526,33,0.8787878787878788,4.3184958939333855,142.5103644998017,25.0,1,14.664994679924481,3.6666666666666665,5.8184958939333855
mid,90,180,g_rf_strict_align+g_ribbon_slope_with+g_tr_above_ema50+g_tr_full_stack_with,65,0.8307692307692308,3.5749433890900417,232.3713202908527,73.71052599217423,2,7.7831735857351605,25,0.84,0.05383121124100114,1.3457802810250286,82.03058589799879,1,0.12007258563685526,33,0.8787878787878788,4.3184958939333855,142.5103644998017,25.0,1,14.664994679924481,3.6666666666666665,5.8184958939333855
mid,90,180,g_rf_strict_align+g_ribbon_slope_with+g_tr_above_ema200+g_tr_full_stack_with,65,0.8307692307692308,3.5749433890900417,232.3713202908527,73.71052599217423,2,7.7831735857351605,25,0.84,0.05383121124100114,1.3457802810250286,82.03058589799879,1,0.12007258563685526,33,0.8787878787878788,4.3184958939333855,142.5103644998017,25.0,1,14.664994679924481,3.6666666666666665,5.8184958939333855
mid,90,180,g_rf_strict_align+g_ribbon_slope_with+g_tr_above_ema800+g_tr_full_stack_with,65,0.8307692307692308,3.5749433890900417,232.3713202908527,73.71052599217423,2,7.7831735857351605,25,0.84,0.05383121124100114,1.3457802810250286,82.03058589799879,1,0.12007258563685526,33,0.8787878787878788,4.3184958939333855,142.5103644998017,25.0,1,14.664994679924481,3.6666666666666665,5.8184958939333855
