gate,n,pct,wr,wr_lift_pp,dpt_25,dpt_lift,sum_pnl
g_mfi_with,48673,0.47953694581280787,0.5861155055164053,10.336673704349892,-2.7906113394300096,1.5379911421892034,-135827.42572407686
g_rf_strong,40122,0.3952906403940887,0.5419470614625392,5.919829298963281,-3.0219361071115367,1.3066663745076763,-121246.12048952907
g_stoch_with,48144,0.47432512315270936,0.5688559322033898,8.610716373048339,-3.042778593159811,1.2858238884594022,-146491.53258908592
g_ribbon_slope_with,49310,0.4858128078817734,0.5370310281890083,5.428225971610185,-3.1282581085443057,1.2003443730749073,-154254.4073323197
g_ribbon_slope_very_strong,305,0.0030049261083743843,0.6819672131147541,19.921844464184762,-3.2203732380008434,1.1082292436183696,-982.2138375902573
g_compression_extra_tight,44957,0.44292610837438423,0.49311564383744466,1.036687536453823,-3.3780592582909548,0.9505432233282582,-151867.41007498646
g_compression_tight,73468,0.7238226600985221,0.4897914738389503,0.7042705366043844,-3.771527527130599,0.557074954488614,-277086.58436323085
g_atr_low,24082,0.23726108374384236,0.4904908230213437,0.7742054548437294,-3.8455873694590506,0.48301511216016246,-92609.43503131285
g_hod_eu_morning,22628,0.222935960591133,0.48537210535619585,0.26233368832894177,-3.957491087136762,0.3711113944824511,-89550.10831973064
g_tight_ribbon,92218,0.9085517241379311,0.4862499728903251,0.35012044174186907,-4.021478809339737,0.30712367227947635,-370852.73283969186
g_hod_late,20609,0.20304433497536944,0.48362365956620895,0.08748910933025211,-4.1081778177612955,0.22042466385791748,-84665.43664624254
g_hod_avoid_us,60291,0.594,0.48440065681444994,0.1651888341543506,-4.1374276000451005,0.19117488157411255,-249449.64743431914
g_sms_no_liquidity_above,91139,0.8979211822660098,0.4863889224152119,0.36401539423054907,-4.217705663443209,0.11089681817600372,-384397.4764605507
g_adx_extreme,15436,0.15207881773399015,0.47752008292303705,-0.5228685549869383,-4.22074899588925,0.10785348572996334,-65151.48150054646
g_mp_skew_extreme_with,46902,0.46208866995073894,0.47200545818941625,-1.0743310283490182,-4.226961293826695,0.1016411877925183,-198252.93860305962
g_mp_skew_strong_with,46903,0.4620985221674877,0.4719953947508688,-1.0753373722037607,-4.227404187430647,0.10119829418856607,-198277.93860305962
g_mp_imbalance_with,46904,0.46210837438423646,0.4719853317414293,-1.0763436731477116,-4.227847062149489,0.10075541946972422,-198302.93860305962
g_mp_skew_with,46904,0.46210837438423646,0.4719853317414293,-1.0763436731477116,-4.227847062149489,0.10075541946972422,-198302.93860305962
g_mp_imbalance_strong_with,46897,0.46203940886699507,0.47192784186621745,-1.0820926606688985,-4.232845869318304,0.09575661230090926,-198507.7727334205
g_rf_fresh,90468,0.8913103448275862,0.48313215722686476,0.03833887539583247,-4.232952651248062,0.09564983037115127,-382946.7604531097
g_adx_low,28795,0.28369458128078817,0.4835561729466921,0.08074044737856889,-4.297675602551574,0.030926879067639135,-123751.56897547256
g_within_dev,101500,1.0,0.48274876847290643,0.0,-4.328602481619213,0.0,-439353.1518843501
g_regime_ranging,69856,0.6882364532019705,0.48149049473202016,-0.12582737408862732,-4.344589137449037,-0.01598665582982406,-303495.61878563993
g_tr_within_adr,56771,0.559320197044335,0.48389142343802294,0.11426549651165074,-4.380623041889129,-0.052020560269916416,-248692.35071108778
g_tr_in_active_session,89839,0.8851133004926108,0.4828192655750843,0.007049710217787997,-4.3857479610462935,-0.05714547942708048,-394011.21107243793
g_hod_quiet,17054,0.16801970443349754,0.4840506626011493,0.13018941282428864,-4.411522368262339,-0.08291988664312555,-75234.10246834593
g_hod_active,54994,0.5418128078817734,0.4817616467250973,-0.09871217478091276,-4.440905510392766,-0.11230302877355314,-244223.1576385398
g_hod_us_afternoon,21257,0.20942857142857144,0.4828997506703674,0.01509821974609582,-4.475604527218335,-0.14700204559912233,-95137.92543508015
g_sms_liq_reclaim_with,10358,0.10204926108374385,0.5100405483684108,2.7291779895504407,-4.493606788057466,-0.16500430643825315,-46544.77911069924
g_adx_strong,36110,0.3557635467980296,0.4787316532816394,-0.4017115191267018,-4.5180423915542445,-0.18943990993503146,-163146.51075902377
g_tr_above_pp,50514,0.4976748768472906,0.4865977748742923,0.3849006401385857,-4.593473521403345,-0.26487103978413185,-232034.72146016857
g_regime_trending_up,5354,0.0527487684729064,0.480575270825551,-0.21734976473554157,-4.653555329551484,-0.32495284793227075,-24915.135234418645
g_rf_strict_align,764,0.007527093596059113,0.5327225130890052,4.997374461609877,-4.727207509639128,-0.39860502801991515,-3611.5865373642937
g_hod_us_morning,15689,0.15457142857142858,0.4762572503027599,-0.6491518170146537,-4.81189142790823,-0.48328894628901686,-75493.76461245221
g_rf_in_band,28415,0.27995073891625616,0.4772831251099771,-0.5465643362929318,-4.833206594093264,-0.504604112474051,-137335.5653711601
g_rf_aged,8694,0.0856551724137931,0.4813664596273292,-0.1382308845577218,-5.17649074861469,-0.8478882669954766,-45004.410568456115
g_atr_high,24090,0.23733990147783252,0.4705271897052719,-1.2221578767634522,-5.2612753418766065,-0.9326728602573935,-126744.12298580745
g_regime_trending_dn,5055,0.04980295566502463,0.47556874381800196,-0.7180024654904471,-5.769788679410567,-1.441186197791354,-29166.281774420415
g_compression_loose,527,0.005192118226600985,0.3984819734345351,-8.426679503837132,-12.02394486235141,-7.695342380732197,-6336.618942459193
g_rsi_extreme_against,2251,0.022177339901477834,0.19102621057307864,-29.17225578998278,-16.96161054156519,-12.633008059945976,-38180.585329063244
