n,wr,dpt,sum_pnl,max_dd,max_ls,sharpe,n_per_day,stack,score,stack_size
26528,0.6499924607961399,-1.8615630619659163,-49383.54490783183,49486.55513073795,42,-36.68308772922917,1473.7777777777778,g_tr_above_cloud,-40.36163845400452,R1
22203,0.650497680493627,-1.8868850431575046,-41894.50861322608,42088.897768583614,10,-43.547065692771426,1233.5,g_R1_five,-14.381908238221234,R1
16294,0.6481526942432797,-1.9550675776791708,-31855.87111070441,31969.215427498893,7,-38.74569888192393,905.2222222222222,g_bb_pos_strong_with,-11.473540635246374,R1
26329,0.6546773519693114,-2.1219278823488046,-55868.23921436168,56038.076767010665,42,-41.459448660592024,1462.7222222222222,g_tr_above_ema800,-40.57515436265569,R1
25324,0.6121465803190649,-2.4225450784062366,-61348.53156555953,61948.011043679115,11,-43.88015093325975,1406.888888888889,g_bb_pos_with,-16.30107927521559,R1
26690,0.6082053203446984,-2.456903428107155,-65574.75249617996,66140.68460633264,42,-50.60997867339638,1482.7777777777778,g_tr_above_ema50,-41.37485022466017,R1
25356,0.6121233633065152,-2.4688522735820815,-62600.21824894726,62991.992760382454,11,-43.128162169998184,1408.6666666666667,g_cci_with,-16.347618640516927,R1
16350,0.5760856269113149,-2.5337892323357343,-41427.45394868925,42116.35901104821,10,-36.93795629013186,908.3333333333334,g_rf_full_align,-15.772932963222585,R1
9871,0.6403606524161686,-2.6216772997798317,-25878.57662612672,26051.3184092639,23,-29.757197471535815,548.3888888888889,g_stoch_extreme_with,-28.218070775618145,R1
16111,0.6241077524672584,-2.711644244323915,-43687.30042030259,44720.20387197258,12,-56.43523772048759,895.0555555555555,g_mfi_extreme_with,-17.47056671965133,R1
20750,0.6064578313253012,-2.781403544948311,-57714.12355767745,58746.87750370801,17,-63.757703896970646,1152.7777777777778,g_mfi_strong_with,-22.7168252316953,R1
25545,0.5702094343315718,-2.9254379770614727,-74730.31312403533,75314.96900772549,12,-55.576933004617736,1419.1666666666667,g_rf_with,-18.223343633745756,R1
25366,0.5890956398328471,-2.9471293536656487,-74756.88318508284,75915.89891457352,16,-61.656388768219415,1409.2222222222222,g_mfi_with,-22.05617295533718,R1
15284,0.6046846375294426,-3.0680243902392075,-46891.68478041605,47039.42656355235,33,-42.30019070631921,849.1111111111111,g_stoch_strong_with,-39.02117801494478,R1
20902,0.5443976652951871,-3.165925739618643,-66174.17980950887,66964.7690365246,11,-42.53267769658345,1161.2222222222222,g_rf_strong,-17.721949086666772,R1
25646,0.5375887077906886,-3.456539059376425,-88646.40071676779,88965.86003191993,12,-50.94917151145803,1424.7777777777778,g_ribbon_slope_with,-19.08065198146954,R1
1521,0.6160420775805391,-3.491109447652193,-5309.977469878985,5714.094263746838,9,-15.823126101470049,84.5,g_ribbon_slope_strong,-15.330688671846803,R1
25520,0.4950235109717868,-3.532436608175916,-90147.78224064938,90210.68320021132,4,-42.96807136802716,1417.7777777777778,g_compression_extra_tight,-13.532436608175916,R1
1473,0.4820095044127631,-3.5628557612150393,-5248.086536269753,6012.539487079547,6,-20.16335525723255,81.83333333333333,g_regime_trending_dn,-13.56285576121504,R1
25175,0.5626613704071499,-3.6614674122391055,-92177.44210311948,92362.06733828562,31,-58.31137024001125,1398.611111111111,g_stoch_with,-38.0348537081676,R1
11798,0.4878793015765384,-3.7865215518445012,-44673.381268661426,44973.44392880125,6,-37.588671276673466,655.4444444444445,g_hod_eu_morning,-13.786521551844501,R1
39670,0.49210990673052685,-3.886747506974201,-154187.27360166656,154232.6470482061,5,-57.86666264999917,2203.8888888888887,g_compression_tight,-13.886747506974201,R1
5555,0.5179117911791179,-4.026243254538247,-22365.781278959963,23077.626593334164,79,-20.912520936693202,308.6111111111111,g_sms_liq_reclaim_with,-43.84712534274707,R1
14141,0.48879145746411146,-4.125775194767581,-58342.587029208364,58360.82506314083,6,-32.671947991458254,785.6111111111111,g_atr_low,-14.12577519476758,R1
48414,0.48851571859379517,-4.227029001346601,-204647.38207119436,204682.80939974627,7,-66.53910934141916,2689.6666666666665,g_tight_ribbon,-15.227029001346601,R1
31790,0.48625353884869454,-4.296940882195458,-136599.75064499362,136635.17797355025,7,-61.247002018136605,1766.111111111111,g_hod_avoid_us,-15.296940882195457,R1
48544,0.4892262689518787,-4.330814647439439,-210235.0662453001,210637.41802820587,64,-87.24648366335673,2696.8888888888887,g_sms_no_liquidity_above,-44.33081464743944,R1
28102,0.4875453704362679,-4.386184612130942,-123260.55997010371,123373.28548339402,6,-28.288204729335103,1561.2222222222222,g_tr_within_adr,-14.386184612130942,R1
2974,0.47780766644250167,-4.418092514659449,-13139.407138597202,13718.433527409063,6,-20.147633785646164,165.22222222222223,g_regime_trending_up,-14.418092514659449,R1
46315,0.48565259635107416,-4.418630682024656,-204648.88003797195,204684.30736652287,6,-60.84527820146222,2573.0555555555557,g_rf_fresh,-14.418630682024656,R1
395,0.5417721518987342,-4.439744381953332,-1753.6990308715663,1846.9528320010822,7,-15.769628201997058,21.944444444444443,g_rf_strict_align,-15.02202286296599,R1
29452,0.4840418307754991,-4.473793149612305,-131762.15584238162,132921.42451554607,6,-62.082534716035155,1636.2222222222222,g_hod_active,-14.473793149612305,R1
11099,0.4841877646634832,-4.496878706184709,-49910.85675994408,49946.28408850507,7,-44.47268653947199,616.6111111111111,g_hod_late,-15.49687870618471,R1
11377,0.4843104509097302,-4.555652190759704,-51829.65497427316,51897.390453816195,6,-43.5112072862297,632.0555555555555,g_hod_us_afternoon,-14.555652190759705,R1
25954,0.4722200816829776,-4.57165883076316,-118652.83329362705,118819.93837075077,17,-76.85400601963819,1441.888888888889,g_mp_skew_with,-25.57165883076316,R1
25954,0.4722200816829776,-4.57165883076316,-118652.83329362705,118819.93837075077,17,-76.85400601963819,1441.888888888889,g_mp_skew_extreme_with,-25.57165883076316,R1
25954,0.4722200816829776,-4.57165883076316,-118652.83329362705,118819.93837075077,17,-76.85400601963819,1441.888888888889,g_mp_imbalance_with,-25.57165883076316,R1
25954,0.4722200816829776,-4.57165883076316,-118652.83329362705,118819.93837075077,17,-76.85400601963819,1441.888888888889,g_mp_skew_strong_with,-25.57165883076316,R1
25952,0.4721794081381011,-4.574415015014084,-118715.21846964551,118882.32354676924,17,-77.07665876897389,1441.7777777777778,g_mp_imbalance_strong_with,-25.574415015014083,R1
46743,0.4853347025223028,-4.6023143872259675,-215125.98140210338,215161.4087306541,7,-61.467189108836656,2596.8333333333335,g_tr_in_active_session,-15.602314387225967,R1
8893,0.48667491285280556,-4.72456006031577,-42015.512616388136,42284.2230739241,5,-49.26535346412114,494.05555555555554,g_hod_quiet,-14.72456006031577,R1
13249,0.48290437014114274,-4.727717422203272,-62637.52812677115,63654.38675843475,5,-42.47853837149755,736.0555555555555,g_adx_low,-14.727717422203272,R1
5337,0.482480794453813,-5.004713676999587,-26710.156894146796,27047.331643364774,4,-53.770796124858734,296.5,g_rf_aged,-15.0,R1
31193,0.4822556342769211,-5.005565607775622,-156138.60800334497,156156.5985627629,6,-54.50984755213723,1732.9444444444443,g_regime_ranging,-15.0,R1
14933,0.4793410567200161,-5.010550319745466,-74822.54792475904,74840.56300839037,7,-34.49870264806562,829.6111111111111,g_adx_strong,-16.0,R1
8715,0.4800917957544464,-5.097194240304386,-44422.047804252725,44435.05265205908,5,-46.758282621346964,484.1666666666667,g_hod_us_morning,-15.0,R1
16207,0.4791756648361819,-5.12745027058349,-83100.58653534662,83125.27812538912,7,-32.822380493958086,900.3888888888889,g_rf_in_band,-16.0,R1
26941,0.4845402917486359,-5.143397976848328,-138568.2848942708,139010.26702251818,60,-78.79313087658916,1496.7222222222222,g_tr_above_pp,-45.0,R1
9865,0.47430309173846935,-5.6393419085485235,-55632.10792783118,55653.355053247775,7,-17.49729503121271,548.0555555555555,g_atr_high,-16.0,R1
6408,0.47846441947565543,-5.973526813570713,-38278.359821361126,38297.10811199905,6,-26.850868634644296,356.0,g_adx_extreme,-15.0,R1
17409,0.4594175426503533,-6.006049422981751,-104559.3144046893,104666.81027714373,68,-51.27729977559186,967.1666666666666,g_trend_slope_strong_with,-45.0,R1
888,0.4403153153153153,-6.8739740684583,-6104.088972790971,7744.723826229931,39,-12.820083108118839,49.333333333333336,g_rsi_extreme_with,-45.0,R1
2167,0.4157821873557914,-7.634620458412744,-16544.222533380416,17183.54797380373,61,-32.85934287416038,120.38888888888889,g_rsi_overbought_with,-45.0,R1
375,0.3466666666666667,-8.157577777024247,-3059.091666384093,3102.1919220248797,32,-11.127769801987082,20.833333333333332,g_sms_choch_with,-41.0,R1
670,0.3716417910447761,-9.140697779094195,-6124.26751199311,6623.762344966316,62,-33.75531502584357,37.22222222222222,g_sms_bos_with,-45.0,R1
3100,0.8103225806451613,0.29321551221060166,908.9680878528652,919.7611205321481,6,4.543229627253959,172.22222222222223,g_cci_extreme_with+g_mp_no_extreme_50,-2.8011698866592667,R2
4644,0.7764857881136951,0.26463912286634156,1228.9840865912902,919.6673529493621,6,5.399068134839875,258.0,g_mp_no_extreme_100+g_cci_extreme_with,-3.167176525490329,R2
1641,0.9396709323583181,0.16962231356448332,278.3502165593171,163.8625733800843,3,5.745259343855199,91.16666666666667,g_depth_250_med+g_cci_extreme_with,4.566331637147664,R2
2481,0.8891575977428456,0.13830916260473688,343.1450324223522,466.39847435435223,4,2.5469962729194022,137.83333333333334,g_depth_250_loose+g_cci_extreme_with,2.365900396489671,R2
4367,0.8882528051293794,0.13214606159428338,577.0818509822356,718.1183603910492,6,4.0229747486965515,242.61111111111111,g_bb_pos_extreme_with+g_depth_250_loose,-0.1665094910224143,R2
2213,0.9593312245820154,0.12937587277208798,286.3088064446307,162.31596889234555,3,7.5528277042867815,122.94444444444444,g_bb_pos_extreme_with+g_depth_250_strict,4.722688118592242,R2
2890,0.9380622837370243,0.11820456124067795,341.61118198555926,347.88279129573516,4,4.896243862052042,160.55555555555554,g_bb_pos_extreme_with+g_depth_250_med,4.01999948565357,R2
5487,0.7984326590122107,0.08437965480489365,462.99116591445147,1336.1356124541292,5,1.9128206155415768,304.8333333333333,g_bb_pos_extreme_with+g_mp_no_extreme_50,-6.931293755073,R2
1278,0.956964006259781,0.062450046728970414,79.81115971962419,181.9215982054762,3,1.966501222344708,71.0,g_depth_250_strict+g_cci_extreme_with,4.6320901093267794,R2
8215,0.7649421789409616,0.025437948575895347,208.97274755098027,1188.1038714476483,6,0.6153494253936262,456.3888888888889,g_bb_pos_extreme_with+g_mp_no_extreme_100,-6.206178976490972,R2
5875,0.8755744680851064,0.0009996249796959285,5.87279675571358,879.1034283496783,6,0.032281810635851026,326.3888888888889,g_cci_strong_with+g_depth_250_loose,-2.034289977666023,R2
3807,0.9303913842920936,-0.001688211123557943,-6.4270197473850885,571.8904235699946,4,-0.06893860010726618,211.5,g_cci_strong_with+g_depth_250_med,1.583321396097431,R2
5077,0.7575339767579279,-0.0052257455442305525,-26.531110128058515,1265.0157131211338,6,-0.09707274705272446,282.05555555555554,g_mp_no_extreme_150+g_cci_extreme_with,-7.080043109176289,R2
6969,0.9306930693069307,-0.007636495086087938,-53.21873425494684,806.638332454792,6,-0.42016543916761045,387.1666666666667,g_tr_above_cloud+g_depth_250_med,-0.7670891265647013,R2
6285,0.9376292760540971,-0.018792978551252254,-118.11387019462042,701.4949097797355,9,-0.9039327597491867,349.1666666666667,g_depth_250_med+g_mp_no_extreme_50,-2.6574493158076358,R2
6206,0.9289397357396069,-0.0200657827779237,-124.52824791979447,776.4761102480651,6,-1.0203362509867946,344.77777777777777,g_depth_250_med+g_tr_above_ema50,-0.49542952786250627,R2
7401,0.8800162140251317,-0.023236567427495046,-171.97383553089082,1439.0947435517703,10,-0.6846682087509199,411.1666666666667,g_R1_six+g_depth_250_loose,-10.223074427176178,R2
7726,0.931012166709811,-0.023954198987006205,-185.07014137360994,858.2445621501729,6,-1.3797737126815908,429.22222222222223,g_tr_above_ema200+g_depth_250_med,-1.2962781533906247,R2
6129,0.9301680535160711,-0.024809638353103142,-152.05827346616917,794.2644452536889,6,-1.2496840708887134,340.5,g_tr_partial_stack_with+g_depth_250_med,-0.665773555729281,R2
4297,0.9297184081917617,-0.03638469426058659,-156.34503123774059,530.5645529125634,4,-1.6065225038824704,238.72222222222223,g_bb_pos_strong_with+g_depth_250_med,1.955153858531396,R2
2899,0.9510175922731977,-0.041780950032839624,-121.12297414520208,385.64835590366744,3,-2.358858535952431,161.05555555555554,g_cci_strong_with+g_depth_250_strict,3.6119114136624635,R2
6980,0.9289398280802292,-0.04494588975137716,-313.7223104646126,884.9466709893863,7,-2.234366855183842,387.77777777777777,g_ribbon_agrees+g_depth_250_med,-2.605014318842948,R2
5809,0.9283869857118264,-0.04979303594336615,-289.24774579501394,779.5530402837624,5,-2.488221020412833,322.72222222222223,g_R1_five+g_depth_250_med,-0.5614535816627253,R2
2721,0.9757442116868799,-0.05175056877133457,-140.81329762680136,259.157106658407,3,-2.4739569180589647,151.16666666666666,g_mp_wt_no_extreme_100+g_depth_250_strict,4.705691548097464,R2
5945,0.9276703111858705,-0.05661359223503936,-336.567805837309,796.6527949603513,5,-2.800732645024771,330.27777777777777,g_bb_pos_with+g_depth_250_med,-0.7464384299798477,R2
4937,0.9305246100870974,-0.05970299244423588,-294.75367369719254,764.4692574617756,5,-2.7797711691921254,274.27777777777777,g_R1_six+g_depth_250_med,-0.3991494661910169,R2
8260,0.9283292978208233,-0.05985551946315731,-494.40659076567937,930.5963810915684,7,-3.153407798889185,458.8888888888889,g_mp_no_extreme_100+g_depth_250_med,-3.0825263521706088,R2
7619,0.7773986087413046,-0.060031210505260175,-457.3777928395773,2406.4900469251447,6,-1.5698172862193027,423.27777777777777,g_cci_strong_with+g_mp_no_extreme_50,-7.286045123092213,R2
5959,0.9275046148682665,-0.06353180259121698,-378.586011641062,853.2586272860267,5,-3.115513380387757,331.05555555555554,g_depth_250_med+g_cci_with,-1.321071926768819,R2
4875,0.9556923076923077,-0.06511159795043653,-317.4190400083781,484.06023317509846,7,-3.4114841309178345,270.8333333333333,g_depth_250_strict+g_mp_no_extreme_50,1.651209147221656,R2
3283,0.9494364910143162,-0.07499691321495451,-246.21486608469567,478.46054366277707,4,-3.388707517626844,182.38888888888889,g_bb_pos_strong_with+g_depth_250_strict,2.6347625603004365,R2
4975,0.9278391959798995,-0.07801967013427648,-388.14785891802546,783.2398024209288,6,-3.914705433043785,276.3888888888889,g_mfi_strong_with+g_depth_250_med,-0.6320257345445688,R2
8580,0.9241258741258741,-0.07863991302732529,-674.730453774451,1094.7990684569825,8,-4.030806887167431,476.6666666666667,g_depth_250_loose+g_depth_250_med,-5.78537185633841,R2
2942,0.9626104690686608,-0.08075581689597079,-237.58361330794605,408.41458393548885,6,-3.231334340646306,163.44444444444446,g_depth_250_med+g_mp_wt_no_extreme_100,3.4612030344357487,R2
6570,0.8745814307458143,-0.08192282627967894,-538.2329686574906,1206.0454652557567,7,-2.223396808799949,365.0,g_bb_pos_strong_with+g_depth_250_loose,-6.396563171379103,R2
4408,0.9489564428312159,-0.08300171497912953,-365.87155962800296,573.9162703206656,5,-4.388459819153709,244.88888888888889,g_R1_five+g_depth_250_strict,1.6674000101263742,R2
1566,0.776500638569604,-0.08371062822597988,-131.0908438018845,482.27456842901813,5,-1.8820634866049775,87.0,g_mp_wt_no_extreme_100+g_cci_extreme_with,0.8585500731798792,R2
9327,0.8750938136592687,-0.08484164087904057,-791.3179844788115,1585.128656328196,8,-2.9200610001318252,518.1666666666666,g_depth_250_loose+g_tr_partial_stack_with,-8.333903504286353,R2
4695,0.9488817891373802,-0.08899670105801218,-417.8395114673672,614.578826712876,5,-5.0329483220751,260.8333333333333,g_tr_above_ema50+g_depth_250_strict,1.2540329231870304,R2
8556,0.9250818139317438,-0.0908564285207779,-777.3676024237757,1118.965690303388,8,-4.599099452046332,475.3333333333333,g_mp_no_extreme_150+g_depth_250_med,-6.029695192237221,R2
11598,0.7441800310398344,-0.09352927293621575,-1084.7525075142303,2418.0964216062257,7,-3.1015585144765745,644.3333333333334,g_cci_strong_with+g_mp_no_extreme_100,-8.651728962537872,R2
4504,0.9484902309058615,-0.09428187854145188,-424.6455809506993,658.1830061508169,5,-5.118324157550261,250.22222222222223,g_bb_pos_with+g_depth_250_strict,0.8087903690089941,R2
5653,0.9304793914735539,-0.09636675109338465,-544.7612439309034,1082.8283462317945,6,-5.221660466785563,314.05555555555554,g_depth_250_med+g_tr_full_stack_with,-3.6198562986757903,R2
5318,0.9488529522376833,-0.09722052555641082,-517.0187549089927,701.6801271912298,5,-5.344964183802629,295.44444444444446,g_ribbon_agrees+g_depth_250_strict,0.374507724908125,R2
7458,0.9293376240278896,-0.0979926172437307,-730.8289394037436,1210.942157714657,7,-5.27534394282453,414.3333333333333,g_tr_above_ema800+g_depth_250_med,-5.9140379541114045,R2
3410,0.9340175953079178,-0.09941478140965979,-339.0044046069399,741.2911139466903,5,-3.46910960420913,189.44444444444446,g_tr_stack_with+g_depth_250_med,-0.17214996779738456,R2
4515,0.948172757475083,-0.1018776873049127,-459.9777581816808,695.279932107085,5,-5.327946647655359,250.83333333333334,g_cci_with+g_depth_250_strict,0.4270505663750681,R2
5329,0.9491461812722838,-0.10544911997522657,-561.9383603479824,715.1705343680082,5,-6.742187124066996,296.05555555555554,g_tr_above_cloud+g_depth_250_strict,0.23430734906752892,R2
4650,0.949247311827957,-0.1069043547201622,-497.10524944875425,651.9527096115493,5,-6.0703126047799065,258.3333333333333,g_tr_partial_stack_with+g_depth_250_strict,0.8660416674439153,R2
4856,0.8900329489291599,-0.10828927856346213,-525.8527367041721,1287.571437459132,6,-2.811560186354722,269.77777777777777,g_depth_250_loose+g_tr_stack_with,-6.083674163863184,R2
3797,0.9496971293126152,-0.1094310005297708,-415.5095090115397,641.8347649537661,4,-5.03692069784766,210.94444444444446,g_R1_six+g_depth_250_strict,0.9691926430587201,R2
8944,0.8714221824686941,-0.1107913737318096,-990.918046657305,1858.612118357054,8,-3.7052049777347356,496.8888888888889,g_R1_five+g_depth_250_loose,-8.39656954904487,R2
6340,0.9481072555205047,-0.11474563152298839,-727.4873038557464,938.8094767287673,7,-6.155674627561568,352.22222222222223,g_mp_no_extreme_100+g_depth_250_strict,-3.0217678436056152,R2
5933,0.9492668127422889,-0.11517158082157725,-683.3129890144178,850.2712896334062,5,-6.254701685804298,329.6111111111111,g_tr_above_ema200+g_depth_250_strict,-1.125216349732752,R2
8500,0.7771764705882352,-0.12144759667890576,-1032.3045717706989,2872.210583800154,7,-3.192385094181541,472.22222222222223,g_bb_pos_strong_with+g_mp_no_extreme_50,-8.349682890796553,R2
3803,0.9479358401262161,-0.12358364086391263,-469.98858620545974,623.6473318980237,4,-6.3427081812288195,211.27777777777777,g_mfi_strong_with+g_depth_250_strict,1.1193014414180107,R2
6531,0.9462563160312356,-0.12681577255200457,-828.2338105371418,1060.7319883925948,7,-6.6840434546946454,362.8333333333333,g_mp_no_extreme_150+g_depth_250_strict,-4.271572496165596,R2
10786,0.8696458371963657,-0.13252792087263496,-1429.4461545322406,2226.7695685149984,10,-4.636679317605847,599.2222222222222,g_depth_250_loose+g_tr_above_cloud,-10.436069548908979,R2
10719,0.8710700625058307,-0.13947961375625764,-1495.0819798533257,1928.299447888855,9,-4.785557932291701,595.5,g_ribbon_agrees+g_depth_250_loose,-9.42877898869795,R2
6540,0.9454128440366972,-0.14022371236707168,-917.0630788806488,1149.5612567361036,7,-6.909866414018542,363.3333333333333,g_depth_250_med+g_depth_250_strict,-5.1817078393611355,R2
6540,0.9454128440366972,-0.14022371236707168,-917.0630788806488,1149.5612567361036,7,-6.909866414018542,363.3333333333333,g_depth_250_loose+g_depth_250_strict,-5.1817078393611355,R2
3525,0.8885106382978724,-0.14237796140626355,-501.88231395707896,1026.8823142929339,6,-3.3901930854471907,195.83333333333334,g_R1_full+g_depth_250_loose,-3.5260947213568787,R2
11761,0.8730550123288836,-0.14338067072711863,-1686.3000684216422,2286.2602805381157,12,-5.396303046855685,653.3888888888889,g_tr_above_ema200+g_depth_250_loose,-12.412830547438283,R2
9619,0.8674498388605885,-0.1443241153129387,-1388.2536651951575,1810.9103920071784,8,-5.679283689316201,534.3888888888889,g_depth_250_loose+g_tr_above_ema50,-8.469825726707054,R2
9245,0.866197944835046,-0.14538653830986187,-1344.098546674673,1883.4084703311064,9,-6.1436235414655025,513.6111111111111,g_bb_pos_with+g_depth_250_loose,-9.483407089959403,R2
5806,0.9479848432655873,-0.1486299379586419,-862.9454197878749,1021.3891968098258,6,-7.905119976862895,322.55555555555554,g_tr_above_ema800+g_depth_250_strict,-2.8826734734010273,R2
2203,0.7862006354970494,-0.15255312163405993,-336.07452695983403,900.4572270876154,5,-1.6682571035552698,122.38888888888889,g_R1_full+g_cci_extreme_with,-3.2951190375397195,R2
9284,0.8655751831107281,-0.15463230793410745,-1435.6063468602536,1950.3414104388648,9,-6.39412527849864,515.7777777777778,g_depth_250_loose+g_cci_with,-9.498880476826827,R2
4355,0.9487944890929966,-0.16109922051460457,-701.5871053411029,827.528889459351,5,-9.032773366213249,241.94444444444446,g_depth_250_strict+g_tr_full_stack_with,-0.9484432241781491,R2
8309,0.8795282224094355,-0.17827678342999365,-1481.3017935198172,1813.1278686896194,8,-6.531365974329927,461.6111111111111,g_depth_250_loose+g_tr_full_stack_with,-8.38299455933564,R2
1961,0.9515553289138194,-0.17960580699883283,-352.20698752471117,556.8073164971298,4,-5.10778032386139,108.94444444444444,g_R1_full+g_depth_250_strict,1.7678743171680642,R2
3837,0.8954912692207454,-0.210372001033011,-807.1973679636633,933.9111172165073,6,-5.606393172892105,213.16666666666666,g_depth_250_loose+g_mp_wt_no_extreme_100,-2.594570480990629,R2
11835,0.7840304182509505,-0.21558795228556085,-2551.4834152996127,3463.5205883600097,13,-6.04807723785944,657.5,g_tr_partial_stack_with+g_mp_no_extreme_50,-14.375283769776056,R2
2480,0.9310483870967742,-0.22939511741925783,-568.8998911997594,881.0850822529534,5,-6.472050878397808,137.77777777777777,g_R1_full+g_depth_250_med,-1.7297620689810493,R2
2675,0.948785046728972,-0.23221288189080208,-621.1694590578956,765.6372744537266,4,-7.888191973041282,148.61111111111111,g_tr_stack_with+g_depth_250_strict,-0.4007351591383479,R2
2920,0.7633561643835617,-0.2351528813760845,-686.6464136181668,1328.594908905542,5,-3.813597613420605,162.22222222222223,g_bb_pos_extreme_with+g_mp_wt_no_extreme_100,-7.601591237540467,R2
9256,0.8801858254105445,-0.24056876731157076,-2226.704510235899,2338.561746056736,14,-7.6456622515140795,514.2222222222222,g_depth_250_loose+g_mp_no_extreme_50,-14.438710513206127,R2
9150,0.7895081967213115,-0.24444246872583453,-2236.648588841386,2856.829593336262,6,-6.419683137747942,508.3333333333333,g_R1_six+g_mp_no_extreme_50,-7.34936050151272,R2
11683,0.7711204313960456,-0.2475253778020389,-2891.8389888612205,4130.353916341526,7,-7.0399907707568214,649.0555555555555,g_R1_five+g_mp_no_extreme_50,-8.536321063841584,R2
12841,0.7419204111829297,-0.24843260804199332,-3190.1231198672363,4285.862427151105,8,-7.5040035835132874,713.3888888888889,g_bb_pos_strong_with+g_mp_no_extreme_100,-9.829228496212696,R2
7705,0.8643737832576249,-0.2598740093972407,-2002.3292424057395,2428.8460669957285,8,-9.998671602525022,428.05555555555554,g_mfi_strong_with+g_depth_250_loose,-8.61613617682099,R2
9034,0.7439672348904139,-0.2683548476058072,-2424.317693270862,3106.518080367606,6,-6.184816891110432,501.8888888888889,g_bb_pos_extreme_with+g_mp_no_extreme_150,-7.828682498701668,R2
4691,0.8026007247921552,-0.2700944803004004,-1267.0132070891782,1538.1099930233154,7,-6.0795421078248975,260.6111111111111,g_bb_pos_extreme_with+g_tr_stack_with,-8.244087232378849,R2
2683,0.8005963473723444,-0.2820790944171317,-756.8182103211643,1073.0852364199689,5,-4.937052449913008,149.05555555555554,g_tr_stack_with+g_cci_extreme_with,-5.006967984893377,R2
4144,0.7707528957528957,-0.29621178512908714,-1227.5016375749371,1466.5873743477869,7,-6.041282635894372,230.22222222222223,g_cci_extreme_with+g_tr_full_stack_with,-8.58868282760013,R2
5477,0.8216176739090744,-0.29791347514835553,-1631.6721033875433,1999.1187690993938,7,-6.279281024441802,304.27777777777777,g_tr_stack_with+g_mp_no_extreme_50,-8.081736736057612,R2
12570,0.7548130469371519,-0.30922728049763665,-3886.9869158552924,5177.933745453358,7,-9.163448695164371,698.3333333333334,g_bb_pos_with+g_mp_no_extreme_50,-8.761096811126118,R2
17726,0.7494640640866523,-0.3157510661428977,-5597.003398449005,5765.055667058631,19,-11.911415071757805,984.7777777777778,g_tr_partial_stack_with+g_mp_no_extreme_100,-20.821110425276373,R2
12834,0.8609163160355306,-0.3213689957707109,-4124.449691721304,4269.990775500174,14,-10.59069347426126,713.0,g_depth_250_loose+g_mp_no_extreme_100,-14.712205835415403,R2
