stack,size,n_train,wr_train,dpt_train,sum_train,dd_train,ls_train,shp_train,n_val,wr_val,dpt_val,sum_val,dd_val,ls_val,shp_val,n_lock,wr_lock,dpt_lock,sum_lock,dd_lock,ls_lock,shp_lock,np_d_lock
g_bb_pos_extreme_with+g_depth_250_med+g_depth_250_strict+g_mp_no_extreme_50,R4,1678,0.9678188319427891,0.21606502640705783,362.55711431104305,130.12900632503138,2,10.855028621201225,533,0.9737335834896811,0.2542581518263121,135.51959492342436,88.82995377397116,2,11.553483230448583,1048,0.9484732824427481,0.34779708753357763,364.4913477351894,193.05845476356336,3,17.54403126813335,116.44444444444444
g_bb_pos_extreme_with+g_cci_with+g_depth_250_strict+g_mp_no_extreme_50,R4,1678,0.9678188319427891,0.21606502640705783,362.55711431104305,130.12900632503138,2,10.855028621201225,533,0.9737335834896811,0.2542581518263121,135.51959492342436,88.82995377397116,2,11.553483230448583,1048,0.9484732824427481,0.34779708753357763,364.4913477351894,193.05845476356336,3,17.54403126813335,116.44444444444444
g_bb_pos_extreme_with+g_depth_250_strict+g_mp_no_extreme_50+g_ribbon_agrees,R4,1675,0.9677611940298507,0.21567876762144989,361.26193576592857,130.12900632503138,2,10.79629194220244,531,0.9736346516007532,0.21439056789839692,113.84139155404877,88.82995377397117,2,10.729883848549433,1042,0.9481765834932822,0.34484149066959224,359.32483327771513,193.05845476356336,3,17.45607080173098,115.77777777777777
g_R1_five+g_bb_pos_extreme_with+g_depth_250_loose+g_depth_250_strict+g_mp_no_extreme_50,R5,1674,0.967741935483871,0.2145453154824489,359.14885811761945,130.12900632503138,2,10.798156753178032,530,0.9754716981132076,0.2943772147205381,156.0199238018852,88.82995377397118,2,12.103391855065018,1045,0.9483253588516747,0.34277453480815,358.1993888745168,193.05845476356336,3,17.483450755468827,116.11111111111111
g_R1_five+g_bb_pos_extreme_with+g_depth_250_strict+g_mp_no_extreme_50,R4,1674,0.967741935483871,0.2145453154824489,359.14885811761945,130.12900632503138,2,10.798156753178032,530,0.9754716981132076,0.2943772147205381,156.0199238018852,88.82995377397118,2,12.103391855065018,1045,0.9483253588516747,0.34277453480815,358.1993888745168,193.05845476356336,3,17.483450755468827,116.11111111111111
g_bb_pos_extreme_with+g_depth_250_strict+g_mp_no_extreme_50+g_tr_above_ema800,R4,1595,0.967398119122257,0.1844990654914493,294.2760094588616,131.69283617837277,2,8.034884485629625,505,0.9762376237623762,0.22035344842902294,111.27849145665658,89.99278546060272,2,9.275761099615872,966,0.9503105590062112,0.32599138482180734,314.90767773786587,148.34301448884537,3,19.810971259976387,107.33333333333333
g_bb_pos_extreme_with+g_depth_250_strict+g_mp_no_extreme_50+g_tr_full_stack_with,R4,1594,0.9673776662484316,0.1842813111513946,293.744409975323,131.69283617837277,2,8.011573302745948,505,0.9762376237623762,0.22035344842902294,111.27849145665658,89.99278546060272,2,9.275761099615872,965,0.950259067357513,0.3242649157248792,312.91564367450843,148.34301448884537,3,19.818183350680894,107.22222222222223
g_bb_pos_extreme_with+g_depth_250_strict+g_mp_no_extreme_50+g_tr_partial_stack_with,R4,1676,0.9677804295942721,0.2099525319150103,351.88044348955725,130.1290063250313,2,10.347450790887011,531,0.9736346516007532,0.21439056789839692,113.84139155404877,88.82995377397117,2,10.729883848549433,1044,0.9482758620689655,0.32277016204407083,336.97204917400995,193.05845476356336,3,15.455530272152197,116.0
g_bb_pos_extreme_with+g_depth_250_strict+g_mp_no_extreme_50+g_tr_above_ema200,R4,1676,0.9677804295942721,0.2099525319150103,351.88044348955725,130.1290063250313,2,10.347450790887011,531,0.9736346516007532,0.21439056789839692,113.84139155404877,88.82995377397117,2,10.729883848549433,1044,0.9482758620689655,0.32277016204407083,336.97204917400995,193.05845476356336,3,15.455530272152197,116.0
g_bb_pos_extreme_with+g_depth_250_strict+g_mp_no_extreme_50+g_tr_stack_with,R4,1233,0.9691808596918086,0.18851835893112298,232.44313656207464,161.6467853848969,2,6.9545674105657005,382,0.9738219895287958,0.14256755534932886,54.46080614344362,81.0640310619554,2,6.599432606515587,753,0.952191235059761,0.2701206159373198,203.4008238008018,110.52589965908963,2,13.305340812732972,83.66666666666667
g_cci_extreme_with+g_depth_250_loose+g_mp_no_extreme_50+g_mp_wt_no_extreme_100+g_tr_full_stack_with,R5,513,0.9610136452241715,0.23466230053697504,120.3817601754682,111.24818218098443,2,4.59065431305299,166,0.9698795180722891,0.07418359911114507,12.314477452450081,68.72883555508662,1,2.357860654423927,521,0.8445297504798465,-0.18364617580753168,-95.67965759572401,226.44340607770744,3,-3.8066834418721176,57.888888888888886
g_cci_extreme_with+g_depth_250_loose+g_mp_no_extreme_50+g_mp_wt_no_extreme_100+g_tr_above_ema800,R5,513,0.9610136452241715,0.23466230053697504,120.3817601754682,111.24818218098443,2,4.59065431305299,166,0.9698795180722891,0.07418359911114507,12.314477452450081,68.72883555508662,1,2.357860654423927,521,0.8445297504798465,-0.18364617580753168,-95.67965759572401,226.44340607770744,3,-3.8066834418721176,57.888888888888886
g_R1_six+g_cci_extreme_with+g_depth_250_loose+g_mp_no_extreme_100+g_mp_wt_no_extreme_100,R5,605,0.9487603305785124,0.3406434658723604,206.08929685277803,82.4617783163435,2,10.768054585034333,194,0.9639175257731959,0.13881788772720677,26.930670219078113,73.54098727728733,1,3.01468904907938,803,0.800747198007472,-0.3891190493976005,-312.4625966662732,541.0065054381596,3,-7.060489292364133,89.22222222222223
g_bb_pos_extreme_with+g_cci_strong_with+g_depth_250_loose+g_mp_no_extreme_50+g_mp_wt_no_extreme_100,R5,915,0.9595628415300547,0.24117926580008492,220.6790282070777,99.8362914468446,3,5.9906170484196535,311,0.977491961414791,0.37379011316672367,116.24872519485106,87.49527735914715,1,10.45425920056571,1031,0.8225024248302619,-0.4267451642578207,-439.97426434981315,524.5715847312601,3,-7.6113679956817775,114.55555555555556
g_cci_extreme_with+g_depth_250_loose+g_mp_no_extreme_50+g_mp_wt_no_extreme_100+g_tr_partial_stack_with,R5,544,0.9613970588235294,0.31219548982477313,169.83434646467657,110.74818266755287,2,7.177356859638812,170,0.9705882352941176,0.23004920015910654,39.10836402704811,68.72883555508662,1,5.356674908974274,625,0.8128,-0.5315402438043325,-332.2126523777078,405.99988592433056,3,-10.489728392559183,69.44444444444444
g_cci_extreme_with+g_depth_250_loose+g_mp_no_extreme_50+g_mp_wt_no_extreme_100+g_tr_above_ema200,R5,544,0.9613970588235294,0.31219548982477313,169.83434646467657,110.74818266755287,2,7.177356859638812,170,0.9705882352941176,0.23004920015910654,39.10836402704811,68.72883555508662,1,5.356674908974274,625,0.8128,-0.5315402438043325,-332.2126523777078,405.99988592433056,3,-10.489728392559183,69.44444444444444
g_cci_extreme_with+g_depth_250_loose+g_mp_no_extreme_50+g_mp_wt_no_extreme_100+g_ribbon_agrees,R5,544,0.9613970588235294,0.31219548982477313,169.83434646467657,110.74818266755287,2,7.177356859638812,170,0.9705882352941176,0.23004920015910654,39.10836402704811,68.72883555508662,1,5.356674908974274,627,0.8118022328548644,-0.5478784527977719,-343.519789904203,417.30702345082557,3,-10.69795716359292,69.66666666666667
g_cci_extreme_with+g_depth_250_loose+g_mp_no_extreme_50+g_mp_wt_no_extreme_100+g_tr_above_cloud,R5,544,0.9613970588235294,0.31219548982477313,169.83434646467657,110.74818266755287,2,7.177356859638812,170,0.9705882352941176,0.23004920015910654,39.10836402704811,68.72883555508662,1,5.356674908974274,626,0.8115015974440895,-0.5706272402199806,-357.21265237770785,407.93286673040296,3,-11.37458855321406,69.55555555555556
g_R1_five+g_cci_extreme_with+g_depth_250_loose+g_mp_no_extreme_50+g_mp_wt_no_extreme_100,R5,543,0.9613259668508287,0.3123146813178564,169.58687195559602,110.74818266755287,2,7.166111278990069,170,0.9705882352941176,0.23004920015910654,39.10836402704811,68.72883555508662,1,5.356674908974274,625,0.8112,-0.584841197036221,-365.52574814763807,416.2459625003335,3,-12.241427552326334,69.44444444444444
g_bb_pos_strong_with+g_cci_extreme_with+g_depth_250_loose+g_mp_no_extreme_50+g_mp_wt_no_extreme_100,R5,544,0.9613970588235294,0.31219548982477313,169.83434646467657,110.74818266755287,2,7.177356859638812,169,0.9704142011834319,0.22692682138026085,38.350632813264085,68.72883555508662,1,5.223197106034189,628,0.8105095541401274,-0.5868149520767564,-368.51978990420304,419.2400042568982,3,-11.581089458764326,69.77777777777777
g_cci_extreme_with+g_cci_with+g_depth_250_loose+g_mp_no_extreme_50+g_mp_wt_no_extreme_100,R5,544,0.9613970588235294,0.31219548982477313,169.83434646467657,110.74818266755287,2,7.177356859638812,170,0.9705882352941176,0.23004920015910654,39.10836402704811,68.72883555508662,1,5.356674908974274,628,0.8105095541401274,-0.5868149520767564,-368.51978990420304,419.2400042568982,3,-11.581089458764326,69.77777777777777
